Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,0.00633552,0.000846392,-0.00389433,0.00588205,0.0447822,0.00187557,-0.149441,-0.000739089,
0.001,0.0117883,0.00110013,-0.00361517,0.00236509,0.0481709,0.0133345,-0.089944,0.00138501,
0.002,0.0134976,0.00202757,-0.00477883,0.00140915,0.0436796,0.0188143,-0.0400573,0.00176401,
0.003,0.0133786,0.000693024,-0.00504886,0.00266741,0.0388022,0.019091,-0.0598031,0.000635136,
0.004,0.0109721,0.00167181,-0.00596209,0.00086208,0.0329158,0.0198357,-0.070637,-0.00107529,
0.005,-0.0266876,0.000384121,-0.00529447,-2.56e-05,0.0687115,0.0181377,-0.0623414,-0.00185507,
0.006,-0.0532978,0.000697065,-0.00610291,0.00201009,0.101127,-0.00620184,-0.0383247,-0.00678542,
0.007,-0.0573887,0.000969421,-0.0081744,0.00229523,0.096311,-0.0321276,0.0231321,-0.0117053,
0.008,-0.0441494,0.00191273,-0.00847989,-0.0003486,0.0431338,-0.0258835,0.0709635,-0.00736014,
0.009,-0.0259985,0.000591563,-0.0100924,-0.00195118,-0.0392237,0.0271627,0.083241,-0.0014438,
0.01,-0.0179353,0.000872985,-0.0106887,-0.00193404,-0.105612,0.057718,0.0704205,-0.00130968,
0.011,-0.024297,0.0011157,-0.0111094,0.000187229,-0.152678,0.0466505,0.0233119,-0.0026165,
0.012,-0.0210628,0.00273967,-0.0113716,-0.000148264,-0.181928,0.0316821,0.0136578,-0.00161063,
0.013,-0.0124158,0.00199655,-0.0114915,-0.00188964,-0.252912,0.0148897,0.0583194,-0.0028714,
0.014,0.00507477,0.00134518,-0.0072331,0.000132211,-0.257138,-0.00970992,0.0225587,-0.00253128,
0.015,0.0236562,0.00219514,-0.00561304,0.00254476,-0.110918,-0.0287769,-0.046063,-0.000814155,
0.016,0.045135,0.000788337,-0.00415291,-0.00252148,0.113404,-0.029442,-0.145227,-0.00217629,
0.017,0.0405716,0.000991391,-0.00780103,-0.00336037,0.262055,-0.0411595,-0.246425,-0.0217661,
