Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark
0.0,-0.00967179,0.0155218,0.00905729,-0.0563914,-0.00109392,-0.00073262,0.00804956,0.00324734,-0.00967179,0.0155218,0.00905729,-0.0563914,-0.00109392,-0.00073262,0.00804956,0.00324734,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.001,0.0412997,-0.00296717,0.00924048,-0.0692253,-0.00318458,0.00833794,0.0535548,0.00613168,0.0415619,-0.00338798,0.00899492,-0.0676965,-0.00315492,0.00835781,0.0533366,0.00604364,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.002,0.0967651,-0.0222591,0.00940501,-0.128077,-0.00353227,0.011198,0.0362789,0.013548,0.0956595,-0.0222013,0.00914132,-0.126118,-0.00344434,0.010973,0.0348152,0.0133771,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.003,0.103869,-0.0456351,0.00600764,-0.297579,-0.00237437,0.048355,-0.0115745,0.0127572,0.101081,-0.0448597,0.00583698,-0.294615,-0.00228578,0.0480314,-0.012549,0.012416,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.004,0.0323678,-0.0687949,0.00382047,-0.358232,-0.00134579,0.085681,-0.0315124,0.00844022,0.029836,-0.0675237,0.00376326,-0.350847,-0.00131302,0.0844422,-0.0306559,0.00814787,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.005,0.00214298,-0.0915706,0.00127591,-0.287609,-0.00681382,0.102967,-0.0144624,0.0124559,0.00234386,-0.0900393,0.00119559,-0.278439,-0.00680809,0.10072,-0.0131633,0.012336,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.006,0.0282895,-0.112397,0.00128327,-0.275845,-0.0100372,0.0858024,-0.0223644,0.0214878,0.0291487,-0.110393,0.00119768,-0.270087,-0.0098476,0.0833532,-0.0225371,0.0212301,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.007,-0.033966,-0.12781,-5.44e-05,-0.285048,-0.00917045,0.053955,-0.0623209,0.0184621,-0.0354754,-0.124953,-3.31e-06,-0.281133,-0.00887948,0.0523482,-0.0625017,0.0178793,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.008,-0.113753,-0.141953,-0.00112188,-0.253335,-0.0175371,0.0153842,-0.0827696,0.0135696,-0.11382,-0.138402,-0.000699615,-0.248922,-0.01741,0.0146936,-0.0800357,0.013237,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.009,-0.138487,-0.154858,-0.00123769,-0.217727,-0.0295313,-0.0201482,-0.105338,0.0156087,-0.132831,-0.151385,-0.000458408,-0.215874,-0.0293578,-0.020064,-0.100038,0.0159096,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.01,-0.130412,-0.167268,0.00371942,-0.232839,-0.0317859,-0.0456639,-0.102585,0.0193472,-0.120297,-0.164891,0.00455315,-0.238677,-0.0312901,-0.0442067,-0.0971783,0.0199419,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.011,-0.0877223,-0.176283,0.00875334,-0.243259,-0.0242025,-0.0538144,-0.057459,0.0174268,-0.0776879,-0.175616,0.00921485,-0.257636,-0.0236199,-0.0497838,-0.054722,0.0178746,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.012,-0.0488519,-0.182969,0.0123909,-0.191358,-0.0117429,-0.0440781,-0.0229563,0.0141842,-0.0427512,-0.184077,0.0124291,-0.211265,-0.0115099,-0.0370619,-0.0238177,0.0145932,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.013,-0.0525623,-0.184723,0.0162077,-0.125812,-0.00581346,-0.0303387,-0.0049834,0.0183276,-0.0501451,-0.187366,0.0160739,-0.147874,-0.00610832,-0.0216707,-0.00714352,0.0190437,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.014,-0.143928,-0.187844,0.0165992,-0.0801912,-0.00556024,-0.0203432,1.03e-05,0.0153323,-0.142321,-0.192011,0.0164051,-0.101524,-0.00609721,-0.0123043,-0.00167303,0.0162979,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.015,-0.15837,-0.191368,0.0161569,-0.00391573,-0.00594729,-0.0186191,0.01645,0.00833233,-0.155504,-0.197119,0.0158159,-0.0232168,-0.00657151,-0.0130847,0.0138523,0.00949065,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.016,-0.0128354,-0.198005,0.0149958,0.0797138,-0.00475513,-0.0240258,0.0241876,0.00927516,-0.0139549,-0.205234,0.0143025,0.0608997,-0.00577395,-0.0215836,0.0173241,0.0104342,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.017,0.106332,-0.209348,0.0139298,0.108022,-0.0170889,-0.0128528,-0.036581,0.00854866,0.0937427,-0.217411,0.0129322,0.0894483,-0.0188369,-0.0131487,-0.0479119,0.0092738,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
