Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,-0.0676084,-0.0105817,0.0175193,-0.00389774,0.0232052,-0.0067169,0.138245,-0.0296624,0,-0.017268977993103986,0.05457067820726411,0.0032472404564831817,0.010423837624296058,0.008305221738818879,0.029337187143796316,0.07747932971834132,0.009722141279057104
0.001,-0.127247,-0.0151867,0.017796,-0.00618638,0.12438,-0.0182021,0.118671,-0.0209534,0,-0.07398790327881379,0.05150217758345418,0.0040487770210823676,0.00889328905569295,0.10172319968664952,0.021296552339799203,0.06140640123384424,0.021242497538517913
0.002,-0.0947855,-0.0431289,0.0149428,-0.0109734,0.131992,-0.00322345,0.0411191,-0.0103003,0,-0.05091127397479203,0.023762226331521093,0.0025353581217834632,0.00503986825601142,0.11238432200421376,0.03308760614032068,-0.004866250734609279,0.03430825362275022
0.003,-0.0342371,-0.0703746,0.0129536,-0.0157435,0.0461289,-0.0272091,-0.00283464,-0.0136454,0,0.012365579568934552,-0.003233594327168977,0.002095553499676915,0.0011041511318541013,0.019208113377763198,0.011971844855423266,-0.045429199445054025,0.032553998339378144
0.004,-0.0222684,-0.0677163,0.0103038,-0.0183279,0.0101111,-0.0703828,-0.0280866,-0.0261828,0,0.016082400361123694,-0.002074207241600713,0.001427112627876872,-0.0003805582987292844,-0.012618299163928311,-0.033884507082080115,-0.05993946098793861,0.01992698563918562
0.005,-0.056509,-0.0662154,0.00781126,-0.0211271,-0.0223225,-0.0878938,-0.0263713,-0.0351857,0,-0.015742116477032584,-0.0015659692874889055,0.001018888152853526,-0.002356179018623362,-0.04941857924713674,-0.04934026576463528,-0.05544353636670284,0.009892385137720516
0.006,-0.0657821,-0.0982943,0.00618029,-0.0240812,-0.0428785,-0.0760294,-0.0439391,-0.0360925,0,-0.031133335151954593,-0.036358211342527015,0.0013282919828108534,-0.00420599399235805,-0.06374578514159038,-0.03901319040445552,-0.06409464144847514,0.005544598412165344
0.007,-0.039982,-0.125702,0.00459363,-0.0250108,0.0199716,-0.0672722,-0.0722873,-0.0349612,0,-0.003500924899440059,-0.06584835337285828,0.0016293139180357545,-0.004480572474958716,-0.0012081818017839457,-0.029362247452093572,-0.09056262328359796,0.0028163653934565134
0.008,-0.00967956,-0.121882,0.00518108,-0.027723,0.0691164,-0.0541627,-0.0862808,-0.0334871,0,0.02298482196528388,-0.06533060509087481,0.0034516832712696162,-0.006308327991718775,0.05576666102944699,-0.01660922546504757,-0.09805455204400772,-0.0018760394505081554
0.009,0.00156996,-0.129409,0.00550963,-0.0262719,0.116638,-0.0388163,-0.0905937,-0.0373853,0,0.035089672607519516,-0.07593641604651886,0.0048866184397499055,-0.004530016534146607,0.10625572876002555,-0.001897563289476805,-0.10128264271295108,-0.011340778516293202
0.01,-0.00157119,-0.13102,0.00489663,-0.0247804,0.116259,-0.0393746,-0.0744581,-0.0423219,0,0.029850232443456207,-0.08097075600896637,0.0045248934062242716,-0.0025648902568212793,0.11357262804053078,-0.0022108770043681933,-0.08079185716415568,-0.02336275901233798
0.011,-0.00716656,-0.121102,0.000642039,-0.0282191,0.0604081,-0.0656631,-0.0656182,-0.0551811,0,0.02373942702048467,-0.07517586919467815,0.0004663274169513566,-0.006089744367147228,0.06169034327904034,-0.03090959394854309,-0.07117179842006052,-0.041659976682266224
0.012,-0.00774196,-0.12255,-0.00246475,-0.0309081,0.00611438,-0.104664,-0.0787092,-0.0655215,0,0.021810185002944155,-0.08007368219246823,-0.003096829708957235,-0.00879348803774848,0.012660947957933513,-0.06999825430145404,-0.08117256370216852,-0.05795118221760212
0.013,-0.0103617,-0.140826,-0.0031399,-0.0293757,-0.0513291,-0.106068,-0.0687597,-0.0650786,0,0.017130655474844884,-0.10368840317234643,-0.0041006256382415925,-0.00773402485090089,-0.042439237854377684,-0.07554548950422592,-0.07013609613529102,-0.06127813652879803
0.014,-0.00338227,-0.143636,-0.00596595,-0.0298781,-0.146399,-0.0955765,-0.0425653,-0.058867,0,0.022666026783156313,-0.11026985077853504,-0.007387418412831789,-0.008682107346520185,-0.13634943745587644,-0.06632457044141228,-0.0411723583260096,-0.05864796193486063
0.015,0.000472407,-0.118171,-0.00849564,-0.0307028,-0.158247,-0.0536407,-0.00967218,-0.0512595,0,0.023174320422015685,-0.09151486032348427,-0.010089449678905186,-0.010240217196730886,-0.14901280183994173,-0.029790194716105535,-0.0065055764219905665,-0.05275002206328021
0.016,0.00443424,-0.115283,-0.00862205,-0.0254119,-0.0380096,-0.00408251,0.00887384,-0.0417866,0,0.025296499530403152,-0.09318268062138127,-0.009914108193238264,-0.00567825803128854,-0.031812743072114055,0.01696210125253398,0.014993138475112851,-0.04470189072291171
0.017,0.0148284,-0.104911,-0.00950992,-0.0198483,-0.0288777,0.0105232,0.0198544,-0.0371479,0,0.03176449981446183,-0.09082156982385414,-0.010227509047309688,-0.0009444943994928821,-0.026169797908496828,0.02576571736539013,0.028350617176863428,-0.040704028718237376
0.018,0.00870676,-0.0959337,-0.00962837,-0.0162165,-0.118384,0.0154337,0.0249263,-0.0296138,0,0.0236850236752723,-0.08748644758091322,-0.008865141267190658,0.0018217135159066104,-0.12131267075161642,0.026577993251345633,0.03636995891883089,-0.03395826613612034
