Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,-0.0349704,-0.190146,0.00284216,0.0735498,0.110483,-0.0226567,0.072253,-0.0231132,0,-0.03328881362471231,-0.04680370760362064,0.022453202295546912,0.031807613637712694,0.05521726753292504,-0.006700224160061022,0.027729800333526438,-0.018453326706948405
0.001,-0.0190869,-0.170947,-0.00346278,0.057137,0.0301922,-0.0424715,0.0355413,-0.0245628,0,-0.016554688097319206,-0.03964573864021467,0.018237924723735505,0.01886607629086969,-0.01782068623856345,-0.029583823386074445,-0.002338567996209809,-0.02694374337565732
0.002,0.0210696,-0.145143,-0.0126024,0.0297641,-0.0343315,-0.0527742,0.0198973,-0.0256097,0,0.025450190995695295,-0.025807569987070064,0.010667477888310236,-0.006474102515052697,-0.08365920701532734,-0.04495513602996559,-0.015126129002260725,-0.031687333196896636
0.003,0.0732873,-0.113119,-0.0170184,-0.00115814,-0.0542392,-0.0448586,0.0197023,-0.0241671,0,0.07706032983421329,-0.00805596875663055,0.008460927355425883,-0.034566177610134606,-0.09316299638497631,-0.04055335650912818,-0.0083784117258824,-0.029408222024980953
0.004,0.109206,-0.073851,-0.0229906,-0.014321,-0.00362839,-0.0220088,0.00943482,-0.024835,0,0.1143801826104049,0.01703701023368837,0.004096895268913868,-0.046239516017886215,-0.03931470674302477,-0.021316993233324887,-0.015413329766113816,-0.024951550311495055
0.005,0.0719348,-0.0456608,-0.0330805,-0.00285506,0.0237,0.00643331,0.00190993,-0.0258908,0,0.0760927036797508,0.03139008451940109,-0.004049730407144255,-0.03262630804518747,0.0003065767429541004,0.004413694387197818,-0.017275543592743692,-0.01755205298509951
0.006,-0.028101,-0.046372,-0.0444975,0.0240656,-0.00044967,0.00969147,-0.00318746,-0.0237209,0,-0.022221659220973827,0.016780000497579026,-0.014022378580889634,-0.0046047826730853635,-0.017194422490782055,0.006925484801218086,-0.019676651252295226,-0.003892327029320966
0.007,-0.101991,-0.0436233,-0.0555301,0.0491854,-0.029074,0.0068005,-0.0153605,-0.0116975,0,-0.09588408929426735,0.008409317180412396,-0.02380081912827551,0.02215960291856417,-0.034347288116170584,0.002677266956464885,-0.028593022162525808,0.019814001437493463
0.008,-0.0797052,-0.0435677,-0.0562019,0.0533877,-0.0542095,0.00430803,-0.00871838,0.00233988,0,-0.0708527502195328,-0.0032143668976617676,-0.023362212918677627,0.027316994434376136,-0.052271479551232757,0.0024291919640822175,-0.020268301147961472,0.04588819611688271
0.009,0.00969439,-0.0514837,-0.0557183,0.0373897,-0.0598123,0.01068,0.0112413,0.00948951,0,0.0214887132897622,-0.01883498364929368,-0.022588472560587363,0.012684382256048635,-0.05015766257095457,0.008322680089121532,0.00040546483369808053,0.061719504243474874
