SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,55,52,54,81,59,81,86,60
0,48,64,42,71,67,77,83,48
0,41,72,46,71,69,60,76,38
0,37,66,51,59,70,55,70,38
0,44,82,49,64,70,54,59,38
0,58,81,58,63,67,61,49,40
0,56,83,64,67,62,59,33,33
0,59,67,58,75,54,62,20,29
0,60,54,61,78,47,44,19,32
0,68,50,56,91,46,43,29,35
0,73,46,56,83,48,27,44,41
0,82,46,58,81,45,29,63,42
0,86,42,53,86,54,34,71,49
0,84,44,48,84,62,34,73,58
0,81,46,42,82,67,39,68,65
0,81,59,35,68,65,41,68,70
0,72,60,34,56,65,42,54,61
0,69,57,35,52,63,40,46,56
0,53,60,42,49,65,30,48,52
0,53,63,53,46,73,41,46,53
0,64,62,66,56,66,42,53,49
0,72,59,64,62,56,49,51,47
0,79,52,61,66,43,47,39,40
0,73,54,58,68,48,39,38,35
0,64,48,66,68,47,38,41,30
0,63,48,63,78,53,30,52,38
0,58,44,58,82,60,29,68,50
0,61,49,50,75,61,27,69,48
0,56,50,39,54,58,30,64,47
0,52,51,40,43,52,30,53,45
0,56,39,38,45,51,43,46,47
0,52,37,46,57,46,41,50,47
0,50,40,55,54,49,43,60,51
0,57,52,60,46,43,44,56,44
0,62,51,69,46,37,45,48,42
0,63,48,67,55,35,51,41,34
0,68,47,61,58,29,49,34,28
0,65,59,52,64,36,45,31,28
0,71,66,45,65,36,37,45,25
0,75,63,42,75,33,33,53,35
0,76,49,45,74,35,41,61,51
0,73,53,41,60,26,38,63,56
0,71,52,35,48,26,35,58,51
0,67,57,33,40,29,33,50,47
0,64,52,36,52,36,33,53,48
0,59,61,34,45,38,37,51,52
0,53,68,41,55,43,33,51,53
0,57,72,56,58,32,34,50,53
0,57,63,62,60,35,35,49,44
0,73,55,68,51,33,42,51,43
0,81,52,62,47,42,42,51,35
0,74,47,63,54,46,37,50,37
0,75,50,62,74,60,33,47,28
0,66,41,57,77,60,35,52,35
0,60,39,45,74,56,40,66,34
0,57,37,44,49,48,39,62,40
0,58,45,39,32,46,37,65,38
0,66,49,37,30,38,42,56,35
0,61,51,41,46,40,45,53,46
0,53,52,42,52,38,48,62,55
0,49,60,52,55,32,40,57,60
0,52,67,62,46,32,44,53,53
0,62,56,63,36,34,32,40,48
0,64,44,54,42,51,46,37,40
0,61,30,46,42,50,43,37,36
0,70,29,42,62,43,43,41,31
0,78,28,48,68,39,35,48,25
0,81,31,50,69,42,35,52,30
0,70,38,52,56,53,38,65,44
0,67,44,45,45,60,37,56,48
0,69,44,42,38,63,39,49,51
0,75,46,39,58,50,32,42,45
0,74,35,47,66,47,34,45,36
0,73,37,60,69,46,30,52,39
0,71,50,61,55,41,30,50,47
0,75,53,62,48,38,30,54,54
0,71,46,59,41,38,37,46,49
0,66,43,57,35,47,41,42,35
0,57,41,54,49,49,42,42,29
0,57,45,44,60,45,39,49,27
0,67,38,41,74,33,43,57,26
0,70,40,38,76,42,49,66,35
0,67,48,37,63,48,49,67,37
0,66,53,36,56,47,53,66,44
0,61,57,37,44,39,44,66,46
0,55,55,30,46,37,45,58,49
0,55,54,37,57,37,35,45,48
0,42,57,44,65,34,37,36,51
0,43,57,52,62,35,30,33,54
0,46,63,57,42,32,30,46,48
0,42,59,57,34,40,37,51,46
0,54,58,62,33,42,43,46,36
0,64,49,60,53,37,41,37,31
0,77,54,55,64,35,35,30,32
0,83,51,48,76,31,28,42,32
0,79,47,41,90,37,34,55,37
0,71,27,36,81,38,41,65,48
0,66,29,36,67,44,49,58,48
0,60,38,31,50,41,49,47,49
0,65,57,33,42,41,49,51,43
0,62,65,36,47,40,43,62,52
0,62,61,42,46,52,41,62,54
0,71,62,50,46,53,31,63,54
0,67,56,52,45,53,26,58,40
0,65,48,50,46,52,34,57,34
0,63,44,43,50,47,38,43,34
0,70,40,56,54,40,43,37,33
0,77,49,46,62,39,38,36,32
0,83,45,47,76,41,46,51,30
0,82,41,44,76,48,44,61,37
0,67,40,43,61,49,43,60,43
0,67,48,37,48,45,35,52,52
0,63,54,37,35,34,34,52,47
0,66,49,41,27,37,35,53,49
0,68,41,49,40,41,37,48,44
0,62,40,44,50,44,37,39,45
0,69,48,42,53,39,34,37,50
0,69,56,43,51,35,27,43,45
