ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,26,26,32,38,40,47,50,34
0,22,28,23,34,43,46,43,29
0,19,31,22,27,43,35,36,25
0,18,31,22,23,39,27,28,24
0,27,33,23,19,36,25,27,21
0,29,31,29,20,32,24,22,21
0,35,27,29,21,31,30,18,19
0,35,23,33,24,29,27,12,19
0,34,21,34,25,26,23,13,23
0,36,25,36,30,23,24,15,22
0,31,25,30,35,22,24,21,21
0,38,25,26,41,23,25,32,21
0,44,22,22,49,30,23,36,19
0,47,20,25,51,33,19,38,23
0,46,19,24,44,36,15,33,28
0,45,18,24,28,29,15,33,29
0,38,20,22,18,25,19,27,27
0,33,19,20,15,19,21,24,29
0,19,23,27,16,28,22,22,31
0,19,23,34,17,39,22,20,32
0,19,26,33,21,40,20,23,34
0,25,21,29,20,33,23,21,28
0,24,19,21,18,19,24,19,23
0,25,20,20,22,21,25,17,14
0,22,26,18,29,20,25,21,14
0,27,26,21,39,27,21,32,17
0,30,24,19,40,33,16,39,23
0,31,22,17,35,33,16,41,25
0,28,25,15,27,31,16,36,27
0,23,24,19,20,26,19,32,28
0,21,20,20,17,19,22,25,27
0,23,18,18,21,20,19,30,25
0,20,19,22,19,19,25,28,30
0,27,23,28,20,19,26,28,28
0,32,24,29,14,15,27,27,27
0,35,23,27,17,14,25,22,22
0,41,26,21,20,14,28,17,18
0,40,29,18,22,17,25,13,17
0,46,32,15,32,19,27,18,16
0,48,36,15,35,19,24,26,19
0,44,27,18,37,19,28,33,22
0,31,27,16,30,16,23,32,25
0,25,25,17,26,14,18,30,22
0,28,21,15,18,14,18,26,25
0,25,18,16,22,14,19,24,23
0,24,16,19,17,14,20,22,27
0,22,22,27,21,15,17,21,27
0,24,29,35,21,14,15,19,29
0,29,26,43,25,14,20,26,25
0,38,20,38,24,15,25,36,19
0,46,19,31,18,17,24,38,17
0,42,19,27,24,16,24,31,14
0,40,23,26,36,15,16,25,15
0,29,20,24,48,15,16,25,12
0,28,25,19,47,18,19,32,14
0,24,26,19,33,20,17,33,14
0,28,29,17,21,17,17,31,12
0,30,28,16,16,12,18,24,19
0,29,28,17,19,14,16,26,27
0,29,23,21,21,15,17,30,33
0,29,22,21,23,16,14,27,38
0,33,22,30,20,14,16,26,32
0,34,19,30,18,15,17,21,25
0,39,17,32,19,19,19,17,17
0,37,14,19,17,21,20,17,18
0,49,18,19,26,20,21,19,20
0,50,20,22,38,18,18,28,19
0,43,22,25,44,22,20,33,24
0,38,24,23,42,26,16,42,24
0,33,27,18,34,27,17,35,26
0,36,27,15,23,23,18,30,23
0,42,24,13,27,16,19,29,21
0,40,23,15,26,20,23,25,16
0,37,24,22,29,15,20,28,18
0,31,29,25,23,18,23,27,27
0,28,26,29,19,17,23,24,31
0,31,21,28,19,20,22,22,29
0,30,18,21,21,24,21,21,20
0,27,16,21,24,22,21,23,17
0,23,19,19,24,22,19,27,17
0,28,18,18,32,20,19,30,15
0,30,17,14,36,23,19,41,22
0,29,20,15,34,25,15,41,22
0,25,23,16,25,30,14,30,25
0,27,25,20,16,27,13,31,21
0,26,23,18,15,22,14,24,23
0,26,20,22,15,22,16,22,28
0,22,22,24,25,18,18,21,32
0,24,21,28,28,22,16,20,36
0,24,24,32,26,19,17,24,31
0,25,21,33,20,22,16,25,31
0,24,22,38,21,20,17,22,26
0,34,19,38,24,17,19,18,20
0,31,20,31,29,17,18,14,14
0,35,16,28,39,18,17,19,10
0,38,20,18,44,17,20,31,12
0,37,19,17,42,20,20,38,16
0,37,18,15,30,18,18,38,19
0,31,19,16,24,17,18,27,19
0,25,19,18,21,15,20,27,20
0,26,21,18,26,11,25,27,24
0,31,19,25,27,15,24,29,31
0,40,20,37,24,17,20,22,31
0,42,20,40,26,20,16,24,25
0,37,22,38,26,20,14,22,18
0,34,21,32,28,19,14,22,13
0,31,18,39,27,16,16,19,15
0,35,22,33,31,14,19,24,21
0,39,23,28,39,14,21,33,19
0,37,26,22,39,25,23,39,20
0,32,26,19,35,27,22,38,18
0,27,31,16,26,29,19,32,20
0,32,33,17,15,22,14,22,18
0,32,35,19,16,28,13,22,18
0,35,36,21,16,29,13,22,21
0,34,26,18,16,30,17,22,22
0,33,24,19,15,28,17,21,25
0,35,21,19,13,26,19,23,24
