ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,32,27,26,25,41,44,42,29
0,25,30,28,24,44,35,39,28
0,27,30,33,21,39,35,38,25
0,32,31,39,21,29,32,32,22
0,41,30,36,15,31,32,26,24
0,52,40,39,17,34,29,20,26
0,49,44,39,18,36,34,17,24
0,49,52,39,22,39,29,20,22
0,44,54,38,27,33,30,22,18
0,44,43,30,29,27,30,28,20
0,38,36,28,32,32,33,33,25
0,34,31,21,35,37,28,43,30
0,30,33,19,29,39,29,42,28
0,28,33,15,23,34,39,44,31
0,22,33,17,20,29,41,38,31
0,18,29,20,13,32,41,38,33
0,18,28,26,15,36,34,34,32
0,23,28,30,14,36,30,34,25
0,27,25,31,16,34,25,31,21
0,31,29,37,17,29,18,23,19
0,31,33,37,19,29,16,19,19
0,30,34,38,26,28,15,22,23
0,33,32,28,30,23,15,24,20
0,33,25,23,32,26,16,33,17
0,32,28,19,34,26,19,32,18
0,31,27,20,28,24,20,31,24
0,35,29,18,25,18,25,29,28
0,37,22,14,21,19,32,26,36
0,29,21,15,21,21,31,32,38
0,29,18,19,23,24,27,33,41
0,32,21,26,20,25,18,28,37
0,36,21,28,25,27,13,20,32
0,36,20,30,33,25,17,18,25
0,39,18,25,33,19,17,16,24
0,29,18,25,31,15,22,20,17
0,30,21,23,24,13,20,24,20
0,19,21,22,20,20,22,32,20
0,18,26,27,19,21,26,37,25
0,23,27,23,16,22,20,33,28
0,29,26,23,16,17,23,27,33
0,34,23,25,17,12,25,27,31
0,29,26,25,17,18,30,25,32
0,30,29,27,17,23,28,30,33
0,33,30,25,18,27,27,27,33
0,31,27,30,18,30,26,29,25
0,32,28,34,17,30,21,22,17
0,26,26,35,16,33,20,17,17
0,30,30,29,16,31,19,19,18
0,25,27,24,22,31,20,24,17
0,26,26,17,34,26,23,29,19
0,21,22,17,41,33,17,32,18
0,24,26,15,38,27,16,28,22
0,31,27,13,28,25,18,25,20
0,30,25,15,18,17,25,19,25
0,28,21,19,19,15,26,22,24
0,23,18,21,18,18,26,18,30
0,24,19,35,21,29,25,26,35
0,27,25,36,21,31,24,26,36
0,30,27,32,21,38,18,22,32
0,32,27,24,21,30,24,20,24
0,35,24,25,20,26,20,18,15
0,35,22,27,21,23,23,20,15
0,26,20,26,23,21,21,23,15
0,28,22,28,35,22,24,25,19
0,23,19,29,39,25,23,32,23
0,28,22,29,40,29,23,34,22
0,28,19,24,28,26,25,31,23
0,31,21,23,24,28,27,27,26
0,31,18,19,21,29,30,19,29
0,23,24,18,21,32,27,18,36
0,25,23,20,24,33,19,23,32
0,26,25,22,25,29,17,23,28
0,28,21,24,23,25,18,23,21
0,26,24,23,20,23,23,18,15
0,28,21,21,23,22,21,18,16
0,27,21,19,26,20,18,19,15
0,25,20,16,31,22,19,26,13
0,23,25,13,31,18,18,36,13
0,22,27,14,29,24,24,39,13
0,28,28,17,28,22,23,33,14
0,32,23,24,29,26,22,21,17
0,30,21,26,30,29,18,17,27
0,25,15,25,32,27,18,18,33
0,19,18,24,24,24,21,15,38
0,18,15,26,24,16,21,15,32
0,19,23,27,21,18,20,14,28
0,19,27,23,19,22,20,19,20
0,18,26,21,23,26,18,21,17
0,18,21,19,25,29,16,22,13
0,18,21,20,26,26,21,18,16
0,19,23,21,34,22,20,20,17
0,21,25,21,28,20,19,22,19
0,23,24,22,30,18,13,26,24
0,24,26,19,24,20,15,24,24
0,25,25,18,19,22,17,24,26
0,21,24,18,20,23,20,21,26
0,22,22,16,23,22,21,21,32
0,18,23,18,25,24,24,23,36
0,23,24,20,26,26,22,22,42
0,24,20,27,24,25,20,23,38
0,23,21,30,21,25,16,22,31
0,23,26,34,20,26,17,22,26
0,20,28,29,17,27,21,18,18
0,22,33,26,20,28,21,21,14
0,25,28,20,31,23,21,20,13
0,31,26,14,31,27,19,24,15
0,31,22,17,30,28,17,23,16
0,28,24,16,19,30,18,23,18
0,23,28,18,19,28,17,20,22
0,18,31,14,19,24,19,22,32
0,19,28,18,18,22,18,19,36
0,19,25,22,15,24,17,20,33
0,28,21,25,17,26,16,17,28
0,27,22,23,16,27,19,15,25
0,25,23,26,20,27,14,16,20
0,19,30,25,18,26,16,17,16
0,18,32,25,22,23,16,18,11
0,23,31,20,26,22,20,18,13
