SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,73,56,67,60,76,79,59,72
0,69,50,65,55,70,84,64,58
0,63,57,70,59,63,92,70,52
0,54,54,62,68,64,86,80,52
0,54,62,62,69,75,78,72,51
0,58,69,60,60,78,60,69,51
0,71,76,65,54,77,51,54,42
0,73,78,68,55,71,44,44,38
0,77,73,67,58,68,50,50,37
0,82,57,64,62,74,45,58,40
0,86,55,59,68,70,53,67,46
0,80,44,56,72,63,57,67,50
0,67,52,56,70,64,67,67,55
0,55,60,59,59,63,72,62,54
0,59,57,54,53,58,70,63,54
0,62,59,49,48,57,71,58,50
0,69,56,47,44,60,59,61,54
0,67,65,48,39,61,50,67,59
0,64,63,56,43,63,44,63,62
0,65,61,57,59,55,56,55,57
0,69,68,63,71,49,64,49,44
0,81,70,69,82,41,62,39,31
0,76,66,69,83,40,46,45,30
0,83,73,72,78,41,51,49,32
0,84,66,64,80,41,56,54,41
0,79,58,55,79,47,63,63,50
0,76,50,46,62,52,60,56,53
0,65,45,48,48,60,64,54,54
0,63,58,52,48,61,72,54,60
0,60,58,60,49,66,67,54,56
0,61,66,65,51,65,71,62,65
0,62,63,56,51,63,62,69,64
0,63,63,59,41,60,53,66,60
0,63,62,58,57,58,56,65,49
0,62,62,62,55,64,47,45,37
0,69,73,60,62,65,47,43,32
0,73,77,54,75,64,51,52,36
0,64,71,56,85,59,54,66,35
0,52,59,54,93,53,53,78,42
0,43,48,56,85,49,58,74,51
0,46,53,48,71,53,52,67,57
0,47,47,41,56,54,61,55,57
0,44,44,35,45,57,52,54,56
0,34,53,40,41,69,47,59,62
0,34,54,51,45,77,45,70,69
0,53,66,62,36,70,42,67,71
