Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
8.052,0.0765972,0.237138,0.0289064,0.0606272,0.203667,-0.408214,0.00929945,0.893767,F2,0.0562218721267086,-0.1428581231252699,-0.0344881138025025,-0.0173205348631532,0.2748371582870466,-0.0673095458705238,-0.0274162920622462,0.244423269495665,0.0562218721267086,-0.1428581231252699,-0.0344881138025025,-0.0173205348631532,0.2748371582870466,-0.0673095458705238,-0.0274162920622462,0.244423269495665
8.053,0.0714933,0.231203,0.0251208,0.0355556,0.241942,-0.362298,-0.00752969,0.877898,0,0.0648699378720468,-0.1416322110678048,-0.0412745021627894,-0.026378396464117,0.3232289546015893,-0.0330132099789888,-0.0508749790155442,0.2350088437483643,0.0648699378720468,-0.1416322110678048,-0.0412745021627894,-0.026378396464117,0.3232289546015893,-0.0330132099789888,-0.0508749790155442,0.2350088437483643
8.054,0.0682473,0.233556,0.0239582,0.0181508,0.224626,-0.328997,-0.0139171,0.846624,0,0.076438821773989,-0.1297052106024716,-0.047900362050732,-0.030331837287803,0.3162319911042457,-0.0111380374541916,-0.0627684748974801,0.2157187145041486,0.076438821773989,-0.1297052106024716,-0.047900362050732,-0.030331837287803,0.3162319911042457,-0.0111380374541916,-0.0627684748974801,0.2157187145041486
8.055,0.072268,0.233054,0.0236264,-0.026505,0.165839,-0.302489,-0.0168998,0.802813,0,0.0927457013583271,-0.1176223692043799,-0.0500496369172548,-0.0613849621527104,0.2660029130811119,0.0035391062795651,-0.0718435885861748,0.1919828469946507,0.0927457013583271,-0.1176223692043799,-0.0500496369172548,-0.0613849621527104,0.2660029130811119,0.0035391062795651,-0.0718435885861748,0.1919828469946507
8.056,0.0640628,0.235705,0.0367453,-0.107698,0.0915768,-0.268497,-0.0289517,0.752589,0,0.0968905257911959,-0.1029041294011878,-0.0411767625695582,-0.1319718408282066,0.1995713782671624,0.0258040790799551,-0.0908819235487784,0.1679932747759648,0.0968905257911959,-0.1029041294011878,-0.0411767625695582,-0.1319718408282066,0.1995713782671624,0.0258040790799551,-0.0908819235487784,0.1679932747759648
8.057,0.0559915,0.242412,0.0528084,-0.16154,0.0251117,-0.228252,-0.0458607,0.694925,0,0.0983740401738355,-0.083700890342623,-0.0254701450793266,-0.1772856163464592,0.1365688020390071,0.0532866098210288,-0.1170345048079057,0.1448382280678269,0.0983740401738355,-0.083700890342623,-0.0254701450793266,-0.1772856163464592,0.1365688020390071,0.0532866098210288,-0.1170345048079057,0.1448382280678269
8.058,0.0261151,0.247534,0.0655717,-0.145947,-0.0411915,-0.181463,-0.0653618,0.6276,0,0.0776461604694863,-0.0693062327475974,-0.0149870313374178,-0.155659877679776,0.0723108376195138,0.0865696658612891,-0.1481454486801112,0.1169059753467581,0.0776461604694863,-0.0693062327475974,-0.0149870313374178,-0.155659877679776,0.0723108376195138,0.0865696658612891,-0.1481454486801112,0.1169059753467581
8.059,-0.00743189,0.254015,0.0696793,-0.135083,-0.0848405,-0.139993,-0.0776885,0.56296,0,0.0506068307246105,-0.0549750624834735,-0.0099196016288029,-0.142086542309713,0.024897317159769,0.1128078420101551,-0.1748487892303205,0.0973169403638817,0.0506068307246105,-0.0549750624834735,-0.0099196016288029,-0.142086542309713,0.024897317159769,0.1128078420101551,-0.1748487892303205,0.0973169403638817
8.06,-0.0410278,0.265085,0.0577511,-0.138969,-0.0944316,-0.10836,-0.0673921,0.505977,0,0.0231540792254439,-0.0405813960363003,-0.0217404289226354,-0.1445164992075714,0.0101369433984524,0.1273183333622476,-0.1813711352154455,0.0879585817949877,0.0231540792254439,-0.0405813960363003,-0.0217404289226354,-0.1445164992075714,0.0101369433984524,0.1273183333622476,-0.1813711352154455,0.0879585817949877
8.061,-0.0849977,0.267901,0.0462467,-0.129267,-0.104362,-0.0854234,-0.0334094,0.44742,0,-0.0166104216871951,-0.0359303222829872,-0.0315200410015057,-0.1364482219005387,-0.0101590449973574,0.1311972097738756,-0.1660433589062362,0.0781445571060498,-0.0166104216871951,-0.0359303222829872,-0.0315200410015057,-0.1364482219005387,-0.0101590449973574,0.1311972097738756,-0.1660433589062362,0.0781445571060498
