Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Filtered_Comp Ch 1,Filtered_Comp Ch 2,Filtered_Comp Ch 3,Filtered_Comp Ch 4,Filtered_Comp Ch 5,Filtered_Comp Ch 6,Filtered_Comp Ch 7,Filtered_Comp Ch 8,Filtered_Comp Ch 9,Filtered_Comp Ch 10,Filtered_Comp Ch 11,Filtered_Comp Ch 12,Filtered_Comp Ch 13,Filtered_Comp Ch 14,Filtered_Comp Ch 15,Filtered_Comp Ch 16,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG,Smoothed_Filtered_Comp Ch 1,Smoothed_Filtered_Comp Ch 2,Smoothed_Filtered_Comp Ch 3,Smoothed_Filtered_Comp Ch 4,Smoothed_Filtered_Comp Ch 5,Smoothed_Filtered_Comp Ch 6,Smoothed_Filtered_Comp Ch 7,Smoothed_Filtered_Comp Ch 8,Smoothed_Filtered_Comp Ch 9,Smoothed_Filtered_Comp Ch 10,Smoothed_Filtered_Comp Ch 11,Smoothed_Filtered_Comp Ch 12,Smoothed_Filtered_Comp Ch 13,Smoothed_Filtered_Comp Ch 14,Smoothed_Filtered_Comp Ch 15,Smoothed_Filtered_Comp Ch 16
7.125,-0.0827621,0.0784484,0.0320237,-0.373131,0.120546,-0.0775843,0.0380496,-0.153333,-0.0664962,0.0785331,0.00588932,-0.239058,0.0863355,-0.0617222,0.0454166,-0.172197,-0.0550551,0.00285238,-0.0648373,0.0125341,0.00707891,-0.0201464,0.0643675,-0.133619,F2,-0.0647809162206097,0.0161218519600309,-0.0533127913419717,-0.2484964175320065,-0.0442640990610536,-0.0319304338694065,0.0316600686176443,-0.1506489394785474,-0.0551008206713923,0.0127419803126786,-0.0680985777067523,-0.1434703282669087,-0.0750246606583827,0.0146582542370468,0.0514164614818033,-0.1306530830345931,-0.0490698671530539,0.0001309289665714,-0.064955931448366,0.129711425976206,-0.0217995838326888,0.0050729321088828,0.0577416946946733,-0.0858352683612125,-0.0647809162206097,0.0161218519600309,-0.0533127913419717,-0.2484964175320065,-0.0442640990610536,-0.0319304338694065,0.0316600686176443,-0.1506489394785474,-0.0551008206713923,0.0127419803126786,-0.0680985777067523,-0.1434703282669087,-0.0750246606583827,0.0146582542370468,0.0514164614818033,-0.1306530830345931,-0.0490698671530539,0.0001309289665714,-0.064955931448366,0.129711425976206,-0.0217995838326888,0.0050729321088828,0.0577416946946733,-0.0858352683612125
7.126,-0.0771872,0.0736017,0.0501081,-0.186528,0.10948,-0.095868,0.131886,-0.144298,-0.0676791,0.0671746,0.013592,-0.0644565,0.0803276,-0.11161,0.125451,-0.158677,-0.0538509,-0.00141671,-0.0601607,0.101159,0.000346453,-0.0574693,0.143113,-0.127114,0,-0.0596998317361026,0.016129163946078,-0.038823549483132,-0.075017116645618,-0.0427235790446727,-0.0432175457732717,0.1170787953688091,-0.1502035749747735,-0.0517231396818039,0.0059923570287353,-0.0610980275873457,-0.0041248081328991,-0.0791157728003005,-0.0148713995844954,0.1214299527081457,-0.131320073803136,-0.0475736732727422,-0.004745279961871,-0.0600019678170249,0.2013445156757837,-0.0375403858627273,-0.025891573117502,0.1302983854469991,-0.0883843651858354,-0.0596998317361026,0.016129163946078,-0.038823549483132,-0.075017116645618,-0.0427235790446727,-0.0432175457732717,0.1170787953688091,-0.1502035749747735,-0.0517231396818039,0.0059923570287353,-0.0610980275873457,-0.0041248081328991,-0.0791157728003005,-0.0148713995844954,0.1214299527081457,-0.131320073803136,-0.0475736732727422,-0.004745279961871,-0.0600019678170249,0.2013445156757837,-0.0375403858627273,-0.025891573117502,0.1302983854469991,-0.0883843651858354
7.127,-0.0609055,0.0633572,0.0692847,-0.21428,0.105271,-0.101828,0.209183,-0.13433,-0.0624087,0.0497276,0.0290039,-0.0854485,0.0842804,-0.147338,0.195236,-0.143869,-0.0498584,-0.0109749,-0.0476951,-0.0435957,0.00372493,-0.0811485,0.210123,-0.120704,0,-0.0477309992082433,0.011571404873166,-0.0213494342714963,-0.1569281349751623,-0.0338927151270356,-0.0402964645609496,0.186343112023076,-0.1457774382853995,-0.0455879940523016,-0.0057492904836384,-0.0466815525221066,-0.093544893608626,-0.0722802304632017,-0.034777279197666,0.1802546549850576,-0.1319596472357791,-0.0441932005586462,-0.0142765021718695,-0.0476158584783521,0.026902342967504,-0.0426009647735207,-0.0471821619355875,0.1924582622437384,-0.0919362103775314,-0.0477309992082433,0.011571404873166,-0.0213494342714963,-0.1569281349751623,-0.0338927151270356,-0.0402964645609496,0.186343112023076,-0.1457774382853995,-0.0455879940523016,-0.0057492904836384,-0.0466815525221066,-0.093544893608626,-0.0722802304632017,-0.034777279197666,0.1802546549850576,-0.1319596472357791,-0.0441932005586462,-0.0142765021718695,-0.0476158584783521,0.026902342967504,-0.0426009647735207,-0.0471821619355875,0.1924582622437384,-0.0919362103775314
7.128,-0.0610267,0.0676516,0.0885109,-0.562398,0.116166,-0.077969,0.141841,-0.117238,-0.0724696,0.0518884,0.0546568,-0.415686,0.106662,-0.120164,0.125665,-0.124532,-0.0584941,-0.000965424,-0.0251941,-0.46519,0.025612,-0.0418076,0.140057,-0.111902,0,-0.0488528651938477,0.0213457277680487,-0.0020617644620541,-0.5378637258347246,-0.0094511829031532,-0.0040557842677915,0.1158492011696868,-0.1327430987174064,-0.0519341451769918,0.0021550089126601,-0.0225446912190328,-0.4599744317584985,-0.0445460967029222,0.0044638535772914,0.1037284155347526,-0.1295176930489277,-0.0531258170505797,-0.0036422569905034,-0.0257900412199016,-0.4140938726547383,-0.0282768530696684,-0.0092844538197765,0.1186807306367593,-0.0933229393696829,-0.0488528651938477,0.0213457277680487,-0.0020617644620541,-0.5378637258347246,-0.0094511829031532,-0.0040557842677915,0.1158492011696868,-0.1327430987174064,-0.0519341451769918,0.0021550089126601,-0.0225446912190328,-0.4599744317584985,-0.0445460967029222,0.0044638535772914,0.1037284155347526,-0.1295176930489277,-0.0531258170505797,-0.0036422569905034,-0.0257900412199016,-0.4140938726547383,-0.0282768530696684,-0.0092844538197765,0.1186807306367593,-0.0933229393696829
7.129,-0.0277902,0.0737795,0.10405,-0.542839,0.124334,-0.0612083,0.0418024,-0.0898792,-0.0435711,0.0622013,0.0834739,-0.408932,0.129016,-0.0717506,0.0253186,-0.0964816,-0.0311537,0.0179665,0.000828959,-0.594349,0.0484234,0.0183902,0.0372841,-0.0952224,0,-0.0184700260746254,0.0338122066510231,0.0153907540191582,-0.6025685146220827,0.012830366149331,0.0289218317490146,0.0129003956356376,-0.1078770783250879,-0.0224066526570828,0.0193019757843179,0.0045542949104356,-0.5308803948438832,-0.0131884264403668,0.0616769238843155,-0.0038111932931307,-0.1179232086567807,-0.02641765302993,0.0164011003024194,-0.0008065842839892,-0.5755168632557333,-0.01009002332274,0.0468440929826182,0.0143417174743688,-0.0863489867624607,-0.0184700260746254,0.0338122066510231,0.0153907540191582,-0.6025685146220827,0.012830366149331,0.0289218317490146,0.0129003956356376,-0.1078770783250879,-0.0224066526570828,0.0193019757843179,0.0045542949104356,-0.5308803948438832,-0.0131884264403668,0.0616769238843155,-0.0038111932931307,-0.1179232086567807,-0.02641765302993,0.0164011003024194,-0.0008065842839892,-0.5755168632557333,-0.01009002332274,0.0468440929826182,0.0143417174743688,-0.0863489867624607
7.13,0.0197384,0.0686514,0.117663,-0.29143,0.115856,-0.0691225,-0.0239145,-0.0482245,0.00274896,0.0638818,0.110341,-0.241152,0.135338,-0.0532975,-0.0445161,-0.0524025,0.0156944,0.0279681,0.0248574,-0.519173,0.0554464,0.048515,-0.0323968,-0.0642619,0,0.0303578972651065,0.0344676145521796,0.0318674218016244,-0.4036433657017398,0.018532745672327,0.0409668955962031,-0.0513241289601408,-0.0695355138405121,0.0270968507169689,0.0274073165018953,0.0291049217448497,-0.3985057294859657,0.005958920114628,0.0867163929074561,-0.0762822280964447,-0.0903406752618825,0.0200605700195038,0.027789484393509,0.0215390431480133,-0.5189958602051259,-0.0050494803673191,0.0709468356455896,-0.0554283189917224,-0.0642263106769421,0.0303578972651065,0.0344676145521796,0.0318674218016244,-0.4036433657017398,0.018532745672327,0.0409668955962031,-0.0513241289601408,-0.0695355138405121,0.0270968507169689,0.0274073165018953,0.0291049217448497,-0.3985057294859657,0.005958920114628,0.0867163929074561,-0.0762822280964447,-0.0903406752618825,0.0200605700195038,0.027789484393509,0.0215390431480133,-0.5189958602051259,-0.0050494803673191,0.0709468356455896,-0.0554283189917224,-0.0642263106769421
7.131,0.0572052,0.0545436,0.128051,0.157016,0.0887944,-0.0861776,-0.0403564,0.0110614,0.0383708,0.0544821,0.130136,0.0898716,0.120324,-0.0741812,-0.0664618,0.0120589,0.049936,0.027583,0.0423509,-0.317687,0.0425588,0.0390308,-0.0567997,-0.0130641,0,0.0689226472272567,0.0268459315871496,0.046058015511496,-0.0528113780256308,0.0066670380338273,0.0471817696245867,-0.0674803224325825,-0.0144713883258172,0.0637451111450566,0.0252277667696041,0.0467143857200419,-0.1416921381221049,0.0086960269834466,0.0717312143431313,-0.1014853380424563,-0.0406790330185787,0.0542443242858437,0.0288627849321072,0.0372386899859929,-0.3446094368876142,-0.0159927325025058,0.0556470350573336,-0.0781759914632433,-0.0204604830739693,0.0689226472272567,0.0268459315871496,0.046058015511496,-0.0528113780256308,0.0066670380338273,0.0471817696245867,-0.0674803224325825,-0.0144713883258172,0.0637451111450566,0.0252277667696041,0.0467143857200419,-0.1416921381221049,0.0086960269834466,0.0717312143431313,-0.1014853380424563,-0.0406790330185787,0.0542443242858437,0.0288627849321072,0.0372386899859929,-0.3446094368876142,-0.0159927325025058,0.0556470350573336,-0.0781759914632433,-0.0204604830739693
7.132,0.0892053,0.0384637,0.133409,0.720361,0.0692871,-0.101029,-0.0467791,0.0708464,0.0674929,0.0398768,0.143144,0.571391,0.107351,-0.112349,-0.0707004,0.0767142,0.0792375,0.0212133,0.0532299,0.0757875,0.0324743,0.0121014,-0.060423,0.0371092,0,0.1058703810019254,0.0162888854854762,0.0549254658506495,0.4488922200258895,0.0027545431170154,0.0575764632192076,-0.0706460028530739,0.0378419276297248,0.0958898610877799,0.0168559305572478,0.0572620377267228,0.3060232642549025,0.0173628076943214,0.039921059474493,-0.1048792162219045,0.0099363541932551,0.0836149726988502,0.0237302008792503,0.0460031259779755,0.0332803118490401,-0.0210054154619904,0.023741816537705,-0.0792222705485292,0.0235966510993228,0.1058703810019254,0.0162888854854762,0.0549254658506495,0.4488922200258895,0.0027545431170154,0.0575764632192076,-0.0706460028530739,0.0378419276297248,0.0958898610877799,0.0168559305572478,0.0572620377267228,0.3060232642549025,0.0173628076943214,0.039921059474493,-0.1048792162219045,0.0099363541932551,0.0836149726988502,0.0237302008792503,0.0460031259779755,0.0332803118490401,-0.0210054154619904,0.023741816537705,-0.0792222705485292,0.0235966510993228
7.133,0.0673082,0.0243442,0.136475,1.14529,0.0620809,-0.132255,-0.0522955,0.126969,0.0446258,0.0271543,0.155923,0.978658,0.100284,-0.153267,-0.0612096,0.133776,0.0555107,0.0173598,0.0644745,0.376535,0.0300966,-0.0183589,-0.0532767,0.0802815,0,0.0892244158147292,0.0081941299120655,0.0611994770329656,0.7857769596803246,0.012791747837311,0.0519875127578728,-0.075999974136076,0.0836813884450834,0.0746970367557373,0.0107948166597092,0.0681433529245639,0.6519647683105647,0.0362066245016164,0.006905151270874,-0.0963070232735226,0.0550399801024719,0.0606763882715189,0.0207468312325619,0.0554378638965785,0.3168578328011087,-0.0152503833075003,-0.0087801992656329,-0.0690375524481533,0.0621000948377002,0.0892244158147292,0.0081941299120655,0.0611994770329656,0.7857769596803246,0.012791747837311,0.0519875127578728,-0.075999974136076,0.0836813884450834,0.0746970367557373,0.0107948166597092,0.0681433529245639,0.6519647683105647,0.0362066245016164,0.006905151270874,-0.0963070232735226,0.0550399801024719,0.0606763882715189,0.0207468312325619,0.0554378638965785,0.3168578328011087,-0.0152503833075003,-0.0087801992656329,-0.0690375524481533,0.0621000948377002
7.134,0.0232308,0.0127268,0.134665,1.60499,0.0591187,-0.168083,-0.0562623,0.177282,0.00609204,0.0201217,0.165333,1.45223,0.092867,-0.16777,-0.0446648,0.180399,0.017295,0.0181481,0.0727406,0.775052,0.0289073,-0.0223582,-0.0359459,0.112441,0,0.0527933176813197,0.0013819276657365,0.0613360590146206,1.1900564574861725,0.0281556585044743,0.0408470027357165,-0.0783786445808341,0.119460296754201,0.0391450067135599,0.0090317652388167,0.0759538171979927,1.0929985217485956,0.0571529705891414,0.0030000611001789,-0.07769284859285,0.0904957537088388,0.0231575167701067,0.0217974008948999,0.0620881748461399,0.7033025425927162,-0.0062010493708322,-0.0119016975844943,-0.048822084778905,0.0905677703292777,0.0527933176813197,0.0013819276657365,0.0613360590146206,1.1900564574861725,0.0281556585044743,0.0408470027357165,-0.0783786445808341,0.119460296754201,0.0391450067135599,0.0090317652388167,0.0759538171979927,1.0929985217485956,0.0571529705891414,0.0030000611001789,-0.07769284859285,0.0904957537088388,0.0231575167701067,0.0217974008948999,0.0620881748461399,0.7033025425927162,-0.0062010493708322,-0.0119016975844943,-0.048822084778905,0.0905677703292777
