Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
7.632,-0.667083,0.0195624,0.00541315,0.125282,0.0573102,0.00245061,-0.10065,0.688836,F1,-0.1075364028844304,0.0028701166679044,0.0471860759834732,-0.078832265498245,-0.0601951993052074,-0.0261595230877251,-0.0769772884244536,0.1053606526545048,-0.1075364028844304,0.0028701166679044,0.0471860759834732,-0.078832265498245,-0.0601951993052074,-0.0261595230877251,-0.0769772884244536,0.1053606526545048
7.633,-0.713449,0.0234688,0.0217742,0.105389,0.0608596,0.0214119,-0.108078,0.773787,0,-0.1266853742359004,-0.0002481863929907,0.0730416759314908,-0.0949686310402847,-0.0439929435787809,-0.008562372040431,-0.0810586315058752,0.1824973843619818,-0.1266853742359004,-0.0002481863929907,0.0730416759314908,-0.0949686310402847,-0.0439929435787809,-0.008562372040431,-0.0810586315058752,0.1824973843619818
7.634,-0.776142,0.0273774,0.0296035,0.0957475,0.0534395,0.0440932,-0.0810304,0.867342,0,-0.168120083665137,-0.0034388733635577,0.085696884732595,-0.1087982268094465,-0.0304463442023344,0.0086043814329478,-0.0562331331388265,0.2635833110725375,-0.168120083665137,-0.0034388733635577,0.085696884732595,-0.1087982268094465,-0.0304463442023344,0.0086043814329478,-0.0562331331388265,0.2635833110725375
7.635,-0.798328,0.0298304,0.020085,0.10775,0.0330477,0.0456849,-0.0450344,0.942476,0,-0.17317359937246,-0.0068609202077831,0.0824167786248578,-0.0926792869591052,-0.0410577450716884,0.0101045393116376,-0.0161243556982635,0.3320519525019015,-0.17317359937246,-0.0068609202077831,0.0824167786248578,-0.0926792869591052,-0.0410577450716884,0.0101045393116376,-0.0161243556982635,0.3320519525019015
7.636,-0.781682,0.0331205,0.00986222,0.185736,-0.0238748,0.0609604,0.000499921,1.04406,0,-0.1441281051885831,-0.0081145089423023,0.0717674577844992,-0.0185989896302053,-0.0781490455327096,0.020836279557142,0.0261597418665662,0.4232207318433387,-0.1441281051885831,-0.0081145089423023,0.0717674577844992,-0.0185989896302053,-0.0781490455327096,0.020836279557142,0.0261597418665662,0.4232207318433387
7.637,-0.812295,0.0370946,-0.0235561,0.22208,-0.0161509,0.063789,0.012762,1.10563,0,-0.1644966155013906,-0.0068845674763497,0.0394578024375727,0.0231067556639341,-0.0619884184245491,0.0245955655270319,0.0427083764039762,0.4716842966311554,-0.1644966155013906,-0.0068845674763497,0.0394578024375727,0.0231067556639341,-0.0619884184245491,0.0245955655270319,0.0427083764039762,0.4716842966311554
7.638,-0.845608,0.0366528,-0.0412446,0.234204,-0.00877695,0.0763962,0.026711,1.08724,0,-0.1905724708066977,-0.0079855281741879,0.0161510566284928,0.0337772102139394,-0.0359255077709759,0.0337457751675858,0.0530404447945909,0.4406059453367933,-0.1905724708066977,-0.0079855281741879,0.0161510566284928,0.0337772102139394,-0.0359255077709759,0.0337457751675858,0.0530404447945909,0.4406059453367933
7.639,-0.850985,0.0359403,-0.055132,0.23237,0.00742516,0.0887962,0.0143536,0.914096,0,-0.18913101422089,-0.0077323491048344,-0.0004920218430992,0.0394640572046398,-0.0110606127263069,0.0475638549652271,0.0444204554995023,0.2462162452171365,-0.18913101422089,-0.0077323491048344,-0.0004920218430992,0.0394640572046398,-0.0110606127263069,0.0475638549652271,0.0444204554995023,0.2462162452171365
7.64,-0.845479,0.0378231,-0.0564015,0.219165,0.0197314,0.0966335,-0.00356445,0.752664,0,-0.1785402920968992,-0.0030232521257104,-0.0094567650096631,0.028752305823337,0.0185824720917395,0.0528975569729451,0.0231445813229946,0.0704615431560751,-0.1785402920968992,-0.0030232521257104,-0.0094567650096631,0.028752305823337,0.0185824720917395,0.0528975569729451,0.0231445813229946,0.0704615431560751
7.641,-0.830417,0.0348287,-0.0517332,0.20117,0.0129623,0.101153,-0.00628016,0.754838,0,-0.1583622014427741,-0.00243777393087,-0.0077373109007186,0.0205598680909631,0.0215411000283816,0.0587781931390154,0.0230091459462665,0.0488391625684905,-0.1583622014427741,-0.00243777393087,-0.0077373109007186,0.0205598680909631,0.0215411000283816,0.0587781931390154,0.0230091459462665,0.0488391625684905
