Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.0,-0.0349704,-0.190146,0.00284216,0.0735498,0.110483,-0.0226567,0.072253,-0.0231132,0,-0.0332888136247123,-0.0468037076036206,0.0224532022955469,0.0318076136377126,0.055217267532925,-0.006700224160061,0.0277298003335264,-0.0184533267069484,-0.0332888136247123,-0.0468037076036206,0.0224532022955469,0.0318076136377126,0.055217267532925,-0.006700224160061,0.0277298003335264,-0.0184533267069484
0.001,-0.0190869,-0.170947,-0.00346278,0.057137,0.0301922,-0.0424715,0.0355413,-0.0245628,0,-0.0165546880973192,-0.0396457386402146,0.0182379247237355,0.0188660762908696,-0.0178206862385634,-0.0295838233860744,-0.0023385679962098,-0.0269437433756573,-0.0165546880973192,-0.0396457386402146,0.0182379247237355,0.0188660762908696,-0.0178206862385634,-0.0295838233860744,-0.0023385679962098,-0.0269437433756573
0.002,0.0210696,-0.145143,-0.0126024,0.0297641,-0.0343315,-0.0527742,0.0198973,-0.0256097,0,0.0254501909956952,-0.02580756998707,0.0106674778883102,-0.0064741025150526,-0.0836592070153273,-0.0449551360299655,-0.0151261290022607,-0.0316873331968966,0.0254501909956952,-0.02580756998707,0.0106674778883102,-0.0064741025150526,-0.0836592070153273,-0.0449551360299655,-0.0151261290022607,-0.0316873331968966
0.003,0.0732873,-0.113119,-0.0170184,-0.00115814,-0.0542392,-0.0448586,0.0197023,-0.0241671,0,0.0770603298342132,-0.0080559687566305,0.0084609273554258,-0.0345661776101346,-0.0931629963849763,-0.0405533565091281,-0.0083784117258824,-0.0294082220249809,0.0770603298342132,-0.0080559687566305,0.0084609273554258,-0.0345661776101346,-0.0931629963849763,-0.0405533565091281,-0.0083784117258824,-0.0294082220249809
0.004,0.109206,-0.073851,-0.0229906,-0.014321,-0.00362839,-0.0220088,0.00943482,-0.024835,0,0.1143801826104049,0.0170370102336883,0.0040968952689138,-0.0462395160178862,-0.0393147067430247,-0.0213169932333248,-0.0154133297661138,-0.024951550311495,0.1143801826104049,0.0170370102336883,0.0040968952689138,-0.0462395160178862,-0.0393147067430247,-0.0213169932333248,-0.0154133297661138,-0.024951550311495
0.005,0.0719348,-0.0456608,-0.0330805,-0.00285506,0.0237,0.00643331,0.00190993,-0.0258908,0,0.0760927036797508,0.031390084519401,-0.0040497304071442,-0.0326263080451874,0.0003065767429541,0.0044136943871978,-0.0172755435927436,-0.0175520529850995,0.0760927036797508,0.031390084519401,-0.0040497304071442,-0.0326263080451874,0.0003065767429541,0.0044136943871978,-0.0172755435927436,-0.0175520529850995
0.006,-0.028101,-0.046372,-0.0444975,0.0240656,-0.00044967,0.00969147,-0.00318746,-0.0237209,0,-0.0222216592209738,0.016780000497579,-0.0140223785808896,-0.0046047826730853,-0.017194422490782,0.006925484801218,-0.0196766512522952,-0.0038923270293209,-0.0222216592209738,0.016780000497579,-0.0140223785808896,-0.0046047826730853,-0.017194422490782,0.006925484801218,-0.0196766512522952,-0.0038923270293209
0.007,-0.101991,-0.0436233,-0.0555301,0.0491854,-0.029074,0.0068005,-0.0153605,-0.0116975,0,-0.0958840892942673,0.0084093171804123,-0.0238008191282755,0.0221596029185641,-0.0343472881161705,0.0026772669564648,-0.0285930221625258,0.0198140014374934,-0.0958840892942673,0.0084093171804123,-0.0238008191282755,0.0221596029185641,-0.0343472881161705,0.0026772669564648,-0.0285930221625258,0.0198140014374934
0.008,-0.0797052,-0.0435677,-0.0562019,0.0533877,-0.0542095,0.00430803,-0.00871838,0.00233988,0,-0.0708527502195328,-0.0032143668976617,-0.0233622129186776,0.0273169944343761,-0.0522714795512327,0.0024291919640822,-0.0202683011479614,0.0458881961168827,-0.0708527502195328,-0.0032143668976617,-0.0233622129186776,0.0273169944343761,-0.0522714795512327,0.0024291919640822,-0.0202683011479614,0.0458881961168827
0.009,0.00969439,-0.0514837,-0.0557183,0.0373897,-0.0598123,0.01068,0.0112413,0.00948951,0,0.0214887132897622,-0.0188349836492936,-0.0225884725605873,0.0126843822560486,-0.0501576625709545,0.0083226800891215,0.000405464833698,0.0617195042434748,0.0214887132897622,-0.0188349836492936,-0.0225884725605873,0.0126843822560486,-0.0501576625709545,0.0083226800891215,0.000405464833698,0.0617195042434748
