Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,-0.00107165,-0.0036309,-0.00135432,-0.000934492,-0.031846,0.000251116,0.00119734,-0.00441137,
0.001,-0.00441101,0.00157965,-0.00187104,-0.00390927,-0.0228089,0.00106867,-0.000666792,-0.0067257,
0.002,-0.0150124,0.00338607,-0.00162169,-0.0120903,-0.0119881,0.00256043,-0.000135167,0.0146305,
0.003,-0.0197301,0.00578751,-5.79e-06,-0.0204335,-0.00184628,0.00249514,0.000330844,-0.00119556,
0.004,-0.0122461,0.0079731,-0.000769187,-0.00616082,-0.000170038,0.00179768,2.78e-05,-0.015625,
0.005,2.3e-05,0.0113708,-0.00145076,-0.000158851,-0.000843255,0.0033961,-0.000935283,-0.0251802,
0.006,0.00922453,0.0171995,6.96e-05,0.010711,-0.000700731,0.00341665,-0.00387528,-0.0346975,
0.007,0.00932448,0.0208187,0.000639887,0.0164679,-0.00269013,0.00278603,-0.00636656,-0.0440904,
0.008,0.0079553,0.0217905,-0.000322505,0.0142224,-0.0015389,0.00443402,-0.00632215,-0.0426556,
0.009,0.0131237,0.021175,-0.000471952,0.00651415,0.000183643,0.00519698,-0.0062167,-0.0297664,
0.01,0.0167921,0.0241562,-0.00275375,0.00549984,0.000258205,0.00589873,-0.00393214,-0.0177384,
0.011,0.01063,0.0259528,-0.00260173,0.00317601,-0.00108778,0.00724949,0.000211576,-0.0143456,
0.012,0.00384145,0.0259989,-0.00106193,0.00682811,-0.000103201,0.00914664,-0.000454931,-0.0177107,
0.013,0.00507293,0.0238221,-0.00259061,0.00992805,4.73e-05,0.010788,0.00253322,-0.0148205,
0.014,0.00611829,0.0218688,-0.00320714,0.00472923,0.00443729,0.0121924,0.00793551,-0.00372762,
0.015,0.00770119,0.0201204,-0.00444867,0.0023423,0.0117327,0.013378,0.00899257,0.00796151,
0.016,0.00689759,0.0185591,-0.00621695,0.0031069,0.0179225,0.0122361,0.00700238,0.013684,
0.017,0.00545977,0.0200027,-0.00629673,0.00374562,0.0124735,0.0119297,0.00594423,-0.019796,
0.018,0.00561201,0.0204758,-0.00633629,0.00497781,0.003416,0.0123433,0.00498825,-0.0421247,
0.019,0.00642305,0.0172701,-0.00704766,0.00387531,0.00195392,0.0140792,0.00483569,-0.0376353,
0.02,0.00920996,0.0144606,-0.00762138,0.00360351,0.00350623,0.0133935,0.00466687,-0.0284863,
0.021,0.0115472,0.0148478,-0.0087779,0.00404881,0.00339047,0.0127494,0.00306719,-0.0224783,
0.022,0.0099309,0.0172742,-0.00759019,0.00652391,0.00396282,0.0128518,-0.00187788,-0.0170965,
