Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,0.429318,0.174366,-2.01292,-0.250173,0.117289,1.08085,0.0805574,-0.216051,
0.001,0.411718,0.25191,-1.80906,-0.0236791,0.0503924,1.04244,0.120196,-0.277302,
0.002,0.398455,0.331594,-1.5817,0.185207,-0.0580962,0.99534,0.157708,-0.328761,
0.003,0.369083,0.415833,-1.36673,0.36079,-0.185196,0.940155,0.185238,-0.360619,
0.004,0.313927,0.432955,-1.23471,0.489777,-0.266267,0.876794,0.193966,-0.386541,
0.005,0.249688,0.442223,-1.1912,0.578801,-0.317542,0.813055,0.204794,-0.40985,
0.006,0.189432,0.430294,-1.14528,0.629639,-0.355381,0.739381,0.227207,-0.424198,
0.007,0.120312,0.345474,-1.06116,0.650513,-0.367772,0.649762,0.257226,-0.434827,
0.008,0.0193137,0.231015,-0.899136,0.646635,-0.403376,0.552648,0.292765,-0.429274,
0.009,0.0036453,0.1096,-0.671767,0.61279,-0.435196,0.446905,0.333381,-0.423867,
0.01,-0.0481894,-0.00904782,-0.413176,0.563173,-0.442108,0.342995,0.377929,-0.415657,
0.011,-0.081143,-0.106626,-0.136105,0.488907,-0.497526,0.254201,0.418998,-0.380178,
0.012,-0.121614,-0.18452,0.141144,0.388244,-0.550196,0.169184,0.453759,-0.343348,
0.013,-0.175983,-0.261785,0.268097,0.313784,-0.483696,0.0937532,0.476275,-0.299892,
0.014,-0.219852,-0.303807,-0.0933437,0.285131,-0.349669,0.0264757,0.473028,-0.253124,
0.015,-0.217395,-0.334192,-0.50112,0.279825,-0.271175,-0.0388905,0.445345,-0.208777,
0.016,-0.211829,-0.364872,-0.327255,0.300981,-0.513906,-0.102767,0.410171,-0.175323,
0.017,-0.236171,-0.382733,-0.0169978,0.334041,-0.759107,-0.159843,0.385019,-0.135887,
0.018,-0.239249,-0.377995,0.274975,0.340839,-0.671801,-0.198494,0.378519,-0.082369,
0.019,-0.221081,-0.355888,0.489149,0.330518,-0.545102,-0.22657,0.375982,-0.0405167,
0.02,-0.214459,-0.340917,0.592562,0.311106,-0.466159,-0.250915,0.366133,-0.0175482,
0.021,-0.261715,-0.359091,0.608049,0.281808,-0.473542,-0.297291,0.347116,0.00102063,
0.022,-0.273431,-0.404899,0.585792,0.259037,-0.396392,-0.330295,0.316705,0.0255737,
0.023,-0.229549,-0.481837,0.564408,0.243422,-0.228522,-0.33583,0.285134,0.0565082,
0.024,-0.196881,-0.592628,0.541035,0.221988,-0.230413,-0.313318,0.253445,0.0799217,
0.025,-0.224403,-0.700318,0.526688,0.20061,-0.335975,-0.258258,0.223962,0.0916898,
0.026,-0.246803,-0.785811,0.517319,0.186484,-0.317282,-0.179821,0.194424,0.101817,
0.027,-0.203592,-0.844864,0.496646,0.186457,-0.167486,-0.0818828,0.161476,0.106892,
0.028,-0.17855,-0.901661,0.462079,0.177968,-0.010813,-0.00907426,0.12935,0.10614,
0.029,-0.164365,-0.952948,0.401593,0.15582,0.109356,0.030809,0.108068,0.106031,
0.03,-0.145438,-0.989576,0.335532,0.124163,0.206939,0.0532925,0.0863426,0.115675,
0.031,-0.138834,-1.01724,0.429571,0.0873716,0.281335,0.0768508,0.0643735,0.13575,
0.032,-0.049337,-1.02461,0.616039,0.0513929,0.319462,0.0890537,0.0515547,0.147613,
