Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,0.277372,1.0415,0.0344204,-0.161395,-0.144056,-0.102676,0.0270294,0.285791,0,0.17986783575401524,0.34149196350112937,0.3107101893737259,-0.022961995704565617,-0.0902677457472896,-0.02450299865360506,-0.07105078607923675,0.008622375572795035
0.001,0.259302,0.939657,-0.0290327,-0.148479,-0.223119,-0.103009,0.0699719,0.309392,0,0.1813456025442618,0.2983238648247693,0.2884807190878454,-0.014005650084836221,-0.1679141729224216,-0.031129454894205193,-0.03992379009252845,0.042090621242872
0.002,0.200983,0.874117,-0.168498,-0.139222,-0.0226209,-0.131053,0.111441,0.377266,0,0.1514207829055127,0.2764426657720721,0.18932146588734783,-0.008933506397061811,0.013110719775856736,-0.06739261505483357,-0.0034335385322758864,0.11684080007076046
0.003,0.153055,0.789122,-0.2865,-0.133843,0.159144,-0.159304,0.16401,0.406774,0,0.1282241470984403,0.25392062550818734,0.10645397602490526,-0.00847482013739613,0.1995620221836587,-0.10183682784271264,0.03779736217815482,0.15628282823512354
0.004,0.0860945,0.705554,-0.358714,-0.122582,0.115556,-0.137841,0.200141,0.402842,0,0.09480075384630758,0.21973597692901567,0.06586029256131519,-0.0029062820099731088,0.1415013874936174,-0.08840637197093607,0.0694833908037163,0.16128012101953346
0.005,0.0054094,0.598186,-0.414147,-0.113379,-0.00779492,-0.128235,0.204033,0.406141,0,0.0411998351510262,0.17817398671416368,0.03713633100729096,0.0005149577859674482,0.02368647128034715,-0.08514813471277802,0.0635193652277129,0.17606524583525052
0.006,-0.0942117,0.46465,-0.474382,-0.103141,-0.156289,-0.107624,0.17864,0.436763,0,-0.02434950296935732,0.10066905455622592,-0.0009590420914858816,0.003781065901804312,-0.13587075971921178,-0.07241507484823381,0.03423136710173386,0.21924891623766593
0.007,-0.18235,0.322299,-0.557954,-0.0920484,-0.249299,-0.0656261,0.17495,0.44377,0,-0.08741632800944468,0.026152230909573027,-0.06459429868557323,0.008476235636452814,-0.22586211984026544,-0.037411072809488376,0.022613551480375124,0.24053489234290176
0.008,-0.259786,0.183364,-0.652265,-0.0795541,-0.190179,-0.0175781,0.193486,0.397628,0,-0.13544460775489606,-0.051205412282335494,-0.143129005216985,0.013176192954195518,-0.17725952996202196,0.0026345355051017663,0.03755067134066151,0.2108505988801987
0.009,-0.317344,0.043521,-0.73004,-0.0715839,-0.11095,0.0118978,0.206166,0.328635,0,-0.17370192665097878,-0.1236198378857006,-0.20356506715919856,0.014357730469950638,-0.10001054854939266,0.024062012793119657,0.044122246596926006,0.1591156931994687
0.01,-0.338774,-0.0718651,-0.786317,-0.0647025,-0.0334683,-0.0202213,0.201588,0.251063,0,-0.17383528378315047,-0.17495086673927443,-0.24563012873042656,0.013075593238254848,-0.03451272431717209,-0.01642625141420674,0.0359476953440505,0.10038493405691493
