Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,0.225012,-0.148709,-0.0634059,-0.695954,0.0299928,-0.765485,-0.0250088,0.164687,0,0.0013214567276196348,0.04986211189504348,-0.004439876992905464,-0.007110667931830408,-0.07467172970246228,-0.08483151077617546,0.085369024050966,0.07259106911748976
0.001,0.222851,-0.166311,-0.0466004,-0.726116,-0.00304075,-0.812407,-0.0739898,0.178821,0,0.004925918815418991,0.035309139151902334,0.04531167429431179,-0.04123116347405446,-0.12079231036805661,-0.17879867075811545,0.04405932734033715,0.09028361562437698
0.002,0.23058,-0.170232,-0.0146241,-0.744915,-0.0550037,-0.89191,-0.133257,0.186437,0,0.018477623957479154,0.03212090392291418,0.1267915166791017,-0.07153588888314062,-0.18157803243784323,-0.3098064813136563,-0.01117022824294123,0.10597153346754021
0.003,0.240321,-0.143163,-0.0378581,-0.749325,-0.067534,-0.952469,-0.199415,0.181231,0,0.03540899379028125,0.06568636376826825,0.1427739891508443,-0.08589180907655727,-0.20861124428717873,-0.42392277957477087,-0.06806981526286693,0.10948730265631691
0.004,0.230387,-0.0945526,-0.224636,-0.731185,-0.0353094,-0.959754,-0.261668,0.142287,0,0.03320051717756932,0.11745245804324414,0.010791549917946626,-0.08354968890747323,-0.18671468702348637,-0.4884281397531045,-0.12642001812523385,0.08322695274713487
0.005,0.184391,-0.0950885,-0.345177,-0.695002,-0.00515734,-0.895969,-0.314979,0.0866084,0,-0.0030512219084240667,0.12586858951709295,-0.07350761831973976,-0.06070897294263214,-0.17490301582015472,-0.4815542377544701,-0.17383168118932482,0.040261775809222404
0.006,0.153715,-0.128743,-0.354352,-0.651903,-0.0308793,-0.806636,-0.360026,0.0396408,0,-0.02335626062178398,0.0959344300803558,-0.03177273122482391,-0.033935064522799624,-0.21508700110560175,-0.4528252924465466,-0.21946983383572222,0.008007979381532096
0.007,0.134335,-0.116214,-0.319804,-0.624299,-0.0336429,-0.760985,-0.366988,0.00906813,0,-0.02972386499975691,0.11694817713424144,0.029285476220458025,-0.019498080902087732,-0.2406763840276621,-0.46457110395632906,-0.22848291421873335,-0.009385251558693044
0.008,0.0808871,-0.0717732,-0.317205,-0.590994,0.00751523,-0.693598,-0.297742,-0.0184567,0,-0.07010662914363393,0.16251699060607763,0.07395977467071865,0.0003423719258927767,-0.2185036582532691,-0.45948872936508145,-0.16728562852249113,-0.024078151347668077
0.009,0.0792894,-0.0944322,-0.220904,-0.550068,0.0875955,-0.607119,-0.181758,-0.0502016,0,-0.05555018445127952,0.14437644251328358,0.18620740615732703,0.030752728093670245,-0.16375825194168578,-0.4291427398194787,-0.0631609623205594,-0.046249794533028216
0.01,0.110313,-0.198073,-0.0276177,-0.511281,0.142416,-0.555735,-0.0604545,-0.0895496,0,-0.009540694877960387,0.036464791040544633,0.4139368412662862,0.060034141180318946,-0.13003787432302877,-0.4409303405003272,0.04276584423006084,-0.07781658139562149
0.011,0.115291,-0.338659,0.206495,-0.467447,0.243698,-0.530582,0.0459873,-0.1195,0,0.013736589038959298,-0.1059478891400553,0.6586045864185979,0.09592121664290815,-0.05250677795120933,-0.4701641308916582,0.12942186039849263,-0.10430336926718807
0.012,0.178515,-0.407034,0.447492,-0.447142,0.458469,-0.560641,0.12169,-0.138938,0,0.09255825144025051,-0.18498882319837656,0.9321229861812342,0.10879570987662089,0.1433021253347562,-0.5637906210414105,0.18558588584233163,-0.12172880629935018
0.013,0.237477,-0.411771,0.533511,-0.445038,0.622396,-0.481224,0.164556,-0.163283,0,0.17046733348822335,-0.19797489369993085,1.0311878268317876,0.10283673207053289,0.2895328367324428,-0.5372318692787067,0.20538287856852863,-0.1483383526802568
0.014,0.260297,-0.381351,0.258381,-0.435833,0.597094,-0.125183,0.175882,-0.166095,0,0.20817797117624068,-0.18312138158134814,0.792457383840769,0.10273333770353468,0.2515445018379122,-0.24415708402435587,0.19744999293695759,-0.1527416722137142
0.015,0.260194,-0.34063,-0.033714,-0.426835,0.527827,0.197691,0.166266,-0.144616,0,0.22623945756728142,-0.15473449578868625,0.5213718479772178,0.09969784415567101,0.17338363321726455,0.027558283277823198,0.16655636709129593,-0.13619015245377245
0.016,0.20625,-0.277116,-0.279777,-0.423634,0.564956,0.444542,0.140066,-0.130694,0,0.1856552773890997,-0.10837076643418438,0.3168146479468434,0.0877916401219812,0.2060826628225137,0.2143926119813781,0.12468658096166628,-0.12354857580614129
0.017,0.156614,-0.211432,-0.486073,-0.436664,0.584886,0.666886,0.104727,-0.114156,0,0.15251645773800485,-0.055647666177281854,0.13880456960688792,0.05590894717592107,0.22566470376466377,0.38859305916272247,0.07295035720332335,-0.11049058378265955
0.018,0.129487,-0.187602,-0.631365,-0.467683,0.522349,0.859663,0.0596702,-0.109646,0,0.13716313394741508,-0.04717788181011098,0.035044772356449844,0.0022507998990310973,0.16608785663707704,0.5277895747129934,0.016250252881266247,-0.1034124601780605
0.019,0.0397564,-0.190063,-0.776481,-0.466321,0.476289,1.00099,0.000243947,-0.0949618,0,0.062163948749295726,-0.06057174228864696,-0.08153867872473436,-0.02222411558458376,0.125398866855453,0.6263028676835708,-0.054865207373617594,-0.0878273750890809
0.02,-0.061362,-0.191007,-0.987958,-0.413538,0.460276,1.09935,-0.0830876,-0.0751541,0,-0.028124178304985946,-0.07346705349461025,-0.2610655915898209,0.0018669665064724936,0.11681605618023258,0.6812663139188802,-0.14838503474406872,-0.060415455574356215
