ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,51,20,30,18,40,25,29,38
0,48,22,32,25,42,24,25,33
0,46,34,26,27,42,20,23,29
0,41,35,24,29,37,20,20,33
0,53,37,26,28,36,19,17,33
0,54,35,29,20,40,20,16,26
0,52,35,29,21,40,18,19,21
0,49,30,28,29,43,19,22,16
0,51,25,25,37,47,24,28,21
0,49,25,24,36,50,27,33,23
0,52,22,26,32,49,26,32,24
0,49,20,24,26,47,31,33,20
0,53,18,19,25,47,31,31,20
0,48,20,16,21,54,40,29,23
0,50,18,19,24,51,40,28,26
0,48,20,22,26,49,32,27,35
0,48,21,27,20,41,24,26,32
0,40,24,27,19,39,16,26,30
0,42,25,26,20,38,16,20,23
0,41,25,25,20,40,16,20,20
0,40,25,23,28,40,17,24,19
0,40,24,24,28,41,22,26,20
0,36,25,22,27,46,23,27,27
0,43,22,16,23,44,24,29,26
0,51,22,13,23,40,24,28,30
0,67,23,14,22,32,24,32,34
0,55,20,15,25,31,25,26,33
0,50,20,21,23,26,22,22,39
0,47,19,23,27,25,20,18,34
0,46,26,28,23,29,21,21,30
0,53,24,28,27,34,19,21,24
0,54,28,28,31,38,17,20,19
0,53,23,26,26,33,19,17,17
0,48,22,26,22,27,19,20,23
0,41,22,28,24,28,20,19,22
0,36,19,24,26,33,29,24,24
0,36,20,21,27,41,28,24,21
0,40,18,20,22,40,30,27,19
0,32,14,18,15,37,25,28,24
0,37,14,20,14,39,23,26,34
0,34,14,21,15,44,21,22,37
0,38,16,24,17,42,21,15,38
0,40,19,26,18,38,25,16,44
0,45,19,25,17,37,23,14,38
0,39,20,26,16,35,24,21,31
0,38,22,26,17,39,18,24,28
0,39,22,21,16,42,14,26,21
0,36,29,22,16,42,13,23,17
0,31,27,18,13,45,15,23,16
0,25,30,19,19,45,21,29,17
0,26,22,18,21,46,21,40,16
0,34,18,19,22,46,21,40,22
0,28,16,18,22,47,16,32,30
0,27,17,21,19,47,20,27,36
0,25,16,23,18,52,22,20,43
0,24,19,27,18,44,22,23,45
0,31,23,33,20,42,20,23,44
0,38,27,36,18,38,19,21,42
0,43,24,34,23,41,21,19,35
0,48,27,30,24,37,23,16,27
0,36,22,23,20,34,25,17,21
0,32,25,18,15,29,21,19,22
0,24,20,19,21,31,18,17,21
0,22,18,21,24,41,23,22,27
0,28,16,23,24,39,25,33,22
0,31,14,19,16,40,25,31,23
0,38,16,20,15,35,22,29,21
0,32,19,14,18,37,16,23,22
0,32,18,14,25,36,19,23,26
0,32,21,15,27,42,24,23,35
0,41,18,18,22,45,22,24,35
0,41,19,22,17,42,21,21,32
0,41,24,23,18,44,20,24,21
0,39,30,23,20,36,20,21,17
0,40,30,21,24,40,20,20,17
0,45,32,25,20,39,21,17,17
0,48,25,26,19,41,20,20,16
0,45,24,25,24,42,19,31,16
0,44,21,22,21,42,24,36,16
0,40,17,19,21,41,23,40,17
0,40,16,20,19,38,27,38,16
0,42,13,15,20,40,25,37,24
0,43,12,13,20,39,28,32,26
0,47,15,18,22,34,26,32,30
0,50,24,27,19,32,23,27,26
0,52,28,28,18,32,21,27,19
0,53,26,32,19,35,16,23,16
0,46,21,29,18,37,22,19,11
0,33,20,27,20,45,27,13,15
0,20,22,23,18,50,31,16,19
0,18,20,21,22,47,28,25,22
0,22,21,19,22,42,29,27,28
0,27,17,17,22,31,31,28,27
0,25,19,15,19,32,29,21,30
0,30,19,17,18,33,30,25,29
0,30,19,18,21,34,25,24,29
0,40,17,23,24,41,27,26,26
0,44,16,21,28,38,24,24,31
0,41,19,20,25,41,19,30,29
0,36,21,23,18,36,16,24,29
0,36,21,25,16,29,21,22,19
0,29,21,25,16,25,24,14,19
0,24,14,26,16,28,29,17,20
0,18,17,25,18,33,28,19,20
0,17,19,28,18,36,23,22,21
0,23,25,28,18,35,27,26,17
0,27,24,22,19,38,26,25,15
0,29,23,23,19,44,23,25,19
0,37,18,23,19,40,24,27,27
0,40,15,25,25,38,21,24,39
0,47,14,25,28,36,20,23,42
0,46,13,22,29,30,18,17,39
0,49,15,22,30,32,20,19,35
0,41,14,24,20,27,21,18,28
0,45,16,23,20,29,19,16,20
0,48,18,19,17,30,18,15,18
0,47,20,18,22,35,15,16,19
0,42,23,19,24,33,18,18,25
