ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,33,16,24,17,21,14,16,38
0,34,15,23,19,16,12,17,34
0,41,16,20,20,16,14,19,30
0,39,16,21,17,22,16,18,23
0,35,16,24,17,25,21,16,25
0,33,15,23,19,23,20,14,21
0,29,15,15,30,21,21,14,19
0,26,19,14,29,17,20,20,21
0,29,17,16,24,18,22,22,24
0,41,20,18,18,21,21,22,25
0,39,21,19,16,33,24,20,24
0,36,23,16,21,39,24,14,21
0,30,22,17,26,33,18,13,31
0,31,24,15,24,23,15,17,35
0,33,22,18,18,18,12,21,37
0,37,20,18,15,18,12,24,29
0,37,14,18,11,18,13,20,18
0,36,19,17,12,20,17,19,18
0,30,21,16,13,24,17,13,21
0,28,23,12,16,26,16,13,19
0,23,21,13,19,26,17,13,16
0,20,20,13,19,28,18,21,15
0,20,20,13,18,24,18,20,19
0,21,17,13,18,24,16,23,19
0,28,20,13,18,18,13,22,21
0,43,18,16,19,20,12,21,18
0,47,16,16,19,20,13,22,22
0,50,15,19,18,20,14,18,24
0,47,13,19,17,21,19,17,26
0,49,14,21,17,20,21,17,26
0,37,17,20,19,22,22,16,19
0,34,20,21,19,28,19,17,15
0,27,18,19,17,29,16,12,15
0,25,17,21,14,27,16,12,15
0,19,13,19,14,19,14,11,13
0,22,12,19,16,18,20,12,14
0,24,13,17,20,28,23,13,18
0,28,14,15,22,29,23,14,23
0,30,17,16,20,29,19,17,26
0,27,18,18,19,19,15,17,28
0,33,20,20,18,21,16,17,29
0,39,21,19,18,22,16,16,36
0,45,23,21,17,21,16,16,31
0,44,22,26,16,17,18,17,26
0,39,17,24,18,19,18,16,17
0,28,16,27,19,19,20,15,16
0,25,17,18,21,23,17,12,13
0,20,20,17,20,21,22,13,14
0,19,22,14,21,22,19,15,13
0,19,21,14,18,18,24,17,23
0,21,18,17,19,14,19,20,29
0,30,16,20,15,15,22,20,30
0,38,13,19,17,20,20,18,31
0,43,14,19,18,23,22,21,23
0,46,15,16,22,25,19,22,24
0,45,16,21,24,21,24,23,33
0,52,20,22,20,16,23,19,41
0,58,21,29,18,15,21,16,39
0,56,21,25,15,19,20,15,31
0,48,16,23,14,25,16,22,20
0,33,15,16,15,28,19,22,22
0,26,14,16,15,22,19,19,22
0,19,13,13,17,16,23,19,22
0,15,15,13,15,16,20,19,17
0,26,16,16,15,20,21,27,16
0,35,15,20,13,22,16,27,20
0,49,11,20,14,25,18,21,26
0,53,10,20,14,25,19,18,31
0,55,12,16,16,22,17,15,35
0,51,16,17,20,22,21,18,47
0,43,20,19,21,25,19,19,41
0,45,20,19,21,25,21,18,35
0,46,19,23,16,23,21,15,25
0,47,13,20,15,24,20,12,16
0,35,12,17,16,25,21,11,14
0,29,14,14,17,26,20,12,17
0,19,14,14,22,21,18,15,19
0,16,14,16,20,20,14,16,21
0,15,15,18,20,20,13,16,20
0,19,16,17,16,19,16,20,20
0,30,18,17,13,21,15,21,17
0,35,18,15,13,15,14,27,22
0,37,14,14,14,19,16,29,26
0,38,14,15,14,21,17,30,23
0,47,15,23,16,28,19,29,21
0,45,16,28,18,26,20,29,19
0,44,16,27,17,26,18,28,22
0,43,13,20,15,26,15,28,19
0,42,13,14,14,27,13,27,20
0,37,13,16,15,24,13,30,17
0,33,13,17,15,24,17,26,18
0,30,14,19,14,27,21,26,15
0,33,13,20,13,27,25,26,17
0,33,13,21,12,27,22,28,21
0,39,11,19,14,30,22,26,21
0,46,13,16,19,24,19,21,23
0,52,15,17,21,30,19,21,27
0,51,15,21,23,32,21,18,36
0,47,16,28,19,29,20,23,33
0,41,15,30,19,24,21,25,28
0,36,16,25,18,26,24,28,24
0,28,15,26,16,31,21,27,27
0,25,17,23,14,36,19,22,24
0,22,14,24,18,31,15,20,20
0,21,17,20,19,33,18,22,15
0,24,16,23,20,26,17,23,14
0,31,18,23,18,26,21,26,12
0,34,18,22,18,24,22,29,14
0,43,16,16,17,16,17,30,22
0,41,13,15,18,19,15,28,26
0,48,10,13,17,14,16,25,30
0,48,11,21,17,15,16,22,33
0,44,12,26,14,17,15,20,25
0,49,17,28,14,20,17,19,22
0,40,18,26,14,20,20,15,18
0,40,18,21,15,22,21,15,17
0,31,19,21,14,20,24,14,19
0,25,18,20,15,22,21,13,23
