SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,83,37,36,37,81,55,48,63
0,88,44,40,44,75,52,46,63
0,73,52,44,40,74,43,48,49
0,66,53,45,41,83,42,48,42
0,56,53,53,37,85,45,51,31
0,51,49,44,43,86,41,46,25
0,51,48,50,48,77,41,40,29
0,46,44,40,63,77,45,51,33
0,55,40,44,54,67,53,56,51
0,67,35,40,44,67,61,61,63
0,64,37,39,38,66,63,59,71
0,71,36,33,30,64,64,59,66
0,62,34,34,31,64,62,53,62
0,73,31,35,30,62,45,44,66
0,72,38,39,36,57,42,33,71
0,72,42,44,49,62,35,37,68
0,76,42,43,54,70,42,35,61
0,76,37,46,53,66,40,35,54
0,78,36,46,48,61,38,33,43
0,80,34,43,43,60,42,34,35
0,84,34,45,52,66,37,29,20
0,85,30,43,50,68,49,33,24
0,79,26,39,47,78,51,42,42
0,90,24,44,46,79,50,54,52
0,81,24,37,37,71,50,61,48
0,84,28,37,42,70,47,56,37
0,78,31,38,42,71,59,60,34
0,76,31,39,38,70,54,49,45
0,78,34,46,43,71,51,53,50
0,81,30,52,42,77,40,51,51
0,78,33,51,36,83,30,52,39
0,74,35,51,31,80,27,41,36
0,70,40,48,26,81,26,42,33
0,73,44,49,31,78,30,42,25
0,74,30,45,37,84,35,54,27
0,71,19,42,40,86,52,62,45
0,74,19,37,36,81,47,73,62
0,67,23,30,29,70,50,67,65
0,65,23,33,37,75,46,49,58
0,62,20,36,39,77,49,42,54
0,64,26,44,40,81,50,42,62
0,72,33,47,34,80,49,40,69
0,85,42,47,34,73,42,37,72
0,91,36,51,30,73,38,28,73
0,93,39,41,27,65,34,25,59
0,83,31,41,29,69,33,37,46
0,84,41,38,33,77,33,48,33
0,75,43,39,47,76,40,49,28
0,67,39,30,54,75,50,45,39
0,63,32,33,50,64,58,47,52
0,62,25,28,45,62,61,52,59
0,57,28,29,27,63,70,56,63
0,52,27,31,24,76,63,60,64
0,44,30,32,23,80,59,59,61
0,46,33,43,31,79,50,60,68
0,46,43,48,35,75,48,61,62
0,62,50,48,39,62,53,60,59
0,68,52,46,36,66,45,58,56
0,76,43,45,34,68,35,44,52
0,72,42,38,34,75,34,36,52
0,71,45,37,39,69,26,34,44
0,64,45,34,41,72,31,47,41
0,65,41,37,51,75,35,52,40
0,55,43,41,50,80,41,51,49
0,61,37,43,49,82,45,54,55
0,53,36,49,41,70,49,58,60
0,49,33,46,31,65,53,64,58
0,44,26,43,27,65,54,69,54
0,48,26,37,22,65,53,68,54
0,49,28,35,26,67,51,67,66
0,65,47,41,31,73,47,69,74
0,68,59,43,32,71,53,62,76
0,81,53,45,42,78,53,54,66
0,89,44,37,52,73,46,46,53
0,86,48,40,53,80,39,46,46
0,87,58,41,55,80,45,47,39
0,77,55,42,59,84,46,45,39
0,67,52,43,60,90,45,46,48
0,65,45,42,50,87,45,52,61
0,61,35,41,44,76,50,58,73
0,69,28,36,29,75,51,65,72
0,70,24,32,35,74,47,66,70
0,65,23,32,36,69,52,68,67
0,66,29,34,37,66,48,68,70
0,63,41,41,31,63,51,54,73
0,66,45,52,41,66,40,51,70
0,70,49,56,47,70,40,46,54
0,75,45,59,53,68,36,55,43
0,76,40,51,58,72,47,51,39
0,67,40,47,59,75,51,48,37
0,65,32,47,63,75,55,47,37
0,71,30,39,57,76,47,52,42
0,73,28,36,50,70,52,66,53
0,80,27,33,47,63,62,74,74
0,83,28,41,39,55,63,75,89
0,83,29,43,38,61,60,72,77
0,76,31,32,39,61,54,62,68
0,70,28,34,32,69,54,58,55
0,62,34,41,40,68,58,62,71
0,63,48,44,44,67,52,67,65
0,75,52,53,49,70,50,64,62
0,93,53,53,55,71,37,54,42
0,98,51,58,42,80,34,41,29
0,98,56,56,41,76,40,32,33
0,88,56,44,42,74,44,35,37
0,74,45,39,50,64,48,41,48
0,79,37,38,49,70,51,58,57
0,70,28,28,37,64,47,70,69
0,73,28,36,26,66,39,74,75
0,69,25,36,25,61,37,74,63
0,64,29,42,30,62,52,66,55
0,68,32,39,34,72,59,63,60
0,64,41,42,39,72,56,62,73
0,61,50,57,38,76,54,50,79
0,72,54,55,42,83,48,42,64
0,74,56,59,37,86,47,36,45
0,78,54,58,44,90,42,43,31
0,79,51,51,45,76,32,42,29
0,76,38,55,38,82,56,71,52
0,80,43,48,46,89,66,79,63
0,75,42,45,56,93,69,65,68
0,76,46,42,57,93,61,53,66
0,73,52,46,60,83,56,33,54
0,82,62,47,49,82,49,42,42
0,88,66,54,58,84,50,47,42
0,87,60,52,63,80,50,50,52
0,87,54,48,72,77,54,58,57
0,78,43,36,73,74,58,51,53
0,85,37,34,66,73,55,64,46
0,82,33,39,62,69,60,66,52
0,80,25,41,56,67,57,73,51
0,68,26,42,47,80,58,70,60
0,68,28,41,39,78,64,64,64
0,74,38,50,41,76,64,55,71
0,79,45,53,43,70,58,47,66
0,75,55,50,48,69,54,46,53
0,72,58,45,51,66,51,45,40
0,64,54,42,55,67,46,47,34
0,56,63,39,52,66,59,43,37
0,58,58,41,64,61,56,48,40
0,63,53,40,59,70,57,61,43
0,78,44,37,48,73,48,77,45
0,86,39,41,34,73,48,76,61
0,85,29,34,24,78,44,68,67
0,82,31,42,25,68,39,59,62
0,86,34,39,33,63,48,55,55
0,88,39,45,35,61,55,61,66
0,95,49,48,43,64,54,62,75
0,93,48,48,55,67,44,53,72
0,98,44,46,59,77,33,44,58
0,94,46,47,71,70,38,46,41
0,89,47,48,70,78,45,47,39
0,84,49,57,72,79,51,48,49
0,77,48,55,73,80,51,41,49
0,76,41,50,74,80,55,42,56
0,78,33,43,75,69,62,61,58
0,73,30,44,64,75,63,67,68
0,74,26,43,48,76,56,71,76
0,75,21,43,36,84,46,64,62
0,69,25,40,37,87,49,65,55
0,75,27,43,36,81,60,61,46
0,83,43,48,40,89,57,61,56
0,87,47,54,37,85,49,47,56
0,89,54,49,39,79,35,47,48
0,86,56,41,33,67,45,39,46
0,73,57,40,46,66,48,48,38
0,63,48,41,50,66,56,44,43
0,64,33,40,56,75,58,56,44
0,72,29,32,53,75,58,66,66
0,82,30,28,41,77,56,68,82
0,79,38,29,28,77,54,66,81
0,82,45,29,37,75,55,71,65
0,88,40,33,39,71,50,71,54
0,84,46,34,40,70,55,78,57
0,84,49,40,36,70,49,65,66
0,74,57,46,37,65,47,49,67
0,74,75,49,41,66,42,41,56
0,76,75,52,47,62,32,33,41
