SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,58,42,39,33,89,42,34,54
0,55,35,39,32,87,51,42,61
0,63,35,46,30,78,53,44,61
0,72,34,36,26,64,55,47,73
0,81,40,38,27,53,43,39,71
0,100,43,31,37,59,33,38,68
0,97,41,33,39,58,29,42,53
0,99,38,30,37,55,34,35,37
0,88,45,41,47,61,38,34,37
0,87,52,40,56,55,39,26,34
0,80,54,44,59,61,36,28,37
0,73,46,40,61,63,38,37,29
0,63,29,35,48,70,36,44,41
0,60,23,26,46,70,34,43,45
0,56,27,25,48,63,37,35,46
0,61,24,39,50,53,41,35,50
0,61,24,41,51,48,42,38,51
0,64,23,49,51,48,49,48,66
0,70,31,50,48,43,41,39,61
0,71,37,41,41,33,44,35,57
0,64,40,39,32,41,40,28,54
0,56,37,39,29,47,37,27,60
0,52,35,47,32,59,28,26,55
0,49,27,61,40,60,26,34,46
0,45,25,57,29,63,24,31,40
0,55,33,47,29,66,23,36,35
0,59,35,32,24,56,24,36,39
0,63,39,33,30,52,29,37,47
0,64,31,32,32,43,36,31,58
0,70,28,33,35,46,40,36,69
0,73,41,32,33,47,39,32,63
0,75,46,44,32,45,37,33,56
0,72,50,55,30,44,46,36,41
0,65,51,64,30,54,52,32,29
0,70,51,54,29,50,46,32,31
0,63,46,48,32,43,39,25,31
0,66,38,39,43,40,27,28,31
0,46,33,38,50,46,34,30,22
0,52,28,32,44,54,35,31,20
0,51,31,30,33,53,33,32,31
0,62,33,30,29,49,36,36,34
0,67,31,27,35,43,35,34,43
0,65,32,23,33,45,35,33,45
0,76,31,32,34,37,33,38,46
0,70,39,37,42,38,32,32,42
0,78,47,42,46,41,41,33,46
0,76,50,39,50,54,42,29,46
0,67,42,36,49,64,38,47,40
0,65,30,39,52,71,34,54,38
0,61,33,41,50,68,36,55,31
0,58,38,40,53,67,42,41,41
0,52,37,39,40,72,46,40,44
0,46,33,34,38,77,41,32,42
0,49,25,32,33,75,44,34,45
0,57,38,30,33,72,39,35,48
0,71,37,30,38,64,39,35,62
0,75,40,34,31,61,38,33,78
0,67,36,34,39,57,35,30,69
0,73,46,33,40,53,38,32,54
0,67,53,35,47,55,34,32,38
0,72,54,42,35,52,38,32,32
0,70,43,39,36,62,37,40,28
0,61,42,41,31,54,39,40,29
0,58,44,30,38,47,43,40,21
0,49,35,30,39,43,43,31,32
0,56,32,38,42,49,43,29,36
0,54,23,41,45,58,36,30,47
0,57,28,45,40,60,38,30,49
0,66,37,36,40,55,39,30,56
0,66,37,33,33,45,38,30,63
0,67,38,35,29,60,40,26,75
0,65,43,47,24,64,35,30,75
0,64,49,51,27,63,32,32,61
0,65,43,49,30,55,33,30,50
0,60,43,39,29,46,37,31,34
0,59,33,32,34,41,43,25,32
0,61,34,32,40,41,47,29,36
0,58,39,34,53,42,43,36,33
0,63,36,43,60,55,46,44,39
0,60,27,40,60,59,46,48,32
0,59,22,34,42,61,47,49,34
0,54,23,24,35,52,41,43,30
0,62,27,26,32,36,34,35,29
0,63,40,34,39,33,26,32,31
0,62,39,37,40,39,25,31,42
0,64,43,36,40,44,17,33,45
0,67,45,39,36,50,18,31,44
0,73,53,37,36,41,28,30,37
0,80,59,34,33,50,42,31,35
0,70,54,28,30,62,46,38,35
0,57,44,30,34,58,52,40,40
0,39,37,35,43,60,48,38,38
0,38,34,39,55,53,43,34,44
0,44,26,41,61,66,41,29,43
0,49,24,32,54,68,31,30,49
0,46,32,32,36,61,29,29,46
0,51,36,37,33,54,28,27,41
0,50,43,36,30,40,29,31,48
0,59,39,44,34,51,36,30,52
0,71,44,44,31,47,35,32,49
0,82,43,52,43,52,34,26,39
0,90,43,56,33,50,28,29,27
0,82,38,49,33,56,41,32,28
0,71,35,40,30,59,43,32,26
0,60,29,30,29,58,41,42,33
0,48,38,24,49,59,34,45,34
0,39,37,31,44,60,40,48,45
0,42,35,32,46,60,43,44,42
0,53,31,32,36,71,38,38,51
0,64,29,35,29,68,40,34,54
0,76,34,40,30,60,28,35,57
0,76,43,48,28,46,33,35,50
0,78,37,45,27,48,35,31,46
0,74,44,43,32,41,38,31,41
0,79,52,37,26,46,40,30,37
0,70,53,39,27,56,45,30,35
0,70,52,34,29,61,42,30,29
0,63,44,35,32,69,48,39,30
0,92,40,28,36,50,38,41,57
0,93,41,34,45,38,33,38,57
0,93,39,44,46,43,37,44,49
0,96,38,47,48,54,53,37,42
0,95,53,43,46,70,52,28,44
0,85,54,40,52,73,56,22,39
0,77,47,32,59,78,36,23,35
0,67,39,32,59,77,38,28,45
0,66,29,30,55,81,46,38,63
0,66,30,37,43,79,38,41,68
0,73,31,33,41,75,36,41,59
0,81,34,33,42,60,34,33,41
0,83,27,36,44,47,38,34,48
0,71,25,41,38,42,42,29,50
0,59,29,52,38,39,43,35,53
0,45,39,57,25,44,47,51,51
0,32,48,61,31,43,39,59,42
0,38,46,57,29,50,35,65,35
0,44,40,50,33,57,30,51,37
0,52,38,38,50,56,25,37,42
0,49,35,23,66,59,37,31,42
0,48,34,24,64,64,49,35,50
0,42,32,28,50,78,47,36,50
0,37,35,34,38,79,35,37,51
0,34,35,45,42,69,33,35,53
0,48,37,45,42,62,32,32,60
0,61,39,49,38,54,39,30,73
0,66,41,42,32,45,40,27,69
0,74,40,49,30,33,43,28,55
0,70,43,55,34,31,45,25,41
0,69,37,57,35,36,36,26,32
0,51,32,61,39,46,26,25,38
0,53,34,56,45,55,26,19,45
0,53,28,54,48,57,20,21,45
0,60,28,50,50,57,19,26,54
0,55,30,49,48,45,26,33,60
0,54,33,46,42,41,31,46,62
0,44,41,37,37,36,34,49,61
0,54,41,28,42,35,30,49,65
0,63,46,29,37,35,30,44,75
0,76,36,30,42,37,34,41,82
0,73,30,37,38,37,36,36,76
0,82,37,44,45,35,37,34,63
0,71,39,49,42,37,40,26,44
0,64,47,50,44,39,37,27,37
0,57,38,39,45,50,38,30,32
0,52,29,35,36,67,47,31,41
0,48,30,30,46,63,48,35,37
0,40,28,32,55,69,46,38,35
0,52,37,38,64,67,49,39,39
0,60,37,38,64,69,46,39,32
0,71,42,41,51,64,40,38,33
0,72,40,48,45,62,36,36,44
0,75,40,40,40,53,32,29,46
0,76,35,44,45,59,33,32,54
0,71,37,43,36,50,29,31,56
0,58,45,36,39,46,33,30,43
0,43,46,35,42,42,36,27,38
0,30,43,40,51,42,48,29,30
0,26,33,38,49,41,51,29,32
0,36,33,40,54,44,49,27,31
0,42,42,31,48,46,43,21,34
0,48,42,33,55,59,33,28,34
