ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,43,18,26,19,40,20,18,32
0,39,20,26,20,40,17,18,28
0,38,19,23,19,32,17,19,21
0,28,24,17,18,38,19,15,20
0,26,21,17,19,41,15,13,14
0,28,19,18,21,39,18,13,14
0,30,17,18,22,40,17,13,14
0,27,14,16,24,40,20,21,20
0,31,14,15,24,38,28,23,25
0,31,14,16,23,35,30,26,34
0,29,17,15,15,30,32,29,35
0,24,17,19,13,30,29,28,31
0,22,17,20,12,29,29,23,28
0,31,17,22,12,31,21,18,24
0,36,16,25,13,25,16,18,28
0,45,18,27,18,21,18,17,29
0,46,16,25,17,27,21,18,27
0,40,17,23,18,21,25,18,26
0,39,16,20,20,30,22,17,19
0,28,18,21,21,31,23,17,19
0,28,18,18,21,38,26,18,17
0,26,16,14,17,44,22,22,13
0,26,15,13,17,43,23,28,18
0,30,16,16,23,44,20,28,19
0,28,16,16,22,37,22,28,22
0,29,14,18,23,39,22,27,20
0,27,15,16,21,37,21,25,18
0,31,18,18,19,38,22,29,21
0,33,18,23,19,32,21,28,23
0,32,17,26,18,38,17,23,20
0,35,16,30,15,41,16,20,20
0,33,18,33,17,36,13,14,18
0,39,19,31,17,38,13,14,17
0,36,19,28,16,39,13,17,14
0,41,15,22,16,47,15,25,13
0,34,13,19,17,42,22,28,18
0,42,15,21,21,41,24,36,24
0,38,17,20,22,35,25,28,26
0,37,15,22,19,39,19,22,27
0,37,13,20,15,41,21,19,22
0,41,14,19,14,41,26,18,21
0,43,17,22,16,33,29,17,26
0,40,23,24,17,28,25,15,30
0,37,21,23,18,36,20,15,29
0,44,18,23,18,29,19,13,22
0,48,13,24,15,31,22,15,20
0,47,13,23,15,28,20,20,16
0,36,15,19,17,33,22,18,17
0,34,19,15,21,40,26,22,21
0,35,16,16,20,35,28,21,21
0,40,15,15,21,30,29,30,27
0,34,12,15,18,23,32,33,26
0,28,12,17,17,29,27,37,27
0,20,12,17,14,24,23,30,27
0,17,14,21,16,30,20,32,30
0,19,15,23,17,28,22,31,35
0,19,16,23,19,28,25,31,36
0,23,17,26,17,32,26,27,33
0,28,18,27,16,34,18,26,27
0,31,15,24,13,36,13,22,24
0,31,16,20,13,35,14,18,16
0,25,15,21,15,35,17,22,16
0,25,16,21,14,40,20,22,14
0,24,18,21,19,43,22,25,17
0,33,17,22,18,40,22,28,19
0,33,17,20,18,41,21,32,23
0,34,18,21,17,40,18,39,21
0,32,18,21,14,46,17,36,21
0,27,18,20,13,46,26,39,21
0,25,15,23,14,40,26,34,34
0,30,22,30,14,39,28,28,39
0,30,24,29,14,38,22,23,40
0,42,23,32,17,50,19,19,28
0,42,24,30,19,42,19,15,24
0,47,19,25,18,44,20,17,20
0,44,22,26,17,36,20,17,20
0,35,19,24,17,43,20,17,20
0,31,17,26,17,45,14,20,24
0,31,20,27,19,49,16,25,35
0,38,19,24,20,45,17,34,37
0,42,18,20,18,43,19,36,35
0,34,16,17,22,33,20,34,28
0,30,15,16,22,22,25,30,25
0,29,16,18,19,22,24,27,27
0,27,22,18,19,25,21,21,28
0,30,23,23,17,32,15,20,26
0,26,24,21,16,39,11,20,19
0,29,18,21,16,40,14,21,16
0,25,20,17,17,43,15,25,15
0,25,20,22,18,38,18,25,12
0,24,19,20,15,41,19,28,12
0,23,23,20,15,38,21,29,17
0,29,24,20,13,39,20,31,21
0,32,24,17,18,32,22,39,34
0,27,22,21,17,28,21,35,37
0,22,18,20,18,22,18,33,38
0,21,21,19,19,23,14,29,30
0,23,19,22,19,22,19,28,29
0,30,25,28,18,23,27,26,31
0,30,28,33,18,20,26,28,34
0,40,29,33,21,25,27,26,27
0,44,26,27,21,31,20,19,21
0,43,19,24,18,39,22,13,14
0,41,21,22,14,41,20,14,14
0,33,19,22,14,45,20,14,19
0,31,16,24,13,42,21,17,25
0,38,14,28,17,39,29,26,27
0,36,13,27,18,35,28,35,29
0,36,17,24,21,43,24,40,33
0,30,14,20,18,38,22,40,30
0,22,14,18,19,36,25,32,27
0,20,14,24,18,35,32,31,23
0,21,20,28,20,36,25,28,27
0,21,20,32,19,39,26,25,26
0,26,22,29,23,41,18,20,20
0,32,18,23,19,47,16,13,18
0,29,22,19,21,44,17,17,14
0,39,21,15,19,39,15,17,17
0,37,18,24,16,53,26,26,22
0,37,19,23,21,48,26,25,26
0,36,18,27,25,46,26,23,30
0,38,19,28,25,47,29,19,32
0,38,26,26,21,42,26,17,28
0,37,30,29,20,45,24,16,24
0,40,28,22,23,45,21,16,22
0,44,24,21,33,50,27,15,21
0,53,21,20,36,51,28,22,18
0,54,21,13,32,43,31,28,17
0,54,22,17,27,43,23,35,19
0,49,18,17,28,37,22,34,21
0,42,16,18,25,36,23,29,24
0,28,17,20,25,31,24,32,27
0,31,19,18,19,30,25,30,34
0,30,20,25,14,31,23,25,31
0,40,22,26,14,39,20,19,32
0,40,22,27,17,46,18,15,24
0,36,21,29,19,48,17,13,19
0,35,26,22,24,45,15,17,15
0,27,26,23,23,41,21,16,15
0,24,27,19,27,44,24,18,17
0,28,22,21,22,46,28,24,21
0,37,19,19,18,40,30,35,23
0,47,18,17,13,34,27,40,29
0,48,15,18,11,36,23,36,27
0,52,18,24,13,38,23,28,28
0,55,20,24,18,38,22,27,25
0,50,20,26,21,41,24,29,26
0,47,26,26,24,43,19,28,24
0,41,22,27,18,42,18,26,23
0,47,22,26,21,47,17,23,19
0,48,18,23,27,47,18,21,17
0,42,21,21,31,47,18,21,17
0,36,22,19,33,50,18,22,17
0,29,19,18,36,47,20,19,18
0,31,19,20,35,49,24,20,22
0,36,17,19,30,43,33,23,23
0,38,20,23,22,44,35,27,22
0,44,18,19,14,47,31,31,23
0,40,18,21,14,50,24,28,16
0,36,21,19,14,45,22,23,19
0,34,17,18,18,40,22,25,24
0,38,22,24,23,38,19,22,25
0,41,19,29,26,35,18,20,24
0,41,21,29,25,39,18,19,20
0,39,18,28,17,36,18,16,15
0,35,23,26,19,46,20,18,13
0,30,22,24,22,46,19,19,12
0,19,22,22,25,52,20,22,16
0,27,19,22,26,48,25,29,25
0,33,20,21,21,46,28,34,37
0,36,20,21,19,50,27,33,40
0,38,18,15,20,41,24,33,37
0,40,17,14,20,36,20,30,39
0,43,14,17,20,23,20,31,37
0,48,20,21,16,25,14,32,40
0,45,26,27,19,27,16,28,35
0,37,30,25,17,38,17,25,27
0,35,34,25,18,38,17,19,19
0,35,35,21,15,47,17,19,20
0,29,40,23,18,47,13,18,21
0,28,34,19,24,48,18,19,21
0,29,30,19,32,43,23,27,21
0,34,26,19,34,40,29,27,20
0,39,22,17,29,42,27,30,21
0,33,19,20,23,40,24,23,22
0,38,15,20,17,50,22,24,21
0,28,13,18,18,44,19,25,25
0,36,15,23,16,40,23,29,28
0,39,20,27,16,35,26,24,29
0,51,28,27,17,30,26,22,32
0,44,34,27,16,33,24,19,30
0,38,31,24,17,36,23,15,23
0,32,24,26,17,39,24,16,17
0,26,23,24,21,45,18,16,19
0,33,25,25,29,48,13,21,17
0,37,28,26,34,49,18,25,24
0,43,26,25,29,44,23,33,28
0,48,23,22,22,40,24,33,36
0,47,21,18,15,32,21,30,42
0,47,16,14,16,27,20,25,34
0,44,20,17,16,21,19,23,30
0,42,19,23,20,24,18,29,29
0,48,18,30,26,25,18,23,31
0,42,17,31,27,32,18,23,31
0,50,16,31,27,39,21,20,26
0,41,15,25,19,43,19,18,19
0,34,16,18,16,46,19,17,18
0,34,18,14,19,49,18,15,20
0,38,16,13,24,44,24,19,20
0,47,13,14,25,39,34,30,22
0,45,10,25,24,34,39,37,31
0,46,12,26,19,28,34,35,36
0,38,14,29,17,27,25,28,41
0,31,14,19,18,31,19,16,38
0,35,15,18,20,39,25,23,40
0,37,16,22,22,46,27,23,41
0,42,25,26,25,44,25,29,39
0,36,27,27,22,43,18,25,31
0,27,28,28,24,44,16,20,23
0,22,28,28,23,38,17,19,21
0,23,25,26,27,43,14,16,20
0,34,24,24,32,41,13,16,20
0,38,20,19,29,40,10,20,18
0,36,14,20,33,44,19,28,20
0,37,12,16,27,45,27,31,29
0,28,13,20,27,35,35,28,39
0,36,13,22,23,23,33,24,41
0,33,15,22,22,22,27,20,44
0,39,18,22,22,30,18,21,41
0,43,22,23,23,40,20,20,47
0,47,23,29,26,46,28,23,50
0,48,22,29,20,37,27,24,49
0,45,19,32,20,33,23,23,39
0,35,16,32,15,32,14,21,30
0,28,16,29,18,31,17,16,16
0,24,17,26,18,34,21,16,14
0,51,20,30,18,40,25,29,38
0,48,22,32,25,42,24,25,33
0,46,34,26,27,42,20,23,29
0,41,35,24,29,37,20,20,33
0,53,37,26,28,36,19,17,33
0,54,35,29,20,40,20,16,26
0,52,35,29,21,40,18,19,21
0,49,30,28,29,43,19,22,16
0,51,25,25,37,47,24,28,21
0,49,25,24,36,50,27,33,23
0,52,22,26,32,49,26,32,24
0,49,20,24,26,47,31,33,20
0,53,18,19,25,47,31,31,20
0,48,20,16,21,54,40,29,23
0,50,18,19,24,51,40,28,26
