Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.0,0.429318,0.174366,-2.01292,-0.250173,0.117289,1.08085,0.0805574,-0.216051,0,0.18203024839032,-0.0073971141852916,-0.4644338909548829,-0.3537386838212075,0.2476738782311246,0.2467190801379788,-0.1022340898445082,0.0695345179108223,0.18203024839032,-0.0073971141852916,-0.4644338909548829,-0.3537386838212075,0.2476738782311246,0.2467190801379788,-0.1022340898445082,0.0695345179108223
0.001,0.411718,0.25191,-1.80906,-0.0236791,0.0503924,1.04244,0.120196,-0.277302,0,0.1890693749024476,0.0826600603406311,-0.3483539362458735,-0.1759572385247055,0.2148884130798257,0.2496119456023098,-0.077773704068347,0.0092711949745632,0.1890693749024476,0.0826600603406311,-0.3483539362458735,-0.1759572385247055,0.2148884130798257,0.2496119456023098,-0.077773704068347,0.0092711949745632
0.002,0.398455,0.331594,-1.5817,0.185207,-0.0580962,0.99534,0.157708,-0.328761,0,0.2024431965140025,0.1871541789706313,-0.1939698008489669,0.0067422431689145,0.1360736901465485,0.2432717014601124,-0.0509280658044498,-0.0458575751778171,0.2024431965140025,0.1871541789706313,-0.1939698008489669,0.0067422431689145,0.1360736901465485,0.2432717014601124,-0.0509280658044498,-0.0458575751778171
0.003,0.369083,0.415833,-1.36673,0.36079,-0.185196,0.940155,0.185238,-0.360619,0,0.1938180526964199,0.2861251446933875,-0.0742826584979025,0.134942120144741,0.0419026783263758,0.2329201801625972,-0.0384058421194592,-0.0732735267132426,0.1938180526964199,0.2861251446933875,-0.0742826584979025,0.134942120144741,0.0419026783263758,0.2329201801625972,-0.0384058421194592,-0.0732735267132426
0.004,0.313927,0.432955,-1.23471,0.489777,-0.266267,0.876794,0.193966,-0.386541,0,0.1665833860893004,0.3306044134882359,-0.021072675225869,0.237948808154516,-0.0104249467184144,0.2137254046041409,-0.0405395446024964,-0.0993831598110818,0.1665833860893004,0.3306044134882359,-0.021072675225869,0.237948808154516,-0.0104249467184144,0.2137254046041409,-0.0405395446024964,-0.0993831598110818
0.005,0.249688,0.442223,-1.1912,0.578801,-0.317542,0.813055,0.204794,-0.40985,0,0.1194555328263498,0.3618920331654572,-0.0721605211895801,0.2866303849437351,-0.0348814854593309,0.1962660815069407,-0.0438419603250688,-0.1180985318247759,0.1194555328263498,0.3618920331654572,-0.0721605211895801,0.2866303849437351,-0.0348814854593309,0.1962660815069407,-0.0438419603250688,-0.1180985318247759
0.006,0.189432,0.430294,-1.14528,0.629639,-0.355381,0.739381,0.227207,-0.424198,0,0.0887797049114986,0.3830770502023432,-0.1064112744032748,0.314785552260479,-0.0486049532601637,0.1681263973476371,-0.0323330932130943,-0.1327149821293181,0.0887797049114986,0.3830770502023432,-0.1064112744032748,0.314785552260479,-0.0486049532601637,0.1681263973476371,-0.0323330932130943,-0.1327149821293181
0.007,0.120312,0.345474,-1.06116,0.650513,-0.367772,0.649762,0.257226,-0.434827,0,0.0346712535853481,0.3311814530187384,-0.1104595501525166,0.3063709011481977,-0.0433091184756842,0.124239560332246,-0.0150375933279986,-0.1433587353466222,0.0346712535853481,0.3311814530187384,-0.1104595501525166,0.3063709011481977,-0.0433091184756842,0.124239560332246,-0.0150375933279986,-0.1433587353466222
0.008,0.0193137,0.231015,-0.899136,0.646635,-0.403376,0.552648,0.292765,-0.429274,0,-0.0352723189245956,0.2569949264114144,-0.0285175894480341,0.2853193930464028,-0.0614861382874245,0.0720760828480207,0.0098580764373806,-0.1425030552444448,-0.0352723189245956,0.2569949264114144,-0.0285175894480341,0.2853193930464028,-0.0614861382874245,0.0720760828480207,0.0098580764373806,-0.1425030552444448
0.009,0.0036453,0.1096,-0.671767,0.61279,-0.435196,0.446905,0.333381,-0.423867,0,-0.0362052497863197,0.1792722867642968,0.1183441586196949,0.2342525390640396,-0.0846556657519833,0.0102270408298207,0.0395471250744005,-0.145452741433706,-0.0362052497863197,0.1792722867642968,0.1183441586196949,0.2342525390640396,-0.0846556657519833,0.0102270408298207,0.0395471250744005,-0.145452741433706
