Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,0.0134221,-0.0405093,0.0409744,0.0124283,0.401594,-0.104975,-0.0120298,-0.140356,
0.001,0.0299522,-0.0398496,0.035263,0.00631418,0.498859,-0.0817472,-0.00460075,-0.0599397,
0.002,0.0249598,-0.0414464,0.0265013,-0.000170253,0.594039,-0.0659211,0.000578549,0.0495261,
0.003,0.0085466,-0.0428416,0.0116375,-0.00621685,0.648215,-0.056579,0.00519481,0.0817427,
0.004,-0.00977099,-0.0497115,-0.006233,-0.00971435,0.700454,-0.0585463,0.00999647,0.0407176,
0.005,-0.0118523,-0.0484771,-0.00599106,-0.0194919,0.741205,-0.057456,0.0149169,0.0219442,
0.006,-0.0112544,-0.0501796,0.0112745,-0.0268047,0.721938,-0.0600895,0.0170623,0.0373777,
0.007,-0.0203906,-0.04872,0.0218013,-0.0340557,0.69204,-0.065172,0.0217558,-0.0262583,
0.008,-0.0335749,-0.049498,0.0257156,-0.0397711,0.663707,-0.0659088,0.0236418,-0.207773,
0.009,-0.0394923,-0.0507701,0.0210566,-0.0469437,0.638933,-0.0586131,0.0223805,-0.446004,
0.01,-0.0447494,-0.0503207,0.0140042,-0.0489269,0.609492,-0.04939,0.0226656,-0.629595,
0.011,-0.0429988,-0.0490892,0.0155737,-0.0478311,0.568341,-0.0555583,0.0235688,-0.769993,
0.012,-0.0359134,-0.0471838,0.0167608,-0.0532951,0.52228,-0.0522352,0.0257015,-0.751282,
0.013,-0.0370379,-0.0447039,0.00910101,-0.0544363,0.489968,-0.0343588,0.028162,-0.583364,
0.014,-0.0359978,-0.0452828,0.000258147,-0.0567928,0.463286,-0.0111543,0.0280442,-0.218014,
0.015,-0.0302526,-0.0449397,-0.00811084,-0.0601657,0.428818,0.012205,0.024992,0.245638,
0.016,-0.0247406,-0.0459203,-0.0145799,-0.0629565,0.387122,0.0383398,0.0279383,0.472504,
