Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,-0.276284,0.137323,-0.0240313,0.0960698,-0.275744,-0.0975804,-0.226906,-0.181768,0,0.017966164262634934,0.0239033802921135,-0.012129907453631822,0.05005525003210438,0.026847978436273224,0.007994912755365747,-0.00695720199304605,-0.09161827444258164
0.001,-0.310018,0.13705,-0.0286082,0.0834426,-0.278982,-0.090691,-0.188035,-0.168282,0,-0.003168419508801804,0.023378715729071048,-0.016204662238887158,0.04699930705037168,0.002018585425180644,0.011155378492723049,0.025189171799611408,-0.08647287237109026
0.002,-0.328893,0.131904,-0.0266012,0.0744749,-0.271792,-0.0911755,-0.157713,-0.0970671,0,-0.012762826487713829,0.018352489089739386,-0.014992223148946068,0.0463528895464948,-0.01999363317261426,0.007834743433301478,0.05157475462089671,-0.022961189946064768
0.003,-0.33541,0.124695,-0.023181,0.0580836,-0.281814,-0.102249,-0.132841,-0.0170878,0,-0.007908987499938897,0.011084052131358418,-0.011989460134003963,0.03723165344174644,-0.06143309124593889,-0.006726936612778151,0.06419862514384388,0.05065588516823657
0.004,-0.338203,0.115735,-0.0171488,0.0247879,-0.263989,-0.111,-0.109998,0.0088268,0,-0.0033176591122539224,0.0027839492854266025,-0.007721561398661323,0.00961658398979747,-0.07498735408909986,-0.01753344413258358,0.07805642954459353,0.07150034998293883
0.005,-0.339781,0.106729,-0.009621,0.000581815,-0.274673,-0.11482,-0.0982683,0.0431923,0,0.002904870841613034,-0.005709713942717773,-0.0016674824701913542,-0.009903231617194773,-0.1135912625050375,-0.02388764715164213,0.07345625162138592,0.10225096087779863
0.006,-0.345157,0.0970242,-0.00370033,-0.00496118,-0.310453,-0.118589,-0.103269,0.0661047,0,0.0018200295052978523,-0.014032559221612534,0.0017622376471024752,-0.012115046078126357,-0.17046103204710092,-0.028616711501421595,0.05635295083634018,0.12294213789803544
0.007,-0.346562,0.0910233,0.00291141,0.00916282,-0.239218,-0.115884,-0.115517,0.0718473,0,0.004269844570962482,-0.01904146286566669,0.006307065006025114,0.005226269378059452,-0.11286527057995216,-0.027534065483511068,0.026778412110258696,0.1273949169062042
0.008,-0.328832,0.0846975,0.0128951,0.0259319,-0.194632,-0.121067,-0.143063,0.101691,0,0.023889100191229532,-0.023567764859805034,0.013778272957369418,0.02441740262978243,-0.07279348329294286,-0.0330338292768909,-0.01293717178377219,0.15694240219149924
0.009,-0.298913,0.0774134,0.0207351,0.0193154,-0.234971,-0.123763,-0.151619,0.0648684,0,0.0553654226476655,-0.029901246954138722,0.019781929148597742,0.02137523179245291,-0.1101145449228371,-0.0372089956679243,-0.036573346273314315,0.11980650453550026
0.01,-0.279195,0.0743027,0.0238207,0.000387019,-0.298465,-0.117185,-0.156435,-0.0191793,0,0.07666738575664424,-0.031423498142564114,0.021142975173027725,0.005635877335255063,-0.16500501959862368,-0.03127403097970605,-0.0510624530917263,0.03585766636601362
0.011,-0.276844,0.0733755,0.0256104,-0.0112802,-0.343009,-0.113278,-0.165722,-0.0489587,0,0.08089560963338008,-0.03209844743994156,0.02207122110238207,-0.0007101629468772627,-0.19733661300269803,-0.029764052553469353,-0.07135120305059467,0.00521819683695772
0.012,-0.286543,0.0721897,0.0241354,-0.0187182,-0.330341,-0.117352,-0.175885,-0.0515397,0,0.07464005717628752,-0.03251021847368351,0.020139083862551335,-0.0033549292584301284,-0.17446479674576174,-0.03574356307236155,-0.08792983185967497,0.0018316537282950796
0.013,-0.296527,0.0736026,0.019145,-0.0330757,-0.270505,-0.123993,-0.188067,-0.0455283,0,0.06880284891863361,-0.03194285263332203,0.015521550242018206,-0.010605308696253979,-0.10647459612177862,-0.046434541952139106,-0.10746279646219846,0.005630753230733254
0.014,-0.305146,0.0736767,0.0154145,-0.0412233,-0.212255,-0.123549,-0.203938,-0.0356952,0,0.06627277034952671,-0.03213609622845632,0.012481587969238471,-0.012941156982317854,-0.049686233544373834,-0.04951819190479121,-0.12786598094257995,0.013437817006452753
0.015,-0.310987,0.077532,0.0099636,-0.0531539,-0.16572,-0.105641,-0.224195,-0.0424824,0,0.06685417665879018,-0.030088661653408635,0.008269521506799325,-0.01746799397996575,-0.010714793760528099,-0.03725694810413355,-0.15416707098871432,0.00347577069239444
0.016,-0.331984,0.0810445,0.00449184,-0.0618547,-0.0176776,-0.0791964,-0.248677,-0.0592686,0,0.05328337945579871,-0.027572539744269105,0.003965637321847166,-0.021143281267884638,0.11657122238773616,-0.015491212127439084,-0.18393051771331434,-0.015792373538732828
0.017,-0.375661,0.08633,-0.000951665,-0.0662679,0.113833,-0.0519856,-0.26162,-0.0646705,0,0.016139664269264407,-0.02437909475274292,-0.00017193339862887208,-0.02020940279942145,0.22134232731540343,0.005395579666631716,-0.20448267009935675,-0.024027886254748148
0.018,-0.414272,0.091652,-0.00136385,-0.0726058,0.156964,-0.0363876,-0.277168,-0.0609055,0,-0.016714323147661827,-0.020045882182876437,0.00018576109742227207,-0.02441982531011233,0.22693241378933687,0.01626669946647284,-0.2283223929854162,-0.021912561010647157
0.019,-0.435287,0.0955118,0.00327177,-0.0762733,0.173132,-0.0238434,-0.275598,-0.0570497,0,-0.03447590690517277,-0.01761934840609506,0.0053946743994325854,-0.02683518813032688,0.20417275816805822,0.023180527874572848,-0.2376219006321476,-0.019127925779358138
0.02,-0.437969,0.0959208,0.00583941,-0.0690924,0.1751,-0.0119141,-0.249265,-0.0524235,0,-0.03641851213035291,-0.01736967984314212,0.007717599865006688,-0.021711630951973888,0.16351082250820145,0.03149056062198513,-0.22298244741724074,-0.014366733008627945
0.021,-0.437427,0.0989884,0.00589272,-0.0625293,0.163362,-0.00416434,-0.199607,-0.0521169,0,-0.038850488444000464,-0.01429450869337984,0.007239143212693916,-0.018649317993307855,0.11459417248702143,0.03545657765387764,-0.18687595856364725,-0.012726681573671114
0.022,-0.440328,0.102869,0.00590282,-0.060084,0.120751,-0.00292289,-0.121699,-0.0512678,0,-0.04810805534956951,-0.009219907867654089,0.005959048297631592,-0.022176158826917577,0.039239972440005766,0.03477903847199434,-0.12207124937014549,-0.010053598811916708
0.023,-0.441054,0.104548,0.00374841,-0.0619031,0.0880177,-0.000930058,-0.012976,-0.0442745,0,-0.05909535029735056,-0.005818388297215007,0.0024082381990094227,-0.0311545210047496,-0.015339243038291456,0.03521989857269075,-0.02685858920552553,2.7810686518088545e-05
0.024,-0.432644,0.106405,0.00116346,-0.0638241,0.0676057,-0.00256476,0.122084,-0.0412454,0,-0.06399688911176152,-0.0014068450025403365,-0.0019435073444465222,-0.041229143752847065,-0.048142980477827904,0.03307521597883419,0.09724741974072851,0.0053012642878489565
0.025,-0.395728,0.111198,0.00318898,-0.0622587,0.0466468,-0.00944272,0.296375,-0.0380986,0,-0.04336257866842227,0.006503786653239785,-0.0014728446964329886,-0.04817296909931224,-0.06967377892694068,0.026344320895629554,0.2616059038388002,0.01153523575578471
0.026,-0.352837,0.114891,0.00562619,-0.0619388,0.0480657,-0.0151153,0.482344,-0.0249478,0,-0.018564009520252507,0.013660533226408266,-0.00041454550623611433,-0.055865291009986155,-0.059895311268538844,0.020549417107002494,0.4421393157132102,0.02547087806116625
0.027,-0.322738,0.115442,0.00343586,-0.0577202,0.0574151,-0.0140347,0.534942,-0.0117836,0,-0.007944484428218185,0.018032861767504762,-0.003546333829195253,-0.05913719334499433,-0.034831893381617206,0.022355237681464146,0.49088937599756166,0.039647484125032495
0.028,-0.305911,0.116782,-0.00130694,-0.0466225,0.0997243,-0.00431342,0.435192,0.00411932,0,-0.011033415022132953,0.02314019504494808,-0.008590951460815198,-0.054186301139447515,0.026638966202283038,0.031147881362963363,0.392597631589775,0.05333447640382657
0.029,-0.291324,0.117331,-0.00537375,-0.0261398,0.138876,0.0014275,0.330322,0.0151565,0,-0.016355137510596595,0.02756373196308182,-0.012591513205140709,-0.038911023722798845,0.084453716313133,0.037115141121546,0.2900053803315789,0.061885354865676305
0.03,-0.268039,0.11715,-0.00669585,0.00367403,0.147302,0.00651556,0.246676,0.019071,0,-0.012732508632365799,0.03107528299687528,-0.013015458980259591,-0.013114980137367673,0.1078109290234455,0.03976731010050861,0.2132468080923944,0.06018790315283624
0.031,-0.245124,0.1163,-0.00563959,0.030639,0.151111,-0.0003476,0.181275,0.0288548,0,-0.008967508464214376,0.03392913714677224,-0.011102356000933431,0.010539942778951912,0.11870360721364007,0.032171894131073006,0.15379963001966587,0.06382910318045891
0.032,-0.231113,0.116252,-0.00254156,0.0456938,0.162207,-0.0181661,0.129997,0.0358114,0,-0.014283328598714607,0.03759773478351833,-0.006436988050883259,0.022451522432972312,0.12846490863913643,0.010598827620783773,0.11139363431318444,0.06273607353021557
0.033,-0.232574,0.112602,-0.00550371,0.0489228,0.159611,-0.0296812,0.0856409,0.0232592,0,-0.035123193997186095,0.03782989531301924,-0.008472226636337008,0.022590412811111602,0.11359836918540622,-0.002247309179284989,0.07314734655886379,0.04144683664354582
0.034,-0.228818,0.105128,-0.0129519,0.0532529,0.133863,-0.0292885,0.0398253,0.0159641,0,-0.05225839369214514,0.03464448275449197,-0.014610230580072488,0.022667505398883264,0.06785642134497269,-0.00592306934497976,0.03460165313431643,0.025459546672948655
0.035,-0.211974,0.097215,-0.0114444,0.0598966,0.133699,-0.0328064,-0.00117501,0.0146742,0,-0.057547702766969855,0.03153227842334006,-0.012944448001342763,0.024557661963608923,0.03950056069655147,-0.010440350896523174,-0.0028845903814189167,0.014444951034375044
0.036,-0.184598,0.0797462,-0.0100231,0.0663231,0.106664,-0.0261992,-0.0404955,0.000150142,0,-0.055342382109848806,0.019621063938800205,-0.011318191354695806,0.02416262235001984,-0.017403837395808818,-0.0068959782264213015,-0.038500291937994736,-0.007756311462347551
0.037,-0.14757,0.0584037,-0.00868537,0.0731963,0.0573895,-0.0236764,-0.0808375,-0.0221091,0,-0.045702165897694574,0.00471037312956251,-0.011077845635607497,0.02377720891015906,-0.09773182214891105,-0.004115344422200654,-0.07858225273499618,-0.03947841077677014
0.038,-0.110243,0.0452183,-0.00530312,0.0810783,0.0474676,-0.0303621,-0.107508,-0.0416219,0,-0.03965440597536996,-0.001214145437476194,-0.008915622847650677,0.02236754146019235,-0.13199201801663485,-0.01192982404663863,-0.10464289856033127,-0.06502744272004446
0.039,-0.0743172,0.0370248,-0.000895275,0.0932762,0.0552343,-0.0392538,-0.112196,-0.0515004,0,-0.0372441704646787,-0.001092320079130387,-0.0067053805072490695,0.025690434131245624,-0.14235117461899757,-0.018986979439344985,-0.11076332136616107,-0.08385018246065923
0.04,-0.0398275,0.0303461,0.00152458,0.107639,0.0739122,-0.0386281,-0.116281,-0.0721057,0,-0.039813893942513896,0.0010719894091258952,-0.006550865455355487,0.030151440963054006,-0.12876565663090128,-0.01755075789241672,-0.1149795701762446,-0.10956645205776003
0.041,0.00664922,0.0243004,0.00716964,0.115912,0.0819748,-0.0383033,-0.12118,-0.0783683,0,-0.031471773594887856,0.004808730832655108,-0.003459889023642726,0.03028344077116445,-0.11594689322240789,-0.014371286795888203,-0.12034168463248388,-0.12498618250486329
0.042,0.0772738,0.00891344,0.0169598,0.123789,0.0637968,-0.0361098,-0.123859,-0.0629845,0,-0.0010409914904595773,-0.0008535904040551717,0.0039027534384389407,0.03050249746197065,-0.1156078003399934,-0.010392685701208597,-0.12124700296016934,-0.11537191222009777
0.043,0.145453,-0.00377747,0.0224387,0.126253,0.0578666,-0.0394049,-0.116042,-0.0758211,0,0.02779349959646267,-0.0032694374903619048,0.00742923426850039,0.028263714415835986,-0.09546028796003343,-0.011015982898637373,-0.11091602303624938,-0.13867862225151453
0.044,0.196068,0.00224781,0.0241486,0.12328,0.0589851,-0.046688,-0.104162,-0.150389,0,0.03899596615357906,0.012344231924067979,0.007476543785531565,0.022365062485668528,-0.060016252928101144,-0.017017231032964344,-0.09416113660326406,-0.22111788713724273
