SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,94,101,81,69,71,93,95,67
0,84,90,74,69,58,81,89,66
0,68,75,64,59,62,64,82,58
0,60,57,60,56,65,52,64,59
0,48,48,69,55,74,52,45,69
0,44,51,70,47,80,55,32,66
0,38,59,73,41,83,58,30,69
0,40,61,62,43,83,56,37,62
0,40,55,58,47,72,54,42,62
0,40,57,55,55,65,61,46,55
0,38,52,58,49,55,49,45,43
0,49,39,57,53,49,51,45,31
0,48,35,63,64,45,50,40,25
0,64,27,62,69,50,60,46,19
0,51,30,67,70,63,69,43,31
0,50,35,67,63,65,56,45,37
0,46,45,70,61,57,40,40,53
0,34,43,65,58,40,37,31,59
0,35,50,67,54,54,39,38,61
0,40,47,63,47,66,49,38,60
0,43,46,52,36,68,51,42,62
0,55,43,55,39,51,51,41,69
0,50,39,56,32,44,43,40,63
0,48,41,67,45,50,35,46,53
0,42,33,68,41,69,29,41,34
0,54,34,73,46,69,27,42,25
0,54,36,67,55,50,32,42,25
0,64,39,58,64,37,42,40,30
0,45,38,63,69,46,42,42,38
0,42,35,56,60,46,43,38,43
0,37,33,66,54,46,34,34,41
0,43,31,64,48,35,32,30,56
0,62,38,60,50,52,29,32,61
0,62,43,55,42,64,25,58,66
0,58,45,54,32,64,25,58,60
0,41,46,64,32,45,36,58,61
0,31,49,63,41,47,43,38,53
0,32,42,64,47,71,54,32,44
0,44,36,69,58,88,50,32,23
0,50,36,70,61,75,47,34,22
0,47,34,68,62,57,36,32,25
0,64,39,67,69,47,36,33,31
0,50,41,65,70,64,34,30,44
0,51,38,62,71,63,36,44,49
0,42,43,63,63,58,35,46,52
0,31,40,67,49,42,26,46,59
0,29,48,55,41,46,32,33,58
0,50,48,62,37,59,30,34,51
0,52,52,53,36,75,36,32,49
0,52,48,58,31,72,37,31,40
0,33,36,51,36,57,35,32,44
0,46,31,49,45,54,29,44,34
0,52,29,55,54,73,31,42,27
0,52,39,61,58,76,27,42,26
0,54,45,66,51,63,33,29,28
0,48,43,59,51,44,38,29,33
0,48,40,56,45,30,43,29,36
0,48,37,55,54,29,48,29,41
0,47,44,54,48,30,45,29,44
0,46,43,50,46,30,52,35,51
0,50,44,53,31,58,48,42,52
0,50,45,52,42,84,43,42,61
0,50,40,58,62,95,35,42,70
0,52,38,60,68,73,32,29,62
0,38,30,56,64,50,25,31,58
0,36,30,61,71,50,29,50,47
0,51,32,54,61,55,32,51,36
0,52,38,48,56,56,46,51,33
0,52,40,44,57,59,39,35,31
0,52,35,53,59,47,42,30,33
0,46,38,61,55,47,37,29,32
0,47,43,65,73,40,37,30,31
0,34,37,69,62,53,30,29,35
0,41,35,67,62,64,22,41,34
0,55,33,68,41,69,24,59,39
0,63,30,62,44,75,26,66,45
0,75,44,67,53,65,38,66,55
0,61,42,63,50,64,46,50,54
0,64,43,62,41,42,45,42,45
0,59,39,63,35,48,39,61,32
0,54,32,76,34,60,31,60,29
0,47,35,76,46,60,31,57,26
0,64,39,84,54,59,31,35,29
0,46,44,73,60,64,33,29,37
0,49,42,76,58,63,32,29,41
0,32,36,66,55,49,30,29,40
0,49,31,65,42,60,27,30,40
0,50,25,55,47,49,24,47,40
0,48,30,49,44,64,26,54,55
0,46,32,52,40,64,33,54,62
0,44,40,59,49,79,35,48,68
0,44,42,67,54,80,36,29,69
0,27,34,64,66,70,37,32,65
0,34,34,65,67,69,35,34,58
0,44,27,63,66,65,37,36,47
0,46,32,65,59,81,35,34,36
0,64,30,59,59,81,39,32,33
0,47,37,59,52,94,35,30,22
0,54,34,63,52,111,26,30,26
0,42,35,62,44,124,30,30,27
0,56,31,56,40,94,24,30,38
0,50,30,50,34,68,26,49,49
0,46,32,54,34,51,24,45,64
0,56,44,63,32,60,28,45,71
0,54,46,67,36,71,31,34,73
0,55,44,61,32,70,34,30,65
0,39,34,57,39,66,32,36,44
0,53,26,62,45,48,32,46,34
0,50,23,50,57,66,31,46,22
0,49,27,63,71,74,33,44,18
0,62,32,62,83,70,33,28,21
0,50,36,64,77,69,38,29,34
0,47,39,60,69,62,45,29,47
0,35,39,52,54,50,42,29,51
0,48,33,53,43,49,42,29,55
0,47,33,47,39,46,43,30,52
0,70,34,60,38,61,37,40,61
0,53,33,53,36,57,38,40,66
