SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,70,32,61,37,69,46,68,41
0,68,30,72,35,67,48,62,45
0,62,43,76,31,69,62,56,54
0,51,43,77,34,74,66,55,58
0,45,41,69,41,63,56,54,60
0,45,40,57,48,61,45,58,53
0,44,37,56,49,57,43,48,45
0,35,40,65,46,58,39,40,39
0,38,35,61,58,59,34,43,35
0,52,40,67,67,62,38,60,32
0,52,46,59,72,63,34,65,33
0,68,46,55,65,62,38,60,38
0,51,47,56,54,58,37,51,48
0,52,41,55,32,57,32,41,48
0,45,41,52,34,49,36,39,57
0,30,37,58,32,42,33,28,63
0,29,34,60,36,34,41,32,68
0,29,40,61,36,36,40,31,70
0,35,37,50,33,32,44,38,59
0,45,43,48,30,30,53,50,48
0,51,45,49,30,28,45,54,45
0,62,45,59,34,46,42,50,41
0,53,51,65,44,50,32,48,40
0,47,41,67,60,52,34,49,43
0,53,36,60,66,38,43,45,40
0,47,33,43,62,32,46,47,51
0,48,30,41,51,31,54,42,43
0,49,27,40,39,33,49,48,44
0,37,28,50,38,31,42,48,49
0,45,32,57,36,31,36,43,56
0,48,39,62,41,30,34,44,57
0,46,45,58,42,30,40,44,63
0,53,46,56,48,30,41,46,59
0,52,42,51,46,30,38,35,52
0,47,44,48,56,50,38,32,43
0,42,35,59,57,50,43,28,34
0,46,37,70,64,50,35,32,34
0,58,35,72,69,29,32,35,38
0,55,32,75,74,30,41,51,47
0,51,31,59,65,30,46,55,59
0,38,27,58,50,30,54,51,59
0,34,36,55,38,32,47,51,71
0,39,30,51,35,36,38,42,78
0,46,31,50,45,38,33,41,81
0,48,29,53,49,48,43,50,79
0,45,37,60,56,60,49,59,72
0,45,42,64,52,61,54,55,53
0,42,47,60,60,56,56,51,43
0,63,49,57,64,43,53,46,34
0,55,45,63,55,36,50,42,34
0,49,39,64,68,47,52,52,33
0,31,33,67,69,54,45,61,31
0,38,37,55,74,70,53,64,35
0,49,37,61,61,66,64,56,48
0,50,41,65,47,59,66,51,65
0,51,35,64,35,46,57,44,73
0,34,33,63,33,36,49,44,73
0,48,27,62,38,34,43,40,69
0,54,28,64,33,35,38,44,66
0,54,36,69,37,33,35,42,65
0,41,41,66,38,33,33,49,55
0,30,52,56,44,31,32,51,44
0,51,48,56,59,41,31,51,34
0,50,56,71,71,39,38,49,36
0,50,46,66,80,39,40,47,35
0,31,43,60,78,27,51,41,34
0,43,34,50,73,32,47,42,39
0,52,36,53,69,41,52,46,47
0,52,38,59,59,41,58,45,43
0,68,34,54,45,45,55,40,42
0,63,31,47,46,47,46,33,35
0,63,30,40,44,48,34,34,42
0,47,37,44,40,56,36,32,57
0,42,40,43,38,44,43,30,64
0,32,41,54,51,48,54,46,56
0,39,36,51,62,69,52,70,39
0,54,35,67,72,64,42,70,36
0,52,33,73,80,64,39,70,36
0,51,34,70,76,34,38,30,39
0,30,30,67,74,33,40,32,48
0,46,32,55,71,41,39,42,45
0,46,26,57,67,47,38,44,63
0,46,28,56,58,43,47,48,64
0,27,21,57,45,35,44,52,71
0,34,23,64,41,31,48,55,68
0,34,23,66,38,48,38,60,60
0,34,25,69,40,48,45,52,53
0,38,27,71,57,48,50,51,49
0,38,35,74,50,29,46,36,37
0,38,38,76,52,32,42,48,31
0,55,45,68,55,35,33,44,29
0,48,40,65,56,46,34,60,36
0,48,37,56,68,49,45,63,46
0,50,31,56,70,51,52,62,50
0,48,32,49,69,58,50,52,56
0,48,37,51,60,57,50,49,63
0,33,41,60,44,50,44,53,65
0,40,44,69,33,42,54,48,67
0,45,35,64,35,30,59,42,64
0,45,29,50,38,30,47,30,59
0,41,37,51,39,30,29,30,56
0,42,51,58,38,30,19,30,52
0,38,55,63,42,48,28,34,45
0,36,41,59,50,52,37,30,36
0,46,33,61,54,52,41,30,28
0,56,27,54,65,46,37,30,31
0,54,27,52,66,30,38,29,36
0,45,34,45,77,30,38,30,38
0,32,36,40,75,30,54,30,39
0,44,39,52,70,31,56,30,58
0,44,35,49,63,31,54,30,66
0,44,27,56,49,32,41,32,75
0,35,29,51,55,64,32,34,63
0,39,33,56,57,63,34,29,58
0,42,34,57,46,64,31,24,58
0,47,42,59,54,54,36,31,47
0,45,40,59,46,48,49,45,50
0,42,43,66,60,48,50,56,34
