ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,28,30,20,22,32,16,17,26
0,23,30,22,18,30,14,23,26
0,28,30,29,19,30,13,22,27
0,30,30,33,19,30,13,19,27
0,30,29,30,26,30,11,16,34
0,29,26,29,30,29,13,16,32
0,30,28,28,32,28,18,18,27
0,26,28,32,29,26,18,21,19
0,23,31,27,26,26,18,24,12
0,22,30,25,32,26,17,27,12
0,19,30,20,32,29,16,25,11
0,25,28,21,31,31,15,26,11
0,24,27,19,34,33,15,21,13
0,29,24,22,30,33,15,24,16
0,30,20,20,27,31,15,20,23
0,30,24,20,25,25,15,17,32
0,27,18,24,19,22,19,16,30
0,22,16,25,19,18,18,14,37
0,22,17,27,25,20,20,20,37
0,23,12,21,25,23,18,20,34
0,21,14,25,28,23,19,25,23
0,20,13,26,27,18,16,19,17
0,15,14,26,31,12,20,17,16
0,16,14,20,37,10,19,14,15
0,14,16,24,36,11,18,16,15
0,14,15,26,35,12,15,19,14
0,16,14,29,29,15,14,19,16
0,20,14,37,22,20,12,20,21
0,22,16,39,20,22,13,22,28
0,19,17,42,25,24,14,20,31
0,20,19,31,28,22,15,20,34
0,19,16,30,24,21,16,22,34
0,19,13,25,21,27,15,25,27
0,22,13,24,22,20,14,26,21
0,24,12,20,20,19,13,23,15
0,27,13,21,21,12,14,17,16
0,23,13,24,22,14,17,12,19
0,21,14,22,29,21,21,16,21
0,18,14,20,35,22,21,21,23
0,17,13,21,36,26,23,26,18
0,17,14,25,30,24,19,25,16
0,16,15,23,26,21,20,22,16
0,16,18,22,26,24,20,22,17
0,21,23,18,29,20,18,23,24
0,21,25,22,27,20,17,26,32
0,21,21,24,21,30,15,28,36
0,22,21,23,17,30,17,30,33
0,22,17,19,15,32,18,26,27
0,24,19,17,17,24,19,22,20
0,21,18,14,22,21,21,17,18
0,23,16,14,26,16,16,18,16
0,22,15,16,29,15,16,22,15
0,22,19,20,30,15,15,27,15
0,18,21,26,30,15,15,30,17
0,14,22,25,30,15,15,28,18
0,14,20,24,30,15,17,25,17
0,15,19,22,30,16,16,21,16
0,18,19,20,28,19,16,19,17
0,23,18,17,30,21,16,18,19
0,23,13,15,30,24,15,21,23
0,22,12,15,30,20,13,23,23
0,22,12,17,30,21,13,22,25
0,27,13,15,30,23,12,15,25
0,25,18,16,32,19,15,11,25
0,21,19,17,34,16,17,14,20
0,18,17,20,40,16,17,18,17
0,17,19,20,45,15,18,22,16
0,16,21,21,43,15,15,26,15
0,16,22,25,36,13,14,26,16
0,15,20,27,28,13,13,30,18
0,15,18,27,24,14,11,29,16
0,13,17,20,28,13,13,28,16
0,12,17,19,29,14,14,27,22
0,14,16,24,26,15,16,27,27
0,18,15,24,22,16,17,29,30
0,22,13,24,17,21,16,27,23
0,22,12,21,22,25,14,23,19
0,20,11,20,29,30,15,17,18
0,20,13,18,38,30,17,14,17
0,19,15,19,39,25,16,16,16
0,19,16,31,37,21,18,18,20
0,20,17,32,34,18,21,23,18
0,21,18,32,30,17,18,25,18
0,21,22,22,30,17,16,30,18
0,22,22,17,30,18,16,28,15
0,22,18,16,24,17,17,23,16
0,22,14,20,19,18,17,22,24
0,23,12,23,16,17,17,22,32
0,22,13,22,20,22,18,25,33
0,27,15,24,25,21,18,22,31
0,28,15,21,31,23,16,23,18
0,24,15,22,34,25,13,22,15
0,24,13,18,35,22,15,24,13
0,24,14,20,36,17,15,22,13
0,24,15,19,32,16,16,22,14
0,24,15,18,27,15,14,24,16
0,24,14,18,18,19,14,29,16
0,27,13,17,17,19,13,28,23
0,29,13,17,18,24,11,25,32
0,26,13,17,21,21,14,24,35
0,22,20,19,19,20,16,19,36
0,20,25,22,21,21,19,21,38
0,19,23,20,16,23,18,23,35
0,20,20,19,18,26,15,24,33
0,18,14,13,19,22,15,24,25
0,15,13,15,24,19,13,19,19
0,16,13,16,31,14,15,16,18
0,15,14,16,32,20,15,15,17
0,16,17,18,34,26,19,16,15
0,18,21,16,26,26,18,20,16
0,21,21,18,21,26,18,25,15
0,21,18,17,20,24,16,30,15
0,21,22,20,23,15,16,26,18
0,17,24,18,27,11,18,20,23
0,17,26,17,28,17,20,19,24
0,17,28,14,26,22,19,22,24
0,18,29,16,22,27,18,23,18
0,18,30,15,18,24,17,21,16
