ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,32,30,32,22,36,24,21,29
0,30,27,30,21,39,18,16,35
0,30,26,30,23,44,21,12,30
0,28,21,28,30,45,20,18,29
0,22,23,23,34,39,22,24,29
0,17,26,20,28,26,20,27,28
0,18,22,33,25,26,17,26,24
0,24,18,36,22,23,19,25,20
0,29,16,38,22,24,23,23,19
0,30,16,34,21,26,28,20,18
0,30,18,26,30,28,29,18,19
0,30,17,27,31,30,28,16,18
0,28,18,24,35,30,21,15,20
0,27,18,21,31,31,17,18,21
0,26,18,19,33,30,14,20,18
0,27,18,21,34,26,12,20,21
0,27,21,21,31,27,14,18,19
0,29,24,23,32,26,14,17,18
0,30,25,28,29,28,20,20,18
0,30,20,32,30,27,21,22,16
0,29,17,34,28,30,22,22,15
0,24,20,35,25,30,18,21,14
0,20,24,29,34,29,15,19,16
0,20,25,25,38,32,15,20,17
0,24,21,21,38,32,15,22,20
0,26,19,22,34,31,20,20,23
0,29,16,27,30,31,20,19,20
0,30,18,27,30,27,23,21,18
0,30,17,28,26,24,21,16,22
0,30,16,28,26,20,23,17,29
0,26,15,28,24,18,24,15,33
0,29,17,29,28,23,21,16,27
0,27,22,29,29,27,22,17,24
0,25,20,27,27,30,17,18,23
0,18,21,28,27,27,16,22,23
0,14,18,35,25,24,19,20,24
0,12,17,29,35,24,17,22,23
0,20,18,34,42,26,23,18,21
0,20,15,25,42,30,28,19,24
0,22,18,27,36,32,26,18,29
0,20,20,27,28,31,27,18,33
0,25,17,24,24,31,20,21,30
0,30,16,25,19,28,19,19,28
0,31,20,25,18,29,16,20,28
0,29,18,27,23,27,17,16,30
0,26,16,28,27,24,18,20,26
0,23,15,28,32,21,20,18,21
0,18,15,29,32,24,22,20,23
0,14,16,29,33,26,18,21,22
0,13,15,27,37,29,19,25,24
0,14,13,21,38,27,17,26,18
0,19,14,26,33,28,20,22,18
0,25,13,31,29,30,28,21,20
0,30,19,35,30,31,29,21,23
0,27,18,39,27,32,28,22,30
0,28,19,28,29,30,24,21,28
0,27,18,23,27,27,21,22,33
0,28,17,19,25,23,19,23,28
0,24,21,25,25,22,19,25,27
0,19,28,29,25,23,17,28,30
0,14,25,32,31,28,20,28,26
0,14,22,25,34,33,21,27,24
0,14,15,18,34,29,21,23,21
0,18,16,15,27,23,19,18,18
0,22,16,12,27,15,17,20,17
0,27,18,17,26,20,18,22,19
0,30,15,18,31,25,18,27,16
0,28,16,17,32,31,21,30,15
0,26,18,13,23,30,20,30,16
0,21,20,16,22,29,20,27,23
0,21,21,17,17,27,18,25,26
0,24,24,23,20,27,19,26,32
0,29,27,27,23,27,17,28,30
0,30,27,25,27,30,16,26,27
0,28,26,22,30,30,17,20,20
0,22,20,20,29,25,17,20,14
0,17,20,15,28,22,22,23,16
0,11,22,18,23,18,22,24,17
0,11,27,18,19,20,17,22,17
0,14,30,23,17,25,17,22,20
0,20,26,24,22,30,18,24,23
0,26,25,25,19,30,19,26,24
0,31,24,20,15,31,19,22,23
0,31,22,19,18,26,18,16,25
0,30,19,20,18,21,22,15,28
0,30,15,24,18,18,23,16,29
0,28,16,26,17,21,23,21,23
0,28,16,26,19,25,18,24,23
0,28,18,23,25,32,22,31,19
0,23,21,19,26,28,21,28,23
0,19,22,16,22,23,23,27,17
0,14,27,14,19,23,23,28,17
0,17,24,14,16,23,21,28,18
0,22,27,13,17,26,25,24,20
0,26,25,15,18,27,27,22,23
0,27,27,17,21,26,27,23,22
0,28,21,17,24,22,23,21,24
0,27,18,16,22,19,15,20,23
0,28,17,12,19,17,17,15,26
0,24,21,15,19,23,18,15,22
0,22,23,18,19,23,20,20,21
0,18,25,21,24,24,16,26,15
0,23,22,22,26,19,18,27,15
0,20,21,19,28,24,19,20,15
0,24,16,18,22,24,24,20,12
0,21,18,17,17,25,23,22,11
0,20,21,18,23,25,24,26,10
0,22,26,20,25,28,22,24,13
0,24,30,22,28,29,25,22,15
0,22,29,22,25,25,25,22,23
0,19,24,22,24,19,25,23,25
0,16,20,21,20,17,19,22,28
0,20,19,24,14,14,16,17,34
0,24,19,19,21,15,13,15,35
0,25,26,21,23,16,15,13,33
0,19,25,21,27,20,14,12,22
0,14,21,20,22,19,16,12,15
0,13,14,20,20,19,14,13,18
