SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,58,50,93,47,76,86,43,46
0,45,53,94,34,81,87,39,55
0,37,57,87,38,79,85,41,63
0,29,54,71,45,85,72,25,64
0,29,59,65,59,80,62,28,65
0,42,66,51,59,78,56,28,61
0,53,60,52,50,70,47,28,55
0,53,50,58,44,67,49,26,50
0,39,58,70,46,62,60,32,35
0,28,63,78,62,55,59,32,25
0,31,63,73,68,56,68,28,23
0,35,59,60,74,60,58,25,33
0,37,54,60,67,69,53,30,47
0,39,58,69,53,68,44,31,47
0,48,51,72,41,65,36,31,47
0,57,57,70,39,62,37,34,45
0,60,54,71,44,59,34,37,53
0,54,55,63,37,56,41,34,52
0,50,52,59,40,53,42,34,51
0,53,55,60,47,44,48,24,42
0,46,46,54,57,50,43,29,43
0,49,43,58,68,54,41,32,41
0,53,49,45,71,61,42,34,40
0,69,51,55,72,65,46,34,36
0,73,56,52,76,61,52,36,31
0,50,51,59,70,64,59,38,36
0,40,50,58,60,57,60,38,38
0,34,39,52,49,54,51,36,56
0,59,37,55,38,49,40,32,59
0,73,32,51,37,55,44,41,55
0,73,36,57,39,46,41,46,46
0,45,43,62,38,50,50,46,37
0,32,46,55,37,46,42,45,42
0,40,49,62,37,51,40,29,38
0,39,44,61,36,53,44,30,38
0,54,44,63,83,50,38,36,26
0,50,46,62,98,49,44,38,22
0,54,42,56,104,46,40,44,21
0,59,43,64,88,62,50,48,32
0,52,34,69,70,73,56,42,43
0,52,40,65,68,79,60,43,54
0,28,42,64,51,77,57,46,55
0,51,41,59,36,69,50,52,52
0,52,40,53,36,55,39,58,48
0,52,41,57,42,54,36,52,52
0,37,40,60,46,60,39,50,57
0,30,49,55,40,63,39,50,57
0,30,51,65,34,54,35,51,48
0,30,46,64,35,47,30,51,40
0,49,46,76,46,48,38,44,29
0,48,38,78,55,55,44,46,28
0,54,39,76,60,58,53,42,32
0,49,39,77,54,64,51,45,31
0,47,37,59,48,63,61,48,43
0,48,39,63,41,59,51,53,43
0,29,40,63,35,54,62,51,52
0,30,43,67,46,59,57,54,54
0,30,42,57,49,64,64,59,51
0,30,42,55,50,74,70,59,61
0,53,43,52,58,81,62,58,63
0,54,41,62,73,77,62,57,64
0,54,40,60,72,71,42,51,57
0,40,47,61,56,68,47,50,47
0,30,53,60,33,66,38,46,40
0,53,52,66,49,63,41,46,44
0,88,45,62,64,65,41,48,42
0,88,40,59,74,68,50,46,41
0,83,37,59,74,72,50,49,42
0,36,32,52,60,76,54,48,48
0,39,28,55,48,67,57,47,51
0,40,28,53,37,64,55,48,46
0,43,31,62,43,58,60,48,46
0,36,36,65,41,61,57,46,58
0,34,42,63,45,62,53,53,58
0,39,51,51,52,56,46,44,53
0,36,51,50,54,48,32,49,41
0,41,49,58,63,48,33,38,35
0,54,45,64,64,48,32,36,31
0,52,39,66,70,52,34,38,37
0,68,37,64,70,49,42,38,35
0,45,40,60,68,53,43,41,43
0,46,35,73,54,56,45,32,52
0,35,34,72,44,59,41,47,52
0,42,33,66,33,46,46,50,49
0,56,31,59,30,45,51,53,44
0,56,34,52,35,54,52,47,47
0,53,34,45,45,64,51,49,52
0,38,44,54,45,70,42,55,52
0,36,42,54,40,56,41,57,38
0,34,42,54,40,56,36,48,33
0,45,38,55,46,48,32,39,30
0,66,43,69,61,51,27,37,27
0,81,44,78,68,63,25,37,33
0,113,50,72,68,69,32,44,32
0,99,44,63,64,75,46,52,38
0,100,38,56,58,58,49,59,44
0,64,42,56,51,50,52,60,57
0,46,36,52,44,56,39,55,61
0,29,46,56,39,53,28,56,61
0,30,45,56,36,58,23,49,65
0,31,55,56,38,46,32,48,57
0,48,54,56,43,40,34,45,48
0,48,40,50,43,34,40,46,36
0,59,40,51,57,30,48,52,39
0,54,29,55,65,34,54,41,34
0,67,34,64,79,30,50,46,37
0,88,30,63,85,30,44,43,27
0,73,35,64,83,26,41,45,37
0,82,39,52,77,34,40,46,52
0,73,43,46,59,34,41,39,59
0,80,48,46,41,34,37,42,64
0,62,43,37,34,38,39,41,56
0,55,38,48,38,41,44,50,63
0,37,40,48,39,54,55,50,69
0,43,43,50,44,63,61,50,67
0,51,42,42,50,55,57,42,47
0,51,38,35,57,59,48,44,34
0,59,40,37,64,53,50,41,29
0,36,63,79,71,71,70,52,51
0,30,82,78,75,80,67,61,58
0,30,93,62,65,81,64,56,56
0,32,81,56,68,79,65,33,47
0,48,70,52,71,68,64,29,43
0,64,53,62,69,59,61,30,33
0,64,53,73,68,65,58,35,31
0,49,44,75,74,60,55,40,28
0,29,42,64,78,49,54,40,32
0,30,41,68,79,45,61,47,37
0,32,43,64,76,47,60,48,47
0,32,48,71,65,48,59,50,49
0,36,46,75,58,44,56,44,51
0,44,54,63,48,32,53,55,58
0,62,48,67,47,31,46,48,58
0,64,45,62,44,40,50,46,57
0,59,53,59,45,44,44,35,47
0,45,55,58,43,44,45,33,38
0,41,52,57,57,42,43,38,34
0,38,44,56,54,29,37,46,27
0,34,43,55,59,29,35,49,28
0,49,51,56,47,33,28,48,26
0,51,54,57,51,33,33,44,33
0,78,45,61,62,40,33,43,34
0,80,44,59,55,36,45,45,45
0,76,36,52,45,40,56,42,41
0,50,45,61,35,36,56,55,52
0,36,47,63,52,39,48,53,59
0,30,51,70,54,44,44,48,59
0,32,46,67,54,61,45,35,61
0,38,45,71,38,64,46,37,55
0,50,43,56,34,50,45,35,48
0,52,43,58,32,35,46,49,43
0,65,42,52,44,30,43,50,40
0,60,42,67,53,34,40,52,38
0,72,40,70,66,38,33,46,37
0,84,34,70,77,44,33,46,30
0,98,37,69,79,47,39,42,34
0,82,35,62,63,46,61,43,46
0,63,35,61,48,44,66,37,60
0,40,32,68,35,40,68,37,64
0,41,32,63,45,32,58,39,53
0,44,33,55,68,38,44,36,56
0,38,47,49,67,58,33,45,60
0,39,56,42,52,60,31,43,71
0,56,56,41,35,76,36,49,68
0,55,45,47,31,55,43,40,56
0,83,31,60,39,48,48,35,44
0,61,28,66,45,42,44,43,41
0,81,31,60,57,36,40,51,41
0,65,31,57,67,36,42,60,41
0,58,32,52,62,35,48,57,46
0,39,40,66,50,37,56,59,50
0,34,49,73,37,37,61,50,49
0,40,55,67,41,36,58,50,53
0,40,62,55,76,31,61,56,50
0,36,46,51,87,41,61,52,58
0,36,45,45,82,47,45,53,63
0,58,45,56,53,50,37,38,73
0,69,50,59,29,50,32,30,65
0,71,51,54,34,34,37,28,55
0,70,38,54,40,50,39,30,40
0,70,37,53,64,55,46,45,34
0,69,30,61,73,66,47,42,32
0,51,31,55,89,45,45,42,30
0,33,28,47,65,48,41,39,35
0,35,30,39,54,32,43,30,43
0,42,32,41,42,36,43,30,55
0,51,40,44,48,36,48,30,61
0,62,42,45,54,36,49,29,59
0,70,45,45,64,43,43,30,67
0,58,36,41,44,50,39,30,66
0,54,34,47,46,46,44,29,65
0,43,32,41,29,38,52,40,48
0,41,38,42,32,34,51,46,41
0,54,42,37,34,34,46,48,31
0,44,40,33,38,46,36,48,26
0,52,40,34,56,44,45,49,26
0,44,29,34,70,42,47,48,29
0,47,30,38,84,33,53,47,40
0,45,34,38,68,36,50,41,45
0,34,34,46,69,36,49,28,48
0,36,37,45,50,34,47,27,48
0,36,38,44,48,46,40,32,50
0,34,39,42,44,54,40,34,51
0,30,36,47,45,54,43,33,52
0,47,35,52,59,41,47,30,42
0,48,31,55,71,35,43,32,39
0,48,32,42,56,38,41,51,32
0,52,35,37,53,45,37,60,29
0,52,47,30,53,46,37,60,26
0,72,62,28,61,50,48,43,27
0,57,67,34,80,49,57,30,28
0,50,49,36,85,60,66,46,43
0,31,36,41,69,62,70,46,48
0,31,32,38,60,62,57,46,51
0,32,33,36,50,66,44,28,48
0,32,40,46,57,75,39,26,49
0,38,38,42,72,81,34,22,54
0,72,37,42,80,79,36,23,59
0,89,35,40,67,57,30,27,47
0,91,35,37,58,43,36,32,37
0,59,49,37,62,44,36,48,18
0,54,72,32,51,51,36,52,17
0,47,83,29,62,55,30,50,27
0,64,66,30,65,64,35,38,32
0,51,46,33,77,69,40,30,38
0,52,32,39,74,75,53,46,34
0,45,33,41,56,72,54,46,32
0,45,37,36,60,67,48,48,38
0,48,37,30,67,50,49,28,42
0,50,33,30,82,37,34,28,56
0,51,32,28,69,42,27,26,62
0,39,42,30,88,59,24,26,74
0,66,50,31,78,67,29,31,66
0,75,61,32,60,62,29,30,50
0,85,63,30,61,53,32,43,34
0,77,60,37,62,53,29,57,32
0,48,48,92,66,46,86,64,54
0,38,49,94,66,44,86,56,62
0,36,57,91,48,38,89,70,64
0,36,63,87,32,36,95,95,71
0,51,62,85,30,34,83,107,71
0,79,54,77,34,30,68,98,70
0,80,46,72,37,34,63,78,61
0,72,41,67,37,48,55,48,53
0,42,49,81,39,48,45,39,44
0,49,43,77,36,48,48,42,38
0,50,54,87,43,30,51,53,41
0,50,40,76,56,30,57,57,56
0,41,38,86,52,35,46,54,56
0,52,36,79,64,38,45,56,54
0,54,31,79,41,38,38,62,49
0,69,37,79,44,35,47,60,52
0,68,37,68,37,39,51,66,53
0,66,43,69,31,45,45,57,56
0,50,45,71,34,48,46,50,54
0,38,51,83,38,44,41,41,54
0,37,57,85,41,35,42,47,48
0,44,49,77,46,31,47,44,45
0,50,43,73,50,34,47,47,50
0,47,41,61,60,47,44,52,50
0,54,45,55,67,45,46,57,46
0,41,49,43,69,45,54,62,36
0,54,47,44,67,28,63,64,37
0,52,39,54,52,32,54,60,39
0,50,34,58,37,31,41,52,49
0,47,29,74,31,33,36,50,48
0,30,33,70,43,38,40,46,62
0,34,41,70,64,50,47,51,62
0,42,45,64,64,65,53,53,71
0,48,47,59,61,68,44,52,60
0,46,47,55,39,64,48,55,51
0,56,40,50,44,53,48,49,41
0,50,37,41,56,51,52,49,35
0,50,28,42,65,58,48,53,33
0,37,33,48,78,56,46,51,30
0,32,40,56,64,53,51,46,34
0,47,46,63,54,48,52,36,37
0,46,50,61,36,55,59,29,33
0,46,48,65,34,55,47,32,34
0,32,46,63,60,49,38,37,37
0,30,39,59,60,51,47,42,48
0,30,37,58,59,44,53,40,60
0,38,40,58,34,44,52,34,59
0,46,44,60,30,41,41,30,50
0,46,47,69,41,32,39,30,37
0,54,39,79,48,36,47,32,27
0,46,43,74,46,39,43,36,25
0,46,43,68,69,45,43,41,27
0,30,37,59,82,50,45,54,30
0,47,36,63,91,54,45,59,35
0,48,33,62,74,50,44,61,44
0,50,41,60,47,45,47,60,37
0,44,42,66,27,36,57,53,49
0,50,44,65,29,30,54,51,57
0,62,42,68,65,52,54,51,59
