Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
7.589,-2.21211,-0.160227,0.0664588,-6.82389,-0.0967365,-0.0274131,-0.158061,1.36896,F1,-0.1127084916377496,-0.0082844071056452,0.0112046192782338,2.640803970592068,-0.1944108935164326,-0.0349172932084433,-0.0826322161226534,0.546978713012979,-0.1127084916377496,-0.0082844071056452,0.0112046192782338,2.640803970592068,-0.1944108935164326,-0.0349172932084433,-0.0826322161226534,0.546978713012979
7.59,-2.50076,-0.16954,0.0694437,-6.7408,-0.121278,0.0619802,-0.155876,1.24421,0,-0.2827140802304728,-0.0199275230727288,0.0136984516748537,2.876401455302706,-0.2164026143685716,0.0353204218463231,-0.0926992164884836,0.5032249084584017,-0.2827140802304728,-0.0199275230727288,0.0136984516748537,2.876401455302706,-0.2164026143685716,0.0353204218463231,-0.0926992164884836,0.5032249084584017
7.591,-2.77003,-0.182642,0.0695051,-6.5699,-0.135479,0.127846,-0.142983,1.03324,0,-0.3595599688635886,-0.0374921570529418,0.0148368168482333,3.036804028809465,-0.2032021577675381,0.0852204743809997,-0.0916215766966379,0.3841331468093666,-0.3595599688635886,-0.0374921570529418,0.0148368168482333,3.036804028809465,-0.2032021577675381,0.0852204743809997,-0.0916215766966379,0.3841331468093666
7.592,-3.03783,-0.19104,0.0698631,-6.36059,-0.136358,0.203316,-0.107452,0.765778,0,-0.3582935191532057,-0.050616221569679,0.0165885458278252,3.0840424999335623,-0.1622672217160388,0.143642752764563,-0.0711997094795856,0.21452189496379,-0.3582935191532057,-0.050616221569679,0.0165885458278252,3.0840424999335623,-0.1622672217160388,0.143642752764563,-0.0711997094795856,0.21452189496379
7.593,-3.2848,-0.188172,0.0647876,-6.14449,-0.121457,0.221182,-0.062591,0.674905,0,-0.2290813217809693,-0.0538315412987672,0.0133839014350181,2.946616613606426,-0.0900974743843665,0.146535331571099,-0.0420680547820404,0.2326820217249668,-0.2290813217809693,-0.0538315412987672,0.0133839014350181,2.946616613606426,-0.0900974743843665,0.146535331571099,-0.0420680547820404,0.2326820217249668
7.594,-3.51631,-0.173436,0.0600168,-5.91847,-0.085969,0.200546,-0.0185441,0.613485,0,0.0387435633227961,-0.0449579986691543,0.0097723452666101,2.754545311535696,0.0031155840747219,0.1119408306804907,-0.0162730054362938,0.2722620069381455,0.0387435633227961,-0.0449579986691543,0.0097723452666101,2.754545311535696,0.0031155840747219,0.1119408306804907,-0.0162730054362938,0.2722620069381455
7.595,-3.7335,-0.153508,0.0548254,-5.68349,-0.0705716,0.161753,0.0201942,0.456618,0,0.3798052984598772,-0.0316120365761925,0.0052539246348487,2.432225356155919,0.0761544777273797,0.059008521410728,0.0032570085862389,0.2261685003481106,0.3798052984598772,-0.0316120365761925,0.0052539246348487,2.432225356155919,0.0761544777273797,0.059008521410728,0.0032570085862389,0.2261685003481106
7.596,-3.93103,-0.133479,0.0514278,-5.39162,-0.0669273,0.13454,0.0512028,0.278936,0,0.8473301287853541,-0.0178974569542843,0.0012504357289466,2.1957524006379083,0.1224671737488844,0.02015338456726,0.0141901776451028,0.1402648860842559,0.8473301287853541,-0.0178974569542843,0.0012504357289466,2.1957524006379083,0.1224671737488844,0.02015338456726,0.0141901776451028,0.1402648860842559
7.597,-4.11216,-0.113491,0.0502998,-5.06022,-0.0606707,0.152944,0.066077,-0.0094784,0,1.282124807775734,-0.0046741308442104,-0.001281080078619,1.9535123377403671,0.1581088702816948,0.0241449035998088,0.0084442843439302,-0.048452278048972,1.282124807775734,-0.0046741308442104,-0.001281080078619,1.9535123377403671,0.1581088702816948,0.0241449035998088,0.0084442843439302,-0.048452278048972
7.598,-4.26847,-0.0943824,0.0461642,-4.76486,-0.0507784,0.180706,0.0640866,-0.271094,0,1.7784383933002357,0.0075023080523944,-0.0079179187586449,1.7683260864051862,0.1738279065121905,0.0408110945565105,-0.0130231231472265,-0.2339435174274941,1.7784383933002357,0.0075023080523944,-0.0079179187586449,1.7683260864051862,0.1738279065121905,0.0408110945565105,-0.0130231231472265,-0.2339435174274941
