Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.0,0.0311495,0.0700386,-0.00294645,0.0564806,-0.0105994,-0.0174061,-0.0554459,-0.718478,0,-0.0387422265836797,0.0228517373853681,-0.0028851868260835,0.0222246946904089,-0.0013041238776277,-0.0002391672564539,0.0360798745715312,-0.1361623239382646,-0.0387422265836797,0.0228517373853681,-0.0028851868260835,0.0222246946904089,-0.0013041238776277,-0.0002391672564539,0.0360798745715312,-0.1361623239382646
0.001,0.0354263,0.0634269,-0.000894092,0.0539925,-0.00140597,-0.0142648,-0.0549631,-0.667069,0,-0.0517665357821737,0.0204091235174782,-0.0016525495143773,0.0236200169067387,0.007565349279998,0.0027403956407181,0.0550533146283265,-0.1086429239579818,-0.0517665357821737,0.0204091235174782,-0.0016525495143773,0.0236200169067387,0.007565349279998,0.0027403956407181,0.0550533146283265,-0.1086429239579818
0.002,0.0433422,0.0559801,-0.000490627,0.0549418,0.00101632,-0.0150468,-0.0600751,-0.614933,0,-0.0553584570395707,0.016264424327041,-0.001026671273443,0.0284345624138171,0.0104953980702502,0.0020143480593338,0.0560654395910474,-0.0778194930873398,-0.0553584570395707,0.016264424327041,-0.001026671273443,0.0284345624138171,0.0104953980702502,0.0020143480593338,0.0560654395910474,-0.0778194930873398
0.003,0.0528948,0.0478406,0.0013233,0.0581081,-0.00312239,-0.0184904,-0.0621536,-0.568118,0,-0.0479101003645835,0.0123160978551482,-0.0003497412891009,0.0355455882072945,0.0055571540899842,-0.0013712654067896,0.0420200153623337,-0.0568609208722074,-0.0479101003645835,0.0123160978551482,-0.0003497412891009,0.0355455882072945,0.0055571540899842,-0.0013712654067896,0.0420200153623337,-0.0568609208722074
0.004,0.0630497,0.0405666,0.00292015,0.0595857,-0.00295565,-0.0199418,-0.0637082,-0.523294,0,-0.0330049728681543,0.0084202312258357,0.0014832404327011,0.0411367390292457,0.005372093701557,-0.0027234859715321,0.0167946523230744,-0.0343211482756543,-0.0330049728681543,0.0084202312258357,0.0014832404327011,0.0411367390292457,0.005372093701557,-0.0027234859715321,0.0167946523230744,-0.0343211482756543
0.005,0.0707819,0.0319495,0.00573288,0.0531891,0.000215084,-0.0196586,-0.0690307,-0.481137,0,-0.0127186670395436,0.0037801298565238,0.0031017198475003,0.0389256766275474,0.0069643062650477,-0.002438604871023,-0.0242165979677847,-0.0162823453528687,-0.0127186670395436,0.0037801298565238,0.0031017198475003,0.0389256766275474,0.0069643062650477,-0.002438604871023,-0.0242165979677847,-0.0162823453528687
0.006,0.0763338,0.022934,0.00602544,0.0400349,0.000990502,-0.017878,-0.066198,-0.440083,0,0.0089912106457879,-0.0017862565045138,0.0037461746324406,0.0303376992732596,0.0062849731303712,-0.0007570840163869,-0.0607586043525702,0.0045681999056698,0.0089912106457879,-0.0017862565045138,0.0037461746324406,0.0303376992732596,0.0062849731303712,-0.0007570840163869,-0.0607586043525702,0.0045681999056698
0.007,0.0827757,0.0122146,0.00626824,0.0303578,0.00111515,-0.0183601,-0.0492586,-0.400911,0,0.0340701340016956,-0.0087301814919275,0.0030366069346394,0.0252602192544282,0.0040796362915948,-0.0015913458932586,-0.0833033168236723,0.0240651090728148,0.0340701340016956,-0.0087301814919275,0.0030366069346394,0.0252602192544282,0.0040796362915948,-0.0015913458932586,-0.0833033168236723,0.0240651090728148
0.008,0.0906072,0.00435208,0.00575636,0.0131149,0.00138935,-0.018657,-0.028798,-0.363582,0,0.0583197755853796,-0.0129246773465402,0.0030438496915293,0.0131576819371309,0.0019810593359239,-0.0023519602686171,-0.0950691381864471,0.0448820532916003,0.0583197755853796,-0.0129246773465402,0.0030438496915293,0.0131576819371309,0.0019810593359239,-0.0023519602686171,-0.0950691381864471,0.0448820532916003
0.009,0.0974137,-0.000997095,0.00743147,-0.00343676,0.00108436,-0.0187867,-0.0189296,-0.330883,0,0.0777962077330994,-0.0144547190332801,0.0042118372544889,0.0016371644072061,-0.0010437385296948,-0.0033473430914408,-0.1059677280320969,0.0627996537450574,0.0777962077330994,-0.0144547190332801,0.0042118372544889,0.0016371644072061,-0.0010437385296948,-0.0033473430914408,-0.1059677280320969,0.0627996537450574
0.01,0.10183,-0.00414925,0.00530701,-0.0206749,0.000285862,-0.0173486,-0.0204,-0.302356,0,0.0874922691200314,-0.0135101380257911,0.0027172933233707,-0.0099559844477782,-0.0046231126901115,-0.0027302717986371,-0.113274670253053,0.0779274683095623,0.0874922691200314,-0.0135101380257911,0.0027172933233707,-0.0099559844477782,-0.0046231126901115,-0.0027302717986371,-0.113274670253053,0.0779274683095623
0.011,0.104114,-0.00893751,0.00488539,-0.0404912,-0.000219344,-0.0138587,-0.0302005,-0.278279,0,0.0875398362286723,-0.0140925208691633,0.0022523310256666,-0.0245107681108353,-0.007724194783798,-0.0005494211559648,-0.112354076689434,0.090231941390469,0.0875398362286723,-0.0140925208691633,0.0022523310256666,-0.0245107681108353,-0.007724194783798,-0.0005494211559648,-0.112354076689434,0.090231941390469
0.012,0.1038,-0.0193576,0.00380833,-0.0488866,0.0009528,-0.0142948,-0.0329144,-0.256027,0,0.076053456642794,-0.0198536010912283,0.001758513533695,-0.0270350355023735,-0.0091762298707576,-0.0019757069250057,-0.089579024796691,0.0999008799314054,0.076053456642794,-0.0198536010912283,0.001758513533695,-0.0270350355023735,-0.0091762298707576,-0.0019757069250057,-0.089579024796691,0.0999008799314054
0.013,0.101214,-0.0281733,0.00430067,-0.0572963,0.00497998,-0.0138549,-0.0280709,-0.238292,0,0.055531227059223,-0.0238277402527339,0.0025033043950246,-0.0303074426117035,-0.0072269811687412,-0.0030139563979351,-0.0467922045567763,0.1057994734607783,0.055531227059223,-0.0238277402527339,0.0025033043950246,-0.0303074426117035,-0.0072269811687412,-0.0030139563979351,-0.0467922045567763,0.1057994734607783
0.014,0.103741,-0.0369539,0.00543174,-0.0677635,0.0086001,-0.0105341,-0.0295007,-0.225225,0,0.0343604410872717,-0.0274371067961102,0.0039856639583635,-0.0350809741624988,-0.0057496920248027,-0.0005811079557985,-0.0038430131506176,0.1045315389076018,0.0343604410872717,-0.0274371067961102,0.0039856639583635,-0.0350809741624988,-0.0057496920248027,-0.0005811079557985,-0.0038430131506176,0.1045315389076018
0.015,0.104956,-0.0427985,0.00497678,-0.0784884,0.0104218,-0.00333966,-0.0341884,-0.216214,0,0.009975058144002,-0.0277922957544869,0.0038124818723237,-0.0411406158262167,-0.0054264192243199,0.0053123797069885,0.0372232013046379,0.099147495450104,0.009975058144002,-0.0277922957544869,0.0038124818723237,-0.0411406158262167,-0.0054264192243199,0.0053123797069885,0.0372232013046379,0.099147495450104
0.016,0.0971951,-0.043231,0.00457507,-0.0879147,0.013512,0.00217208,-0.0338377,-0.208571,0,-0.0226823073356692,-0.0227717449035767,0.0034177180354105,-0.0454452407247598,-0.0040780079470562,0.0102448863335588,0.077440950637495,0.0894879438027706,-0.0226823073356692,-0.0227717449035767,0.0034177180354105,-0.0454452407247598,-0.0040780079470562,0.0102448863335588,0.077440950637495,0.0894879438027706
0.017,0.0902359,-0.0404153,0.00280483,-0.0833739,0.0141252,0.00335178,-0.0333883,-0.202807,0,-0.0501996301000601,-0.0140565806473001,0.0017226452236873,-0.0368873134964274,-0.0046902172047508,0.0105560246853477,0.107144780490803,0.0778114483324342,-0.0501996301000601,-0.0140565806473001,0.0017226452236873,-0.0368873134964274,-0.0046902172047508,0.0105560246853477,0.107144780490803,0.0778114483324342
0.018,0.0882459,-0.0383705,0.00553816,-0.074618,0.01614,-0.00275461,-0.0356801,-0.200052,0,-0.0655321253177494,-0.0065729672351613,0.0041494867824777,-0.0238354194201261,-0.0044441297301585,0.004195672182228,0.1184239401811598,0.0613218807035789,-0.0655321253177494,-0.0065729672351613,0.0041494867824777,-0.0238354194201261,-0.0044441297301585,0.004195672182228,0.1184239401811598,0.0613218807035789
0.019,0.0883968,-0.0405532,0.00575074,-0.0679635,0.0179265,-0.0108341,-0.0367593,-0.197002,0,-0.0703534376216371,-0.002821730432716,0.0041320094677022,-0.0137211756746563,-0.0041107833329659,-0.004272799791402,0.1141053317708033,0.0457227372115001,-0.0703534376216371,-0.002821730432716,0.0041320094677022,-0.0137211756746563,-0.0041107833329659,-0.004272799791402,0.1141053317708033,0.0457227372115001
0.02,0.0875242,-0.0435282,0.00378807,-0.0752126,0.0194983,-0.01133,-0.0346461,-0.195066,0,-0.0657730515625844,-0.0005760736012131,0.0017250447892356,-0.0175476598131554,-0.0048532829264425,-0.0049016433306752,0.0953398138727095,0.0293652693576002,-0.0657730515625844,-0.0005760736012131,0.0017250447892356,-0.0175476598131554,-0.0048532829264425,-0.0049016433306752,0.0953398138727095,0.0293652693576002
0.021,0.0871611,-0.0485782,0.00421824,-0.0879914,0.0222856,-0.00811723,-0.0312051,-0.195445,0,-0.0529436044290567,3.348188023912652e-06,0.0016883313108227,-0.0271194281711767,-0.0041481763003285,-0.0017540565357003,0.0643645436891663,0.0123048903371281,-0.0529436044290567,3.348188023912652e-06,0.0016883313108227,-0.0271194281711767,-0.0041481763003285,-0.0017540565357003,0.0643645436891663,0.0123048903371281
