Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,-0.00501305,0.115779,-0.0203823,0.0763481,0.00201219,-0.015546,-0.00910072,-0.00368499,
0.001,-0.0259999,0.111191,-0.0122075,0.0753904,0.0059763,-0.0194695,-0.00985927,-0.0082815,
0.002,-0.0461612,0.103723,-0.00510108,0.0715787,0.00791316,0.00202236,-0.0104736,-0.00884624,
0.003,-0.0611732,0.0853112,-0.00322625,0.0660214,0.000999753,0.0183057,-0.0159138,0.00186188,
0.004,-0.074435,0.0689419,-0.00658295,0.0618205,-0.00852003,0.0136553,-0.0212089,0.0101438,
0.005,-0.0839276,0.0601251,-0.0158332,0.0545516,-0.0173661,-0.00120164,-0.01499,0.0105921,
0.006,-0.0709368,0.0607113,-0.0272428,0.0496412,-0.0227154,-0.0070123,-0.00952607,0.00427818,
0.007,-0.0606282,0.0750466,-0.0375717,0.0425353,-0.023581,0.00210883,-0.00829856,-0.000724492,
0.008,-0.071123,0.0876232,-0.0404921,0.0371244,-0.026236,0.0140972,-0.00718621,-0.0095151,
0.009,-0.061173,0.0928832,-0.0384082,0.0310794,-0.0304014,0.00931846,-0.00263714,-0.0193671,
0.01,-0.0244639,0.10877,-0.0334354,0.0252346,-0.0336969,-0.00986952,-0.00224921,-0.0250852,
0.011,0.0094865,0.120185,-0.0316737,0.0181831,-0.0347863,-0.0228839,-0.00332113,-0.0286032,
0.012,0.00959195,0.119111,-0.0241822,0.0136847,-0.035371,-0.0233747,-0.00918726,-0.0330223,
0.013,-0.00246993,0.106538,-0.00614234,0.00999841,-0.0362126,-0.0222739,-0.0120395,-0.0353376,
0.014,-0.0086091,0.10114,0.0172907,0.00703533,-0.0344224,-0.0219305,-0.0143907,-0.0372282,
0.015,-0.0202172,0.101231,0.0317024,-0.00095463,-0.0261172,-0.0222365,-0.0191237,-0.040144,
0.016,-0.0194262,0.103187,0.0311228,-0.00683589,-0.0243053,-0.0287608,-0.0223132,-0.0439073,
0.017,-0.0235383,0.108824,0.0218738,-0.0136869,-0.0217187,-0.0306593,-0.0234304,-0.0469396,
0.018,-0.0289975,0.10905,0.0137312,-0.0184819,-0.0269806,-0.0278378,-0.0255779,-0.0493027,
0.019,-0.0242244,0.0911129,0.0122775,-0.0250064,-0.0283224,-0.0237994,-0.0271686,-0.0475127,
0.02,-0.018461,0.0696965,0.0123461,-0.0308357,-0.0198877,-0.020157,-0.026839,-0.0499394,
0.021,-0.00905146,0.058196,0.0030958,-0.035307,-0.0200978,-0.0161726,-0.0255565,-0.0510047,
0.022,0.00129328,0.0496501,-0.00135152,-0.0399795,-0.0213703,-0.0218415,-0.0199122,-0.050873,
0.023,0.0045638,0.0401629,0.00121332,-0.0461956,-0.0199959,-0.0336466,-0.0126743,-0.0496957,
0.024,0.0130464,0.0341829,0.00200501,-0.0508453,-0.0198869,-0.0392902,-0.00412377,-0.047613,
0.025,0.00823217,0.0170869,0.00338749,-0.0590544,-0.0208605,-0.0416888,0.000529332,-0.0461705,
0.026,0.00333722,-0.00802689,0.00881091,-0.0674128,-0.030543,-0.0362977,-0.00104809,-0.0431524,
0.027,0.00195818,-0.0306256,0.0155383,-0.0765204,-0.0249623,-0.0192702,-0.00585245,-0.0430401,
0.028,-0.00346325,-0.0466064,0.0204947,-0.0847612,-0.0246886,-0.0107773,-0.00488992,-0.041168,
0.029,-0.000274053,-0.0574461,0.0238767,-0.0928674,-0.0396071,-0.00191409,-0.00321386,-0.0406162,
0.03,0.00747458,-0.0644583,0.0201983,-0.0972231,-0.0525955,0.000817068,-0.000225854,-0.041902,
0.031,0.00278886,-0.0617212,0.0147135,-0.101826,-0.053867,-0.00175792,0.00245205,-0.0412034,
0.032,-0.0302819,-0.0477595,0.0126753,-0.107284,-0.0414714,-0.0081721,0.00413259,-0.0373701,
0.033,-0.0549233,-0.0504512,0.0129124,-0.11411,-0.0294353,-0.0206687,0.00281475,-0.0315646,
0.034,-0.0557765,-0.0561226,0.0165214,-0.119899,-0.0199262,-0.0262459,-0.00107382,-0.0297663,
0.035,-0.0361016,-0.0543807,0.0109556,-0.125419,0.0100044,-0.0250948,-0.00501575,-0.0321338,
0.036,-0.00952895,-0.0497961,-0.0017623,-0.130622,0.0409797,-0.0351504,-0.00896573,-0.0345161,
0.037,-0.0140779,-0.0378311,-0.00777923,-0.13547,0.0406931,-0.0490954,-0.00863259,-0.0333351,
0.038,-0.0291021,-0.021726,-0.00796776,-0.139223,0.0212574,-0.0393316,-0.00602387,-0.0290815,
0.039,-0.0324652,-0.00715277,-0.00242171,-0.143372,0.0329599,-0.031173,-0.0028899,-0.0229141,
0.04,-0.0392021,-0.0103199,0.0136861,-0.150618,0.0458802,-0.029416,-0.00357824,-0.00805676,
0.041,-0.0388513,-0.0244945,0.0380424,-0.159714,0.038468,-0.025386,-0.00400831,0.00566337,
0.042,-0.030967,-0.0274802,0.0657428,-0.168152,0.0348524,-0.0250899,-0.00279156,0.00269941,
0.043,-0.0208969,-0.0186679,0.0854343,-0.171647,0.0338225,-0.0329632,-0.000163148,-0.01107,
0.044,-0.0288645,-0.00968196,0.0838605,-0.157333,0.0371481,-0.0385844,0.00436978,-0.0311902,
0.045,-0.0537054,-0.00487473,0.0618261,-0.134834,0.0328542,-0.0337002,0.00908859,-0.0473852,
0.046,-0.0687641,-0.00725313,0.0301268,-0.112517,0.0255678,-0.028295,0.00613302,-0.0444537,
0.047,-0.0440661,-0.0108432,-0.000425141,-0.102555,0.0207206,-0.0352288,-0.00340903,-0.0427626,
0.048,-0.000187265,-0.0161537,-0.0212229,-0.108957,0.0180138,-0.035717,-0.00862149,-0.0449724,
0.049,0.0442575,-0.0250233,-0.0305969,-0.11378,0.0185889,-0.0341755,-0.0135956,-0.0384632,
0.05,0.0505335,-0.0319183,-0.0349981,-0.129909,0.017733,-0.0230911,-0.0176064,-0.0308584,
0.051,0.0649494,-0.0356275,-0.0400266,-0.147092,0.0121061,-0.0201648,-0.0200361,-0.0251962,
0.052,0.0812793,-0.0351339,-0.0462502,-0.121766,0.0102091,-0.0214494,-0.0260353,-0.0148689,
0.053,0.0530449,-0.0380996,-0.0470606,-0.0819497,0.0143755,-0.00296084,-0.0329189,0.0185267,
0.054,-0.00343948,-0.0418851,-0.0453123,-0.0398773,0.0194775,0.0132811,-0.0270329,0.0778851,
0.055,-0.0348828,-0.0406656,-0.0434872,-0.0167504,0.0182528,-0.00443514,-0.0165607,0.128618,
0.056,-0.0586347,-0.0358416,-0.0444334,-0.0023401,0.0130008,-0.0307084,-0.010013,0.141686,
0.057,-0.0996233,-0.0286528,-0.0470383,0.06325,0.0128243,-0.01735,0.003021,0.117898,
0.058,-0.131693,-0.0187727,-0.0418257,0.129854,0.00355943,0.0265084,0.0165755,0.0958279,
0.059,-0.121042,-0.00594428,-0.0348693,0.167679,-0.00424683,0.0587104,0.0382488,0.085322,
0.06,-0.101974,0.00505983,-0.0342537,0.173959,-0.00859652,0.0713678,0.0645979,0.0777643,
0.061,-0.108374,0.0200641,-0.0334286,0.218145,-0.0141785,0.0436776,0.0791447,0.0720832,
0.062,-0.0884495,0.0383784,-0.0232095,0.267633,0.00261222,0.0112074,0.0748731,0.0666318,
0.063,-0.0325225,0.0494552,-0.0141874,0.270883,0.0243662,-0.0024245,0.0494446,0.0649498,
0.064,-0.00980697,0.0556029,-0.0190227,0.271033,0.045952,-0.0301681,0.032208,0.0636782,
0.065,0.0011069,0.0602632,-0.0208717,0.279774,0.0629447,-0.0428957,0.0257143,0.061338,
0.066,0.0605672,0.0657097,-0.0144566,0.274509,0.0616422,-0.0333477,0.0207346,0.0566593,
0.067,0.149996,0.075308,-0.00805574,0.25785,0.0530717,-0.0330142,0.014264,0.0499913,
0.068,0.13903,0.0855443,-0.00171923,0.237821,0.0312173,-0.0356522,0.00868748,0.036693,
0.069,0.0848344,0.0827496,0.00663402,0.229164,0.0193509,-0.0280569,0.00676254,0.0227451,
0.07,0.0632708,0.0821871,0.0124009,0.251567,0.0232734,-0.0180756,0.00729148,0.0133107,
0.071,0.0154479,0.0899023,0.0130527,0.245203,0.0294248,-0.00965753,0.0070954,0.0149277,
0.072,-0.056716,0.10253,0.00858032,0.206945,0.0331842,-0.0104457,0.00698388,0.02038,
0.073,-0.0996095,0.118535,0.00539782,0.19532,0.0341321,-0.0049823,0.0026944,0.0269576,
0.074,-0.106252,0.126647,0.00335385,0.209515,0.0361818,0.025664,-0.00232356,0.0330219,
0.075,-0.0652675,0.141309,0.0023087,0.220974,0.0398611,0.055069,-0.003673,0.0378722,
0.076,-0.0381302,0.173482,0.00425904,0.224233,0.0427754,0.0540899,0.00240341,0.0366626,
0.077,-0.0288118,0.200574,0.010192,0.216785,0.0180701,0.0375541,0.0155346,0.0316469,
0.078,-0.0292462,0.227945,0.0124149,0.201523,-0.00826232,0.0261709,0.0232914,0.0283437,
0.079,-0.0196458,0.268706,0.0177969,0.186673,-0.018056,0.0235734,0.0150086,0.0279538,
0.08,-0.0170571,0.316313,0.0265586,0.173661,-0.0276753,0.032108,0.0121026,0.0286468,
0.081,-0.0113114,0.382765,0.0296475,0.172912,-0.0349295,0.0359852,0.0103097,0.0260078,
0.082,0.0134089,0.490263,0.0256883,0.166377,-0.0315712,0.0336833,0.00594684,0.0233448,
0.083,0.0429309,0.690134,0.0227681,0.156269,-0.040343,0.0345723,0.00436416,0.0213837,
0.084,0.108918,1.02008,0.0214709,0.131067,-0.0311397,0.0339454,0.00377684,0.0150767,
0.085,0.171012,0.924721,0.0137842,0.0986958,-0.00722703,0.0348446,0.000507716,0.00932389,
0.086,0.159026,0.548449,-0.000762244,0.0738422,-0.0204389,0.0356269,-0.00362628,0.0026764,
0.087,0.147035,0.235729,-0.0132994,0.0606063,-0.0364708,0.0334601,-0.00492542,-0.00114508,
0.088,0.207369,-0.0153646,-0.0247009,0.0461272,-0.0271532,0.0337213,-0.00801932,-0.00675135,
0.089,0.227421,-0.199152,-0.0307664,0.0320921,-0.00739584,0.0318177,-0.00979579,-0.0124303,
0.09,0.256453,-0.342457,-0.0357146,0.0135734,-0.00149007,0.0266395,-0.0111265,-0.0124536,
0.091,0.265264,-0.478609,-0.0453141,-0.0107917,0.0321124,0.0222215,-0.0134744,-0.00689363,
0.092,0.210446,-0.667526,-0.0517394,-0.0322023,0.0531418,0.0234519,-0.0131313,-0.0121562,
0.093,0.15506,-0.887347,-0.0581937,-0.0572643,0.072352,0.031659,-0.0147183,-0.0231582,
0.094,0.111661,-1.10331,-0.0617612,-0.0802947,0.0848478,0.0387144,-0.0165326,-0.0305022,
0.095,0.085312,-1.27481,-0.0656269,-0.105616,0.0652109,0.0432895,-0.019938,-0.0495037,
0.096,0.074562,-1.39268,-0.0689866,-0.124178,0.0513364,0.0442596,-0.017593,-0.0649077,
0.097,0.0893654,-1.45797,-0.0668998,-0.139564,0.0524507,0.0378527,-0.00534766,-0.0721036,
0.098,0.100525,-1.45853,-0.0650758,-0.158432,0.0643289,0.0336367,0.00540619,-0.0749786,
0.099,0.0673176,-1.40997,-0.0599301,-0.176559,0.0761489,0.0348788,0.0147813,-0.0662916,
0.1,0.0436182,-1.32759,-0.0547806,-0.188894,0.0722058,0.0379698,0.0207586,-0.0547838,
0.101,0.0275896,-1.22205,-0.0489451,-0.197504,0.0532747,0.0319877,0.0251684,-0.0423449,
0.102,-0.00295802,-1.10416,-0.0425516,-0.211994,0.0322031,0.0253192,0.028183,-0.0306204,
0.103,-0.0103309,-0.985524,-0.0364253,-0.226414,0.0108753,0.0223593,0.0292537,-0.0224364,
0.104,-0.010426,-0.88254,-0.0305682,-0.235633,-0.00128519,0.0346586,0.0286324,-0.0301203,
0.105,-0.0120444,-0.782302,-0.0221473,-0.242356,-0.00827339,0.0444028,0.0336359,-0.0570695,
0.106,-0.00575281,-0.678659,-0.0165392,-0.249639,-0.0100375,0.0390952,0.0434335,-0.0663606,
0.107,0.0157986,-0.577696,-0.0112692,-0.253026,-0.0179115,0.0307713,0.047346,-0.0787585,
0.108,0.0247967,-0.48112,-0.00562038,-0.258624,-0.0210603,0.0234538,0.0433061,-0.101492,
0.109,0.0108435,-0.388974,-0.0011054,-0.262467,-0.0116044,0.0248529,0.0409384,-0.117318,
0.11,0.00344078,-0.311195,0.00452339,-0.26469,0.0114655,0.0401192,0.0421455,-0.115683,
0.111,-0.00959538,-0.240662,0.00823197,-0.267547,0.0439351,0.0593961,0.0464098,-0.104649,
0.112,-0.0266664,-0.167646,0.0130895,-0.270142,0.0409895,0.0691907,0.0475896,-0.0799112,
0.113,-0.0442294,-0.0965653,0.0153527,-0.270991,0.027377,0.0777933,0.0482123,-0.069059,
0.114,-0.0556814,-0.0390167,0.017486,-0.271667,0.0188503,0.0675577,0.0525855,-0.0702422,
0.115,-0.0603366,-0.00702385,0.0201961,-0.269269,0.0176059,0.0602866,0.0495088,-0.0690088,
0.116,-0.0576664,-0.0156888,0.0198353,-0.268412,0.0183882,0.04782,0.0414407,-0.0642625,
0.117,-0.0465696,-0.0932591,0.0161194,-0.265975,0.0152341,0.0415957,0.0326706,-0.061467,
0.118,-0.0417599,-0.301002,0.0137983,-0.261403,0.00941664,0.0556679,0.0283199,-0.0589372,
0.119,-0.0487773,-0.273215,0.0162394,-0.255658,0.00276604,0.0615823,0.0242626,-0.0566363,
0.12,-0.0588294,0.075734,0.0156769,-0.24816,0.00182783,0.0788157,0.0183587,-0.0446122,
0.121,-0.0600597,0.349139,0.0181979,-0.238427,0.00156548,0.106337,0.0137415,-0.0264215,
0.122,-0.0600401,0.56212,0.0233522,-0.229604,-0.0115769,0.121191,0.011684,-0.0257334,
0.123,-0.0660139,0.740212,0.0257679,-0.217313,-0.0137401,0.10796,0.0168036,-0.02666,
0.124,-0.0678732,0.882284,0.0272158,-0.201357,-0.0142165,0.0507691,0.0330155,-0.024702,
0.125,-0.0569435,0.991172,0.0306462,-0.186559,-0.00827454,-0.00697951,0.0543832,-0.0174302,
0.126,-0.0350743,1.06745,0.0385833,-0.174235,0.00243728,-0.0207862,0.0502299,-0.00917415,
0.127,-0.0202555,1.12461,0.0545772,-0.160544,0.00866084,-0.0157382,0.029066,-0.00367541,
0.128,-0.0165957,1.17161,0.0674427,-0.145018,0.0166255,-0.0143258,0.00971036,0.00649173,
0.129,-0.0254137,1.21267,0.0611886,-0.129406,0.0182204,-0.0224353,-0.000836667,0.018472,
0.13,-0.0257718,1.23944,0.0455834,-0.115217,0.0143044,-0.0308844,-0.00795759,0.0227008,
0.131,-0.0237923,1.25049,0.0333804,-0.0987835,0.00991767,-0.0303382,-0.0148992,0.0202133,
0.132,-0.0219322,1.25959,0.025624,-0.0847618,0.00303201,-0.0227503,-0.0194994,0.00629223,
0.133,-0.0187707,1.27368,0.021052,-0.0700625,0.00680157,-0.0183688,-0.0192054,-0.00956265,
0.134,-0.0102601,1.28448,0.0185505,-0.0562861,0.00837876,-0.0196213,-0.018945,-0.009934,
0.135,0.000662293,1.27286,0.0157253,-0.0426765,0.010173,-0.0207569,-0.0194215,-0.00970458,
0.136,0.0043565,1.25936,0.00839152,-0.0285897,0.0128411,-0.0154038,-0.0240684,-0.00753383,
0.137,-0.00246283,1.25531,0.00927964,-0.0148943,0.0176489,0.00470453,-0.032264,0.00196504,
0.138,0.000846662,1.26473,0.0151176,0.00262044,0.0214163,0.0323874,-0.0391885,0.0148708,
0.139,0.00435195,1.26474,0.0194989,0.0183341,0.021411,0.0507563,-0.042823,0.0213896,
0.14,0.00799322,1.27042,0.0140789,0.0330828,0.00893497,0.0453346,-0.0471233,0.0216396,
0.141,0.0124251,1.2692,0.00380344,0.0482976,-0.0042658,0.0307783,-0.0434465,0.0256956,
0.142,0.0118273,1.28643,-0.00702611,0.0609574,-0.0101855,0.0275928,-0.0414189,0.0308685,
0.143,0.0168148,1.28357,-0.0161106,0.0734313,-0.0140314,0.0320944,-0.0415279,0.0327046,
0.144,0.0223147,1.26372,-0.0257324,0.0849264,-0.0160565,0.0346644,-0.0420495,0.0344793,
0.145,0.0211158,1.26864,-0.035725,0.097598,-0.0200364,0.0362408,-0.044328,0.0432659,
0.146,0.019107,1.33766,-0.0459406,0.106204,-0.0150364,0.0369334,-0.0445463,0.0480917,
0.147,0.0263313,1.45519,-0.0569498,0.114763,0.00899482,0.0389641,-0.04085,0.0501621,
0.148,0.0301002,1.49398,-0.0635716,0.12319,0.0300809,0.0236943,-0.0401778,0.0540815,
0.149,0.0301418,1.38968,-0.0493314,0.13283,0.023639,0.00638981,-0.037855,0.0574231,
0.15,0.0283778,1.19084,-0.0285581,0.140573,0.0176077,-0.00402357,-0.033411,0.063768,
0.151,0.027897,0.943719,-0.0129525,0.147301,0.0190607,-0.0126644,-0.0321277,0.0655461,
0.152,0.0299328,0.676601,-0.000511801,0.153068,0.0163135,-0.0147458,-0.0349865,0.0435208,
0.153,0.0298577,0.404198,0.00838781,0.159344,0.00216915,-0.0069077,-0.0342963,0.0188772,
0.154,0.0322041,0.138597,0.0134505,0.165263,-0.0174281,-0.00334685,-0.0277062,0.00352857,
0.155,0.0373133,-0.108352,0.0250805,0.171497,-0.0280878,-0.00421571,-0.0189169,-0.0135962,
0.156,0.0447455,-0.332909,0.0401379,0.177203,-0.0373274,-0.0166918,-0.0182215,-0.0342228,
0.157,0.0448886,-0.535515,0.0551744,0.181656,-0.0353371,-0.0475638,-0.0181243,-0.0208299,
0.158,0.0344827,-0.720937,0.0679231,0.184949,-0.0187196,-0.0429998,-0.0142863,-0.000195177,
0.159,0.0249832,-0.890541,0.0743208,0.188589,-0.00948152,-0.0242295,-0.00796189,0.0102089,
0.16,0.0191705,-1.03354,0.0801298,0.192449,-0.0151826,-0.0210102,-0.00521472,0.0173756,
0.161,0.0158674,-1.14933,0.0860676,0.193586,-0.030163,-0.0205904,-0.00486287,0.0209805,
0.162,0.00412027,-1.24751,0.0920404,0.194442,-0.0345827,-0.016209,0.00263457,0.0278586,
0.163,0.000780971,-1.33079,0.0944229,0.195,-0.0149788,-0.0091608,0.0119732,0.0580386,
0.164,0.00187769,-1.40092,0.090121,0.193121,0.00319355,-0.0133394,0.01573,0.0846413,
0.165,0.0117425,-1.45309,0.0836128,0.190524,0.00155055,-0.0392006,0.016766,0.124914,
0.166,0.0311954,-1.48473,0.085862,0.189405,-0.0107792,-0.0672187,0.0126107,0.153908,
0.167,0.038184,-1.49519,0.0927776,0.186685,-0.0258335,-0.0847929,0.00472368,0.153052,
0.168,0.0244349,-1.50606,0.0965406,0.184681,-0.040266,-0.0854016,-0.00347706,0.136359,
0.169,-0.000698652,-1.51962,0.100358,0.178304,-0.0618217,-0.0897863,-0.00266504,0.116044,
0.17,-0.0148777,-1.52436,0.110535,0.174538,-0.080102,-0.0867366,0.000239421,0.110462,
0.171,-0.0258725,-1.49623,0.116149,0.171588,-0.0833378,-0.0779938,0.00279678,0.135305,
0.172,-0.0233972,-1.4453,0.123415,0.171441,-0.077807,-0.0495232,0.00219876,0.162725,
0.173,-0.00366411,-1.40026,0.128457,0.16941,-0.0732526,0.00988244,0.00384643,0.181456,
