Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,-0.006424,-0.2387,0.0487885,0.0235924,0.148324,-0.089642,-0.000677979,-0.0350539,0,0.006551437461331001,0.030152697491811296,-0.0018151703021807555,0.004826885876771501,0.015905776282609793,0.03842627961247631,0.0013017741263589289,-0.00882083201051209
0.001,-0.0272073,-0.254583,0.0554006,0.0275867,0.123352,-0.0909604,0.000518093,-0.0304618,0,-0.012500601429094586,0.002508678749706405,0.003197484596060062,0.008859505753213237,-0.00026551283446439675,0.04166459180288445,0.0016266828122902832,-0.014744171741080161
0.002,-0.043617,-0.265241,0.0546724,0.0311918,0.144164,-0.0783818,0.00237012,-0.0273354,0,-0.03106226411210916,-0.022430418739032863,0.0034265227092299773,0.01257254132953009,0.020534704965152084,0.05457386488167117,0.003186749946450178,-0.020000851700536157
0.003,-0.0398096,-0.283284,0.0561152,0.0351376,0.14115,-0.0985511,0.0104399,-0.0269032,0,-0.025817849645189413,-0.05044250101603035,0.0035453714124051125,0.01713269754044356,0.027721152560731353,0.039351255556709965,0.0104134469181989,-0.0249070470275713
0.004,-0.027815,-0.313128,0.0586945,0.0386261,0.128925,-0.119105,0.0103343,-0.0266582,0,-0.016757487805639303,-0.09337438037629267,0.007037800823798308,0.02100227127154861,0.0177110775470602,0.01937892783972428,0.010108888237444793,-0.027182378535460572
0.005,-0.0124058,-0.344298,0.0664677,0.0402697,0.115918,-0.130566,0.000349659,-0.0230214,0,-0.00013988167548233642,-0.13102684438707332,0.013229840755939448,0.023738069799323958,0.015403936649434444,0.012965759202615605,-0.00048162322135791207,-0.02277971211182179
0.006,0.00510581,-0.377663,0.0672963,0.0410115,0.118609,-0.142559,-0.00530681,-0.015775,0,0.014326028373300262,-0.17562545807998875,0.014075855880176088,0.024902431573987464,0.022706312805239656,0.0018402401465210244,-0.006147089233966637,-0.013145418337007064
0.007,-0.00760751,-0.41182,0.0628235,0.0381292,0.114221,-0.154862,-0.00505646,-0.00121699,0,0.002769317718125789,-0.21308592864026862,0.007364867587468195,0.023116246404371488,0.0283690498849342,-0.006016008441161931,-0.006208072265380796,0.005668702120191216
0.008,-0.00870352,-0.456162,0.0573513,0.0378112,0.0838992,-0.163739,-0.00538367,0.0230629,0,-0.0007894022780462471,-0.26773808131312066,0.0005303813919506776,0.022807953877312274,0.0045880032754217134,-0.014123923849789463,-0.006388033069245863,0.03331990603844216
0.009,-0.0096973,-0.515853,0.0517575,0.0347401,0.0548463,-0.174495,-0.00478582,0.0477107,0,-0.0005779548613015061,-0.32952532419713687,-0.007908211430430113,0.020191520718515245,-0.01604162257646186,-0.021956745577024626,-0.005917658811270956,0.06095390139965409
0.01,-0.0141351,-0.619982,0.0482194,0.033569,0.037039,-0.180349,-0.00622724,0.0533256,0,-0.006493103884102111,-0.44471671611197716,-0.014039382717159939,0.018170446357815256,-0.02618081094954133,-0.027730197076950038,-0.007196175916240817,0.06619257378122745
0.011,-0.0186651,-0.79745,0.0436369,0.0333316,0.0248112,-0.182579,-0.00799314,0.0410641,0,-0.009856073146759275,-0.6254724411098889,-0.02148710287878643,0.017237639374511723,-0.032033374823853406,-0.029372775949831835,-0.009116358400055218,0.0513444728582959
0.012,-0.0182715,-0.761436,0.0374742,0.0324786,0.0160697,-0.188696,-0.00789409,0.0156222,0,-0.009998743940273542,-0.6023694522703692,-0.030739737856132265,0.014478063222729947,-0.03269960587348747,-0.03657417946987081,-0.009010446051380948,0.018899669338259192
0.013,-0.0129259,-0.51251,0.034953,0.0310977,0.0210271,-0.198758,-0.0104361,-0.0266203,0,-0.003787808440134796,-0.3592083606719956,-0.03524676999822418,0.011127927384003544,-0.023083148645064305,-0.04876309248443185,-0.011921666154653761,-0.03292244834271876
0.014,-0.00831629,-0.254994,0.0348737,0.0285603,0.0349017,-0.209234,-0.0102678,-0.0673774,0,0.0008039615167003003,-0.1157543060895147,-0.037941639799584675,0.005796981633284822,-0.0010942089866706715,-0.061617969655800714,-0.012006819054000917,-0.08661352825086618
