SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,90,53,62,53,83,60,76,62
0,82,55,42,57,75,51,81,58
0,74,54,35,53,71,48,72,53
0,75,55,36,49,63,41,55,61
0,79,60,72,45,59,50,43,59
0,83,55,81,43,62,46,43,59
0,85,57,101,41,61,41,42,50
0,82,57,112,39,62,28,39,45
0,82,55,81,44,57,28,39,40
0,77,60,68,55,68,30,45,39
0,61,60,34,54,71,38,55,41
0,51,53,62,54,74,45,57,42
0,43,41,80,44,66,45,49,44
0,52,39,95,44,60,59,46,38
0,57,42,86,42,59,58,38,38
0,68,46,61,28,61,71,32,41
0,73,53,63,23,61,67,22,54
0,72,59,63,21,52,76,24,65
0,78,60,74,27,48,61,31,56
0,80,57,70,38,44,77,37,42
0,77,48,87,35,47,47,38,33
0,67,47,72,33,53,63,39,34
0,58,34,71,38,59,66,35,36
0,46,32,82,41,75,64,47,34
0,47,44,86,39,68,54,47,37
0,55,49,87,34,68,50,50,34
0,61,41,69,25,53,43,47,31
0,60,38,51,25,39,62,45,30
0,62,37,70,25,42,62,45,44
0,63,41,56,21,57,77,43,58
0,60,41,56,20,60,67,33,65
0,62,42,35,29,54,50,39,57
0,66,41,54,29,46,49,38,45
0,71,42,71,26,49,69,39,25
0,79,48,84,27,51,66,37,23
0,74,61,65,33,51,59,39,26
0,72,58,49,44,54,39,37,33
0,55,44,40,56,53,31,41,43
0,53,41,40,59,54,31,47,46
0,48,40,40,49,50,39,54,48
0,53,38,42,34,57,52,56,35
0,65,35,53,26,63,51,51,38
0,70,32,65,30,77,52,47,35
0,65,42,63,32,85,47,41,48
0,73,47,58,42,76,48,34,52
0,69,54,50,37,61,48,23,52
0,64,42,74,39,52,54,22,45
0,70,39,78,35,38,57,34,35
0,68,35,66,33,42,61,39,24
0,61,38,53,42,44,61,44,22
0,62,33,39,52,52,43,41,21
0,63,36,62,56,66,29,42,27
0,64,38,68,49,79,29,50,28
0,55,43,84,42,75,41,44,29
0,54,43,59,29,74,71,39,33
0,48,35,61,28,67,71,35,31
0,44,37,46,26,60,72,28,30
0,46,34,61,28,62,48,29,34
0,53,41,60,30,57,52,34,42
0,64,46,60,31,61,52,42,44
0,73,45,68,30,55,48,43,37
0,70,45,56,30,51,54,47,22
0,63,44,55,32,49,51,44,26
0,62,52,29,36,42,52,43,30
0,67,51,29,42,44,37,40,35
0,66,42,38,47,49,31,39,35
0,59,48,46,49,70,30,48,31
0,52,41,46,47,64,50,43,33
0,49,48,68,39,60,50,50,35
0,56,42,72,30,43,60,44,37
0,65,45,71,33,35,55,42,40
0,64,44,55,29,46,52,32,47
0,63,52,34,30,53,52,28,49
0,72,52,42,30,58,41,33,52
0,73,46,48,32,51,57,43,33
0,77,44,55,36,48,71,36,24
0,69,44,52,36,48,84,38,16
0,65,55,60,34,47,68,31,20
0,61,54,48,27,54,63,27,19
0,57,42,47,29,65,46,32,21
0,52,43,29,32,74,57,40,21
0,51,45,50,32,79,54,44,24
0,45,48,54,30,73,65,50,23
0,49,43,72,27,71,56,40,23
0,50,41,66,23,65,48,43,23
0,56,43,56,22,69,42,44,33
0,63,50,51,20,57,27,37,38
0,68,49,28,22,57,46,32,48
0,68,47,47,31,52,65,30,44
0,65,47,46,41,44,80,30,35
0,62,42,66,45,33,91,46,34
0,56,38,53,42,32,75,49,34
0,48,39,45,45,45,47,53,33
0,45,35,27,47,55,36,53,32
0,37,34,29,45,59,39,50,32
0,55,41,60,41,52,41,48,26
0,58,35,74,31,48,53,44,29
0,57,38,80,24,45,43,46,19
0,48,39,62,27,41,45,43,22
0,53,43,64,24,45,55,41,31
0,66,51,68,31,44,70,30,50
0,82,42,89,34,51,80,23,60
0,82,40,82,32,60,66,27,60
0,72,42,77,35,52,65,25,42
0,62,39,61,36,51,69,30,33
0,45,41,50,44,49,57,29,26
0,50,42,35,52,49,41,34,24
0,53,37,32,55,65,33,40,29
0,53,50,32,58,74,30,42,36
0,62,44,50,56,66,29,40,39
0,52,43,52,41,54,46,28,35
0,45,28,75,30,43,43,30,33
0,33,28,58,30,49,45,34,39
0,38,37,68,32,59,49,40,49
0,55,51,64,40,70,59,39,54
0,72,52,82,38,57,80,37,54
0,75,49,88,37,56,81,31,50
0,78,47,73,34,54,82,36,39
