SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,72,54,32,39,82,67,62,53
0,58,54,32,29,81,69,63,52
0,53,47,30,36,85,76,61,53
0,59,42,30,42,89,66,54,56
0,69,50,48,46,76,59,40,54
0,70,54,48,57,72,49,29,49
0,69,60,56,65,62,46,28,45
0,68,67,76,67,63,44,33,41
0,82,70,82,55,63,47,32,42
0,81,62,92,49,70,48,33,43
0,79,54,94,58,70,55,37,41
0,61,47,80,52,68,65,42,32
0,56,42,101,57,64,67,50,27
0,48,43,73,45,57,67,48,38
0,50,37,53,35,66,58,55,50
0,54,41,35,29,78,58,55,54
0,53,41,44,25,84,47,52,58
0,70,45,51,29,72,46,45,54
0,70,42,52,37,62,41,42,49
0,75,38,48,36,51,43,39,41
0,70,55,45,38,51,47,38,34
0,68,63,64,39,52,50,30,38
0,65,66,78,48,54,42,33,40
0,68,59,86,54,63,40,41,41
0,64,47,90,50,68,44,57,39
0,56,41,88,47,69,51,65,39
0,51,46,64,39,73,55,53,42
0,56,55,64,33,70,49,40,47
0,69,52,71,31,72,41,33,47
0,71,50,73,28,77,31,36,49
0,62,43,90,30,73,30,48,50
0,64,44,89,24,77,29,46,52
0,59,52,94,25,73,29,48,50
0,66,52,86,27,57,48,38,42
0,64,44,82,39,48,47,28,39
0,67,45,90,46,45,47,26,38
0,70,51,85,51,56,37,28,35
0,65,49,104,46,64,30,43,35
0,54,47,86,42,69,34,56,33
0,39,44,74,44,69,38,55,31
0,31,42,64,39,60,41,58,37
0,40,42,71,44,54,39,55,39
0,41,33,68,37,47,33,44,52
0,54,37,54,40,51,37,45,56
0,74,49,56,37,57,33,44,64
0,80,55,50,34,56,35,47,66
0,80,60,50,34,66,30,46,52
0,73,58,62,32,61,48,44,44
0,65,53,67,29,59,47,35,32
0,73,47,70,40,56,48,35,43
0,69,45,75,43,44,34,31,43
0,70,46,71,44,46,34,33,39
0,61,43,89,33,50,43,43,46
0,59,35,79,34,59,48,52,44
0,43,34,76,34,65,51,52,45
0,53,35,77,37,60,47,47,41
0,55,37,92,35,51,47,42,43
0,68,50,75,39,58,46,41,51
0,73,57,58,37,52,39,38,54
0,68,57,28,36,60,39,41,42
0,67,55,39,36,57,45,40,30
0,60,60,49,41,59,40,40,27
0,58,54,72,37,62,43,36,31
0,60,53,72,33,52,32,38,36
0,53,45,71,36,56,31,43,36
0,51,39,75,46,62,29,47,32
0,46,42,80,54,65,40,60,31
0,45,45,71,51,60,47,63,31
0,50,45,57,50,47,46,67,35
0,50,39,56,44,45,63,62,34
0,60,39,60,37,52,51,56,41
0,57,41,53,34,59,52,49,40
0,60,40,87,42,66,33,44,44
0,65,34,80,43,58,29,35,37
0,68,33,98,44,54,32,27,30
0,67,30,64,48,52,53,31,26
0,59,34,46,49,49,52,32,32
0,58,38,78,62,52,52,46,33
0,46,38,95,56,57,29,51,33
0,50,39,115,53,63,32,64,34
0,39,43,108,40,80,32,63,33
0,39,47,99,28,81,32,55,33
0,34,38,85,22,78,33,50,37
0,44,34,72,21,73,41,39,42
0,44,25,72,24,84,60,36,49
0,49,36,60,31,87,60,34,57
0,51,36,78,33,84,47,32,53
0,70,41,64,39,71,41,34,47
0,71,35,81,39,53,54,39,36
0,83,37,88,39,44,54,34,32
0,74,41,91,38,37,54,31,29
0,66,41,85,39,43,35,25,29
0,49,40,62,45,52,30,27,29
0,53,40,57,42,60,30,38,36
0,44,37,52,44,66,62,43,43
0,50,39,68,49,47,64,42,47
0,50,31,79,45,45,70,36,43
0,59,29,73,47,37,64,29,46
0,68,27,65,36,51,68,30,48
0,65,28,60,35,66,68,25,57
0,78,34,48,34,68,47,29,54
0,74,42,71,44,74,32,31,51
0,73,41,54,38,63,34,32,41
0,73,38,69,36,57,51,29,39
0,71,42,61,30,57,47,32,34
0,67,40,85,32,56,50,25,29
0,62,45,72,40,67,29,29,25
0,45,48,75,43,70,32,43,31
0,41,48,70,38,81,48,47,36
0,32,41,77,29,82,58,48,40
0,35,36,66,20,85,58,42,40
0,35,36,66,23,76,43,49,40
0,45,33,47,29,67,44,47,45
0,55,40,53,34,73,44,43,47
0,71,40,58,37,69,43,36,46
0,77,47,77,41,59,29,30,39
0,80,46,77,42,36,45,40,42
0,74,42,61,44,27,60,42,37
