ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,40,21,28,33,65,46,35,47
0,38,20,28,29,61,46,38,37
0,32,17,28,23,52,40,34,29
0,29,18,30,22,42,32,29,26
0,29,26,30,26,33,28,21,26
0,35,33,29,27,32,25,15,30
0,41,33,24,33,31,23,13,30
0,48,34,20,30,23,23,13,27
0,45,30,17,29,23,19,14,20
0,48,28,22,19,21,19,15,22
0,41,20,25,21,21,18,19,21
0,36,16,30,23,23,17,30,22
0,28,14,29,25,27,18,34,19
0,26,20,24,22,26,21,36,17
0,22,24,19,17,24,22,29,15
0,19,27,14,17,18,27,22,14
0,21,23,14,16,17,27,20,19
0,23,20,15,17,26,31,13,23
0,32,23,17,16,30,30,20,30
0,39,26,20,13,31,25,22,28
0,41,28,20,14,26,17,26,23
0,38,28,18,18,22,12,22,16
0,32,24,12,19,20,12,16,17
0,26,22,14,22,23,14,15,18
0,20,18,13,20,20,14,18,22
0,21,18,15,19,22,20,24,20
0,20,18,15,16,19,21,28,21
0,23,24,17,17,20,27,25,18
0,18,22,20,16,18,24,22,19
0,21,19,18,13,21,21,20,16
0,20,15,20,15,25,16,21,20
0,25,19,21,14,36,12,21,25
0,26,21,22,16,33,18,22,28
0,29,23,23,15,31,24,21,24
0,32,19,20,16,21,26,21,19
0,24,18,17,15,16,22,19,13
0,19,17,20,16,19,19,17,14
0,13,16,22,19,17,17,16,17
0,16,17,24,24,18,21,18,18
0,21,21,20,23,25,25,18,18
0,19,22,21,19,28,27,18,17
0,21,20,25,17,29,29,20,13
0,19,17,25,17,22,29,24,15
0,19,18,22,20,16,22,22,15
0,15,18,17,20,14,20,19,15
0,14,22,18,19,22,21,18,16
0,15,21,20,19,30,26,20,20
0,18,23,19,15,31,30,25,20
0,20,20,24,16,27,28,24,17
0,24,18,24,19,17,24,22,15
0,22,16,24,19,16,20,23,15
0,30,16,19,23,13,16,16,15
0,34,17,14,25,17,19,14,19
0,32,17,14,24,20,22,11,17
0,30,23,14,22,24,30,13,17
0,28,23,16,16,26,33,15,12
0,27,23,22,15,25,30,15,14
0,23,20,22,17,22,21,14,16
0,16,18,21,17,26,16,13,19
0,15,17,18,15,27,14,11,26
0,18,19,21,14,23,20,10,24
0,19,20,26,12,21,24,12,22
0,18,20,29,12,12,25,13,16
0,15,17,24,13,13,26,16,13
0,17,17,24,13,19,24,20,12
0,23,13,24,15,19,26,21,13
0,28,14,28,19,23,28,21,13
0,28,13,26,18,23,28,15,15
0,29,15,26,18,21,26,12,15
0,25,17,24,14,18,23,13,15
0,22,18,24,16,23,17,16,16
0,20,20,24,20,24,13,17,15
0,17,18,26,18,27,12,20,20
0,18,18,27,17,24,18,18,23
0,23,17,24,17,28,24,19,24
0,27,16,21,14,25,27,19,20
0,31,17,17,14,20,26,24,18
0,25,15,19,14,17,19,23,15
0,22,18,24,15,16,16,21,15
0,23,19,27,18,19,21,18,14
0,26,24,31,23,30,28,19,13
0,24,27,30,24,44,31,18,13
0,22,30,32,22,45,31,17,16
0,21,27,28,14,44,28,12,14
0,20,24,24,13,30,24,11,14
0,16,24,22,14,21,22,11,16
0,17,18,20,17,27,17,18,15
0,20,19,20,18,26,16,18,20
0,29,17,20,20,27,21,19,18
0,30,16,19,20,26,25,19,17
0,32,12,21,16,20,29,23,13
0,28,13,22,18,22,24,23,14
0,25,14,24,15,17,21,18,19
0,24,16,24,24,15,19,15,18
0,23,15,28,23,20,20,16,18
0,22,16,26,23,22,16,20,18
0,20,16,28,17,24,15,18,13
0,22,19,24,14,27,17,16,13
0,23,19,21,16,18,19,13,15
0,19,21,15,15,19,19,16,16
0,14,20,16,15,31,20,18,19
0,21,17,20,14,36,20,19,21
0,29,18,25,16,33,22,23,21
0,38,15,27,15,28,24,22,25
0,49,18,22,17,18,22,23,23
0,40,22,22,15,27,20,18,24
0,32,24,17,15,29,17,16,22
0,22,24,19,14,27,14,18,22
0,14,25,20,18,20,18,16,21
0,15,20,22,17,16,24,15,20
0,20,17,28,19,21,30,16,18
0,21,18,27,17,20,31,15,13
0,27,19,27,14,20,24,15,15
0,26,22,19,14,18,19,14,16
0,21,22,15,14,18,15,13,18
0,26,22,12,14,20,19,18,21
0,34,28,12,17,21,23,19,23
0,37,30,16,16,21,27,18,24
