ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,24,21,30,23,40,44,46,21
0,22,17,30,25,40,36,42,28
0,23,28,30,21,36,30,40,29
0,31,33,29,27,38,18,29,32
0,33,35,24,25,30,21,20,24
0,40,34,20,27,28,24,14,22
0,39,36,20,25,28,29,14,17
0,38,32,25,22,21,30,14,17
0,36,26,28,17,18,30,21,15
0,27,17,31,15,20,30,27,21
0,24,13,35,16,28,30,27,22
0,22,22,30,22,33,31,28,24
0,18,25,25,20,31,28,21,21
0,16,27,19,21,31,28,23,23
0,17,24,15,17,20,32,23,23
0,15,20,21,15,23,30,22,26
0,24,22,30,15,24,30,20,23
0,27,23,34,17,28,30,18,19
0,29,23,29,22,28,30,18,17
0,35,24,27,22,22,26,20,16
0,33,23,16,21,20,24,20,16
0,35,24,18,16,17,20,20,20
0,34,20,22,17,17,18,20,19
0,27,18,23,17,18,14,21,19
0,22,16,21,16,16,15,24,20
0,21,18,18,22,20,18,31,20
0,19,20,16,19,31,24,30,25
0,25,22,13,18,37,24,26,24
0,24,24,18,15,49,20,20,25
0,25,22,18,18,46,15,19,25
0,18,22,28,21,40,14,17,25
0,21,21,27,21,28,16,21,24
0,25,18,29,20,20,16,20,24
0,25,22,29,20,19,15,27,20
0,28,24,30,23,16,18,23,17
0,32,25,32,23,17,19,23,16
0,28,25,25,20,27,24,23,15
0,23,24,26,17,38,30,24,22
0,20,27,22,15,42,37,23,27
0,19,28,19,18,39,33,24,24
0,23,21,22,18,31,35,20,28
0,21,20,28,21,26,27,29,26
0,20,17,30,19,24,25,27,30
0,24,21,30,18,23,25,29,27
0,26,22,27,13,22,26,20,26
0,34,22,31,13,29,28,21,24
0,41,17,29,18,23,28,22,23
0,42,18,30,20,22,29,19,19
0,37,15,30,23,27,30,16,17
0,36,14,30,25,27,30,16,16
0,25,18,28,26,33,30,17,19
0,20,24,26,25,39,33,23,20
0,14,25,21,26,36,30,22,18
0,12,26,17,17,34,28,22,18
0,16,24,17,20,29,28,13,16
0,17,23,17,16,24,27,13,18
0,22,20,19,16,23,30,13,25
0,26,19,22,21,24,28,17,31
0,25,20,22,19,25,28,19,31
0,30,23,26,22,20,28,26,25
0,29,25,22,22,21,23,26,15
0,30,24,21,19,27,20,26,16
0,28,29,15,16,28,18,19,14
0,25,25,18,17,27,18,16,18
0,22,23,18,16,19,19,22,17
0,19,22,24,18,22,19,27,19
0,16,23,30,18,23,19,28,19
0,14,22,30,19,26,18,29,20
0,20,17,26,21,25,18,17,23
0,18,17,14,22,28,21,19,23
0,24,13,18,23,24,25,17,24
0,29,14,22,20,21,27,18,26
0,26,19,25,19,16,29,20,24
0,26,20,23,17,13,25,20,21
0,20,21,19,21,17,23,21,23
0,23,18,38,22,18,18,19,20
0,30,19,44,22,17,14,17,22
0,35,20,49,20,16,20,20,20
0,37,18,38,19,24,26,26,18
0,25,15,25,17,31,29,26,20
0,21,20,23,18,38,31,27,21
0,17,22,18,19,36,25,23,21
0,17,23,14,20,33,24,22,19
0,21,22,19,18,35,25,22,16
0,24,18,25,16,30,26,20,17
0,31,20,30,15,33,24,16,18
0,38,20,29,16,35,18,14,21
0,37,20,24,20,28,17,14,20
0,39,24,19,20,30,18,16,18
0,37,26,16,23,26,18,15,19
0,35,28,22,25,28,17,18,17
0,33,24,26,29,27,13,26,17
0,32,22,31,33,30,17,31,17
0,27,21,26,25,33,20,32,15
0,29,22,28,20,33,23,23,16
0,30,27,27,15,30,26,24,23
0,22,20,29,15,28,23,23,24
0,26,18,24,16,22,26,27,26
0,27,17,25,17,24,27,23,25
0,38,23,27,20,27,23,21,31
0,45,30,29,20,24,17,14,29
0,52,37,28,19,27,26,15,21
0,45,30,29,19,18,26,18,18
0,45,22,29,16,18,29,22,24
0,40,24,26,21,16,25,22,26
0,36,22,32,27,18,18,20,29
0,29,22,25,26,20,17,20,31
0,30,19,22,24,27,20,24,25
0,23,17,16,19,33,21,23,23
0,18,21,15,17,36,24,23,22
0,22,19,21,18,32,20,20,23
0,23,17,26,16,38,21,18,23
0,25,17,30,17,40,19,17,27
0,35,23,30,19,41,17,18,24
0,36,31,30,21,36,14,16,28
0,40,36,33,18,31,12,17,28
0,34,30,34,17,31,14,13,27
0,30,23,34,16,31,16,13,24
