Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
1.89,-0.102325,0.43895,-0.777882,-0.331011,0.328601,0.748001,0.297573,0.0347065,F2,0.0799979338340973,0.0583549548815754,0.4256821989569246,-0.0606755930090451,-0.0673770828619217,0.1177967459729035,0.0104870099385294,-0.342239896213823,0.0799979338340973,0.0583549548815754,0.4256821989569246,-0.0606755930090451,-0.0673770828619217,0.1177967459729035,0.0104870099385294,-0.342239896213823
1.891,-0.0942776,0.587567,-0.698103,-0.433971,0.361325,0.68242,0.274139,-0.00190487,0,0.0957595612364061,0.1989088584810709,0.4456764567899894,-0.0905694851183488,-0.0292231236239272,0.1043392839316863,0.0016219464377766,-0.3789651151591759,0.0957595612364061,0.1989088584810709,0.4456764567899894,-0.0905694851183488,-0.0292231236239272,0.1043392839316863,0.0016219464377766,-0.3789651151591759
1.892,-0.0944208,0.646402,-0.614717,-0.52078,0.384561,0.612278,0.251563,0.0166144,0,0.0979281008881898,0.2503861334576568,0.4450162504700718,-0.1102921342527751,0.002965202873877,0.0983348092760759,-0.0063188543264148,-0.3621191838912885,0.0979281008881898,0.2503861334576568,0.4450162504700718,-0.1102921342527751,0.002965202873877,0.0983348092760759,-0.0063188543264148,-0.3621191838912885
1.893,-0.0746558,0.613027,-0.525025,-0.570854,0.409925,0.539291,0.230507,0.0605314,0,0.1206920392506275,0.2157872745957329,0.443715656322752,-0.1028323468923353,0.0378909436695603,0.1002058165806078,-0.0111801224171866,-0.3228718322475142,0.1206920392506275,0.2157872745957329,0.443715656322752,-0.1028323468923353,0.0378909436695603,0.1002058165806078,-0.0111801224171866,-0.3228718322475142
1.894,-0.0640853,0.566216,-0.435991,-0.594381,0.441024,0.465682,0.216493,0.119581,0,0.1257954132147994,0.1619497206763301,0.4158654379185204,-0.073580328855272,0.0801256440899745,0.109172343756339,-0.008523176448331,-0.2724071526074005,0.1257954132147994,0.1619497206763301,0.4158654379185204,-0.073580328855272,0.0801256440899745,0.109172343756339,-0.008523176448331,-0.2724071526074005
1.895,-0.106135,0.505955,-0.334509,-0.589036,0.473816,0.404022,0.205719,0.169185,0,0.0801151794195876,0.1034203877108214,0.396334889073851,-0.0269171203336668,0.1250997419230732,0.1335539954261765,-0.0003734926628016,-0.2364042221106732,0.0801151794195876,0.1034203877108214,0.396334889073851,-0.0269171203336668,0.1250997419230732,0.1335539954261765,-0.0003734926628016,-0.2364042221106732
1.896,-0.166193,0.472752,-0.246965,-0.546678,0.505506,0.338839,0.194885,0.19673,0,0.0064906053013669,0.062018022816698,0.3440123571938535,0.0548761731908581,0.1682329006847349,0.1547293794475181,0.0088189374956197,-0.2271122700137972,0.0064906053013669,0.062018022816698,0.3440123571938535,0.0548761731908581,0.1682329006847349,0.1547293794475181,0.0088189374956197,-0.2271122700137972
1.897,-0.180252,0.421221,-0.202379,-0.476925,0.511012,0.25898,0.181148,0.207828,0,-0.0172090581990593,0.0118666214757326,0.2538196234722429,0.1523068136563887,0.1867810031391731,0.1563156976412713,0.0179018370899755,-0.239171511459445,-0.0172090581990593,0.0118666214757326,0.2538196234722429,0.1523068136563887,0.1867810031391731,0.1563156976412713,0.0179018370899755,-0.239171511459445
1.898,-0.175032,0.44917,-0.11416,-0.475464,0.503654,0.169147,0.161378,0.215246,0,-0.031303359805359,0.0313620801065033,0.2009503584210795,0.1827543993149785,0.1900702983710772,0.1416187130209975,0.0223989557861786,-0.2584998670895298,-0.031303359805359,0.0313620801065033,0.2009503584210795,0.1827543993149785,0.1900702983710772,0.1416187130209975,0.0223989557861786,-0.2584998670895298
1.899,-0.155304,0.484302,-0.0292524,-0.539836,0.508491,0.0770522,0.134355,0.231432,0,-0.0246350082031204,0.0664582448814115,0.1606357369386208,0.1363639950412636,0.207961582986249,0.114418792156175,0.0224739719146472,-0.2718281882373824,-0.0246350082031204,0.0664582448814115,0.1606357369386208,0.1363639950412636,0.207961582986249,0.114418792156175,0.0224739719146472,-0.2718281882373824
