Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
1.358,0.338253,0.0559237,0.128395,-0.139889,-0.214386,-0.084915,0.0832849,0.411812,F1,0.2058565841100124,0.0154902631781488,0.3695014607443008,-0.0965680585057953,-0.2362160540278223,-0.051487769496962,-0.0003989410690447,0.0647923515142421,0.2058565841100124,0.0154902631781488,0.3695014607443008,-0.0965680585057953,-0.2362160540278223,-0.051487769496962,-0.0003989410690447,0.0647923515142421
1.359,0.330557,0.11435,0.0829031,-0.180891,-0.326475,-0.105406,0.110869,0.358412,0,0.1966649533685009,0.0632550967794745,0.4287743828036353,-0.117371033948858,-0.3358287712050241,-0.065754977087802,0.0199120573990123,0.0380025139248184,0.1966649533685009,0.0632550967794745,0.4287743828036353,-0.117371033948858,-0.3358287712050241,-0.065754977087802,0.0199120573990123,0.0380025139248184
1.36,0.324858,0.178211,0.0811886,-0.208645,-0.371185,-0.115023,0.122691,0.206077,0,0.1863247884472911,0.120058542584331,0.4118841107673455,-0.1292829384990828,-0.3807472838207876,-0.0673273275876626,0.0256116343239577,-0.0874859102309183,0.1863247884472911,0.120058542584331,0.4118841107673455,-0.1292829384990828,-0.3807472838207876,-0.0673273275876626,0.0256116343239577,-0.0874859102309183
1.361,0.318705,0.239784,0.0895385,-0.225415,-0.335376,-0.105955,0.127879,0.0752918,0,0.1727938948575353,0.1804419934277545,0.2982401427822914,-0.1347482900859626,-0.3430500483886313,-0.0525042244273912,0.0248888538368654,-0.1903044486811724,0.1727938948575353,0.1804419934277545,0.2982401427822914,-0.1347482900859626,-0.3430500483886313,-0.0525042244273912,0.0248888538368654,-0.1903044486811724
1.362,0.317075,0.289577,0.0816477,-0.241029,-0.279992,-0.0921842,0.127268,-0.00821119,0,0.1612928871619175,0.2278590900209491,0.0755595872350052,-0.1425126030331604,-0.2975436274725092,-0.0311982914277004,0.018308848999993,-0.2471885510118768,0.1612928871619175,0.2278590900209491,0.0755595872350052,-0.1425126030331604,-0.2975436274725092,-0.0311982914277004,0.018308848999993,-0.2471885510118768
1.363,0.314998,0.318083,0.0668745,-0.251923,-0.327165,-0.0772992,0.120212,-0.118291,0,0.1482127278721677,0.2597262238942103,-0.2025615942398129,-0.1490698824076946,-0.3559944938074144,-0.0106666446718341,0.0046549246314346,-0.3325041227285701,0.1482127278721677,0.2597262238942103,-0.2025615942398129,-0.1490698824076946,-0.3559944938074144,-0.0106666446718341,0.0046549246314346,-0.3325041227285701
1.364,0.307498,0.316576,0.0660991,-0.257893,-0.297823,-0.0658235,0.109751,-0.247479,0,0.129740740200179,0.2557936614832026,-0.4793183984733962,-0.1524231879705571,-0.3458285551297894,0.0081507529650962,-0.012861849125327,-0.4391882925299534,0.129740740200179,0.2557936614832026,-0.4793183984733962,-0.1524231879705571,-0.3458285551297894,0.0081507529650962,-0.012861849125327,-0.4391882925299534
1.365,0.295284,0.277797,0.0624759,-0.251718,-0.13045,-0.063047,0.115543,-0.348042,0,0.1089000296226199,0.2187790905480811,-0.7173420597997001,-0.1455985085478613,-0.1992239305150595,0.0165712626346027,-0.0153659553745588,-0.5211297769796825,0.1089000296226199,0.2187790905480811,-0.7173420597997001,-0.1455985085478613,-0.1992239305150595,0.0165712626346027,-0.0153659553745588,-0.5211297769796825
1.366,0.276185,0.263131,0.0528545,-0.240037,-0.0297511,-0.0741559,0.134545,-0.303967,0,0.0844834788680098,0.1975436761273428,-0.8830484697630724,-0.1333046586541839,-0.1211804446784009,0.0126248835672712,-0.0044574306173692,-0.4599437798271122,0.0844834788680098,0.1975436761273428,-0.8830484697630724,-0.1333046586541839,-0.1211804446784009,0.0126248835672712,-0.0044574306173692,-0.4599437798271122
1.367,0.240593,0.257962,0.0600696,-0.231452,0.0211393,-0.0801204,0.166849,-0.115748,0,0.0491826289593072,0.1887224992427215,-0.9178510190594442,-0.1247924764880168,-0.0924726266740254,0.012035015944039,0.018578318142853,-0.2590083017656109,0.0491826289593072,0.1887224992427215,-0.9178510190594442,-0.1247924764880168,-0.0924726266740254,0.012035015944039,0.018578318142853,-0.2590083017656109
