Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,0.039911,-1.46998,0.340984,0.014919,0.0838732,-0.208665,-0.0386713,0.0230814,
0.001,0.0738028,-1.369,0.199066,0.010646,-0.0522421,-0.227738,-0.0365683,0.0114359,
0.002,0.0824333,-1.30694,-0.116687,0.00531376,-0.31672,-0.231206,-0.0406871,0.00825328,
0.003,0.0741561,-1.18707,-0.384647,0.00194312,-0.288413,-0.216162,-0.0628711,0.0201792,
0.004,0.0492314,-1.02578,-0.56225,0.000995362,-0.137639,-0.192309,-0.0706542,0.0329678,
0.005,0.0399166,-0.835447,-0.732589,0.00426419,-0.0448559,-0.166674,-0.0744372,0.0392923,
0.006,0.0285309,-0.566124,-0.677493,0.0090067,0.0354241,-0.140376,-0.0818036,0.0343103,
0.007,-0.00580769,-0.257004,-0.208816,0.00788587,0.131146,-0.115098,-0.0801234,0.0295372,
0.008,0.0133455,-0.00534567,0.163726,0.00738355,0.230801,-0.0852054,-0.0585924,0.0228454,
0.009,0.0529107,0.218823,0.494058,0.0116627,0.209636,-0.0678524,-0.0619241,0.0145506,
0.01,0.0799446,0.409631,0.661005,0.0143488,0.141872,-0.0529202,-0.0717526,0.00919058,
0.011,0.122134,0.538151,0.737225,0.014213,0.0791344,-0.0422999,-0.0750216,0.00498316,
0.012,0.171305,0.568634,0.841351,0.0123465,0.106973,-0.0538817,-0.0470807,0.00109257,
0.013,0.163663,0.544789,0.892539,0.00899657,0.202663,-0.0589584,0.000443009,-0.00461998,
0.014,0.115582,0.568532,0.822983,0.00651536,0.259569,-0.0385168,0.027591,-0.00972905,
0.015,0.0897111,0.628057,0.762368,0.00904836,0.259808,-0.0465411,0.0390699,-0.0142739,
0.016,0.0569558,0.624304,0.823789,0.009496,0.301825,-0.0938773,0.042603,-0.0218343,
0.017,-0.0211489,0.439163,0.86698,0.0109691,0.316322,-0.120782,0.0442151,-0.0333408,
0.018,-0.0901816,0.36783,0.711708,0.0161387,0.185018,-0.141137,0.0597339,-0.0396391,
0.019,-0.0629293,0.364003,0.586311,0.0166454,0.0418082,-0.149238,0.0771699,-0.0420943,
0.02,0.0165992,0.324143,0.598051,0.0152455,0.0652666,-0.135317,0.0656173,-0.0490003,
0.021,0.0767026,0.371193,0.514367,0.015039,0.165507,-0.123734,0.0433456,-0.0554185,
0.022,0.0848046,0.440996,0.317099,0.0158531,0.269335,-0.112797,0.0233548,-0.0585125,
0.023,0.0671216,0.501422,0.101449,0.0146955,0.310082,-0.111672,0.00904124,-0.0594087,
0.024,0.0677318,0.635382,-0.0552762,0.0139649,0.205331,-0.110458,-0.00379893,-0.0640571,
0.025,0.0776949,0.771223,-0.0352236,0.0114734,0.0979039,-0.0779529,-0.0202157,-0.0704603,
0.026,0.0700936,0.813143,-0.0642823,0.00960301,0.0386538,-0.0279353,-0.035309,-0.0754684,
0.027,0.0027597,0.886978,-0.148909,0.010401,0.00156516,0.0105522,-0.0370757,-0.075667,
0.028,-0.0701262,1.04843,-0.101451,0.0106487,-0.0465873,0.040201,-0.0301643,-0.0681556,
0.029,-0.104643,1.09174,-0.132624,0.00261796,-0.153454,0.0775788,-0.0349547,-0.0490869,
0.03,-0.073188,1.12262,-0.290815,-0.020276,-0.161168,0.12554,-0.0419763,-0.0230426,
0.031,-0.0453682,1.28608,-0.578306,-0.0423171,0.0271721,0.170136,-0.0281745,0.00383054,
0.032,-0.0457144,1.46641,-0.642322,-0.0641337,0.263766,0.212835,-0.0071654,0.0233924,
0.033,-0.0589861,1.54032,-0.651952,-0.0834305,0.291107,0.247108,0.00783287,0.0386039,
0.034,-0.0988574,1.47188,-0.820672,-0.0968236,0.12293,0.260309,0.0267332,0.0506324,
0.035,-0.126565,1.44893,-0.997289,-0.101449,0.010151,0.263679,0.0530782,0.0590927,
0.036,-0.12156,1.45364,-1.10454,-0.109791,-0.0255895,0.28045,0.067885,0.0636758,
0.037,-0.0805851,1.30109,-1.33502,-0.115566,-0.104471,0.297928,0.0747302,0.0705291,
0.038,-0.014627,1.15358,-1.63532,-0.112672,-0.255956,0.290993,0.0958911,0.0742986,
0.039,0.0595352,1.19205,-1.81489,-0.106556,-0.354566,0.274343,0.1143,0.0767727,
0.04,0.0727902,1.30721,-1.86216,-0.0983952,-0.338654,0.273487,0.118102,0.084462,
0.041,0.0504271,1.39639,-1.84904,-0.0956021,-0.299216,0.273422,0.120588,0.112849,
0.042,0.011716,1.36283,-1.78277,-0.0995592,-0.229857,0.25484,0.140307,0.115569,
0.043,-0.0379217,1.05547,-1.82945,-0.0901377,-0.191943,0.246609,0.14136,0.121619,
0.044,-0.0986644,0.882975,-1.79397,-0.0848332,-0.180697,0.242343,0.136201,0.123365,
0.045,-0.105371,0.810905,-1.67541,-0.0724703,-0.176901,0.243589,0.13561,0.119928,
0.046,-0.189421,0.795985,-1.44683,-0.0541116,-0.1951,0.241714,0.141756,0.124769,
0.047,-0.272025,0.810352,-1.24045,-0.0803238,-0.280929,0.246307,0.145106,0.122492,
0.048,-0.334883,0.790771,-1.04468,-0.139023,-0.441221,0.252112,0.136765,0.111936,
0.049,-0.349619,0.722714,-0.75525,-0.147937,-0.637233,0.247503,0.127588,0.107758,
0.05,-0.282988,0.643709,-0.505679,-0.110997,-0.699192,0.232469,0.118438,0.109785,
0.051,-0.226093,0.53023,-0.339895,-0.0539626,-0.583262,0.21489,0.11077,0.107185,
0.052,-0.221941,0.360916,-0.192326,0.00149139,-0.462959,0.195914,0.103699,0.0998702,
0.053,-0.229196,0.115778,-0.116179,0.0558097,-0.453154,0.17442,0.0936261,0.0977325,
0.054,-0.237648,0.0645326,0.0473478,0.112919,-0.616444,0.151596,0.0838546,0.104999,
0.055,-0.214392,0.141789,0.15726,0.181822,-0.772823,0.133438,0.0772312,0.12168,
0.056,-0.165368,0.107254,0.19736,0.244656,-0.651718,0.122964,0.0584705,0.136369,
0.057,-0.133478,0.0998993,0.174824,0.29385,-0.458152,0.107111,0.0407262,0.154121,
