Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,-0.0215972,0.148309,0.00183343,0.248449,0.0585295,-0.0318267,0.0496987,0.0263511,
0.001,-0.0141506,0.199421,0.00126885,0.249772,-0.01545,-0.0258089,0.0199595,0.0389732,
0.002,0.0494556,0.264961,0.00101701,0.234812,-0.208427,-0.0180624,-0.019539,0.0460944,
0.003,0.0907465,0.325283,-0.000377948,0.219343,-0.318706,-0.0103027,-0.0500921,0.0498201,
0.004,0.118101,0.369163,0.00150591,0.209881,-0.127821,0.00236576,-0.0506846,0.0534041,
0.005,0.153724,0.3913,0.00124481,0.20349,0.0956448,0.0241154,-0.0360637,0.0624893,
0.006,0.152906,0.387317,0.00055505,0.168563,0.18369,0.0471203,0.0106853,0.0634651,
0.007,0.139075,0.369244,-0.00262127,0.126303,0.179741,0.0242358,0.0641717,0.0510498,
0.008,0.131826,0.346164,-0.00153302,0.105681,0.176571,0.0186828,0.0996037,0.0434836,
0.009,0.0672212,0.340828,-0.00315305,0.104553,0.196727,0.0366103,0.134737,0.0479413,
0.01,0.00616424,0.348598,-0.00638079,0.115948,0.143228,0.0576023,0.155816,0.0435769,
0.011,-0.0612209,0.338435,-0.0102548,0.114613,-0.168143,0.0760784,0.133383,0.0280928,
0.012,-0.0951995,0.312091,-0.0181853,0.10724,-0.368803,0.0936226,0.0863763,0.0201539,
0.013,-0.0943967,0.289646,-0.0252855,0.0982339,-0.205112,0.0733444,0.0724248,0.0116969,
0.014,-0.0543922,0.279163,-0.0315985,0.0878618,0.0501196,0.0305503,0.0913109,0.00994512,
0.015,-0.0652472,0.271894,-0.0385835,0.0784948,0.233223,0.0218545,0.0993381,0.0175243,
0.016,-0.0588796,0.268076,-0.0474914,0.0672101,0.25829,0.0199381,0.0979132,0.0281135,
0.017,0.0359777,0.269297,-0.0579585,0.0571767,0.262384,0.0564647,0.0947067,0.0305639,
0.018,0.114855,0.259873,-0.0739108,0.0468661,0.160438,0.108071,0.0942183,0.0288052,
0.019,0.131076,0.225681,-0.0915938,0.0349663,0.139422,0.0892983,0.113054,0.0248417,
0.02,0.113673,0.192322,-0.10633,0.0231981,0.232209,0.0553625,0.0619114,0.022546,
0.021,0.0957611,0.154935,-0.120492,0.0102121,0.288277,0.0298933,-0.00376176,0.0216986,
0.022,0.0506151,0.122129,-0.136119,0.00123628,0.040781,0.0204325,-0.0254094,0.0178473,
0.023,0.046857,0.100588,-0.157082,-0.00704998,-0.0991489,0.00571132,-0.00467681,0.0185182,
0.024,0.090826,0.0803788,-0.207204,-0.0160947,-0.00699658,0.003586,0.0325598,0.0223638,
0.025,0.133,0.0572008,-0.219602,-0.0221769,0.155391,0.0222489,0.0744717,0.0246518,
0.026,0.0945834,0.0217074,-0.0781657,-0.0284906,0.216008,0.0536951,0.101608,0.0269849,
