Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,0.0837763,0.640322,0.671734,-0.0388326,-0.0182106,0.0391382,-0.0211947,-0.0156791,0,0.01583625247996503,0.13986353239886923,0.03227303019469762,0.006338342378177644,-0.05006200399987179,0.03479110796628845,0.008831015388780476,0.0036714410950692447
0.001,0.117269,0.684389,0.807593,-0.0388691,-0.0917854,0.0204651,-0.0247601,-0.0163988,0,0.05038565226152537,0.19004406092958462,0.17387540252813913,-0.003457904763823778,-0.12226079324999804,0.017538779408188158,0.02116970021900511,0.0035799327444068206
0.002,0.14624,0.691676,0.878031,-0.035953,-0.0547695,0.0308486,-0.0395307,-0.0224213,0,0.08002905712573286,0.20729383450104896,0.25985714941102506,-0.011696030597932151,-0.10510393366234129,0.024247621266339402,0.02435512788278911,-0.0037152500391809725
0.003,0.150467,0.652103,0.952165,-0.0340523,0.0205525,0.0378245,-0.0503546,-0.0329528,0,0.08489351261496397,0.1787225896643833,0.3639647690486334,-0.01963132239819085,-0.03287863494775857,0.02797129723843271,0.023975697025353616,-0.016795920157255527
0.004,0.112035,0.632497,1.07887,-0.0372862,0.0977518,0.0304508,-0.0569596,-0.033097,0,0.04784892910856532,0.1727122343431209,0.5250943993184629,-0.031385854082016454,0.02452873547412883,0.01500338431463311,0.024633966445812106,-0.021262505118926873
0.005,0.00667181,0.660515,1.03265,-0.0413652,0.229712,0.0270564,-0.0357653,-0.0278203,0,-0.055517258972686306,0.2191022233526426,0.5337217283734812,-0.04055365033652976,0.15601061912687764,0.0076000161853147594,0.043314091820566954,-0.02093841103564819
0.006,-0.0895632,0.628493,0.773046,-0.0440014,0.36088,0.0108109,-0.00708453,-0.0214527,0,-0.14763314091247032,0.20522327214205807,0.3242093996325771,-0.045169712537344815,0.2772177744647211,-0.011806152537932315,0.06365574678980204,-0.020413689265163258
0.007,-0.0948974,0.531332,0.294045,-0.0460688,0.37747,-0.0092918,0.00158802,-0.0177307,0,-0.14840559419426036,0.13289668330993504,-0.08489217223570819,-0.04520466937822273,0.3020462553945602,-0.03244869553537113,0.056135459011703526,-0.02204212500536376
0.008,-0.00553744,0.471506,-0.157398,-0.0497418,0.326241,-0.0290051,-0.00847065,-0.0163149,0,-0.05136364616146636,0.09411325906392429,-0.48086425893091383,-0.04376001515630494,0.2566060628208992,-0.049807031401250285,0.025187353340456676,-0.025714822547336418
0.009,0.109372,0.284775,-0.362224,-0.0512107,0.284228,-0.0283724,-0.0381219,-0.0133491,0,0.07072560085869187,-0.06538097150628965,-0.6164073213651583,-0.037437513078697825,0.23282051008231164,-0.04405964317335118,-0.02768101730529325,-0.026332638910418444
0.01,0.19,-0.011934,-0.169183,-0.050754,0.246881,0.00466628,-0.067378,-0.0111926,0,0.16174472999497805,-0.34142369101242975,-0.3740461086130248,-0.027836382350356563,0.21586970127329602,-0.0031231143147720814,-0.08087771362382959,-0.02671071410789263
0.011,0.173729,-0.183369,0.0533057,-0.0521704,0.151451,0.0277839,-0.079016,-0.00974652,0,0.15413223507661922,-0.48847250643124174,-0.09623869931106784,-0.020062347553055283,0.14408061428585067,0.029668381774086375,-0.11217819784849628,-0.025939516966512276
0.012,0.107347,-0.216315,0.118542,-0.0551741,0.0953064,0.0166323,-0.0675535,-0.00962814,0,0.09848212556693706,-0.5040362398859219,0.006195695326470352,-0.014884972485265794,0.11523294496057056,0.028771574522295198,-0.11675233623259185,-0.025457073609396065
0.013,0.0599618,-0.221022,0.134102,-0.0573782,-0.0838258,0.00721107,-0.0589366,-0.0106495,0,0.05938351374943967,-0.4908525290630424,0.05861772432511039,-0.011449298680807522,-0.042855975183353004,0.029727887119635817,-0.11540505506359401,-0.024769222468772528
0.014,-0.0167201,-0.155281,0.0372346,-0.0616917,-0.321314,0.00218785,-0.0457379,-0.00838744,0,-0.009085418473185336,-0.41152419012446584,-0.010475099649517844,-0.012659432135960687,-0.25659817635460264,0.03247741181383046,-0.10377445750323096,-0.020557766738166543
0.015,-0.0499695,-0.0301142,-0.0912203,-0.0628079,-0.301581,-0.0216809,-0.0223147,-0.00401922,0,-0.0359535017923695,-0.274956953055175,-0.11480882700016128,-0.014430271235342542,-0.22540098231678585,0.015119660913570778,-0.07302314214095966,-0.014027369832824266
0.016,-0.0646288,0.0629495,-0.140908,-0.0597238,-0.211922,-0.0410351,-0.0058614,0.00567217,0,-0.046772414410033755,-0.16969512408400297,-0.13647879508063016,-0.014187943350583033,-0.1234959922458901,-0.002865904380798149,-0.04507991168227316,-0.0030672960326766294
0.017,-0.0992662,0.0651386,-0.100305,-0.0586971,-0.126503,-0.0563259,0.00374006,0.0170333,0,-0.07723796344212211,-0.15892066069770575,-0.07233090349345744,-0.018989980663549726,-0.03792621544755802,-0.018274218172215907,-0.01938087352982419,0.008616603038897441
0.018,-0.140165,0.0130324,0.00288074,-0.0537664,-0.106377,-0.0665555,0.00948209,0.0283154,0,-0.11850177272627085,-0.196166962254125,0.07023093859622886,-0.019842289894226053,-0.01854762051853498,-0.03435680142390446,0.002235416038702427,0.018511819556744094
0.019,-0.189616,-0.0316088,0.110197,-0.0483315,-0.149046,-0.0758644,0.00972403,0.0408427,0,-0.1649087988000411,-0.22956323155104053,0.2121395244168761,-0.020856862335920726,-0.06761511300141386,-0.0497786131368456,0.01647449795380158,0.028134751121595976
0.02,-0.140392,-0.00853069,0.137198,-0.0460365,-0.0867079,-0.0779064,0.0101846,0.0500738,0,-0.11812961717893997,-0.18551701686537675,0.2957003525763861,-0.021933119560175726,-0.013865375180139847,-0.062017107559647226,0.02596640206087745,0.03274613113898187
0.021,-0.0341661,0.0960385,0.164848,-0.0443264,0.0131555,-0.0743603,0.017915,0.0521215,0,-0.008180432649084739,-0.062324598217963365,0.3733352649395574,-0.021654725558530086,0.08185496691614239,-0.06680263717625404,0.035567768933964794,0.02897334721550998
0.022,0.0465752,0.129562,0.117654,-0.0551648,-0.0177688,-0.0660132,0.0367998,0.0571589,0,0.07109286424248584,-0.0006978387448455248,0.396053997822501,-0.02864141175809938,0.04308191961925459,-0.06781870157246365,0.0490805394306435,0.02734085727067667
0.023,0.0557505,0.150389,-0.0779851,-0.0674951,-0.126404,-0.0620891,0.0566228,0.0732156,0,0.08607834683515952,0.048080061929843376,0.2601221083770939,-0.03369813338963989,-0.0592819589465062,-0.06951767117668828,0.055097878508900834,0.03655066963219228
0.024,0.0102456,0.20889,-0.326853,-0.0795616,-0.134532,-0.0605796,0.0678585,0.0837299,0,0.04246091316280218,0.13980622324438166,0.08179023609820564,-0.033129098089161646,-0.06751652277839823,-0.07174883663928652,0.04699871627479458,0.040697960497273505
0.025,-0.0132659,0.227684,-0.561957,-0.0841873,-0.127512,-0.0597333,0.0680379,0.0808523,0,0.026743623289614403,0.19439197106815037,-0.0967482940613626,-0.022117578979987843,-0.04093055077348146,-0.07040975280533103,0.022864795098168734,0.03243343106873818
0.026,0.0213425,0.202065,-0.771679,-0.0887103,-0.0840865,-0.050242,0.0749669,0.0763566,0,0.06702129083597866,0.20310141961595427,-0.2511976633859617,-0.007934161361171371,0.01163266827394669,-0.05718914477148988,0.004936827236048158,0.02414600993413209
0.027,0.0490414,0.197108,-0.805169,-0.0959105,-0.0408222,-0.0440004,0.0968423,0.0761535,0,0.10271909372677238,0.23796973877262126,-0.2444245085602894,0.00453600570195787,0.08356151637836987,-0.04432122991423555,0.003394054055717091,0.02175168769413988
0.028,0.0613126,0.19359,-0.745094,-0.0982387,-0.0476623,-0.0313933,0.101624,0.0782084,0,0.12282937459459894,0.2660677692119996,-0.15550757187632622,0.021250753511522554,0.09037159263745198,-0.022620459160470976,-0.010165767828725483,0.02353512416184749
0.029,0.0134016,0.150862,-0.7542,-0.101984,-0.186167,0.00926664,0.0908985,0.0757937,0,0.08053386552919417,0.26326127868114124,-0.14704590159524342,0.035050277731898546,-0.019829660504397183,0.02741478764221113,-0.031748240798630714,0.0221550494630514
0.03,-0.0902129,0.0916227,-0.752481,-0.102634,-0.363189,0.0340647,0.0782145,0.070943,0,-0.01581828875597341,0.2315041548316693,-0.14381519605842077,0.04791731800025807,-0.18699150107791904,0.061727034942069284,-0.04712645507010872,0.0196304166324101
0.031,-0.186351,-0.000527534,-0.704383,-0.0984482,-0.456981,0.0286718,0.0688902,0.0689733,0,-0.11076421916831222,0.1773533623346868,-0.09743149109023382,0.06268814959653429,-0.26294837534511545,0.06355341269771145,-0.04914265664127036,0.02020217195301135
0.032,-0.250364,-0.0636138,-0.753272,-0.0915162,-0.478821,0.0107606,0.0703154,0.065231,0,-0.17049600246295676,0.1394798990415343,-0.16267487361019833,0.07462527051841752,-0.28582863146766296,0.050463390050914866,-0.03361481892394356,0.019051601505249576
0.033,-0.257028,-0.231498,-0.797225,-0.0857882,-0.484387,-0.0142457,0.0653835,0.0635159,0,-0.1806030444697318,0.008377721745634087,-0.21684874546149585,0.08291033060511349,-0.2895138437048098,0.02683819017622103,-0.016718579578225944,0.018831747298169936
0.034,-0.246028,-0.336592,-0.687515,-0.0754482,-0.416933,-0.0238935,0.0571229,0.0635422,0,-0.16900666745082132,-0.06953494179271136,-0.12674118552342925,0.09110894356152499,-0.23565876381499387,0.01484967448961147,-0.0017176404967214308,0.019220100706422567
0.035,-0.155362,-0.288844,-0.603425,-0.0654466,-0.318194,-0.0251795,0.0722625,0.0629229,0,-0.08439146668671942,0.016403589371511013,-0.04965570671169835,0.0987151999474831,-0.14894191092466944,0.008807239879320583,0.03862786673485499,0.01706460782448829
0.036,-0.0598482,-0.250769,-0.527068,-0.0572142,-0.199631,-0.0234962,0.103161,0.0596066,0,0.00938622068645157,0.087964920556241,0.015868922371677044,0.10248096966862279,-0.051664852426923064,0.002645139889411313,0.08950050971388579,0.01058825293318617
0.037,-0.0424485,-0.265968,-0.435192,-0.0597643,-0.11738,0.0204097,0.108372,0.0518498,0,0.02150143610730417,0.11504838237063658,0.10980178525254979,0.09787763714150569,0.01313352816418728,0.0390750387789494,0.11052106711647039,-0.002024247405516517
0.038,-0.0917862,-0.31415,-0.36885,-0.0694347,-0.0210342,0.0592152,0.12113,0.0495266,0,-0.029391565781185024,0.10855219787817046,0.17715951660687596,0.08686535822224982,0.08924641295190937,0.06955735985297556,0.1294192788353847,-0.010376432737032943
0.039,-0.124492,-0.357693,-0.40643,-0.0773317,0.105054,0.0337556,0.128902,0.054722,0,-0.06368588418312451,0.11204713584539619,0.14711132822441647,0.08156268165246891,0.20280905757669443,0.0392585292106616,0.13605828758939534,-0.011711492281037893
0.04,-0.0851596,-0.372008,-0.529546,-0.0821865,0.225897,0.00626528,0.11031,0.0585384,0,-0.023618760347909912,0.14549789605604424,0.029501007419819876,0.08132365879605288,0.31222982268786864,0.008693633722896346,0.10691833053681966,-0.014482762703421501
0.041,-0.0478343,-0.404865,-0.594749,-0.0878896,0.285853,-0.00290414,0.0896722,0.0575704,0,0.016759181745206495,0.16217787578524154,-0.03385861180765297,0.0834568860521375,0.3713574072412727,0.0016241440767170712,0.07003090104718901,-0.02088052105839691
0.042,-0.0366344,-0.480264,-0.575276,-0.093528,0.233234,-0.00542066,0.0652964,0.0545932,0,0.03154857504509435,0.13501258056978557,-0.017972831319550256,0.08673203857000868,0.3186111736356625,0.004558336591230096,0.024962206213952697,-0.028227050210077542
0.043,-0.0466199,-0.607853,-0.567119,-0.106112,0.159109,-0.00572725,0.0421372,0.0491824,0,0.027738399846992848,0.055074236068576664,-0.025970705400134304,0.08339213336557752,0.2549556709359184,0.01407000369230151,-0.01925045041845676,-0.035506801124327726
0.044,-0.0577496,-0.723193,-0.569291,-0.114614,0.104605,0.0107528,0.0308414,0.0409963,0,0.021783833902520987,-0.018419816262775453,-0.05288594565104194,0.08249517356292978,0.20744177960793975,0.043508385804468835,-0.048861271061549846,-0.04406342527281454
0.045,-0.0541638,-0.802005,-0.539051,-0.114519,-0.0494475,0.0280792,0.0255998,0.0318869,0,0.03141628563603382,-0.05604534135414173,-0.06290392369956979,0.08671630310023558,0.06791137470743991,0.07502353095265477,-0.0667004321230007,-0.0506375730554313
0.046,-0.0131186,-0.818687,-0.47386,-0.116894,-0.265958,0.0176369,0.0248999,0.0270084,0,0.07692406481312104,-0.042405031585124695,-0.047338163487848944,0.08384223311811839,-0.14287205161319055,0.08014018422553859,-0.07164402499976394,-0.0520301445430358
0.047,0.0676501,-0.785736,-0.40728,-0.122042,-0.357909,0.00247798,0.0174803,0.0272223,0,0.16035217586606546,0.02256690203576124,-0.04096011462780381,0.07181436040000057,-0.2262704371457172,0.07769033124151399,-0.07429893049948895,-0.04608942675320811
0.048,0.1047,-0.660497,-0.37251,-0.128066,-0.305492,-0.012367,-0.0034683,0.0289754,0,0.19928055502943112,0.1653645894981552,-0.07372339040948364,0.052737320692919414,-0.17714506563246968,0.07470202968711565,-0.08112877638746714,-0.03893457799319605
0.049,0.0576784,-0.451693,-0.280276,-0.131915,-0.265775,-0.00980931,-0.00826545,0.0284838,0,0.14999010213130562,0.3970829991625663,-0.04870253944460736,0.028885290773713747,-0.14202409199846608,0.08319252459464291,-0.06436207937490282,-0.033098148531354635
0.05,-0.0309289,-0.502738,-0.182417,-0.136634,-0.122485,-0.0114086,0.0108125,0.0338424,0,0.060347257789478026,0.3536247270354148,-0.021944707750270055,-0.001128546888501055,-0.013605207434713905,0.08535711485702435,-0.01861189487551379,-0.023044640767000298
0.051,-0.0844466,-0.813951,-0.140682,-0.14343,0.0394183,-0.0349969,0.0176989,0.0370953,0,0.0005422271037396481,0.05813515475714501,-0.03909983484055168,-0.03815682193282836,0.13022311499935732,0.05906827024499544,0.016570686138408494,-0.015390862991664644
0.052,-0.0838607,-0.978707,-0.110028,-0.151898,0.0714214,-0.0546496,0.0125935,0.0377811,0,-0.0014150920260371097,-0.10428989203028889,-0.06853025334429716,-0.07910684591271921,0.1398779439355195,0.03491795027835676,0.03759393826755059,-0.012510614868458983
0.053,-0.0359246,-1.09632,-0.0635977,-0.157428,0.0514281,-0.0686028,0.0163201,0.0348153,0,0.03913058482904579,-0.21166842225057164,-0.06279065875469966,-0.118563968237651,0.09495560657908353,0.012276820867167361,0.06195872799849969,-0.01403243275025912
0.054,-0.00710889,-1.17766,0.0577283,-0.165271,0.0668601,-0.0938057,0.0269079,0.028715,0,0.06629557239552829,-0.2920650523175325,0.01724383293756698,-0.1587771428835551,0.08896333099357369,-0.02161496683500498,0.0846450805513047,-0.020320381231006334
0.055,-0.0233522,-1.24226,0.134881,-0.172147,0.0347339,-0.100821,0.0383402,0.0227827,0,0.04496672395336297,-0.3518841642374568,0.0713138866301927,-0.19638496720637602,0.03499227049588649,-0.037523836334571244,0.09803448604385046,-0.026652553393511344
0.056,-0.076148,-1.32411,0.226448,-0.177352,-0.0451733,-0.094206,0.0404675,0.0184531,0,-0.006699445891046589,-0.4331920233117839,0.13824949517368418,-0.22797034454128057,-0.05736560291099907,-0.037767201219165776,0.09172024409303954,-0.031474164034923355
0.057,-0.118153,-1.35665,0.324667,-0.183837,-0.0571396,-0.091465,0.0317075,0.0141134,0,-0.049495789951497934,-0.4685394810981992,0.2205063959598402,-0.2581905295685038,-0.08005817548699119,-0.038339688841207066,0.06465688836221714,-0.035317088246753295
0.058,-0.114328,-1.27163,0.385208,-0.193424,-0.118126,-0.0913525,0.0228378,0.00908418,0,-0.041699166662048516,-0.38585887253786366,0.26334271251006874,-0.28658132527340835,-0.14122862090782687,-0.038667896684231574,0.031047624362989135,-0.038150571774002516
0.059,-0.0894296,-1.11044,0.410568,-0.206234,-0.0804937,-0.111193,0.0231486,0.00420404,0,-0.013802109933979843,-0.23845469199537978,0.26536365884439805,-0.3171443102343868,-0.10116809139246549,-0.053697085384032894,0.001733637767432794,-0.03870257132758326
0.06,-0.113158,-1.01857,0.392565,-0.222337,0.00356221,-0.131018,0.0235613,-0.0012212,0,-0.032682366475472555,-0.15635093367243835,0.2256288341591523,-0.3476849087759023,-0.008274554382872217,-0.06704310633280844,-0.02586808776145714,-0.03694799629710122
0.061,-0.14312,-0.940856,0.411679,-0.242472,-0.0381827,-0.152038,0.00987589,-0.00353246,0,-0.058555088286989056,-0.10615373785286752,0.2036691681383763,-0.38445552526689747,-0.03918265849371872,-0.077395693070549,-0.06564827852316435,-0.02957352458725
0.062,-0.153351,-0.882065,0.336418,-0.267938,-0.0929997,-0.179527,-0.016556,-0.00243719,0,-0.06613442337371986,-0.06872502459687205,0.09731759733366467,-0.4258279278527275,-0.08419124418251511,-0.09546126571295907,-0.10837061696016471,-0.016025695781389
0.063,-0.158483,-0.822793,0.151383,-0.291299,-0.120313,-0.19813,-0.0339052,-0.00479621,0,-0.06954328512526246,-0.05109359894577406,-0.14663537372957614,-0.4702458186829436,-0.10102862456655869,-0.1035608550400865,-0.13545601527950826,-0.004128764385396572
0.064,-0.127954,-0.795218,0.032774,-0.254441,-0.0428706,-0.207439,-0.0461075,-0.00799406,0,-0.041095476852658616,-0.05794609799898433,-0.3019761203214427,-0.4555163626706507,-0.021389975577564405,-0.10680881910002821,-0.1433172182040748,0.008388802547435261
0.065,-0.105177,-0.77011,0.117702,-0.0589296,0.0349117,-0.214974,-0.0537633,-0.00763812,0,-0.02126213610106943,-0.08581193689001063,-0.2829441605064946,-0.28800758880909927,0.05861899162061182,-0.11059198112151644,-0.14051612976793892,0.024759344378018886
0.066,-0.0970327,-0.790998,0.289423,0.197239,0.0386329,-0.213759,-0.0708824,-0.0113118,0,-0.020474531720427083,-0.1518845669014525,-0.14268396354532442,-0.06059544016798454,0.052540453817340696,-0.1117879805113552,-0.13476009433906727,0.03666617399544791
0.067,-0.0930303,-0.72636,0.472753,0.38723,0.00967939,-0.2007,-0.0697798,-0.0148863,0,-0.023976972733779356,-0.14624947572260916,-0.015318009510988287,0.09711016827693579,0.014825506454998416,-0.10526584820812418,-0.11033226429669807,0.047380254268422566
0.068,-0.0968476,-0.573429,0.454679,0.523415,0.0364321,-0.191654,-0.0565129,-0.0176373,0,-0.03860259259172507,-0.04395436647980016,-0.047654038250907554,0.20273451716745394,0.021991201048949787,-0.10805537929256585,-0.06778026176679211,0.056941494065602324
0.069,-0.0981234,-0.473053,0.370815,0.65019,0.0634844,-0.194586,-0.0427865,-0.0239068,0,-0.049528890750746145,-0.0026574470421430706,-0.16305995536010762,0.2999517975943065,0.03292190936048081,-0.12621435260023148,-0.03240693331930867,0.0607748355608009
0.07,-0.0822827,-0.40517,0.229496,0.749874,0.00270039,-0.182951,-0.0556978,-0.0281931,0,-0.0446519491456529,0.015220666572208545,-0.29587462284809524,0.375160168115262,-0.04946064616675627,-0.1319213595162257,-0.02527215796853125,0.0641724609393746
0.071,-0.0624254,-0.315378,0.210606,0.800352,0.0233436,-0.164473,-0.0609729,-0.0300225,0,-0.033215496501171636,0.050186157261218875,-0.31717039832164895,0.40687755195627306,-0.04454646873052455,-0.13124983716789163,-0.02432287947792179,0.06795332067199825
0.072,-0.0697168,-0.216537,0.319306,0.816985,0.033207,-0.151539,-0.0355185,-0.028297,0,-0.04855561678168714,0.10383748935969185,-0.1818126724574593,0.41226267623778146,-0.048910165411584564,-0.13436217380725485,0.0013454137274943948,0.0736893270011055
0.073,-0.0804723,-0.114173,0.416494,0.819669,-0.0697437,-0.149819,-0.0163937,-0.0299008,0,-0.06406568811336757,0.15685935811082574,-0.06486843343644258,0.4121725952764051,-0.15981260006931172,-0.14544680174771557,0.006135779123197151,0.07498440242189194
0.074,-0.0692856,-0.0662308,0.402219,0.810082,0.00379259,-0.128669,-0.0347679,-0.0336457,0,-0.05679160973099883,0.16515799246539525,-0.04718727112347429,0.4074261994062401,-0.08695242702073035,-0.13302491984650758,-0.031336772664698864,0.07410361358132612
0.075,-0.0569726,-0.0825152,0.395372,0.781978,0.152964,-0.0753297,-0.0456141,-0.0299882,0,-0.04546481752281263,0.10335838866116903,-0.026719242564208046,0.3922802464410762,0.06488916758892735,-0.08232861911760467,-0.07032462776434625,0.0805716525902203
0.076,-0.0515624,-0.128391,0.4622,0.742186,0.148472,-0.0336497,-0.0286098,-0.0291909,0,-0.04105948547327816,0.020904714968700666,0.06261402709873833,0.3706306668898616,0.07315004750563787,-0.040160999376386244,-0.08001053193619508,0.08553645971851159
0.077,-0.0407854,-0.105035,0.550017,0.688908,0.111475,0.0111042,0.0292481,-0.0358208,0,-0.029799618923347305,-0.00023874913135010778,0.1708664731721584,0.34051787451762616,0.04620349795038836,0.012215115355106242,-0.048678824604652046,0.08334144506749595
