Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,-0.00507505,0.273106,0.0246821,-1.62131,-0.113943,-0.109436,-0.0942342,-0.162894,0,-0.014179072203718507,-0.008919012163242448,0.016840017915342956,-0.13192237688001104,0.16971824054792967,0.1329752939553766,0.0305973591469153,-0.07244419817690034
0.001,0.0018755,0.26765,0.0386587,-1.60429,-0.208765,-0.119621,-0.0955888,-0.177155,0,-0.006605731529938696,-0.008567504432582106,0.034468835420871986,-0.16487149427573392,0.10940569898925465,0.08907141765309609,0.044173885730843014,-0.13887190325247867
0.002,0.0378709,0.263855,0.0425304,-1.6008,-0.306161,-0.146675,-0.094708,-0.204218,0,0.02985638326728552,-0.007908342902788173,0.04231114857210281,-0.2198122217432682,0.042989964282093236,0.01996896839439056,0.054041752695001444,-0.20151738012898646
0.003,0.113441,0.264989,0.0404847,-1.64394,-0.385742,-0.194404,-0.0918835,-0.232817,0,0.10514577863959834,0.0007712764717044602,0.04330376356297067,-0.3160683529713339,0.00223051012837637,-0.06264543610225047,0.05305747667018351,-0.23728049734791157
0.004,0.16715,0.274532,0.0425524,-1.63145,-0.442829,-0.253148,-0.0895091,-0.297856,0,0.1597926158851423,0.016342080841528314,0.04816639356338974,-0.3614813660820894,-0.024325320821349975,-0.151584531019772,0.04264032922670374,-0.292389653852248
0.005,0.194411,0.272736,0.0261722,-1.56497,-0.484193,-0.311627,-0.0853931,-0.278873,0,0.18779634396183117,0.023682228598734156,0.03341348282944356,-0.3463542890469177,-0.03523231967174094,-0.22308581669967048,0.02109470034965828,-0.23978354301661986
0.006,0.173785,0.272437,0.0167015,-1.42373,-0.518621,-0.357279,-0.077663,-0.182621,0,0.17066114905657143,0.031110862005742257,0.02521217863396647,-0.2589005651797106,-0.05086133528993468,-0.2682899018475931,-0.003426044584711789,-0.10398446398982154
0.007,0.0482485,0.269096,0.0189287,-1.22947,-0.546652,-0.386461,-0.0696978,-0.15519,0,0.04863078456006924,0.03827480750235319,0.02758076453881824,-0.11470656241411654,-0.06640844770788058,-0.27763162088852233,-0.03494111511270986,-0.028760514323994957
0.008,-0.0893955,0.268037,0.0156231,-1.04395,-0.557458,-0.399707,-0.0637048,-0.148288,0,-0.08182532317278564,0.046673932451580774,0.024483584872878415,0.018576532747182933,-0.07611270252283336,-0.2576324743939127,-0.06844017973400726,0.015121279154966971
0.009,-0.15266,0.273123,0.00969859,-0.828951,-0.556023,-0.401154,-0.0587361,-0.105957,0,-0.13825094097052285,0.06339564358572607,0.017907225913991867,0.17896753440917548,-0.08181345488543866,-0.21378824127271956,-0.10147392111878448,0.08489538105145478
0.01,-0.164715,0.273446,0.00369041,-0.606434,-0.552413,-0.390923,-0.0539673,0.0551225,0,-0.13993750957466777,0.07484660603159916,0.0120943617100423,0.3434739959932082,-0.09236273846215176,-0.1535151664186452,-0.12763977561025106,0.24977112015799546
0.011,-0.155173,0.261782,0.00403642,-0.423765,-0.540442,-0.369221,-0.0515216,0.229256,0,-0.12103504087121052,0.07574184273883659,0.012067627422703188,0.45892867282701494,-0.10010235635767084,-0.08329141590390332,-0.14707248102616025,0.407869436608436
0.012,-0.115027,0.244056,-0.0114023,-0.287468,-0.531855,-0.349794,-0.0461237,0.309615,0,-0.06931142084657665,0.07067700619865543,-0.0021123100706929515,0.5234710145975026,-0.1115849202417183,-0.02279932699494612,-0.15302971712768185,0.44735706792405494
0.013,-0.0481238,0.223301,-0.0395976,-0.188625,-0.533202,-0.333132,-0.038923,0.230448,0,0.007751017788565073,0.06322786439989773,-0.029553751791591414,0.5369006089905087,-0.13340272808951698,0.020468444185042983,-0.1453071138992472,0.3105257168931521
0.014,-0.0161307,0.198623,-0.0700294,-0.114295,-0.542245,-0.316095,-0.0344698,0.0172702,0,0.04994366832206043,0.05254734691265821,-0.057133821489737724,0.5217690493763789,-0.15747944804350844,0.047994123631636236,-0.1322280671856832,0.02680108640674686
0.015,0.00463076,0.17354,-0.105644,-0.0304648,-0.531478,-0.295983,-0.0345386,-0.0948632,0,0.07986899446337947,0.04134973115999008,-0.09074066422727613,0.5026709166188564,-0.15787235916414474,0.05858831412214453,-0.1147877080448163,-0.15772494092159128
0.016,0.00135458,0.141884,-0.141844,0.0693962,-0.496501,-0.260588,-0.0356544,-0.133105,0,0.08333836440717397,0.024792022337613778,-0.12279197585736354,0.4981646792098763,-0.1266135509593054,0.06849971858202118,-0.09757676586387226,-0.2616789336540728
