SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,72,65,52,41,53,52,49,63
0,71,61,55,35,52,63,45,57
0,72,65,54,31,49,69,55,67
0,66,71,60,44,59,64,60,63
0,69,70,57,51,58,55,58,69
0,62,67,61,62,62,54,51,55
0,72,64,56,58,59,64,42,62
0,77,65,55,60,62,65,46,66
0,82,56,55,67,64,57,48,62
0,83,50,62,66,57,43,55,56
0,76,53,62,68,53,33,54,43
0,76,42,53,70,54,34,53,37
0,71,41,38,76,59,33,48,33
0,66,33,42,69,69,36,44,36
0,62,42,39,56,66,41,45,36
0,65,45,40,41,63,41,49,40
0,66,46,37,44,54,34,48,40
0,66,40,44,45,48,33,43,47
0,63,39,42,53,40,35,51,52
0,56,42,43,52,44,36,51,63
0,51,40,45,64,42,49,60,55
0,50,41,49,58,48,48,51,58
0,60,45,41,66,43,53,40,51
0,64,43,45,63,44,50,39,49
0,74,43,41,74,49,46,40,40
0,78,43,42,81,56,44,47,39
0,67,45,42,74,65,44,60,48
0,74,46,41,56,56,44,54,59
0,59,55,34,37,45,42,45,68
0,56,59,36,28,42,37,34,76
0,49,59,38,40,50,35,35,69
0,41,56,47,58,62,40,39,66
0,58,50,45,80,68,38,47,64
0,52,47,45,79,61,39,54,55
0,60,50,41,75,64,39,52,47
0,63,51,47,55,54,48,47,32
0,71,55,41,46,48,43,50,24
0,73,48,39,50,39,40,50,32
0,74,42,33,64,42,38,64,31
0,63,40,38,67,51,39,64,41
0,59,45,41,52,57,44,64,39
0,59,49,48,32,54,41,45,56
0,67,50,51,41,45,41,36,65
0,74,50,44,53,40,41,36,58
0,75,50,44,64,51,45,43,55
0,79,52,40,57,54,53,52,58
0,66,39,42,52,46,59,62,60
0,62,39,41,56,46,63,55,60
0,63,38,48,62,40,60,57,48
0,74,40,54,81,42,56,51,42
0,82,36,56,85,41,43,41,29
0,76,39,47,85,37,44,38,26
0,59,30,45,79,52,47,46,27
0,46,40,44,59,53,50,47,47
0,45,42,56,45,60,46,45,55
0,51,48,49,28,43,44,38,61
0,61,49,47,38,47,39,33,56
0,68,45,37,45,43,45,33,51
0,68,53,38,58,49,44,46,54
0,69,55,45,61,50,43,54,57
0,60,56,45,58,49,47,59,63
0,57,47,48,62,48,39,61,62
0,59,45,51,57,52,37,56,48
0,58,45,44,55,50,34,46,42
0,65,46,42,57,48,32,42,37
0,66,40,40,58,48,44,43,31
0,66,44,44,67,55,46,51,40
0,67,39,48,59,53,51,58,49
0,66,40,48,48,58,47,57,71
0,66,46,43,51,50,50,48,75
0,71,50,37,46,50,51,39,71
0,65,52,33,58,46,56,41,64
0,66,55,32,64,54,55,48,63
0,63,58,32,67,59,49,58,62
0,50,50,43,65,59,40,57,63
0,47,46,47,59,57,34,59,55
0,45,32,52,63,43,35,49,47
0,56,30,46,68,42,38,42,48
0,73,30,41,78,55,34,35,41
0,69,28,38,82,66,38,39,35
0,63,36,42,75,75,45,46,40
0,56,43,47,59,61,53,47,45
0,59,51,49,39,44,60,44,53
0,65,50,44,47,37,56,37,50
0,67,50,40,45,39,50,42,47
0,66,47,41,59,37,44,48,50
0,69,44,51,57,48,47,56,58
0,66,47,58,58,55,47,61,61
0,68,49,54,57,58,35,52,55
0,72,51,45,47,58,36,50,55
0,71,53,45,50,47,35,41,50
0,83,41,44,57,43,36,42,50
0,82,34,42,67,45,47,44,38
0,75,32,34,72,49,49,54,40
0,67,34,32,66,58,51,62,48
0,60,42,35,50,60,48,59,52
0,57,50,41,36,52,45,47,54
0,64,57,43,32,46,40,37,50
0,66,64,39,41,43,44,34,51
0,73,76,33,53,39,45,43,49
0,70,71,40,59,42,48,50,55
0,72,63,34,58,42,55,53,56
0,65,57,42,54,42,46,63,64
0,59,48,37,51,48,53,58,54
0,51,45,43,59,51,44,50,46
0,53,31,37,62,49,36,34,42
0,58,30,46,75,44,35,32,43
0,71,32,45,73,53,36,50,50
0,66,39,49,67,52,38,52,48
0,58,43,49,51,49,37,52,51
0,55,36,48,44,42,46,42,66
0,62,43,43,40,43,50,36,69
0,65,49,44,52,53,54,45,70
0,71,56,51,63,51,55,48,68
0,69,54,65,77,67,49,53,61
0,74,50,70,67,66,48,47,55
0,81,45,59,54,62,38,43,51
0,74,46,47,44,52,46,38,40
