SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,68,60,47,60,49,32,45,52
0,68,59,51,53,48,34,47,45
0,67,63,55,43,43,32,40,35
0,69,61,64,48,53,43,39,32
0,75,61,60,57,60,51,45,33
0,79,49,56,73,61,49,45,33
0,76,47,41,78,58,42,56,34
0,64,46,38,77,64,28,66,38
0,61,52,36,63,60,23,65,45
0,59,55,46,44,59,27,57,53
0,61,54,48,36,55,35,42,67
0,65,56,48,33,50,37,34,62
0,64,55,49,41,50,33,41,67
0,70,54,41,58,45,32,46,52
0,63,57,47,70,43,35,48,47
0,64,49,50,62,52,37,39,36
0,60,56,62,51,65,37,29,39
0,64,59,54,45,77,35,24,37
0,61,50,58,57,66,43,31,39
0,62,45,53,68,55,51,43,33
0,62,34,49,63,58,58,54,34
0,68,34,51,46,66,52,59,35
0,74,37,51,37,65,42,52,52
0,72,47,57,29,56,33,46,66
0,69,59,53,37,51,36,45,71
0,73,61,44,44,52,38,45,64
0,69,60,41,46,52,36,58,53
0,69,62,46,49,55,35,54,36
0,69,60,47,54,48,45,50,41
0,70,59,53,54,55,44,36,47
0,77,46,48,59,59,50,33,47
0,81,36,46,73,69,47,38,48
0,82,35,47,77,67,58,42,41
0,73,31,44,73,62,59,49,34
0,64,35,44,66,50,52,56,34
0,58,32,49,52,42,44,55,37
0,53,38,44,47,36,40,47,47
0,60,45,46,40,34,36,42,58
0,67,49,47,47,44,38,45,62
0,64,51,50,53,42,34,51,58
0,65,53,53,57,43,42,50,50
0,59,61,49,51,40,40,51,39
0,61,55,40,44,52,46,40,32
0,64,50,35,51,52,47,46,30
0,60,36,40,69,54,49,46,30
0,67,42,49,71,57,41,46,31
0,68,48,57,69,59,35,47,39
0,68,56,59,56,59,34,48,47
0,68,53,54,44,57,39,43,57
0,66,67,53,38,49,50,38,63
0,68,71,46,39,44,57,40,69
0,57,71,55,36,47,47,38,72
0,60,64,54,40,48,41,47,78
0,64,64,56,52,54,35,56,66
0,66,58,52,52,52,38,57,52
0,59,58,46,55,56,32,56,36
0,53,43,43,56,53,34,51,36
0,57,36,45,55,59,39,50,35
0,61,35,49,60,62,39,48,40
0,54,38,47,57,69,43,56,44
0,52,35,50,50,64,42,64,47
0,41,38,48,37,58,42,58,44
0,42,43,49,31,45,32,51,58
0,53,44,49,31,42,26,36,65
0,67,53,46,37,40,28,30,73
0,74,49,42,53,44,29,34,69
0,73,53,39,62,50,32,42,60
0,60,60,39,61,51,33,52,53
0,57,56,42,46,51,31,47,46
0,59,47,49,43,58,42,36,41
0,58,40,43,52,60,46,27,38
0,64,23,48,66,62,51,34,42
0,56,29,48,75,58,45,48,43
0,53,32,46,65,64,52,60,43
0,62,45,40,45,61,50,66,42
0,57,53,39,35,53,45,53,47
0,68,60,45,32,38,31,41,56
0,69,55,52,32,37,29,34,55
0,71,57,43,42,52,32,34,59
0,73,60,35,42,49,31,40,56
0,71,63,34,44,52,37,41,50
0,70,64,40,40,47,41,39,44
0,52,61,47,38,45,47,38,36
0,52,50,51,41,53,47,39,35
0,46,49,43,47,58,41,41,34
0,63,44,49,64,59,33,45,40
0,64,37,48,76,59,40,56,47
0,61,42,49,74,71,38,56,44
0,62,45,49,57,64,37,53,41
0,59,49,45,46,58,36,42,39
0,67,57,52,45,52,31,35,49
0,67,59,51,47,48,32,38,50
0,71,61,53,47,60,30,50,58
0,66,55,51,37,57,27,61,58
0,66,51,44,39,59,30,64,54
0,56,53,39,42,58,33,54,40
0,53,50,46,42,61,38,42,30
0,58,51,51,43,61,39,32,24
0,65,47,55,58,57,45,32,25
0,77,40,49,70,60,49,34,26
0,78,42,36,73,64,55,38,30
0,73,41,44,60,61,54,43,32
0,64,54,39,39,57,53,47,43
0,58,61,36,38,51,44,43,55
0,69,68,46,38,41,35,35,66
0,69,66,55,45,48,35,37,69
0,74,64,67,61,49,38,47,63
0,70,57,61,64,49,44,60,61
0,67,51,55,57,50,46,61,55
0,66,50,54,40,63,46,51,52
0,72,51,56,38,64,46,51,52
0,71,51,52,54,65,41,53,42
0,69,52,44,53,56,41,51,34
0,73,52,47,54,54,47,45,27
0,71,56,44,49,59,55,46,28
0,80,52,50,59,64,56,48,40
0,79,44,52,56,67,47,46,53
0,70,41,52,64,61,38,38,67
