ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,29,19,19,16,31,22,22,23
0,34,21,24,16,26,21,18,23
0,40,18,24,21,25,20,16,21
0,37,18,23,23,28,22,17,19
0,30,17,26,27,33,24,17,20
0,30,22,23,27,28,23,21,23
0,33,30,28,32,23,20,22,20
0,38,33,27,32,19,23,20,17
0,44,27,26,28,23,24,23,17
0,44,20,27,29,25,26,21,23
0,34,18,21,27,26,21,21,32
0,34,17,20,26,28,18,20,28
0,37,17,18,24,29,19,23,27
0,35,18,20,26,24,21,26,26
0,32,19,21,26,20,20,25,24
0,25,18,21,22,14,19,27,29
0,23,19,19,19,13,18,27,26
0,25,19,19,18,12,19,25,26
0,24,22,17,20,11,22,17,19
0,28,21,17,20,11,20,16,15
0,30,21,16,23,20,21,23,13
0,26,19,17,25,19,21,28,17
0,27,18,16,33,27,19,34,20
0,24,18,17,34,25,19,35,22
0,27,16,20,31,25,19,27,25
0,32,15,22,17,20,17,26,26
0,32,19,22,15,18,13,27,30
0,39,21,26,17,19,12,30,31
0,39,22,25,19,25,15,32,35
0,35,22,25,24,29,16,31,36
0,34,21,23,23,28,20,25,32
0,27,20,20,26,23,18,21,29
0,28,18,20,23,20,16,17,26
0,18,16,20,25,18,12,20,21
0,22,17,21,26,17,12,20,24
0,28,23,21,29,24,21,23,21
0,30,24,23,29,26,24,25,23
0,33,26,22,25,29,29,22,22
0,29,21,16,23,33,28,17,24
0,29,21,15,21,28,24,19,27
0,26,25,20,17,30,23,22,26
0,24,26,21,25,27,17,24,24
0,21,27,22,32,24,17,26,18
0,20,22,20,32,20,17,28,20
0,21,22,22,24,23,20,30,23
0,28,22,25,25,28,21,24,27
0,34,24,25,20,29,22,19,26
0,41,24,25,25,29,19,24,23
0,41,20,25,33,34,16,27,16
0,33,19,24,41,35,15,31,17
0,26,23,22,42,40,15,35,19
0,27,28,21,32,35,16,35,25
0,31,30,20,20,33,17,34,34
0,40,38,15,15,27,17,32,36
0,37,37,16,25,28,21,26,34
0,32,36,19,27,27,18,22,24
0,30,30,22,29,25,21,22,19
0,30,28,23,22,24,19,27,21
0,38,26,20,22,25,19,30,23
0,39,27,18,15,20,19,26,23
0,39,26,21,17,17,18,26,29
0,40,25,20,21,16,19,24,27
0,42,16,23,27,22,25,28,24
0,39,14,21,28,29,24,31,22
0,38,15,19,26,34,23,29,23
0,29,15,21,18,31,15,32,25
0,35,17,22,15,26,12,28,20
0,35,21,25,19,22,14,29,19
0,33,21,29,24,16,14,31,18
0,28,23,28,25,15,19,31,18
0,28,22,25,21,18,22,29,19
0,32,25,22,17,28,28,23,17
0,36,24,19,17,29,28,25,21
0,34,23,20,18,29,29,26,21
0,34,15,22,21,22,26,25,20
0,38,18,22,34,23,27,30,17
0,37,20,18,40,28,26,31,15
0,33,20,15,37,32,23,36,18
0,32,22,12,29,26,23,35,27
0,24,27,14,18,27,19,30,31
0,32,28,16,18,30,15,29,38
0,32,30,20,19,30,18,26,34
0,36,23,18,26,27,19,25,37
0,31,24,24,28,25,23,20,31
0,34,25,27,29,24,23,20,28
0,31,26,28,30,23,22,20,24
0,31,25,24,29,23,20,25,28
0,26,23,22,28,21,22,22,27
0,29,21,24,29,20,19,20,27
0,32,19,24,33,21,19,21,26
0,31,21,27,34,34,21,31,24
0,29,19,25,33,35,26,30,24
0,24,19,21,24,33,37,31,26
0,21,17,20,21,22,32,24,27
0,27,18,17,18,19,30,26,27
0,22,23,17,24,21,22,26,23
0,23,27,22,26,24,19,26,27
0,25,30,24,34,22,17,25,31
0,35,28,24,39,21,16,29,36
0,38,23,26,43,18,16,30,32
0,43,21,25,36,19,17,29,29
0,36,23,25,27,18,21,30,22
0,30,21,20,28,16,21,24,24
0,29,20,14,30,19,21,28,26
0,21,17,12,32,24,19,28,28
0,23,22,10,28,32,15,30,30
0,25,22,13,21,38,16,29,29
0,32,24,18,16,35,17,22,33
0,37,24,20,15,30,21,18,31
0,37,23,21,17,24,20,25,29
0,38,22,21,21,23,18,27,27
0,39,24,21,21,17,16,25,25
0,38,20,21,21,21,23,26,31
0,32,20,18,19,21,29,21,31
0,31,17,18,24,26,31,21,26
0,32,14,17,23,18,23,16,27
0,37,15,22,24,20,19,16,18
0,36,19,23,36,21,13,18,21
