ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,27,25,15,22,32,22,21,26
0,25,27,13,22,31,18,17,29
0,23,33,16,19,31,15,20,30
0,24,29,25,15,31,21,24,37
0,28,28,31,16,28,22,23,36
0,34,23,33,16,26,25,25,30
0,38,22,29,18,24,20,19,20
0,34,25,22,21,25,21,19,14
0,36,23,19,23,25,14,18,13
0,34,23,22,34,28,13,23,18
0,38,20,25,35,32,18,27,21
0,36,25,26,35,40,17,32,23
0,36,24,27,30,41,16,32,24
0,39,22,23,27,32,16,30,23
0,40,21,20,22,29,13,23,28
0,39,22,17,17,23,15,25,30
0,30,24,18,18,26,16,22,29
0,26,30,19,22,26,19,23,26
0,28,32,22,24,28,20,27,23
0,27,28,26,21,25,21,27,25
0,26,26,24,20,32,24,26,26
0,22,20,22,20,33,24,20,26
0,19,19,18,24,32,27,20,26
0,25,24,16,25,33,24,19,20
0,25,22,16,30,29,23,23,19
0,30,26,16,30,32,25,26,18
0,35,21,17,25,33,19,28,23
0,34,18,14,20,30,27,27,30
0,32,16,18,21,30,24,26,39
0,26,16,24,24,30,24,22,40
0,29,15,28,30,30,26,25,36
0,30,18,28,31,29,24,23,34
0,31,21,22,30,32,24,20,27
0,32,25,26,25,31,22,21,25
0,27,24,23,27,33,20,22,23
0,22,21,26,32,27,22,26,21
0,15,19,22,35,29,23,30,20
0,21,19,22,33,32,23,30,21
0,25,17,21,30,43,20,34,21
0,34,20,20,23,44,23,31,25
0,37,16,17,17,36,20,32,32
0,42,21,15,14,26,22,25,31
0,42,19,18,17,25,22,24,29
0,34,26,23,20,22,24,24,27
0,29,30,32,19,21,23,22,27
0,31,28,27,16,22,20,22,24
0,31,28,27,15,26,22,19,20
0,33,22,20,18,29,22,17,18
0,30,21,21,18,36,24,14,19
0,24,18,16,29,33,30,21,17
0,20,17,16,41,37,30,24,20
0,23,18,18,40,36,28,29,20
0,27,16,17,31,38,20,29,27
0,33,16,17,16,33,19,25,38
0,37,18,19,15,30,21,24,41
0,39,21,20,20,28,24,19,43
0,33,23,24,20,26,23,13,36
0,34,26,28,21,22,23,11,34
0,30,27,24,21,23,24,15,31
0,28,27,21,22,25,22,16,23
0,30,20,23,24,25,21,17,21
0,27,20,24,27,25,21,21,17
0,24,18,27,37,24,22,20,18
0,27,18,24,46,28,21,24,17
0,29,17,28,50,35,20,22,19
0,31,18,23,44,37,21,22,19
0,33,22,22,28,35,19,21,24
0,35,22,24,26,36,19,26,28
0,36,21,26,24,34,18,22,38
0,30,20,30,21,38,22,21,42
0,35,18,28,19,27,18,17,38
0,32,20,31,15,28,21,18,38
0,28,24,27,19,24,17,18,30
0,22,22,22,18,35,20,18,27
0,15,22,20,18,37,18,18,20
0,17,19,17,21,37,20,20,18
0,16,16,20,26,29,21,25,18
0,20,17,21,33,28,21,27,20
0,24,17,25,31,31,23,25,23
0,29,18,22,27,34,23,26,23
0,35,18,22,22,31,20,22,27
0,30,21,16,19,25,17,23,28
0,36,28,16,18,23,14,20,27
0,35,29,19,22,21,16,22,25
0,35,23,20,26,20,17,17,25
0,37,25,24,28,24,22,19,26
0,35,25,21,23,27,21,18,29
0,35,23,19,21,34,21,17,24
0,42,18,19,21,31,18,15,20
0,42,15,20,28,25,18,16,19
0,36,20,20,33,26,19,21,23
0,35,20,19,32,22,19,26,25
0,26,22,20,29,28,18,28,26
0,34,17,20,27,30,19,22,27
0,28,16,21,28,32,20,17,30
0,30,18,20,27,25,19,15,25
0,23,18,20,22,22,19,19,29
0,27,20,19,19,18,20,20,27
0,28,25,26,22,21,21,19,28
0,33,20,29,21,24,24,17,25
0,35,24,30,25,32,19,19,22
0,35,19,26,25,28,18,17,18
0,35,21,21,26,26,16,19,12
0,33,20,19,34,22,21,23,15
0,35,19,17,42,25,20,22,22
0,29,20,19,40,34,19,24,26
0,28,21,22,33,39,18,20,24
0,31,23,28,25,40,22,19,20
0,29,24,28,20,32,22,18,18
0,35,23,23,17,28,20,19,23
0,31,24,19,16,23,21,17,28
0,39,21,18,12,24,19,20,25
0,30,19,17,17,24,21,19,25
0,31,16,18,17,28,17,20,22
0,27,17,17,20,27,20,19,23
0,24,14,17,22,25,23,17,22
0,21,15,14,17,21,24,15,22
0,19,15,16,18,22,24,14,21
