SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,71,56,55,45,52,66,46,54
0,68,61,51,48,47,78,54,67
0,75,68,50,54,45,73,64,61
0,79,78,50,55,42,54,62,59
0,77,62,50,54,53,42,59,54
0,71,60,49,58,58,39,60,46
0,62,63,51,60,65,45,57,55
0,61,64,65,66,61,44,56,52
0,71,62,66,65,52,47,50,59
0,70,49,66,68,40,47,48,51
0,75,31,65,74,37,49,43,53
0,72,31,57,74,53,43,52,54
0,76,36,67,67,64,41,52,65
0,80,45,57,53,67,42,45,79
0,78,44,51,37,59,43,39,84
0,83,49,51,38,50,38,30,78
0,72,55,58,45,48,39,41,67
0,75,66,65,60,51,38,51,57
0,78,59,53,61,58,40,55,55
0,76,45,42,51,64,37,51,47
0,77,39,33,36,58,45,34,48
0,73,49,38,25,55,43,32,42
0,72,51,38,33,45,42,30,41
0,71,49,40,53,49,40,38,42
0,71,39,36,66,62,40,49,44
0,66,46,40,62,75,43,52,59
0,63,47,44,49,65,46,53,58
0,60,51,45,36,50,50,49,58
0,64,54,37,44,38,47,50,44
0,67,51,41,53,34,44,56,46
0,62,53,32,64,34,40,59,52
0,63,52,39,66,34,37,59,63
0,62,47,47,59,38,51,53,67
0,63,45,54,49,43,54,40,61
0,67,51,50,48,47,57,35,55
0,58,46,40,44,43,57,30,46
0,61,43,32,53,38,46,41,47
0,70,36,35,62,34,50,50,41
0,71,42,39,71,49,54,62,46
0,71,38,42,61,53,48,67,54
0,64,41,40,50,62,42,64,57
0,59,41,36,48,47,38,52,71
0,68,54,35,45,40,35,42,65
0,63,59,31,51,33,32,35,63
0,68,70,34,50,38,33,41,59
0,62,72,36,40,47,39,49,57
0,59,68,44,45,59,55,47,66
0,58,61,49,54,64,62,49,73
0,51,51,49,60,66,64,44,69
0,59,44,45,66,52,52,42,53
0,71,32,36,67,51,44,40,41
