Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.794,0.534323,0.475974,0.196128,0.0915019,-1.09309,-0.429617,0.0886091,-0.0601579,F2,0.0684280975232896,0.1298792383350948,-0.1048415678012128,0.135026516436258,-0.541769606110244,-0.0162020332637541,-0.0833462465260552,0.1587082950298836,0.0684280975232896,0.1298792383350948,-0.1048415678012128,0.135026516436258,-0.541769606110244,-0.0162020332637541,-0.0833462465260552,0.1587082950298836
0.795,0.512015,0.418526,0.205698,0.0264583,-1.04118,-0.414505,0.0809383,-0.110307,0,0.0550657545458253,0.0871840095370816,0.0144053380070244,0.0896386614074544,-0.5930530477187332,-0.0070932564045765,-0.0743579975815866,0.130140764748307,0.0550657545458253,0.0871840095370816,0.0144053380070244,0.0896386614074544,-0.5930530477187332,-0.0070932564045765,-0.0743579975815866,0.130140764748307
0.796,0.555966,0.35703,0.119305,-0.0604544,-0.964388,-0.399229,0.0792378,-0.165703,0,0.1101199181420892,0.059433889530996,0.0202978851070375,0.0195121500514073,-0.6214731285503842,-7.072315926562323e-05,-0.0575517213704389,0.0988599325925394,0.1101199181420892,0.059433889530996,0.0202978851070375,0.0195121500514073,-0.6214731285503842,-7.072315926562323e-05,-0.0575517213704389,0.0988599325925394
0.797,0.591287,0.290327,-0.00875503,-0.100995,-0.824652,-0.387379,0.0798463,-0.223728,0,0.1527906325950866,0.0153626527018939,0.0004728048933571,-0.0006715579974854,-0.5855477540593749,0.0028928953810525,-0.0381711845541948,0.0680772958449416,0.1527906325950866,0.0153626527018939,0.0004728048933571,-0.0006715579974854,-0.5855477540593749,0.0028928953810525,-0.0381711845541948,0.0680772958449416
0.798,0.570509,0.216065,-0.128459,-0.162167,-0.634396,-0.372101,0.0802969,-0.281379,0,0.1460681844006718,-0.0177276035501358,-0.0246637004983424,-0.0438067191687323,-0.4976829359795772,0.0059167249364625,-0.0207348103188888,0.04087938075825,0.1460681844006718,-0.0177276035501358,-0.0246637004983424,-0.0438067191687323,-0.4976829359795772,0.0059167249364625,-0.0207348103188888,0.04087938075825
0.799,0.551703,0.164895,-0.207367,-0.234899,-0.398433,-0.360277,0.082714,-0.324005,0,0.1392698301994125,-0.0389706634883238,-0.0001526420548756,-0.0900573246975408,-0.3575264472669562,0.0043307145209051,-0.0043013356004923,0.0312127526646809,0.1392698301994125,-0.0389706634883238,-0.0001526420548756,-0.0900573246975408,-0.3575264472669562,0.0043307145209051,-0.0043013356004923,0.0312127526646809
0.8,0.482871,0.124783,-0.207946,-0.248909,-0.138384,-0.344346,0.0853729,-0.351146,0,0.0921394914024823,-0.0338046418654424,0.0951315254417659,-0.0802022938569558,-0.1883985919805119,0.00335097228223,0.0076362958115121,0.0391130772002847,0.0921394914024823,-0.0338046418654424,0.0951315254417659,-0.0802022938569558,-0.1883985919805119,0.00335097228223,0.0076362958115121,0.0391130772002847
0.801,0.456396,0.0810249,-0.290528,-0.263879,0.036866,-0.326333,0.0874875,-0.368904,0,0.0856702522746858,-0.0429724929676197,0.1076325410014508,-0.0596145609933448,-0.0938396853269828,0.0035995753167536,0.0143396479941735,0.0561185819098165,0.0856702522746858,-0.0429724929676197,0.1076325410014508,-0.0596145609933448,-0.0938396853269828,0.0035995753167536,0.0143396479941735,0.0561185819098165
0.802,0.485633,-0.0279019,-0.401947,-0.280207,0.144699,-0.308713,0.0947621,-0.384034,0,0.1446561778079475,-0.1071963164014491,0.090540866075641,-0.0446954543661969,-0.0595825879391853,0.000969446355804,0.0207201077368611,0.0754963607610426,0.1446561778079475,-0.1071963164014491,0.090540866075641,-0.0446954543661969,-0.0595825879391853,0.000969446355804,0.0207201077368611,0.0754963607610426
0.803,0.52633,-0.141743,-0.476271,-0.345687,0.268666,-0.290078,0.102855,-0.393866,0,0.2120507438596416,-0.1854616375792897,0.0995434597829546,-0.0670567198543459,0.0018690291394181,-0.0004796663042939,0.0239429157570305,0.0962130307812355,0.2120507438596416,-0.1854616375792897,0.0995434597829546,-0.0670567198543459,0.0018690291394181,-0.0004796663042939,0.0239429157570305,0.0962130307812355
0.804,0.496317,-0.238983,-0.53492,-0.423832,0.407604,-0.270645,0.108013,-0.411732,0,0.2157373530823251,-0.2430051706289298,0.1291058240173045,-0.1091748328692006,0.0858689335185608,-0.0018628721166178,0.0205490694482914,0.1063206648781367,0.2157373530823251,-0.2430051706289298,0.1291058240173045,-0.1091748328692006,0.0858689335185608,-0.0018628721166178,0.0205490694482914,0.1063206648781367
0.805,0.356586,-0.304028,-0.557502,-0.497233,0.535548,-0.249192,0.112698,-0.468168,0,0.1042314062781008,-0.2747718868795586,0.1754026289424564,-0.1376372816971063,0.1680625495134325,0.0001216328304541,0.0154446533544097,0.0710745743883365,0.1042314062781008,-0.2747718868795586,0.1754026289424564,-0.1376372816971063,0.1680625495134325,0.0001216328304541,0.0154446533544097,0.0710745743883365
0.806,0.177957,-0.359832,-0.635147,-0.573585,0.650721,-0.226819,0.116902,-0.545209,0,-0.0432516156614118,-0.2984412357240151,0.1745832351495796,-0.1788683895690315,0.2442392492599772,0.0040116133687227,0.0095224386533247,0.0115057600524365,-0.0432516156614118,-0.2984412357240151,0.1745832351495796,-0.1788683895690315,0.2442392492599772,0.0040116133687227,0.0095224386533247,0.0115057600524365
0.807,0.0275065,-0.370977,-0.83525,-0.670799,0.745294,-0.21015,0.113542,-0.610167,0,-0.1701854821916386,-0.2803247429992571,0.0276193428927392,-0.2367832732355459,0.3057316608245138,0.0041918105058287,-0.0019377498167017,-0.0433679280932697,-0.1701854821916386,-0.2803247429992571,0.0276193428927392,-0.2367832732355459,0.3057316608245138,0.0041918105058287,-0.0019377498167017,-0.0433679280932697
0.808,-0.0534629,-0.36117,-1.13895,-0.661693,0.818337,-0.196349,0.108621,-0.659051,0,-0.2280575766658799,-0.245858245448155,-0.2152391497657447,-0.1994503709258316,0.3514065352594154,0.0034289828133116,-0.0121822032733808,-0.0854006392308268,-0.2280575766658799,-0.245858245448155,-0.2152391497657447,-0.1994503709258316,0.3514065352594154,0.0034289828133116,-0.0121822032733808,-0.0854006392308268
0.809,-0.0547385,-0.321974,-1.20381,-0.621805,0.885504,-0.182241,0.108035,-0.687831,0,-0.2143200039885215,-0.1813679387162799,-0.2424498552413992,-0.1316189723297292,0.3942365746699508,0.004635659501793,-0.0140328763721695,-0.1127732435588318,-0.2143200039885215,-0.1813679387162799,-0.2424498552413992,-0.1316189723297292,0.3942365746699508,0.004635659501793,-0.0140328763721695,-0.1127732435588318
0.81,-0.00576244,-0.251346,-1.12646,-0.642009,0.951812,-0.167221,0.107618,-0.722249,0,-0.1517622890057727,-0.0913605438517574,-0.1230006744435959,-0.1338111117488831,0.4417084647047293,0.0085161897796532,-0.011635517094844,-0.1474108083028395,-0.1517622890057727,-0.0913605438517574,-0.1230006744435959,-0.1338111117488831,0.4417084647047293,0.0085161897796532,-0.011635517094844,-0.1474108083028395
0.811,0.0655167,-0.273924,-1.03964,-0.622957,0.994642,-0.153613,0.108736,-0.736247,0,-0.073172644319044,-0.0915804349451683,-0.0124616929439405,-0.0995931837686498,0.4676401520109195,0.0114265957896172,-0.0038964022825738,-0.1634852563417765,-0.073172644319044,-0.0915804349451683,-0.0124616929439405,-0.0995931837686498,0.4676401520109195,0.0114265957896172,-0.0038964022825738,-0.1634852563417765
