Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
3.731,-0.163834,-0.0739701,-0.0684645,-2.58578,-0.877839,-0.17324,0.250809,0.121267,F2,-0.2021447155167796,0.0041037618084866,0.0017223999030401,-1.4877919416876793,-0.0551368887396305,-0.0142349222774807,0.0605379619760297,0.6202188327436494,-0.2021447155167796,0.0041037618084866,0.0017223999030401,-1.4877919416876793,-0.0551368887396305,-0.0142349222774807,0.0605379619760297,0.6202188327436494
3.732,-0.124092,-0.142991,-0.0723831,-3.98319,-0.819744,-0.175237,0.281599,0.115596,0,-0.1493774542206737,-0.0218267314304634,-0.0035159917209687,-2.846339802408693,-0.0120965038492627,-0.0252368194076541,0.0845365841403214,0.6046083591452559,-0.1493774542206737,-0.0218267314304634,-0.0035159917209687,-1.4364413748617404,-0.0120965038492627,-0.0252368194076541,0.0845365841403214,0.6046083591452559
3.733,-0.0847373,-0.210131,-0.0558639,-5.70446,-0.83378,-0.174405,0.282935,-0.125092,0,-0.1062918840105779,-0.0523411991210924,0.0119011676494526,-4.595994177293274,-0.0476945775861055,-0.0306340681572666,0.0801604493261726,0.3282434703573181,-0.1062918840105779,-0.0523411991210924,0.0119011676494526,-1.385090808035801,-0.0476945775861055,-0.0306340681572666,0.0801604493261726,0.3282434703573181
3.734,-0.0772181,-0.267242,-0.0509184,-6.49357,-0.866364,-0.184546,0.284339,-0.585286,0,-0.0893116623072838,-0.0731323691786502,0.0165942337622508,-5.395558264418471,-0.1097644924357454,-0.042205070966077,0.0762026543618278,-0.1622036045989546,-0.0893116623072838,-0.0731323691786502,0.0165942337622508,-1.3337402412098625,-0.1097644924357454,-0.042205070966077,0.0762026543618278,-0.1622036045989546
3.735,-0.0447522,-0.309491,-0.0644844,-5.20526,-0.827934,-0.193352,0.28078,-0.869826,0,-0.0549963301214701,-0.0855464662852556,0.0019003480347932,-4.198135916480847,-0.1101368214209849,-0.0493226565436524,0.0689151884376091,-0.4853941739621042,-0.0549963301214701,-0.0855464662852556,0.0019003480347932,-1.2823896743839236,-0.1101368214209849,-0.0493226565436524,0.0689151884376091,-0.4853941739621042
3.736,0.00751535,-0.351966,-0.0860815,-3.40181,-0.755303,-0.186697,0.30339,-1.04067,0,0.0054927282404322,-0.0993342968428256,-0.017285926569947,-2.4769253110652194,-0.0849198478829108,-0.0382292362416914,0.0850373912521472,-0.7044219622253829,0.0054927282404322,-0.0993342968428256,-0.017285926569947,-1.2310391075579843,-0.0849198478829108,-0.0382292362416914,0.0850373912521472,-0.7044219622253829
3.737,0.0338723,-0.382144,-0.101638,-1.95543,-0.659245,-0.168125,0.323498,-1.44757,0,0.0351825037014988,-0.1059732154572968,-0.0331247186162795,-1.1796885407320457,-0.0458230365703309,-0.0138715700013886,0.0998994679004215,-1.1536343481411242,0.0351825037014988,-0.1059732154572968,-0.0331247186162795,-1.1796885407320457,-0.0458230365703309,-0.0138715700013886,0.0998994679004215,-1.1536343481411242
3.738,0.0305716,-0.408459,-0.106876,-0.788849,-0.564862,-0.145759,0.329874,-1.46444,0,0.0413121513147288,-0.1099472045815102,-0.0332838607843964,-0.1565779667160818,-0.0143876982916301,0.0134530726725904,0.0956844503543156,-1.230862026021231,0.0413121513147288,-0.1099472045815102,-0.0332838607843964,-0.1565779667160818,-0.0143876982916301,0.0134530726725904,0.0956844503543156,-1.230862026021231
3.739,0.0626587,-0.436079,-0.136452,0.1595,-0.476083,-0.11955,0.327839,-1.24382,0,0.0805054083265656,-0.1182637832889224,-0.0626251428523898,0.6180271654248484,0.0049777731112616,0.0431439000138172,0.0837102050147434,-1.0566881240278967,0.0805054083265656,-0.1182637832889224,-0.0626251428523898,0.6180271654248484,0.0049777731112616,0.0431439000138172,0.0837102050147434,-1.0566881240278967
3.74,0.0980073,-0.451012,-0.196631,0.980439,-0.372886,-0.0809978,0.281662,-1.0362,0,0.1276291284125613,-0.1148935285881969,-0.1166217695366993,1.2708191827150954,0.0376759669781673,0.0810128125174182,0.0213901811702354,-0.91431634341014,0.1276291284125613,-0.1148935285881969,-0.1166217695366993,1.2708191827150954,0.0376759669781673,0.0810128125174182,0.0213901811702354,-0.91431634341014
3.741,0.107484,-0.462568,-0.207502,1.6376,-0.287765,-0.0788627,0.143947,-0.726448,0,0.1480155668835272,-0.1092130726885544,-0.12792312726178,1.7758856658423547,0.0512440409611887,0.0787333859369242,-0.1318617315158523,-0.6547894867857621,0.1480155668835272,-0.1092130726885544,-0.12792312726178,1.7758856658423547,0.0512440409611887,0.0787333859369242,-0.1318617315158523,-0.6547894867857621
3.742,0.105882,-0.483029,-0.148109,2.15684,-0.223083,-0.102418,0.0985739,-0.623045,0,0.1596653890814145,-0.1136455943983436,-0.0635469524499991,2.145418956453057,0.048104998265804,0.0451801853787541,-0.1976869210007407,-0.6150382395399454,0.1596653890814145,-0.1136455943983436,-0.0635469524499991,2.145418956453057,0.048104998265804,0.0451801853787541,-0.1976869210007407,-0.6150382395399454
3.743,0.0904554,-0.503068,-0.0265215,2.49064,-0.153082,-0.106765,0.236599,-0.670488,0,0.156636381945024,-0.1176799165250192,0.0557881900505558,2.384587304906849,0.0548284711262742,0.0267056034884154,-0.0786525573075128,-0.7154862775077909,0.156636381945024,-0.1176799165250192,0.0557881900505558,2.384587304906849,0.0548284711262742,0.0267056034884154,-0.0786525573075128,-0.7154862775077909
3.744,0.0667569,-0.508973,0.0151147,2.76533,-0.0726383,-0.110771,0.393956,-0.533395,0,0.1451332308150853,-0.1097760776796662,0.0994250588521261,2.555822409774463,0.0779985749366267,0.0042191517902971,0.0577034839405082,-0.6365905131491378,0.1451332308150853,-0.1097760776796662,0.0994250588521261,2.3935307524720817,0.0779985749366267,0.0042191517902971,0.0577034839405082,-0.6365905131491378
3.745,0.0183946,-0.504637,-0.00613159,2.83867,0.0126321,-0.106603,0.472284,-0.234027,0,0.1070570527702206,-0.0918139889497249,0.0738087954406206,2.599481372391101,0.1141583751011497,-0.0125011108170657,0.1180337359853812,-0.3915795544418242,0.1070570527702206,-0.0918139889497249,0.0738087954406206,2.4024742000373145,0.1141583751011497,-0.0125011108170657,0.1180337359853812,-0.3915795544418242
3.746,-0.0458584,-0.489948,-0.0197412,2.82718,0.040432,-0.077667,0.504392,0.0333497,0,0.0509925934754278,-0.0673008749508437,0.0587805457012787,2.530520176352011,0.097382124933972,-0.0055240154748874,0.1332502773321711,-0.175644013581183,0.0509925934754278,-0.0673008749508437,0.0587805457012787,2.4114176476025477,0.097382124933972,-0.0055240154748874,0.1332502773321711,-0.175644013581183
3.747,-0.0623103,-0.474125,-0.0287762,2.70584,0.0780204,-0.0531031,0.517517,0.377157,0,0.0395560778486602,-0.0428467988502666,0.0440387467739543,2.42036109516778,0.099099828045366,-0.0024311241555662,0.133868043926697,0.1146937334042424,0.0395560778486602,-0.0428467988502666,0.0440387467739543,2.42036109516778,0.099099828045366,-0.0024311241555662,0.133868043926697,0.1146937334042424
3.748,-0.0551373,-0.460868,-0.0330781,2.38397,0.183962,-0.0516142,0.519707,0.744101,0,0.0490628730141304,-0.026353789877438,0.0359308254384018,2.0615515371848736,0.1692726814574906,-0.019804910276879,0.1264597212629254,0.4370798486589539,0.0490628730141304,-0.026353789877438,0.0359308254384018,2.0615515371848736,0.1692726814574906,-0.019804910276879,0.1264597212629254,0.4370798486589539
3.749,-0.0637966,-0.449094,-0.0417602,1.83693,0.249398,-0.0551114,0.530029,0.96113,0,0.0389839665007089,-0.0136626444416238,0.0217796940000037,1.5239693795588476,0.2055919308966118,-0.0392722306246338,0.132042959466324,0.6047570059617347,0.0389839665007089,-0.0136626444416238,0.0217796940000037,1.5239693795588476,0.2055919308966118,-0.0392722306246338,0.132042959466324,0.6047570059617347
3.75,-0.0732618,-0.423689,-0.0534244,1.34674,0.287125,-0.0536211,0.525162,1.11488,0,0.0262621276030397,0.0064742176528831,0.0058653556649791,0.983185774142168,0.2094049679521672,-0.0489184846578761,0.1250975846453527,0.7212227309814585,0.0262621276030397,0.0064742176528831,0.0058653556649791,0.983185774142168,0.2094049679521672,-0.0489184846578761,0.1250975846453527,0.7212227309814585
