Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.0,0.374305,-0.38752,-0.38957,-1.32085,-0.0477646,-0.243917,-0.942601,-0.613908,0,-0.0391303396497728,-0.2488613689561263,-0.5625166508594822,-0.3876408318495714,0.0521234070651785,-0.0572796936868522,-0.2764552234496448,-1.0425661389884762,-0.0391303396497728,-0.2488613689561263,-0.5625166508594822,-0.3876408318495714,0.0521234070651785,-0.0572796936868522,-0.2764552234496448,-1.0425661389884762
0.001,0.378593,-0.312361,-0.266012,-1.31051,-0.0550171,-0.233912,-0.601716,-0.399877,0,-0.0229767776217606,-0.2022720655874695,-0.5262277864557232,-0.4452278271446694,0.0394860383013747,-0.0638211715101485,-0.0258382327698302,-0.9321728993221942,-0.0229767776217606,-0.2022720655874695,-0.5262277864557232,-0.4452278271446694,0.0394860383013747,-0.0638211715101485,-0.0258382327698302,-0.9321728993221942
0.002,0.385145,-0.227074,-0.0425163,-1.25995,-0.0687803,-0.22137,-0.367581,-0.176955,0,0.000481947964088,-0.1409315515548314,-0.382266994067503,-0.4684552094154943,0.0179608020889116,-0.0638189200656337,0.121375041854197,-0.7930762613008924,0.000481947964088,-0.1409315515548314,-0.382266994067503,-0.4684552094154943,0.0179608020889116,-0.0638189200656337,0.121375041854197,-0.7930762613008924
0.003,0.426064,-0.163464,0.216372,-1.15916,-0.0816472,-0.175513,-0.71687,0.187148,0,0.0602118549468546,-0.1063710317457973,-0.2105764481548041,-0.4456666911119083,-0.0013109785269723,-0.0401366915541589,-0.334314152902469,-0.5473519456483517,0.0602118549468546,-0.1063710317457973,-0.2105764481548041,-0.4456666911119083,-0.0013109785269723,-0.0401366915541589,-0.334314152902469,-0.5473519456483517
0.004,0.47273,-0.0835851,0.400103,-1.03045,-0.0943241,-0.126096,-1.12561,0.630087,0,0.1293278381025986,-0.0511122491146949,-0.1018044103980914,-0.3981262165148012,-0.0180139680193677,-0.0074679499703061,-0.8534724535067268,-0.203079961412133,0.1293278381025986,-0.0511122491146949,-0.1018044103980914,-0.3981262165148012,-0.0180139680193677,-0.0074679499703061,-0.8534724535067268,-0.203079961412133
0.005,0.47066,0.0245554,0.525249,-0.909597,-0.11096,-0.0945478,-1.03397,1.01089,0,0.1512482351037379,0.0293034714333914,-0.0521426857708255,-0.3592895175627915,-0.0336649798083903,-0.0020637313492975,-0.8817212264365037,0.0559118652494284,0.1512482351037379,0.0293034714333914,-0.0521426857708255,-0.3592895175627915,-0.0336649798083903,-0.0020637313492975,-0.8817212264365037,0.0559118652494284
0.006,0.417259,0.115033,0.629939,-0.796232,-0.130838,-0.106982,-0.623558,1.32188,0,0.1232515673222984,0.0958668735337844,-0.0097785934080072,-0.3279383616654874,-0.0468313740233433,-0.0339678003292219,-0.6014247338386892,0.2662532382271831,0.1232515673222984,0.0958668735337844,-0.0097785934080072,-0.3279383616654874,-0.0468313740233433,-0.0339678003292219,-0.6014247338386892,0.2662532382271831
0.007,0.339795,0.202966,0.711046,-0.670157,-0.146222,-0.123874,-0.305242,1.60087,0,0.0724623270249238,0.159031201785967,0.0143796848443807,-0.2813490528472179,-0.0490830302071116,-0.0777645916119742,-0.4094882370165372,0.4385713337366116,0.0724623270249238,0.159031201785967,0.0143796848443807,-0.2813490528472179,-0.0490830302071116,-0.0777645916119742,-0.4094882370165372,0.4385713337366116
0.008,0.271913,0.301376,0.764626,-0.530415,-0.154024,-0.125294,-0.306235,1.82183,0,0.0304448928791675,0.2355484585775848,0.0203595450712724,-0.2189074672593027,-0.0380126307763479,-0.0989328336217372,-0.5507305026713815,0.5751678332350509,0.0304448928791675,0.2355484585775848,0.0203595450712724,-0.2189074672593027,-0.0380126307763479,-0.0989328336217372,-0.5507305026713815,0.5751678332350509
0.009,0.221996,0.34343,0.771922,-0.379869,-0.158728,-0.118999,-0.393032,1.98685,0,0.0079514899338313,0.2567223893424865,-0.0112602825351366,-0.1411034282772627,-0.0191635783924869,-0.1168615145356549,-0.761015649247576,0.6665446061523398,0.0079514899338313,0.2567223893424865,-0.0112602825351366,-0.1411034282772627,-0.0191635783924869,-0.1168615145356549,-0.761015649247576,0.6665446061523398
0.01,0.199241,0.331521,0.708666,-0.218296,-0.176269,-0.142915,-0.189367,2.09817,0,0.0103908309133191,0.2257482214904013,-0.1115660091834165,-0.0497987432708306,-0.0109251582549164,-0.1585407490344531,-0.6961790726134203,0.7249665262294692,0.0103908309133191,0.2257482214904013,-0.1115660091834165,-0.0497987432708306,-0.0109251582549164,-0.1585407490344531,-0.6961790726134203,0.7249665262294692
0.011,0.225525,0.353916,0.703352,-0.0491843,-0.201131,-0.156477,0.120529,2.13971,0,0.0644423136814592,0.2311605375546834,-0.1442417096079438,0.0536495106782708,-0.0093919386439635,-0.1913949952664286,-0.4986180867404864,0.7350961124105873,0.0644423136814592,0.2311605375546834,-0.1442417096079438,0.0536495106782708,-0.0093919386439635,-0.1913949952664286,-0.4986180867404864,0.7350961124105873
0.012,0.280287,0.413389,0.810939,0.105217,-0.231322,-0.172998,0.567486,2.14568,0,0.1444654861099582,0.2745456511174223,-0.0704229807110655,0.1433936317004074,-0.0163234212909628,-0.2226166896756322,-0.1796111621411098,0.7248247137681861,0.1444654861099582,0.2745456511174223,-0.0704229807110655,0.1433936317004074,-0.0163234212909628,-0.2226166896756322,-0.1796111621411098,0.7248247137681861
0.013,0.313669,0.425557,0.970071,0.232905,-0.253736,-0.128808,0.88272,2.15294,0,0.2070769525689356,0.2729607090740961,0.0649675694841029,0.2094704447266541,-0.0190996937197353,-0.1925888671081704,0.0391896071634971,0.7395074387707453,0.2070769525689356,0.2729607090740961,0.0649675694841029,0.2094704447266541,-0.0190996937197353,-0.1925888671081704,0.0391896071634971,0.7395074387707453
0.014,0.338856,0.379749,1.18548,0.344276,-0.233049,-0.0411472,0.95825,2.17904,0,0.2595579739184785,0.2138020068953916,0.2445131957794585,0.2581403545326527,0.0135895882609735,-0.1169773051243543,0.0021894534182473,0.7795958771098228,0.2595579739184785,0.2138020068953916,0.2445131957794585,0.2581403545326527,0.0135895882609735,-0.1169773051243543,0.0021894534182473,0.7795958771098228
0.015,0.280832,0.328927,1.33247,0.445564,-0.204382,0.0187481,1.00207,2.1929,0,0.233819604492474,0.1516243845758764,0.3671306441025072,0.2977903835816847,0.048562844578999,-0.0677400364951518,-0.0342200330697885,0.8260404566652224,0.233819604492474,0.1516243845758764,0.3671306441025072,0.2977903835816847,0.048562844578999,-0.0677400364951518,-0.0342200330697885,0.8260404566652224
0.016,0.138048,0.296818,1.45501,0.564159,-0.200208,0.13072,1.07323,2.17772,0,0.1220913433723598,0.1086307570421443,0.4519802394449138,0.352458367971164,0.0500768849415497,0.0334818379959973,-0.0609222918879103,0.841492034176982,0.1220913433723598,0.1086307570421443,0.4519802394449138,0.352458367971164,0.0500768849415497,0.0334818379959973,-0.0609222918879103,0.841492034176982
0.017,0.0410109,0.280333,1.48421,0.676008,-0.215698,0.215007,1.13376,2.13771,0,0.061006182271382,0.0826814184145262,0.4583404819252276,0.4003964727916543,0.0274981182909971,0.1082845868287131,-0.0670120267689732,0.8426318423277646,0.061006182271382,0.0826814184145262,0.4583404819252276,0.4003964727916543,0.0274981182909971,0.1082845868287131,-0.0670120267689732,0.8426318423277646
0.018,0.00758346,0.263925,1.48972,0.791578,-0.235886,0.229299,1.32319,2.07742,0,0.0625062837161894,0.057914204299867,0.4306589494626763,0.4505324326471454,-0.0062788841765464,0.1118555784089079,0.036073704042169,0.8168261458699229,0.0625062837161894,0.057914204299867,0.4306589494626763,0.4505324326471454,-0.0062788841765464,0.1118555784089079,0.036073704042169,0.8168261458699229
0.019,-0.031706,0.249788,1.62459,0.93683,-0.237206,0.260322,1.33477,1.98608,0,0.0615805783893654,0.0363183019272052,0.5518157760662487,0.5310217406267683,-0.0216881671715129,0.132972994668488,-0.0074669669648956,0.7641869847875398,0.0615805783893654,0.0363183019272052,0.5518157760662487,0.5310217406267683,-0.0216881671715129,0.132972994668488,-0.0074669669648956,0.7641869847875398
0.02,-0.0863464,0.232711,1.87851,1.09415,-0.200929,0.297627,1.07647,1.88303,0,0.0437964384692938,0.013855158459207,0.786434875135698,0.6247384881247358,-0.0010778893349739,0.1593848114292737,-0.3419791652695905,0.6946192573802484,0.0437964384692938,0.013855158459207,0.786434875135698,0.6247384881247358,-0.0010778893349739,0.1593848114292737,-0.3419791652695905,0.6946192573802484
0.021,-0.150906,0.199726,1.96094,1.23474,-0.162267,0.327891,0.994949,1.74893,0,0.0170230891618503,-0.0240045713286849,0.8732580875901812,0.704503393155898,0.0258132611728527,0.1795224519108733,-0.4660067495062203,0.5966065039379893,0.0170230891618503,-0.0240045713286849,0.8732580875901812,0.704503393155898,0.0258132611728527,0.1795224519108733,-0.4660067495062203,0.5966065039379893
0.022,-0.200051,0.16745,1.84403,1.34099,-0.131041,0.361654,1.31703,1.58866,0,0.0031998857239603,-0.058160667667988,0.7584841152531819,0.7544863653092161,0.0484522535428505,0.203560730846602,-0.2067796600968466,0.4743040804828399,0.0031998857239603,-0.058160667667988,0.7584841152531819,0.7544863653092161,0.0484522535428505,0.203560730846602,-0.2067796600968466,0.4743040804828399
0.023,-0.251041,0.152316,1.88529,1.40574,-0.103617,0.378188,1.67197,1.38971,0,-0.0142900185912944,-0.0749910760592596,0.8273497043438024,0.768161553225241,0.073449228662021,0.2118664355973716,0.1233926093273565,0.3187259064666434,-0.0142900185912944,-0.0749910760592596,0.8273497043438024,0.768161553225241,0.073449228662021,0.2118664355973716,0.1233926093273565,0.3187259064666434
0.024,-0.317299,0.136463,1.98329,1.41542,-0.100216,0.36758,1.95108,1.14734,0,-0.0504075695462011,-0.0890322502931234,0.9501654142790597,0.7336865070191603,0.0796708169022956,0.1951567472373427,0.361204727580714,0.1309255235323008,-0.0504075695462011,-0.0890322502931234,0.9501654142790597,0.7336865070191603,0.0796708169022956,0.1951567472373427,0.361204727580714,0.1309255235323008
0.025,-0.370556,0.115135,1.78937,1.38497,-0.116092,0.352696,2.006,0.885522,0,-0.0773698239794281,-0.1087147744478143,0.8049466224172273,0.6656376653887727,0.0713575577108399,0.1769796064077553,0.4162989472404894,-0.0667211287932062,-0.0773698239794281,-0.1087147744478143,0.8049466224172273,0.6656376653887727,0.0713575577108399,0.1769796064077553,0.4162989472404894,-0.0667211287932062
0.026,-0.401437,0.0949177,1.59021,1.31772,-0.127853,0.340527,2.09836,0.622354,0,-0.0856691526604161,-0.1238864318620932,0.6470886822250423,0.5677105274328043,0.0707171844746547,0.1647382971819904,0.4987476271755508,-0.2478060125854857,-0.0856691526604161,-0.1238864318620932,0.6470886822250423,0.5677105274328043,0.0707171844746547,0.1647382971819904,0.4987476271755508,-0.2478060125854857
0.027,-0.444552,0.0850213,1.35801,1.20553,-0.143715,0.321481,2.56165,0.368529,0,-0.1106598530668541,-0.1292822629994987,0.4757442740561728,0.4309498344768795,0.0660720303476288,0.1497108292193705,0.9922216544373677,-0.4081624939361832,-0.1106598530668541,-0.1292822629994987,0.4757442740561728,0.4309498344768795,0.0660720303476288,0.1497108292193705,0.9922216544373677,-0.4081624939361832
0.028,-0.514018,0.082669,1.01604,1.05739,-0.161507,0.282405,2.96213,0.11555,0,-0.1654003473073419,-0.1244486814680114,0.180477535329162,0.2626506782918681,0.0586175051753458,0.1176913758017597,1.4208824408938383,-0.5494721452392046,-0.1654003473073419,-0.1244486814680114,0.180477535329162,0.2626506782918681,0.0586175051753458,0.1176913758017597,1.4208824408938383,-0.5494721452392046
0.029,-0.6012,0.0825686,0.657923,0.892034,-0.177206,0.241905,2.69271,-0.128256,0,-0.2414581275714601,-0.1181910980752672,-0.1163962461141468,0.081242314319297,0.0477866637117608,0.0889046523835421,1.2112997856421974,-0.6732031780325833,-0.2414581275714601,-0.1181910980752672,-0.1163962461141468,0.081242314319297,0.0477866637117608,0.0889046523835421,1.2112997856421974,-0.6732031780325833
0.03,-0.663052,0.0744721,0.284526,0.732865,-0.191615,0.207533,2.30525,-0.365642,0,-0.2949364816525385,-0.1183394666351207,-0.4484235975259087,-0.0934537321258567,0.0326883199857543,0.0678032267278122,0.8900454970286733,-0.7793138419789093,-0.2949364816525385,-0.1183394666351207,-0.4484235975259087,-0.0934537321258567,0.0326883199857543,0.0678032267278122,0.8900454970286733,-0.7793138419789093
