Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.0,0.00328534,-0.0139837,-0.0233562,-0.0030208,-0.0388775,-0.00880803,0.00872709,-0.0771371,
0.001,0.00722272,-0.0421185,-0.0186334,0.000428248,-0.0453153,-0.00389852,0.0177609,-0.255553,
0.002,0.00346526,-0.0789931,-0.0101012,0.000660182,-0.0416804,0.00185198,0.0133761,-0.246334,
0.003,-0.000514525,-0.113848,0.00164352,0.00165984,-0.0400107,0.00119281,0.00242296,-0.152674,
0.004,-0.00252565,-0.125374,0.00896999,0.000482805,-0.0343663,-0.00356606,-0.0140915,-0.0876296,
0.005,-0.00353068,-0.123041,0.0110073,0.00239923,-0.0132883,-0.0118142,-0.0210822,-0.066201,
0.006,-0.00507592,-0.135673,0.00775888,0.00271425,-0.00530138,-0.0137844,-0.0332605,-0.0570144,
0.007,-0.0056547,-0.150429,-0.000725781,0.0023557,-0.0242463,-0.0336994,-0.0356231,-0.0393093,
0.008,-0.00822784,-0.154791,-0.00514568,0.00283746,-0.00174836,-0.034179,-0.0302046,-0.0207813,
0.009,-0.00966063,-0.135947,-0.00814778,0.00474805,0.0498918,-0.0108117,-0.0131595,-0.0222436,
0.01,-0.0100954,-0.141157,-0.0155667,0.00716466,0.0581673,0.00881677,0.00950995,-0.0295741,
0.011,-0.00966326,-0.150002,-0.0267216,0.00999548,0.045287,0.0293049,0.00636232,-0.0475552,
0.012,-0.00990177,-0.137766,-0.0438238,0.00961454,0.0327016,0.0446773,-0.0147535,-0.053287,
0.013,-0.00929592,-0.106012,-0.0665985,0.0114272,0.0459776,0.0335352,0.00197311,-0.0370611,
0.014,-0.00938168,-0.0612246,-0.0727845,0.0129867,0.0750352,0.00813464,0.0440776,-0.00841919,
0.015,-0.010768,-0.0183252,-0.0745205,0.0128949,0.059324,-0.000281595,0.0474508,0.00446355,
0.016,-0.00900838,0.0204625,-0.0716748,0.0135036,0.0356227,0.0116771,0.0202424,0.00578196,
0.017,-0.00950964,0.0397753,-0.0549641,0.0125824,0.0342834,0.0212481,-0.00191276,0.0141287,
0.018,-0.00911742,0.0173391,-0.0257242,0.0153074,0.0125394,-0.021629,0.00740205,0.0213726,
0.019,-0.0079555,0.0129643,0.026821,0.0161877,0.00953471,-0.0668105,0.0260388,0.019806,
0.02,-0.00826297,-0.00272466,0.0706488,0.0161754,0.0205756,-0.0547608,0.0206574,0.0276615,
0.021,-0.00628843,-0.014564,0.0789326,0.0160985,0.0259069,-0.0282005,-0.0089209,0.0322258,
0.022,-0.00307067,-0.0144734,0.0841298,0.0173797,0.0439781,-0.00494449,-0.017997,0.0254054,
0.023,-0.00235044,0.00228061,0.0908507,0.016273,0.0523128,0.00747211,-0.0100312,0.0272494,
0.024,-0.0030786,0.0240407,0.0796724,0.0180735,0.0422526,0.0210676,0.0203466,0.0315778,
0.025,-0.00362989,0.030085,0.0588142,0.0202331,0.0263362,0.0355562,0.0378851,0.0287914,
0.026,-0.00402217,0.0260728,0.0368649,0.0177185,0.0288869,0.0414694,0.0519926,0.0319361,
0.027,-0.0014382,0.00492458,0.0304511,0.0182782,0.0473192,0.0441821,0.0651284,0.0380306,
0.028,-0.00127032,-0.0137995,0.0374712,0.0193513,0.0658017,0.0292235,0.0652514,0.0402279,
0.029,-0.00247613,-0.0203459,0.0453682,0.020852,0.0798984,0.0133301,0.0711451,0.0298269,
0.03,-0.00414513,-0.00783058,0.0532308,0.0198682,0.0829837,0.0151865,0.0670605,0.0291992,
0.031,-0.00407133,0.00542027,0.0496444,0.0195801,0.0772382,0.0415277,0.0281791,0.034865,
0.032,-0.0046199,0.00785653,0.0496706,0.0191798,0.0575358,0.0618039,-0.0191046,0.0366846,
0.033,-0.00428084,-0.00117071,0.0450013,0.0200974,0.0287925,0.062491,-0.0363688,0.039415,
0.034,-0.00388629,0.00126153,0.0278113,0.017177,0.0151724,0.0547765,-0.0403614,0.0343937,
0.035,-0.0048623,0.00292311,0.00138979,0.0159289,0.0239052,0.040582,-0.0335816,0.0298115,
0.036,-0.00204912,0.00107532,-0.0207137,0.0189614,0.031977,0.0315423,-0.0310307,0.0185539,
0.037,0.00258918,0.00330809,-0.0303994,0.0192736,0.0443577,0.0340977,-0.0193846,0.0186403,
0.038,0.00167518,0.0189592,-0.02433,0.0186499,0.0596209,0.0246485,-0.00495704,0.0249525,
0.039,0.00307016,0.0269059,-0.00402276,0.0165105,0.0658804,-0.00640655,0.000407304,0.0273567,
