Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.0,0.00328534,-0.0139837,-0.0233562,-0.0030208,-0.0388775,-0.00880803,0.00872709,-0.0771371,0,0.004546449684404466,0.047154406333530866,0.00033951149619080987,-0.002829301416848528,-0.014388809625904763,-0.0008952180234271887,0.006214830566090905,-0.012616026833238222
0.001,0.00722272,-0.0421185,-0.0186334,0.000428248,-0.0453153,-0.00389852,0.0177609,-0.255553,0,0.008532371487039614,0.022362544382346514,0.0032232848499711194,-0.000604036023293323,-0.020455070481566282,0.004920553538703585,0.013718605163386898,-0.17073112909316568
0.002,0.00346526,-0.0789931,-0.0101012,0.000660182,-0.0416804,0.00185198,0.0133761,-0.246334,0,0.006147442731319172,-0.013232633458900956,0.009789446662521234,-0.00014582699454798818,-0.019460942702538217,0.009737546242078385,0.011609854409928115,-0.1693412184005419
0.003,-0.000514525,-0.113848,0.00164352,0.00165984,-0.0400107,0.00119281,0.00242296,-0.152674,0,0.00200280640453658,-0.04629064414175221,0.01896365424701866,-0.0005226712709019726,-0.02015785774353607,0.009952827962234375,-0.0013709098528282052,-0.0586928857513237
0.004,-0.00252565,-0.125374,0.00896999,0.000482805,-0.0343663,-0.00356606,-0.0140915,-0.0876296,0,0.0011199917197644792,-0.05727839285562106,0.023632244929901833,-0.001512515527955211,-0.019707232011863408,0.003747592601711919,-0.015863493529071244,-0.004382689445106683
0.005,-0.00353068,-0.123041,0.0110073,0.00239923,-0.0132883,-0.0118142,-0.0210822,-0.066201,0,-0.00019121699901214202,-0.05499069256359546,0.02319426936630153,-0.00111264254606286,-0.003716329297755768,-0.004122789007785854,-0.025339012337533495,0.024435352139143614
0.006,-0.00507592,-0.135673,0.00775888,0.00271425,-0.00530138,-0.0137844,-0.0332605,-0.0570144,0,-0.0009237205751403328,-0.06760486202095894,0.017356047159585625,-0.0008510061516099191,-0.002454562741399475,-0.008060232969251983,-0.03620800873087536,0.018055450743164777
0.007,-0.0056547,-0.150429,-0.000725781,0.0023557,-0.0242463,-0.0336994,-0.0356231,-0.0393093,0,-0.001775744119084283,-0.0840816918181597,0.007218784969407227,-0.0028004662389981014,-0.027893699105173263,-0.02836029684127886,-0.04123362438783169,0.03149154271701925
0.008,-0.00822784,-0.154791,-0.00514568,0.00283746,-0.00174836,-0.034179,-0.0302046,-0.0207813,0,-0.0038007643482416225,-0.08850954433163517,0.0008359169511187002,-0.0027496179448226617,-0.011763652331790716,-0.03110732821038186,-0.03542608303494041,0.030967073610942576
0.009,-0.00966063,-0.135947,-0.00814778,0.00474805,0.0498918,-0.0108117,-0.0131595,-0.0222436,0,-0.005274020566000332,-0.07260678445967145,-0.0027649976365940587,-0.002371465136284393,0.03388847482339462,-0.008827438080286345,-0.020723916812618034,0.016686912748265684
0.01,-0.0100954,-0.141157,-0.0155667,0.00716466,0.0581673,0.00881677,0.00950995,-0.0295741,0,-0.005309842621452774,-0.07754109322237203,-0.011443659383479445,-0.0007847149085380938,0.03795250907863613,0.00861649038846529,0.001488356250297862,-0.008854727150175322
0.011,-0.00966326,-0.150002,-0.0267216,0.00999548,0.045287,0.0293049,0.00636232,-0.0475552,0,-0.004562891927905598,-0.09007697343362021,-0.022543655555082434,0.0007462034374617094,0.021110448743403773,0.027672318796984355,-0.0031166561542797996,-0.041561284290233036
0.012,-0.00990177,-0.137766,-0.0438238,0.00961454,0.0327016,0.0446773,-0.0147535,-0.053287,0,-0.00445232471181555,-0.07706638377075059,-0.04061861184773966,-0.0007674640760678105,0.007206777086029056,0.041316951100048724,-0.025300041880255114,-0.059502126321621
0.013,-0.00929592,-0.106012,-0.0665985,0.0114272,0.0459776,0.0335352,0.00197311,-0.0370611,0,-0.0032077534703443267,-0.049505400285071825,-0.06352075624836354,0.00012817580656620132,0.018854533990731275,0.02883930302592995,-0.00875509229708507,-0.05311412098393147
