SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,83,68,61,93,87,82,91,64
0,86,69,72,86,78,75,80,70
0,96,64,77,79,70,68,66,65
0,99,62,81,72,68,48,57,70
0,110,61,79,65,64,44,54,48
0,111,66,83,62,66,44,44,47
0,105,77,81,59,53,48,54,42
0,99,77,76,64,56,55,60,48
0,91,72,64,66,69,62,70,55
0,86,60,53,64,72,58,72,63
0,75,52,45,52,75,62,61,63
0,73,48,42,50,69,70,54,73
0,69,47,39,52,69,75,43,73
0,69,48,42,54,64,66,49,79
0,83,49,60,52,63,47,49,73
0,86,52,75,54,61,47,52,81
0,85,53,75,66,75,53,50,82
0,86,48,68,75,68,49,45,75
0,82,49,59,70,77,65,40,72
0,83,51,55,66,72,67,40,66
0,81,61,46,63,70,72,46,64
0,81,58,46,77,75,67,54,57
0,79,60,49,80,76,65,70,60
0,75,58,50,66,72,58,66,70
0,67,53,48,60,55,51,58,77
0,71,43,49,48,48,47,40,84
0,74,45,52,48,39,63,36,76
0,84,40,57,43,45,63,37,79
0,85,50,70,36,54,61,51,87
0,85,52,70,32,57,51,60,81
0,75,49,72,41,61,39,57,67
0,66,52,66,43,60,46,54,57
0,50,50,58,59,72,44,43,49
0,59,56,46,65,77,37,39,46
0,58,60,41,75,84,34,54,49
0,67,49,45,85,83,39,60,45
0,62,44,51,79,79,45,67,53
0,63,39,49,72,70,49,62,61
0,60,30,46,55,56,43,58,68
0,73,25,43,47,48,50,49,72
0,79,26,46,38,60,49,62,69
0,86,40,51,43,68,54,70,70
0,91,45,57,54,75,51,75,79
0,87,46,64,68,56,49,63,84
0,79,36,63,71,55,58,51,69
0,62,42,58,69,57,58,39,57
0,47,52,55,55,65,54,33,37
0,30,64,53,61,74,43,32,40
0,32,67,55,57,82,35,36,37
0,45,55,51,64,85,37,49,42
0,57,44,47,73,85,42,57,46
0,65,37,45,65,73,43,53,66
0,52,39,49,53,68,50,45,71
0,57,41,54,32,62,49,35,81
0,60,48,56,37,68,48,42,64
0,71,42,62,36,67,41,57,63
0,80,36,58,48,68,40,63,62
0,78,26,65,53,67,44,61,72
0,85,31,64,63,63,49,58,69
0,80,47,59,57,60,51,48,55
0,77,55,57,55,58,40,42,35
0,73,60,50,53,65,31,33,34
0,66,54,46,64,70,27,40,33
0,67,50,44,73,69,37,46,43
0,63,46,47,77,70,40,59,48
0,64,44,45,71,65,38,66,54
0,63,42,45,56,66,34,49,53
0,67,39,43,41,72,39,52,62
0,70,33,51,32,84,45,44,72
0,68,35,54,28,84,53,52,88
0,80,34,65,34,80,45,58,99
0,77,33,68,53,61,44,49,83
0,74,29,66,60,61,40,42,60
0,78,34,70,52,68,52,31,42
0,72,47,63,41,77,48,24,41
0,61,54,65,42,77,42,25,50
0,57,54,51,57,74,40,30,55
0,40,55,45,66,73,40,41,55
0,47,56,37,54,66,44,49,56
0,57,60,35,38,52,40,44,54
0,56,49,40,30,35,46,33,61
0,64,45,39,37,33,48,36,68
0,56,33,42,48,43,58,49,74
0,71,33,56,59,53,56,61,72
0,82,34,66,66,64,52,62,75
0,91,39,79,69,56,42,51,68
0,78,47,67,77,59,42,44,54
0,76,53,59,62,65,40,31,36
0,73,49,47,53,72,37,33,35
0,64,51,53,52,72,34,51,39
0,54,48,65,70,66,37,60,55
0,44,58,56,80,61,41,64,53
0,61,60,44,70,64,38,58,55
0,68,63,26,59,71,39,50,63
0,72,49,26,40,75,37,41,64
0,78,48,33,39,85,36,31,74
0,74,45,41,36,76,31,31,71
0,81,37,57,42,69,33,33,69
0,82,40,65,55,66,30,35,66
0,78,35,67,57,54,32,29,68
0,87,42,62,61,50,33,22,62
0,85,42,54,57,46,31,22,52
0,76,43,45,59,55,29,27,38
0,71,54,46,66,59,28,38,43
0,63,68,52,76,66,32,50,44
0,73,75,48,84,67,39,56,49
0,74,65,42,77,60,40,62,47
0,69,54,33,55,47,40,50,48
0,61,47,32,36,36,33,43,54
0,51,42,40,36,47,35,30,63
0,53,38,43,38,63,33,32,72
0,62,31,48,46,74,46,41,70
0,73,32,52,56,63,40,40,77
0,82,36,67,50,48,48,37,62
0,76,39,61,59,48,40,29,60
0,74,38,65,52,59,38,29,45
0,77,40,59,51,72,31,32,37
0,71,50,61,57,79,26,39,32
