SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,89,68,74,53,83,94,84,58
0,97,64,64,62,80,92,74,46
0,97,65,63,56,83,74,62,46
0,102,68,74,43,83,53,52,47
0,96,72,88,40,86,42,40,57
0,95,86,94,36,83,37,48,57
0,90,82,93,47,80,50,58,65
0,87,94,88,71,81,50,64,68
0,81,83,77,73,92,50,68,68
0,73,77,59,70,92,48,58,72
0,81,61,52,57,76,54,66,72
0,94,55,52,50,80,54,68,88
0,107,47,61,47,78,55,78,85
0,108,47,68,42,85,53,83,91
0,103,47,62,38,84,60,80,84
0,92,53,75,40,73,63,66,71
0,88,63,82,50,75,66,51,62
0,85,63,83,59,76,57,38,54
0,94,73,82,52,89,53,38,57
0,94,67,73,63,85,52,40,54
0,93,73,74,70,87,56,53,65
0,91,68,65,72,85,57,70,75
0,75,60,60,62,84,53,66,73
0,75,57,48,41,76,50,66,73
0,71,49,51,39,56,47,63,67
0,79,53,44,47,45,46,63,61
0,85,63,48,45,53,52,66,55
0,90,76,50,42,62,50,63,58
0,90,75,60,43,70,50,55,52
0,89,67,67,53,74,43,45,55
0,85,66,68,70,81,47,38,53
0,72,71,63,66,86,53,33,49
0,69,67,59,68,87,54,33,41
0,62,68,70,68,80,56,45,40
0,54,59,73,81,74,53,50,47
0,58,54,62,78,68,56,58,52
0,67,52,50,69,68,46,65,71
0,75,47,39,52,58,45,59,75
0,78,53,50,50,55,46,56,77
0,76,48,61,61,53,64,52,82
0,74,48,69,60,63,77,63,82
0,88,43,65,56,71,81,74,86
0,95,49,62,51,73,67,71,81
0,99,49,68,52,67,61,59,85
0,93,60,61,45,58,49,44,70
0,91,65,69,42,75,44,49,60
0,86,76,63,32,73,34,43,53
0,86,74,66,58,80,41,50,54
0,80,60,59,70,80,52,57,51
0,77,47,52,79,87,57,57,57
0,82,38,54,76,89,57,50,65
0,84,35,44,67,85,43,44,67
0,82,40,47,61,73,48,46,64
0,78,50,48,52,70,59,60,61
0,84,53,50,39,73,75,70,68
0,92,49,60,42,78,78,75,76
0,100,44,58,41,74,71,69,81
0,91,57,70,42,71,63,55,75
0,91,59,64,53,69,51,42,59
0,83,59,64,60,72,54,34,52
0,76,47,68,65,81,46,37,49
0,62,46,61,66,80,47,38,46
0,57,43,60,76,81,47,47,57
0,55,42,45,77,69,50,55,68
0,58,44,38,61,71,58,55,78
0,60,48,39,43,61,56,56,82
0,58,55,47,48,71,60,53,76
0,69,62,63,49,68,63,58,75
0,75,56,54,55,71,67,64,80
0,88,50,62,49,67,53,68,76
0,76,43,53,37,67,40,64,75
0,76,45,55,47,66,33,53,72
0,65,51,51,55,71,38,41,62
0,72,56,55,71,79,38,37,62
0,70,63,53,83,86,47,45,58
0,72,59,52,85,91,55,49,61
0,71,54,51,76,86,62,58,63
0,75,51,43,75,73,64,61,66
0,66,52,45,60,66,58,53,69
0,65,58,42,54,70,56,51,72
0,66,52,39,45,74,64,58,79
0,70,52,41,32,77,62,66,79
0,78,47,47,28,77,68,76,77
0,87,43,57,32,71,62,76,74
0,87,45,63,36,70,54,66,67
0,76,43,63,42,77,49,57,63
0,68,49,69,48,82,54,61,49
0,60,49,65,64,88,41,50,45
0,61,51,50,65,76,43,56,40
0,69,48,54,71,76,45,54,55
0,69,48,52,71,76,46,47,52
0,74,51,46,70,83,46,48,55
0,75,54,40,58,88,45,48,55
0,78,63,44,57,91,52,51,60
0,88,68,47,65,90,63,59,59
0,101,65,49,71,90,61,52,64
0,96,70,56,64,89,54,55,63
0,91,60,68,53,78,53,46,65
0,74,63,71,44,70,47,45,69
0,62,53,67,42,68,41,37,71
0,61,57,59,46,83,41,41,64
0,74,65,60,58,97,41,28,64
0,79,67,61,69,101,41,32,59
0,76,64,59,73,95,55,38,61
0,63,63,44,73,89,58,45,56
0,60,56,36,57,79,61,56,73
0,60,50,34,49,68,59,60,78
0,70,45,38,50,59,56,60,87
0,82,42,37,59,59,61,60,85
0,90,48,41,66,68,62,60,84
0,90,50,34,70,74,69,63,88
0,90,56,42,64,73,68,63,72
0,80,51,49,58,74,61,61,55
0,73,57,58,57,79,48,52,28
0,71,54,60,65,85,47,43,32
0,72,50,59,77,85,38,37,38
0,65,53,59,94,79,43,43,52
0,66,45,64,102,79,49,56,64
