ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,55,23,32,37,34,53,39,27
0,46,27,30,43,41,47,53,38
0,54,33,35,42,51,46,57,38
0,55,29,30,39,52,32,45,44
0,50,24,34,39,47,25,28,38
0,51,22,37,41,45,23,17,32
0,51,26,40,47,42,19,16,28
0,60,23,41,41,46,27,14,24
0,58,24,41,38,53,27,21,22
0,43,18,33,33,42,31,24,26
0,37,20,33,35,48,29,31,22
0,31,20,23,37,37,24,35,24
0,40,20,23,36,36,18,34,21
0,41,16,27,30,29,13,28,21
0,39,16,26,26,26,17,21,18
0,31,19,23,22,29,23,22,19
0,26,23,24,21,31,25,29,21
0,28,25,31,24,42,23,26,32
0,40,18,33,33,38,18,28,40
0,41,20,34,35,44,15,23,39
0,46,18,28,31,42,12,23,30
0,37,18,31,34,50,12,22,19
0,35,12,29,32,52,13,23,17
0,31,19,32,33,56,17,23,20
0,37,24,32,34,54,17,25,19
0,30,27,31,38,43,21,23,30
0,33,30,29,37,33,22,27,29
0,30,24,24,30,25,25,24,27
0,26,23,22,28,19,28,25,23
0,27,16,22,22,19,30,23,18
0,33,19,23,21,22,33,18,27
0,51,21,25,20,35,31,18,29
0,52,24,29,24,39,28,21,36
0,57,21,27,26,39,29,26,29
0,50,17,24,26,32,28,28,20
0,47,14,25,25,33,25,23,11
0,51,15,26,23,37,21,21,13
0,39,21,29,29,48,20,24,16
0,33,21,23,34,46,24,27,16
0,28,25,24,39,37,25,24,16
0,21,19,20,30,32,26,20,17
0,22,17,18,25,26,24,22,25
0,29,17,22,24,26,27,21,34
0,32,16,26,29,34,28,26,39
0,47,16,31,29,36,32,24,34
0,61,15,31,30,39,34,25,33
0,55,15,26,26,35,34,21,27
0,40,16,26,33,32,29,19,20
0,29,18,31,44,35,21,19,17
0,21,17,36,50,36,20,22,16
0,21,18,36,47,43,19,27,18
0,27,20,30,50,49,24,34,18
0,23,22,25,38,50,26,40,21
0,27,25,22,34,43,23,39,22
0,24,22,20,25,32,18,36,31
0,27,16,18,16,24,15,30,29
0,31,16,15,13,18,17,29,31
0,37,16,16,18,18,20,26,28
0,44,21,22,21,27,24,25,30
0,60,20,27,23,31,22,24,33
0,55,19,31,19,35,21,22,36
0,52,17,33,25,36,19,22,27
0,43,16,29,36,36,19,20,20
0,33,21,25,41,37,19,19,18
0,31,25,23,43,35,21,19,21
0,27,24,18,44,33,21,22,22
0,21,24,15,42,29,20,22,28
0,24,17,18,40,24,15,23,27
0,21,20,17,33,21,14,17,35
0,28,19,20,27,20,16,15,32
0,34,20,20,22,26,19,13,27
0,42,16,25,18,29,22,14,25
0,50,15,30,20,29,23,17,37
0,53,18,34,19,30,30,23,39
0,56,18,31,18,28,31,24,39
0,45,18,30,14,30,30,24,26
0,40,14,20,19,39,25,18,17
0,47,17,22,19,45,20,14,14
0,47,19,24,32,52,15,19,12
0,43,20,22,34,46,19,25,16
0,40,19,22,36,46,17,32,24
0,36,21,25,31,36,18,38,27
0,32,23,23,26,28,18,29,25
0,22,20,22,22,12,19,23,22
0,19,19,14,22,13,24,12,19
0,19,20,17,21,18,23,13,23
0,36,20,21,22,27,25,11,29
0,41,19,33,21,30,22,12,34
0,37,17,28,23,33,24,13,38
0,28,19,28,20,36,23,14,27
0,21,19,20,21,35,22,15,20
0,24,23,19,27,38,14,18,15
0,26,31,27,28,44,15,24,17
0,28,33,23,33,47,17,34,19
0,32,30,26,33,51,21,32,25
0,38,24,20,32,41,25,32,23
0,31,23,20,24,29,29,20,26
0,24,25,20,27,23,31,24,28
0,31,26,19,27,27,31,27,27
0,35,27,18,26,30,32,29,27
0,44,24,22,20,37,29,32,29
0,51,20,31,22,31,25,24,29
0,49,18,36,20,35,23,23,28
0,37,17,35,22,33,20,18,21
0,24,18,25,27,44,19,15,20
0,20,18,19,29,52,17,18,21
0,20,26,19,29,59,20,24,21
0,32,25,17,45,52,20,29,20
0,32,26,18,40,49,18,37,23
0,33,25,17,39,37,20,29,23
0,27,24,21,28,22,21,25,22
0,22,23,18,19,20,23,18,24
0,21,19,20,21,18,28,19,23
0,28,16,20,22,26,30,19,25
0,33,18,25,20,31,34,20,32
0,40,18,28,18,33,30,15,36
0,35,18,31,15,37,26,19,44
0,32,16,24,24,28,26,20,33
