ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,52,30,34,28,44,35,31,28
0,58,29,37,31,40,30,35,30
0,61,32,43,26,38,30,29,33
0,68,29,39,29,44,23,24,31
0,66,23,33,31,54,19,21,29
0,52,23,36,39,51,22,20,24
0,47,26,39,37,50,28,26,19
0,39,31,42,42,42,29,25,22
0,32,24,36,38,34,25,26,28
0,35,29,30,31,29,18,24,34
0,33,19,27,22,28,12,26,33
0,48,20,22,17,31,15,28,35
0,50,19,23,17,32,17,25,25
0,52,16,34,15,39,22,22,34
0,54,17,38,21,41,21,24,38
0,47,15,41,21,36,19,24,36
0,40,21,37,23,36,19,24,34
0,41,26,29,15,38,17,19,23
0,43,25,23,16,50,20,18,23
0,40,23,22,23,50,16,19,22
0,39,17,21,35,53,24,26,25
0,29,17,21,47,53,24,30,26
0,24,20,23,49,52,26,26,29
0,31,20,23,33,49,17,26,29
0,34,23,23,26,37,15,17,29
0,36,21,27,25,34,17,21,31
0,34,22,26,24,38,18,20,31
0,35,28,32,23,48,22,26,36
0,42,28,33,21,50,16,30,34
0,48,29,31,18,41,15,28,30
0,50,27,27,25,46,17,25,26
0,56,19,22,30,49,17,17,24
0,54,17,20,35,53,20,16,20
0,58,16,31,33,51,22,13,18
0,44,16,31,34,50,25,19,19
0,36,17,31,33,40,33,28,25
0,30,18,20,30,42,29,30,31
0,32,13,18,27,34,26,26,37
0,33,15,18,20,33,26,24,34
0,37,19,19,22,34,29,24,34
0,34,23,20,23,32,34,25,37
0,34,23,19,20,34,33,25,44
0,43,25,26,26,39,27,29,44
0,41,22,25,26,44,21,33,40
0,40,22,23,27,46,18,31,30
0,28,22,22,21,44,16,25,21
0,29,16,22,25,45,17,18,22
0,25,12,20,25,48,16,20,19
0,26,13,16,24,54,16,24,17
0,20,14,21,22,47,17,27,25
0,19,16,20,23,38,15,26,30
0,17,16,23,23,30,16,27,36
0,17,17,19,23,22,19,26,35
0,22,16,20,21,33,30,32,32
0,22,15,24,19,42,40,30,27
0,29,20,24,18,44,47,31,29
0,37,23,24,16,37,44,29,31
0,47,25,23,16,33,35,25,33
0,58,24,29,23,33,27,26,32
0,65,18,33,25,40,19,20,31
0,61,16,29,23,48,21,20,24
0,52,14,20,27,49,19,21,20
0,36,17,18,26,51,24,24,24
0,33,23,21,34,47,20,33,32
0,27,30,25,36,45,20,30,36
0,34,25,25,28,50,21,27,33
0,38,21,21,23,38,24,22,26
0,47,19,21,23,29,23,19,25
0,38,16,19,25,28,20,22,32
0,41,23,22,31,25,16,23,39
0,43,23,25,28,30,19,23,43
0,43,24,23,30,36,19,21,34
0,35,16,23,31,32,16,23,24
0,22,14,18,31,39,13,19,18
0,17,16,20,31,45,15,18,20
0,18,19,20,29,48,19,21,23
0,23,23,23,30,47,21,23,19
0,21,25,24,30,40,21,24,16
0,25,23,22,28,36,18,23,16
0,20,20,17,23,36,19,20,16
0,31,24,16,25,26,18,21,18
0,38,21,16,29,28,18,19,25
0,34,19,18,25,28,19,22,37
0,29,21,18,34,37,22,30,44
0,33,23,18,37,34,26,28,42
0,34,26,22,35,33,24,27,36
0,31,19,23,32,33,22,21,25
0,20,16,25,21,38,21,17,29
0,13,17,23,20,37,24,21,21
0,12,18,26,24,39,26,27,23
0,22,18,26,31,34,27,23,19
0,27,23,24,30,29,22,27,18
0,34,18,21,29,30,22,20,20
0,35,21,26,20,24,17,20,25
0,40,18,23,21,21,18,19,29
0,48,18,25,22,23,17,16,32
0,48,21,23,19,21,18,20,36
0,48,22,18,19,24,18,25,37
0,44,27,19,17,26,20,26,30
0,45,24,15,18,28,22,26,29
0,41,25,17,22,27,15,24,18
0,36,23,16,23,35,15,20,20
0,30,20,18,27,33,17,18,18
0,32,20,16,37,46,20,24,19
0,28,24,28,41,46,20,32,23
0,27,23,28,42,43,19,36,25
0,23,20,32,35,32,16,38,34
0,26,16,23,25,22,15,29,32
0,23,15,24,24,20,16,25,33
0,20,21,25,26,28,25,20,31
0,19,22,27,20,28,27,18,29
0,24,22,29,19,36,28,22,29
0,29,18,32,15,28,21,21,29
0,30,19,25,15,33,22,17,33
0,36,19,23,18,27,23,17,24
0,31,18,17,15,27,25,16,21
0,24,18,20,18,27,20,16,19
0,21,24,19,25,24,16,17,14
