SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,90,75,75,85,83,89,90,69
0,84,77,68,79,86,89,96,74
0,78,82,71,76,93,85,86,78
0,74,79,65,71,89,92,85,78
0,79,61,64,71,86,76,72,70
0,88,57,61,66,80,70,62,59
0,90,64,65,66,85,51,55,43
0,95,63,65,58,94,56,54,35
0,94,66,68,53,92,57,55,39
0,89,57,72,54,86,69,64,41
0,84,62,72,68,92,72,64,46
0,76,57,59,76,91,60,70,45
0,73,62,55,75,92,50,69,43
0,81,49,49,62,81,44,60,42
0,78,53,46,53,78,45,57,47
0,75,56,54,53,84,62,57,60
0,71,63,65,44,80,60,64,83
0,67,57,68,44,85,51,68,94
0,71,53,68,44,72,36,58,91
0,75,48,69,68,74,36,55,75
0,79,37,66,83,70,39,51,64
0,77,28,64,93,77,48,51,57
0,76,25,68,86,81,46,53,53
0,76,45,76,78,85,46,62,52
0,78,57,76,76,86,47,69,51
0,83,65,76,76,88,47,69,58
0,89,64,71,67,68,54,74,49
0,76,57,63,54,59,60,75,48
0,60,50,48,48,56,64,74,43
0,56,44,45,42,57,74,76,49
0,71,44,43,45,71,70,68,56
0,81,45,59,41,75,71,66,59
0,90,47,70,47,68,59,65,61
0,96,47,80,47,67,66,62,49
0,97,34,72,58,64,63,56,39
0,91,28,70,65,73,52,43,33
0,86,39,68,68,71,45,42,47
0,83,53,69,76,81,47,48,47
0,83,58,57,82,78,49,52,47
0,75,54,49,86,70,58,60,49
0,73,49,38,77,65,50,49,55
0,62,48,38,61,58,54,50,64
0,73,44,38,56,65,57,44,67
0,72,40,46,49,77,59,54,73
0,83,49,51,52,76,69,53,72
0,87,46,54,53,78,69,45,63
0,81,53,56,62,75,69,37,51
0,69,41,59,78,72,55,42,42
0,69,44,65,84,77,49,51,31
0,56,47,63,104,83,49,56,28
0,57,52,62,93,79,50,57,26
0,67,55,53,92,76,52,64,43
0,59,51,48,88,79,48,70,53
0,60,52,44,82,71,56,66,63
0,58,46,41,68,69,45,63,69
0,63,38,27,53,65,43,54,64
0,73,34,36,43,53,47,60,65
0,77,42,42,44,57,52,60,64
0,85,55,60,43,68,60,61,75
0,92,60,70,51,74,52,59,77
0,86,65,68,57,74,52,55,75
0,96,57,67,68,66,43,55,61
0,101,53,68,82,62,35,52,46
0,100,50,56,92,61,40,48,46
0,91,54,55,86,52,43,52,49
0,78,50,51,91,49,53,61,47
0,61,53,49,94,47,61,70,54
0,59,37,57,77,48,54,66,65
0,55,40,45,70,42,59,47,76
0,73,30,39,60,34,58,34,69
0,74,36,42,51,31,62,36,58
0,76,38,49,43,30,72,44,57
0,79,50,61,36,32,61,49,72
0,78,59,75,29,32,65,45,80
0,83,53,73,41,43,63,41,72
0,83,55,77,55,53,50,40,58
0,89,51,72,62,67,51,35,52
0,95,48,65,60,80,49,34,49
0,99,51,64,56,84,48,41,40
0,96,44,53,71,86,55,55,46
0,85,42,59,75,86,57,60,52
0,72,42,60,69,70,65,71,69
0,54,44,50,65,48,62,55,65
0,52,40,50,44,28,63,39,59
0,57,39,43,48,31,68,27,46
0,61,43,49,45,45,72,34,47
0,69,50,60,51,66,71,52,46
0,73,50,72,48,72,60,59,53
0,70,50,79,55,78,55,54,53
0,68,38,70,52,70,49,51,44
0,62,38,49,58,80,49,41,44
0,62,51,43,60,78,46,47,46
0,59,68,61,73,87,42,53,49
0,58,70,63,90,80,42,60,54
0,50,66,80,96,81,45,69,60
0,63,56,69,83,71,48,63,68
0,64,61,54,69,58,46,57,71
0,68,55,50,59,53,53,48,66
0,66,54,46,52,59,57,53,60
0,76,48,50,49,67,58,64,56
0,83,63,60,35,83,53,70,60
0,88,68,58,46,85,42,63,71
0,76,72,79,42,88,44,50,64
0,56,59,81,49,82,44,37,61
0,45,49,72,49,78,46,32,44
0,52,51,65,63,96,42,33,46
0,51,61,62,82,95,45,46,48
0,68,68,57,92,92,47,56,58
0,66,63,48,92,82,59,68,65
0,64,52,36,76,79,62,64,60
0,63,49,43,63,62,58,51,56
0,52,46,38,46,53,60,40,53
0,64,41,36,46,55,65,43,55
0,61,45,43,44,63,68,50,62
0,74,53,54,46,77,63,58,72
0,82,54,60,50,69,59,57,70
0,76,54,62,56,73,53,54,72
0,71,50,60,65,77,55,50,67
0,83,61,73,115,86,90,79,62
0,87,61,77,109,84,88,90,66
0,94,65,72,100,78,74,92,80
0,96,71,71,83,86,60,85,78
0,91,76,75,66,84,41,69,70
0,80,79,74,53,87,40,49,63
0,77,70,72,52,83,37,36,56
0,79,67,69,46,84,43,40,51
0,89,71,69,51,85,41,47,45
0,85,79,71,50,85,43,52,43
0,72,77,70,62,81,57,51,43
0,58,61,60,65,79,67,54,49
0,57,54,42,65,83,58,64,49
0,58,45,38,60,72,50,60,52
0,58,42,36,55,72,55,56,48
0,61,51,45,47,81,63,57,47
0,69,54,51,53,72,70,56,48
0,78,58,57,55,75,58,51,58
0,82,62,66,61,68,51,41,56
0,77,48,66,65,80,49,41,50
0,78,47,59,67,91,49,42,37
0,83,48,58,72,92,48,55,44
0,82,54,50,74,89,49,61,57
0,86,68,58,64,85,52,74,57
0,90,65,46,74,90,58,66,53
0,82,62,42,69,80,64,64,57
0,74,51,40,66,67,56,50,56
0,63,51,52,57,54,54,53,61
0,58,42,51,57,45,49,47,74
0,68,45,43,55,59,53,48,75
0,70,48,46,53,64,56,37,78
0,80,49,48,50,72,48,32,84
0,77,46,53,45,65,46,25,72
0,78,37,57,53,70,46,29,57
0,68,33,55,57,71,44,33,43
0,67,35,55,57,87,45,36,33
0,71,51,56,58,93,43,42,33
0,67,61,55,70,99,52,42,40
0,66,61,54,81,94,52,57,51
0,59,58,41,80,83,54,51,67
0,56,58,39,62,76,49,48,72
0,58,50,39,45,67,48,46,67
0,76,53,41,37,57,54,53,71
0,84,44,38,37,64,58,65,71
0,92,43,43,42,72,56,64,85
0,93,47,49,46,80,51,62,88
0,78,44,50,45,74,46,51,78
0,64,40,57,51,72,50,47,70
0,57,49,65,49,73,48,35,55
0,53,56,76,56,92,46,30,51
0,57,79,75,64,92,46,33,54
0,65,76,66,73,89,55,43,48
0,70,60,63,79,89,59,58,59
0,69,53,54,67,87,65,61,59
0,59,44,45,55,84,52,66,69
0,50,42,35,41,74,44,53,68
0,56,39,32,36,80,42,48,76
0,65,37,35,33,76,43,42,79
0,75,47,33,40,84,56,44,87
0,88,62,45,35,79,53,44,77
0,76,67,55,38,81,54,45,69
0,73,62,61,54,88,45,40,58
0,58,52,62,62,94,44,34,43
0,45,44,62,78,93,30,34,48
0,50,40,72,61,88,33,32,47
0,56,37,69,56,90,31,44,55
0,61,43,53,51,95,33,50,54
0,67,42,42,50,79,32,63,44
0,60,52,35,49,72,31,60,46
0,60,56,40,44,65,26,54,47
0,52,59,41,57,64,38,51,57
0,67,54,44,55,73,46,48,59
0,76,49,56,54,71,50,48,67
0,81,51,69,49,75,47,44,64
0,77,59,76,47,66,47,38,53
0,71,57,72,66,70,54,40,42
0,63,46,76,61,75,62,40,37
0,61,43,63,58,81,54,28,34
0,61,58,57,61,80,46,29,38
0,62,62,55,69,79,41,41,43
0,51,56,51,71,88,47,58,52
0,53,50,55,63,76,58,68,53
0,42,46,43,46,69,54,64,53
0,47,50,40,40,58,48,45,61
0,54,59,33,39,66,44,39,58
0,64,67,33,43,80,45,32,65
0,76,69,37,47,83,52,27,66
0,90,55,49,52,78,51,24,64
0,91,47,66,48,86,49,28,60
0,93,40,74,50,91,46,43,53
0,85,34,72,38,95,44,50,47
0,82,52,74,48,91,40,54,60
0,73,73,70,49,84,42,57,63
0,61,72,62,70,81,48,58,62
0,52,73,58,77,80,47,63,59
0,65,63,57,76,68,50,60,56
0,58,57,50,64,63,38,61,63
0,62,54,48,60,58,46,63,76
0,59,49,39,53,64,50,56,85
0,66,53,45,45,71,56,52,79
0,79,54,61,47,70,52,44,75
0,88,57,64,38,65,47,32,63
0,89,57,69,52,63,53,34,48
0,86,57,66,60,69,58,41,41
0,70,51,62,58,77,60,46,39
0,64,53,59,54,93,57,55,49
0,58,53,51,48,101,57,64,51
0,53,54,56,76,102,56,72,54
0,59,50,59,86,90,58,73,53
0,55,46,51,79,76,68,64,50
0,45,49,41,52,70,64,57,55
0,54,51,41,35,77,68,59,60
0,55,49,49,47,87,67,52,74
0,65,51,59,47,86,61,47,75
0,73,50,56,56,81,56,39,82
0,78,49,68,55,63,52,41,73
0,67,47,68,55,69,46,32,63
0,46,46,71,59,68,52,27,45
0,85,80,60,73,81,72,78,70
0,94,80,57,73,80,65,78,61
0,96,79,73,77,79,63,78,53
0,90,74,84,79,84,51,69,50
0,84,84,93,78,86,40,68,57
0,84,81,90,72,90,34,60,65
0,87,82,85,72,78,28,61,56
0,84,77,81,71,77,43,69,45
0,79,72,75,85,70,51,65,41
0,61,63,66,95,74,62,79,51
0,61,56,55,78,74,51,68,71
0,52,40,55,69,78,41,58,75
0,61,39,62,47,84,45,57,76
0,68,46,60,39,85,54,60,71
0,89,53,65,42,88,64,54,65
0,92,64,71,47,77,52,64,65
0,90,56,80,64,75,52,56,71
0,87,53,85,72,77,37,51,70
0,93,58,76,75,79,46,51,68
0,99,70,80,62,84,41,40,61
0,102,75,87,61,78,39,52,61
0,88,79,88,63,78,41,58,52
0,65,67,79,76,77,46,58,60
0,64,54,66,82,74,55,58,54
0,57,43,45,71,64,61,62,70
0,64,33,36,60,62,61,57,75
0,69,32,34,46,58,58,58,79
0,67,42,44,45,76,62,61,77
0,79,44,51,56,77,57,67,71
0,90,50,61,53,87,53,62,70
0,89,51,61,60,84,44,54,63
0,85,50,61,61,80,51,42,54
0,82,63,71,61,85,48,44,47
0,92,70,71,69,88,49,48,48
0,91,73,66,68,90,41,61,53
0,86,69,56,81,96,55,75,57
0,77,55,40,86,92,64,73,67
0,63,53,32,78,85,65,68,86
0,63,57,26,62,64,57,55,83
0,55,52,35,45,52,58,65,80
0,64,49,38,36,49,56,73,68
0,79,50,45,39,53,66,80,74
0,80,55,51,40,65,48,81,75
0,84,61,61,35,72,43,63,72
0,86,53,74,45,72,42,55,58
0,85,53,72,50,77,47,41,49
0,88,54,68,44,79,52,46,40
0,86,59,58,39,84,44,45,42
0,89,67,65,58,86,53,57,61
0,93,69,62,78,83,56,61,70
0,71,59,52,91,84,56,66,80
0,56,44,47,76,75,44,65,64
0,46,35,47,67,60,36,58,61
0,44,30,50,54,68,34,51,56
0,55,23,45,56,67,49,48,54
0,62,33,51,53,79,58,46,59
0,81,40,57,52,80,67,41,65
0,86,51,67,44,81,64,38,76
0,83,52,68,41,90,52,42,69
0,82,41,60,49,88,49,47,70
0,78,42,59,65,85,44,54,52
0,87,52,65,70,84,42,67,50
0,85,69,68,69,69,46,71,48
0,86,75,67,82,75,48,73,44
0,68,64,58,81,84,53,72,56
0,68,57,50,69,79,44,62,62
0,60,49,50,63,68,46,54,72
0,55,46,42,48,59,52,56,65
0,52,53,41,58,51,61,51,59
0,49,47,25,55,52,65,46,71
0,69,48,34,56,52,54,39,80
0,75,52,42,61,48,52,38,73
0,79,63,49,60,53,53,38,58
0,75,70,51,61,64,57,41,39
0,73,65,54,68,79,68,45,32
