Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
1.692,0.230392,-0.161139,-0.0265832,-0.358687,0.0601649,0.0132377,-0.0229109,-0.0575467,F2,-0.1052306849667809,0.0100255847548948,-0.0138978087816731,-0.1157068261634485,0.0074335680940552,0.0057791164144182,0.0082696085174306,-0.0092149679508921,-0.1052306849667809,0.0100255847548948,-0.0138978087816731,-0.1157068261634485,0.0074335680940552,0.0057791164144182,0.0082696085174306,-0.0092149679508921
1.693,0.172212,-0.158272,-0.0689259,-0.32197,0.061313,0.00655962,-0.0192504,-0.0647571,0,-0.1310810433816443,0.0144602569541208,-0.0548941400189773,-0.1090965744921146,0.0058834238369894,0.0022517661928389,0.0129377391385499,-0.0013759694281032,-0.1310810433816443,0.0144602569541208,-0.0548941400189773,-0.1090965744921146,0.0058834238369894,0.0022517661928389,0.0129377391385499,-0.0013759694281032
1.694,0.12413,-0.14754,-0.0848567,-0.258366,0.0434384,0.000414363,-0.010915,-0.0788594,0,-0.152200143498249,0.0263964833371617,-0.06974601383764,-0.0538049375150905,-0.0145313792284464,-0.0008169513886644,0.0218691592093217,-0.0035855834072784,-0.152200143498249,0.0263964833371617,-0.06974601383764,-0.0538049375150905,-0.0145313792284464,-0.0008169513886644,0.0218691592093217,-0.0035855834072784
1.695,0.0985531,-0.149918,-0.0927529,-0.254254,0.0192319,-0.00238046,-0.00287322,-0.0945245,0,-0.1454943250977668,0.0244315237514145,-0.0745574905700837,-0.0748374079368832,-0.039082925651645,-0.0010105147512654,0.0300995766697139,-0.0061858771925611,-0.1454943250977668,0.0244315237514145,-0.0745574905700837,-0.0748374079368832,-0.039082925651645,-0.0010105147512654,0.0300995766697139,-0.0061858771925611
1.696,0.0804808,-0.14652,-0.0985994,-0.263817,0.0166923,-0.00296777,-0.00152801,-0.106428,0,-0.1353555746449586,0.0269869725637326,-0.0789355784878026,-0.0952917657487147,-0.0411132212324669,-0.0002901582713895,0.0301144451475825,-0.0076060728374759,-0.1353555746449586,0.0269869725637326,-0.0789355784878026,-0.0952917657487147,-0.0411132212324669,-0.0002901582713895,0.0301144451475825,-0.0076060728374759
1.697,0.0647196,-0.138131,-0.0806395,-0.237534,0.0264661,-0.00305984,-0.00738117,-0.117097,0,-0.1203484944143506,0.0341615093118338,-0.0571947377605687,-0.0836690563205921,-0.0290659978517428,0.0001253900600987,0.0229479748272323,-0.0083749600355965,-0.1203484944143506,0.0341615093118338,-0.0571947377605687,-0.0836690563205921,-0.0290659978517428,0.0001253900600987,0.0229479748272323,-0.0083749600355965
1.698,0.0694524,-0.130428,-0.0734847,-0.197524,0.0318716,-0.00413631,-0.00804551,-0.128717,0,-0.0874394945232046,0.0389494767709839,-0.0488361300477939,-0.0547274167132941,-0.0204134118452703,-0.0023401086982524,0.0190414944937334,-0.0119648234470479,-0.0874394945232046,0.0389494767709839,-0.0488361300477939,-0.0547274167132941,-0.0204134118452703,-0.0023401086982524,0.0190414944937334,-0.0119648234470479
1.699,0.0598593,-0.123341,-0.0948166,-0.118341,0.0299136,-0.00888026,-0.00777309,-0.1382,0,-0.0683851335381503,0.042764597303408,-0.0669779237072702,0.0224456430107875,-0.0185710049560451,-0.0092735039288521,0.0164718142864254,-0.0147503120810973,-0.0683851335381503,0.042764597303408,-0.0669779237072702,0.0224456430107875,-0.0185710049560451,-0.0092735039288521,0.0164718142864254,-0.0147503120810973
1.7,0.0471614,-0.118932,-0.102227,-0.0790294,0.0343693,-0.0124873,-0.0102351,-0.139356,0,-0.05369320819713,0.0422187123896769,-0.074125084889756,0.0507205811432638,-0.009759670227106,-0.0167030350249848,0.0095573852781033,-0.0101677626401148,-0.05369320819713,0.0422187123896769,-0.074125084889756,0.0507205811432638,-0.009759670227106,-0.0167030350249848,0.0095573852781033,-0.0101677626401148
1.701,0.0502685,-0.119662,-0.0713382,-0.185621,0.0435913,-0.010821,-0.00935989,-0.149596,0,-0.0238081256066791,0.0359345601532088,-0.0414901984879114,-0.0472493466369976,0.002934645149903,-0.0192796199207383,0.0067190827728731,-0.0158312163546291,-0.0238081256066791,0.0359345601532088,-0.0414901984879114,-0.0472493466369976,0.002934645149903,-0.0192796199207383,0.0067190827728731,-0.0158312163546291
