Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
5.549,0.0210536,0.0154266,0.0281676,0.111914,-0.0973191,-0.00832634,0.156087,0.263513,F1,0.0003573026179031,0.029186785921315,-0.0051352767157663,0.0327464443432913,0.0416119413903116,0.0074582301505861,0.0227819480379921,0.1003942881518138,0.0003573026179031,0.029186785921315,-0.0051352767157663,0.0327464443432913,0.0416119413903116,0.0074582301505861,0.0227819480379921,0.1003942881518138
5.55,0.000302789,0.0108882,0.0163893,0.105286,-0.108054,-0.00128825,0.154246,0.317154,0,-0.0160259648323496,0.0276094520173393,-0.0130356109877923,0.0289223794086237,-0.0184420113097562,0.0099704633328359,0.0200520652561856,0.1594029375183483,-0.0160259648323496,0.0276094520173393,-0.0130356109877923,0.0289223794086237,-0.0184420113097562,0.0099704633328359,0.0200520652561856,0.1594029375183483
5.551,0.0160808,-0.00214471,0.00341756,0.101814,-0.115248,0.00233606,0.149671,0.34102,0,0.0052550070407706,0.0174384774679112,-0.0231599749733996,0.0237626844358671,-0.0739708138517434,0.0096144677335268,0.0151603954736754,0.1864360716958851,0.0052550070407706,0.0174384774679112,-0.0231599749733996,0.0237626844358671,-0.0739708138517434,0.0096144677335268,0.0151603954736754,0.1864360716958851
5.552,0.0178528,-0.0202636,-0.00693111,0.0989275,-0.134191,0.00724422,0.142031,0.189434,0,0.0091310030391411,0.0008203308481629,-0.0266857722724757,0.0172284358656877,-0.1285285870295934,0.0101374941840605,0.0081292514923098,0.0488050324970463,0.0091310030391411,0.0008203308481629,-0.0266857722724757,0.0172284358656877,-0.1285285870295934,0.0101374941840605,0.0081292514923098,0.0488050324970463
5.553,-0.00733241,-0.0369396,-0.017061,0.0958335,-0.14748,0.0096781,0.13532,0.0473454,0,-0.012224671856592,-0.0140509061075985,-0.0313058962740813,0.0072491210637257,-0.1643838977617764,0.0088520150357689,0.0025234240093152,-0.0792833662402941,-0.012224671856592,-0.0140509061075985,-0.0313058962740813,0.0072491210637257,-0.1643838977617764,0.0088520150357689,0.0025234240093152,-0.0792833662402941
5.554,-0.0236348,-0.0486802,-0.0339969,0.0939687,-0.160005,0.012088,0.130139,-0.0144879,0,-0.0293539969437229,-0.0245077325274072,-0.0399943405459418,-0.0021083227015404,-0.1782405241215948,0.0071097789110093,-0.00060258907532,-0.1268427171073582,-0.0293539969437229,-0.0245077325274072,-0.0399943405459418,-0.0021083227015404,-0.1782405241215948,0.0071097789110093,-0.00060258907532,-0.1268427171073582
5.555,-0.0427556,-0.0603085,-0.0446002,0.0917289,-0.15331,0.0158764,0.123453,0.0387173,0,-0.0465947496532922,-0.0339383215364463,-0.0440590783145904,-0.0128850113346267,-0.1562107896888041,0.0073198086328783,-0.0051459991394904,-0.0575126325620438,-0.0465947496532922,-0.0339383215364463,-0.0440590783145904,-0.0128850113346267,-0.1562107896888041,0.0073198086328783,-0.0051459991394904,-0.0575126325620438
5.556,-0.0237291,-0.0724354,-0.0425612,0.0898608,-0.144252,0.0186961,0.113365,0.16649,0,-0.0303833817621077,-0.0433266075224889,-0.0344305000401709,-0.0220746942942008,-0.1128873845049459,0.0062677756718313,-0.0123222177323204,0.0780395692176644,-0.0303833817621077,-0.0433266075224889,-0.0344305000401709,-0.0220746942942008,-0.1128873845049459,0.0062677756718313,-0.0123222177323204,0.0780395692176644
5.557,0.0117174,-0.0806197,-0.02397,0.0868775,-0.147377,0.0206574,0.107486,0.295723,0,0.0060881191496478,-0.047444666456372,-0.0101672554486318,-0.031396250225313,-0.0715961004979106,0.0046646855804777,-0.0157721346874669,0.2177598680189844,0.0060881191496478,-0.047444666456372,-0.0101672554486318,-0.031396250225313,-0.0715961004979106,0.0046646855804777,-0.0157721346874669,0.2177598680189844
5.558,0.0107094,-0.0909849,-0.00756782,0.0893066,-0.143935,0.0246965,0.106674,0.390996,0,0.0023467055468956,-0.0523961587988673,0.0115600734398361,-0.0327721187923621,-0.0165080704757753,0.005140550641565,-0.0136393001657674,0.3131373965913128,0.0023467055468956,-0.0523961587988673,0.0115600734398361,-0.0327721187923621,-0.0165080704757753,0.005140550641565,-0.0136393001657674,0.3131373965913128
