Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
2.164,0.23703,-0.0784332,-0.131661,0.131546,0.0151543,-0.100623,0.0114486,-0.604902,F1,-0.0104609880229536,-0.002550188279592,0.0181946271629752,0.0243345245107388,-0.0219701953843412,-0.0435583818373731,0.0098967593880081,-0.092799114276207,-0.0104609880229536,-0.002550188279592,0.0181946271629752,0.0243345245107388,-0.0219701953843412,-0.0435583818373731,0.0098967593880081,-0.092799114276207
2.165,0.223648,-0.0577936,-0.144614,0.1355,-0.0114691,-0.081315,0.00384601,-0.339612,0,-0.0130942326618786,0.0101772851576035,0.0037963329453978,0.0326339870907739,-0.0484049617727795,-0.0277741036486181,0.0108672508241688,0.159898570462979,-0.0130942326618786,0.0101772851576035,0.0037963329453978,0.0326339870907739,-0.0484049617727795,-0.0277741036486181,0.0108672508241688,0.159898570462979
2.166,0.220964,-0.046586,-0.13863,0.146947,0.0150755,-0.0568615,-0.00408171,-0.229296,0,-0.005022078060213,0.0119543485919857,0.0076473128230519,0.0504784678024287,-0.0232927820770303,-0.0068039733979794,0.0095848335852998,0.2687803268765124,-0.005022078060213,0.0119543485919857,0.0076473128230519,0.0504784678024287,-0.0232927820770303,-0.0068039733979794,0.0095848335852998,0.2687803268765124
2.167,0.165112,-0.0478262,-0.131221,0.166124,0.0347729,-0.0465919,-0.0122305,-0.252695,0,-0.0478704090216069,0.0023201644904385,0.0135047045337499,0.0745578072307271,-0.0023893868835655,-0.0011483253994469,0.0085085361538655,0.2209009348960109,-0.0478704090216069,0.0023201644904385,0.0135047045337499,0.0745578072307271,-0.0023893868835655,-0.0011483253994469,0.0085085361538655,0.2209009348960109
2.168,0.113474,-0.0420408,-0.15591,0.173323,0.0420154,-0.0472002,-0.016964,-0.291129,0,-0.0863056269301358,-0.0019636103723577,-0.013580252565107,0.0869504580160589,0.0052513735967462,-0.0062558863567943,0.0093004878961975,0.1649503544765107,-0.0863056269301358,-0.0019636103723577,-0.013580252565107,0.0869504580160589,0.0052513735967462,-0.0062558863567943,0.0093004878961975,0.1649503544765107
2.169,0.0885573,-0.0266829,-0.18958,0.167959,0.0356193,-0.0571564,-0.0250958,-0.255655,0,-0.0968760710058817,0.0038097924564842,-0.0496312115514243,0.0850081538749926,-3.98510909764907e-05,-0.0209690810124289,0.0070503907742746,0.1706595201564201,-0.0968760710058817,0.0038097924564842,-0.0496312115514243,0.0850081538749926,-3.98510909764907e-05,-0.0209690810124289,0.0070503907742746,0.1706595201564201
2.17,0.130779,-0.00885537,-0.197339,0.148928,0.028146,-0.0608934,-0.0339631,-0.191439,0,-0.0390285976744697,0.0104364103455928,-0.0607402284293341,0.0682464477487443,-0.0061108372923495,-0.0291619605043034,0.003098002352019,0.2084095542037376,-0.0390285976744697,0.0104364103455928,-0.0607402284293341,0.0682464477487443,-0.0061108372923495,-0.0291619605043034,0.003098002352019,0.2084095542037376
2.171,0.157466,0.00175258,-0.190441,0.123198,0.055936,-0.0585099,-0.0391371,-0.248187,0,0.0028793066252887,0.0101020791709663,-0.0576717760272975,0.0436813292508654,0.0215150010709524,-0.0307587981668768,0.0032092008416741,0.1239203869977998,0.0028793066252887,0.0101020791709663,-0.0576717760272975,0.0436813292508654,0.0215150010709524,-0.0307587981668768,0.0032092008416741,0.1239203869977998
2.172,0.075551,0.0117298,-0.175168,0.0961275,0.0670953,-0.0536867,-0.0403744,-0.340578,0,-0.0611007207615131,0.0079321884797376,-0.0470990174215093,0.0160812901795975,0.0339554643242598,-0.0294832294182556,0.0068268058050714,0.0046022483027123,-0.0611007207615131,0.0079321884797376,-0.0470990174215093,0.0160812901795975,0.0339554643242598,-0.0294832294182556,0.0068268058050714,0.0046022483027123
2.173,-0.0149442,0.0253394,-0.152049,0.0688106,0.0581421,-0.049618,-0.0474177,-0.330278,0,-0.1356592886329402,0.0098564005610378,-0.0293461935889295,-0.0113733305717032,0.0229709210782014,-0.0281889884332479,0.0049701889864442,-0.0068128515557832,-0.1356592886329402,0.0098564005610378,-0.0293461935889295,-0.0113733305717032,0.0229709210782014,-0.0281889884332479,0.0049701889864442,-0.0068128515557832
2.174,0.0119361,0.0348831,-0.123031,0.0507021,0.0382972,-0.0419653,-0.0544395,-0.298778,0,-0.0890896021763104,0.0072167658384581,-0.0061777262421821,-0.0308678235032633,0.0034748872866359,-0.0229284745479026,0.0029906740581832,0.0030202465279069,-0.0890896021763104,0.0072167658384581,-0.0061777262421821,-0.0308678235032633,0.0034748872866359,-0.0229284745479026,0.0029906740581832,0.0030202465279069
2.175,0.126963,0.0401368,-0.0976444,0.0307446,0.0375689,-0.0291493,-0.0592505,-0.322865,0,0.0424430257645619,0.001249514223248,0.0128679400949647,-0.0500584236676241,-0.0008591441244844,-0.0119529213860204,0.0033614784588227,-0.0383247254055301,0.0424430257645619,0.001249514223248,0.0128679400949647,-0.0500584236676241,-0.0008591441244844,-0.0119529213860204,0.0033614784588227,-0.0383247254055301
2.176,0.127025,0.0529868,-0.0833683,0.017144,0.0320544,-0.0204845,-0.0670683,-0.356275,0,0.0629408873533987,0.0031562849148326,0.0208905028008396,-0.0631480303034692,-0.0070434721263,-0.0049852895477638,0.0005391725510042,-0.0874514475450633,0.0629408873533987,0.0031562849148326,0.0208905028008396,-0.0631480303034692,-0.0070434721263,-0.0049852895477638,0.0005391725510042,-0.0874514475450633
2.177,0.0917508,0.0687273,-0.0667147,0.00983506,0.0196195,-0.0147531,-0.0710192,-0.407931,0,0.0444155256938868,0.0094193692086368,0.031193599915932,-0.0665364516187395,-0.023569527597478,-0.0009760511887276,0.0013791989120095,-0.1583401770498415,0.0444155256938868,0.0094193692086368,0.031193599915932,-0.0665364516187395,-0.023569527597478,-0.0009760511887276,0.0013791989120095,-0.1583401770498415
2.178,0.0567666,0.0825649,-0.056638,0.0179191,0.024708,-0.0137156,-0.0730109,-0.395373,0,0.0292530738621261,0.0146221255257963,0.0355400990236248,-0.0539626546935523,-0.0194965398867103,-0.0018233581785299,0.0037128506008801,-0.1594686672771019,0.0292530738621261,0.0146221255257963,0.0355400990236248,-0.0539626546935523,-0.0194965398867103,-0.0018233581785299,0.0037128506008801,-0.1594686672771019
2.179,-0.0393257,0.0974665,-0.050167,0.0306819,0.0356328,-0.0145979,-0.0761186,-0.355085,0,-0.0505986494129016,0.0225645509026372,0.0365498468830629,-0.0331343958542853,-0.0117640831091516,-0.0052313768607658,0.0043331407974952,-0.1482394997573774,-0.0505986494129016,0.0225645509026372,0.0365498468830629,-0.0331343958542853,-0.0117640831091516,-0.0052313768607658,0.0043331407974952,-0.1482394997573774
2.18,-0.0830822,0.113849,-0.0418796,0.030347,0.025268,-0.0149924,-0.0801473,-0.402363,0,-0.07660510212758,0.0329939399735527,0.0402755803605691,-0.024757554462091,-0.0224535709081304,-0.0085037089906521,0.0032573290646163,-0.2128372220584333,-0.07660510212758,0.0329939399735527,0.0402755803605691,-0.024757554462091,-0.0224535709081304,-0.0085037089906521,0.0032573290646163,-0.2128372220584333
2.181,-0.0749696,0.127094,-0.0462527,0.0215429,0.022147,-0.0149542,-0.0856278,-0.413307,0,-0.053802541095891,0.0417334736754478,0.0317266203836374,-0.0222952922900713,-0.0268632127138378,-0.0123203747313339,-0.0001638739484788,-0.2674625925557256,-0.053802541095891,0.0417334736754478,0.0317266203836374,-0.0222952922900713,-0.0268632127138378,-0.0123203747313339,-0.0001638739484788,-0.2674625925557256
2.182,-0.0909401,0.133246,-0.0494298,0.0154239,0.0302481,-0.0109919,-0.0915863,-0.339564,0,-0.0552013290898079,0.0441513782849902,0.0251946275884157,-0.0173054459755246,-0.0176035508917949,-0.0125013259448824,-0.0049631709396233,-0.2185883161454631,-0.0552013290898079,0.0441513782849902,0.0251946275884157,-0.0173054459755246,-0.0176035508917949,-0.0125013259448824,-0.0049631709396233,-0.2185883161454631
