Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG
0.0,-0.0270216,-0.0262741,0.0561749,0.0283007,0.0477541,-0.0420452,-0.00739637,-0.00900022,0,0.0061202632021408,-0.0209531046229226,-0.0034188140335969,0.0016265531966744,0.0110039257016524,0.0063208946981348,0.003312618263006,-0.0188669644372055,0.0061202632021408,-0.0209531046229226,-0.0034188140335969,0.0016265531966744,0.0110039257016524,0.0063208946981348,0.003312618263006,-0.0188669644372055
0.001,-0.0268494,-0.0189631,0.0607757,0.0298366,0.0371088,-0.0501298,-0.00790641,-0.0138155,0,0.0071931693047889,-0.0172571792830248,0.0012897801363868,0.0032438590932398,0.002816329377882,-0.0002077261697002,0.0030273355841529,-0.022753898610503,0.0071931693047889,-0.0172571792830248,0.0012897801363868,0.0032438590932398,0.002816329377882,-0.0002077261697002,0.0030273355841529,-0.022753898610503
0.002,-0.0265865,-0.0108202,0.0644877,0.0273856,0.0297826,-0.062655,-0.00617288,-0.00865844,0,0.0090221277854416,-0.0122445709817832,0.004335406463967,0.0013325473270029,-0.0033649112554268,-0.012357311063403,0.0046431745727806,-0.0143018834018599,0.0090221277854416,-0.0122445709817832,0.004335406463967,0.0013325473270029,-0.0033649112554268,-0.012357311063403,0.0046431745727806,-0.0143018834018599
0.003,-0.0283664,-0.0027311,0.0652592,0.0250538,0.0260785,-0.0675474,-0.00677025,0.0149678,0,0.0078433785529513,-0.0080668968468338,0.0047624761861386,-0.0008128798854818,-0.0049391147006812,-0.0158070698460739,0.0042000980260685,0.0132397144538278,0.0078433785529513,-0.0080668968468338,0.0047624761861386,-0.0008128798854818,-0.0049391147006812,-0.0158070698460739,0.0042000980260685,0.0132397144538278
0.004,-0.0297578,0.00666441,0.0684324,0.0277956,0.0241026,-0.059428,-0.0171621,0.033046,0,0.0078550670954956,-0.0026193697627332,0.0065613469727611,0.002713981318588,-0.0061665039265459,-0.0076790484815807,-0.006410818416195,0.0367965462273227,0.0078550670954956,-0.0026193697627332,0.0065613469727611,0.002713981318588,-0.0061665039265459,-0.0076790484815807,-0.006410818416195,0.0367965462273227
0.005,-0.0300859,0.0142735,0.0672523,0.0284995,0.0214998,-0.0571565,-0.0380255,0.0291695,0,0.0076423843779713,0.000404536626138,0.004543288873307,0.003708647714799,-0.0073456057578187,-0.0044640924666994,-0.0271090490538341,0.0375025545683525,0.0076423843779713,0.000404536626138,0.004543288873307,0.003708647714799,-0.0073456057578187,-0.0044640924666994,-0.0271090490538341,0.0375025545683525
0.006,-0.0358628,0.0202785,0.0693978,0.025306,0.0190809,-0.0585132,-0.041502,0.0191549,0,0.0028054960300112,0.0012693609602631,0.0048146254525983,0.0014757782580067,-0.0095169481542522,-0.006300952788016,-0.0308844056002308,0.032236776805742,0.0028054960300112,0.0012693609602631,0.0048146254525983,0.0014757782580067,-0.0095169481542522,-0.006300952788016,-0.0308844056002308,0.032236776805742
0.007,-0.037064,0.0269738,0.0708283,0.0237324,0.018252,-0.0650952,-0.022871,0.030146,0,0.0012671158628653,0.0025295914702145,0.0051748576794671,0.0002567294450979,-0.0096511994670923,-0.0126032900685807,-0.0119821567155464,0.0458366922500447,0.0012671158628653,0.0025295914702145,0.0051748576794671,0.0002567294450979,-0.0096511994670923,-0.0126032900685807,-0.0119821567155464,0.0458366922500447
0.008,-0.0328846,0.0292438,0.0723185,0.0221425,0.0180857,-0.0718551,-0.00730669,0.0725933,0,0.0058032215402268,-0.0014980306764094,0.0047620346021699,-0.0003347694204928,-0.0098810150724458,-0.0202194087676163,0.0032122869504617,0.0897950892475729,0.0058032215402268,-0.0014980306764094,0.0047620346021699,-0.0003347694204928,-0.0098810150724458,-0.0202194087676163,0.0032122869504617,0.0897950892475729
0.009,-0.0340142,0.0305114,0.0709924,0.0226696,0.017777,-0.0623957,-0.00514789,0.0900357,0,0.0041339205626218,-0.0063342488811465,0.0025772524666387,0.0005645363514195,-0.0098908224082687,-0.0110340309454954,0.0058270741760472,0.1063834318543279,0.0041339205626218,-0.0063342488811465,0.0025772524666387,0.0005645363514195,-0.0098908224082687,-0.0110340309454954,0.0058270741760472,0.1063834318543279
